,버스정류장ARS번호,역명,00시~06시승하차총승객수,06시~11시승하차총승객수,11시~14시승하차총승객수,14시~17시승하차총승객수,17시~21시승하차총승객수,21시~24시승하차총승객수
0,1001,종로2가사거리(00067),2104,7618,5586,4703,6447,3067
1,1002,창경궁.서울대학교병원(00031),8642,60281,20507,23209,25406,5250
2,1003,명륜3가.성대입구(00088),10863,61221,37320,39123,48870,29423
3,1004,종로2가.삼일교(00029),2459,8440,7307,8545,12571,5489
4,1005,혜화동로터리.여운형활동터(00013),6230,43851,24232,23153,27088,10353
5,1101,경기상고(00059),314,7691,3200,5139,3999,1008
6,1102,신교동(00060),959,15965,9103,11753,12834,2289
7,1103,경기상고(00051),139,6705,2820,4300,4111,1959
8,1104,경복고교(00021),199,6216,3811,6281,3739,765
9,1105,청운중학교(00020),50,5198,664,1814,750,104
10,1106,자하문고개.윤동주문학관(00019),157,4565,4630,6022,4632,909
11,1107,자하문고개.윤동주문학관(00035),209,4667,4645,4476,4704,1831
12,1108,청운중학교(00034),53,2140,1389,4969,1746,548
13,1109,경복고교(00033),193,6818,3531,5623,4097,1690
14,1110,통인시장종로구보건소(00061),1458,17226,13836,17788,18772,3674
15,1111,통인시장종로구보건소(00049),574,11807,7736,9304,12286,4859
16,1112,효자동(00050),378,14219,5868,8450,8774,4037
17,1113,사직단.어린이도서관(00019),936,12657,8623,12813,14083,5180
18,1114,경복궁역1번출구(00044),2957,41388,24823,29251,42863,20175
19,1115,경복궁역(00062),2002,44740,34349,50658,52999,12278
20,1116,경복궁역(00048),1414,43424,28674,31062,45283,21494
21,1117,경복궁(00122),1642,26918,15553,17292,20815,5635
22,1118,KT광화문지사(00121),1875,57876,35579,33763,46022,22221
23,1120,광화문(00045),2372,11796,6558,7761,17276,6990
24,1123,서울역사박물관.경교장.강북삼성병원(00041),1629,14278,7438,10062,14795,5116
25,1124,광화문.금호아시아나본관앞(00044),198,5359,2129,2081,3352,1227
26,1125,광화문(00058),494,439,486,1048,2352,1673
27,1126,세종문화회관(00050),3054,36063,23629,30918,49394,16208
28,1127,서울경찰청.경복궁역(00068),2810,34492,22116,28401,38160,14306
29,1128,사직단(00028),2049,29728,14224,13280,18717,5602
30,1129,광화문광화문빌딩(00026),1717,6087,2221,2078,3630,1477
31,1130,덕성여중고(00015),969,16188,12971,15757,19122,7043
32,1131,안국역.서울공예박물관(00036),1095,14555,10485,14264,18466,7272
33,1132,국민은행세검정지점(00020),736,6856,3478,4132,4130,1567
34,1133,세검정초등학교(00032),1666,21898,10693,11195,12249,3436
35,1134,세검정.상명대(00033),187,7294,5404,6787,8715,2293
36,1135,상명대입구.석파랑(00019),182,4098,1450,1637,2510,727
37,1136,하림각(00016),812,12346,5767,5519,5641,1331
38,1137,자하문터널입구.석파정(00058),425,9627,5786,7333,6428,956
39,1138,부암동주민센터.무계원(00018),385,6042,5189,6627,6516,1090
40,1139,부암동주민센터.무계원(00036),279,3833,4596,4784,5696,2420
41,1140,자하문터널입구.석파정(00052),428,5975,5538,7483,9634,4296
42,1141,하림각(00053),554,5499,4176,6481,10551,4583
43,1142,상명대입구.세검정교회(00039),552,4675,3561,4933,7177,3125
44,1143,세검정.상명대(00082),554,6005,4127,7248,9791,3805
45,1144,세검정초등학교(00083),1702,14030,9209,13699,21111,9835
46,1146,국민은행세검정지점(00053),710,5572,3916,5867,8308,3673
47,1148,승가사입구(00038),18,554,664,926,501,43
48,1149,구기동현대빌라(00039),174,2206,1708,2495,1808,180
49,1150,구기터널.삼성출판박물관(00055),368,5161,3808,5904,5323,1794
50,1151,구기터널.삼성출판박물관(00018),232,5287,3326,3749,4709,1499
51,1152,구기동(00007),898,14204,8178,8872,10957,4132
52,1153,구기동(00004),896,7622,5234,7338,10413,4814
53,1154,승가사입구(00036),96,2173,654,668,852,308
54,1155,갑을씨티텔앞(00031),483,6141,2308,2990,3669,1066
55,1156,평창파출소(00030),1066,15686,6837,6438,9450,3012
56,1157,평창동주민센터(00029),864,13952,8876,12857,12382,3824
57,1158,일성아파트(00028),837,8027,3625,3444,3766,1148
58,1159,롯데아파트(00025),1034,12813,6230,6875,7568,1921
