기준년코드,기준분기코드,상권구분코드명,상권코드,상권코드명,서비스업종코드,서비스업종코드명,분기당매출금액,주중매출금액,주말매출금액,월요일매출금액,화요일매출금액,수요일매출금액,목요일매출금액,금요일매출금액,토요일매출금액,일요일매출금액,시간대00~06매출금액,시간대06~11매출금액,시간대11~14매출금액,시간대14~17매출금액,시간대17~21매출금액,시간대21~24매출금액,남성매출금액,여성매출금액,연령대10매출금액,연령대20매출금액,연령대30매출금액,연령대40매출금액,연령대50매출금액,연령대60이상매출금액,점포수
2022,4,관광특구,1001496,강남 마이스 관광특구,CS100005,제과점,3275467837,2143589485,1131878352,387588378,365445972,431185921,441714981,517654233,605549798,526328554,815950,201124861,962982969,862126042,1117475478,130942537,1257508618,1574727122,67489781,739791567,876824293,647022128,350255694,150852276,16
2022,4,관광특구,1001495,잠실 관광특구,CS100005,제과점,2858595699,1789743768,1068851931,386141855,319262443,276704101,368565960,439069409,635757791,433094140,,210310747,836541105,916677351,872939081,22127415,1211986194,1358090887,5205591,321174234,729396614,688322881,460321623,365656140,40
2022,4,관광특구,1001494,종로?청계 관광특구,CS100005,제과점,519025478,367447874,151577604,62434483,66883828,83529158,72767111,81833294,94840814,56736790,,32200568,89406714,120512495,205607427,71298274,207251194,245106602,8388460,128371573,96562513,74974057,86260313,57800880,20
2022,4,관광특구,1001493,동대문패션타운 관광특구,CS100005,제과점,629835350,379267419,250567931,64158342,64311031,75310060,79041185,96446801,150570871,99997060,24657,12155206,194648200,180023891,198359261,44624135,242187417,342126498,11081847,173413873,169973102,122902355,76998876,29943863,22
2022,4,관광특구,1001492,명동 남대문 북창동 다동 무교동 관광특구,CS100005,제과점,6091045518,4763012965,1328032553,819381279,961800006,976890520,958311637,1046629523,823082179,504950374,2213287,1028668832,1941739587,1551524379,1398140388,168759045,1866720026,2996817267,56627580,1078857387,1347689710,1084061275,818739236,477562107,71
2022,4,관광특구,1001491,이태원 관광특구,CS100005,제과점,851810122,531189729,320620393,103565878,96084755,93632420,105557424,132349252,196533196,124087197,14935515,89024055,206658386,232855100,243990501,64346565,303739642,412109520,6476454,221022392,204845297,112722634,107440103,63342289,20
2022,4,전통시장,2130326,고덕 골목형상점가,CS100005,제과점,474056473,328949356,145107117,68736734,65435783,62821535,67325998,64629306,87760282,57346835,,74480409,110277496,109375318,148556920,31366330,186296152,276561922,2687680,44525580,117773626,145414327,84371779,68085081,*
2022,4,전통시장,2130325,명일전통시장,CS100005,제과점,30228668,17325372,12903296,3630689,5619642,303977,3103971,4667093,4516415,8386881,,6753006,9015142,8164792,6295728,,9178268,12727067,85166,488722,1472717,5854176,5206259,8798296,*
2022,4,전통시장,2130324,길동복조리시장,CS100005,제과점,45252751,31101514,14151237,6826604,6927471,5416052,4503525,7427862,7051191,7100046,,3979494,9390816,11646126,16239486,3996829,24414659,18538654,174153,3506558,7632276,10321345,11210725,10108256,*
2022,4,전통시장,2130323,둔촌역전통시장,CS100005,제과점,154509262,88986721,65522541,20000969,20673701,9675181,13735895,24900975,30123978,35398563,,12875565,39118134,42713603,54893873,4908087,75723096,75356095,,11022548,28638044,29363399,48634634,33420567,3
2022,4,전통시장,2130322,고분다리전통시장,CS100005,제과점,158807132,108866274,49940858,17147971,31273779,22987492,14211039,23245993,27035768,22905090,,18488392,45691162,28483724,51743921,14399933,62339053,75160351,816275,13400723,28019971,34965355,33228660,27068418,3
2022,4,전통시장,2130319,성내전통시장,CS100005,제과점,54270699,35364012,18906687,5269563,7466078,8098847,9882452,4647072,12211286,6695401,,4679416,8433136,14054604,20966821,6136722,33873901,14602350,,2574513,11325926,11473609,9624593,13477609,*
2022,4,전통시장,2130318,로데오거리상점가,CS100005,제과점,227603058,158838339,68764719,25794104,28545280,33645983,33501621,37351351,45172346,23592373,,32032091,39614734,48891234,85853107,21211892,85361539,139415411,3471871,57517940,51702959,45774031,38107491,28202658,6
2022,4,전통시장,2130317,마천중앙시장,CS100005,제과점,111072216,58423639,52648577,12563247,7254864,13947690,11047414,13610424,30553199,22095378,,4049400,13892761,27508677,50585755,15035623,46613779,59813601,2724185,17985103,25335777,31126273,20664969,8591073,3
2022,4,전통시장,2130316,마천시장,CS100005,제과점,15430605,9414210,6016395,2437364,1691356,1464836,1434633,2386021,3675679,2340716,,513447,2461527,4995541,7460090,,8245362,7185243,,1555444,2346758,3397813,4439810,3690780,*
2022,4,전통시장,2130314,풍납시장,CS100005,제과점,194542906,133978683,60564223,23018859,26143793,25695937,22235762,36884332,34822731,25741492,,34170483,29904011,40754742,69054821,20658849,78182576,104796834,1868811,20211564,33553042,42587767,45387981,39370243,4
2022,4,전통시장,2130313,방이시장,CS100005,제과점,435237384,305622788,129614596,57208625,64546115,64849778,53413736,65604534,73659732,55954864,1042642,74263105,95447565,86050211,132678660,45755201,194427458,192556493,1941597,43593246,99520671,84800160,76522372,80605905,6
2022,4,전통시장,2130311,새마을시장,CS100005,제과점,189225077,128094118,61130959,21776182,23087673,27825945,25794639,29609679,32583491,28547468,614528,21863583,55160909,58078127,45632681,7875249,84568716,87649258,1592914,17341542,24500180,36392123,41497405,50893811,8
2022,4,전통시장,2130310,강남개포시장,CS100005,제과점,660010358,444197352,215813006,73070920,87764952,106117235,81682569,95561676,121018732,94794274,,95304998,145344038,160045541,204015893,55299888,263330674,310298362,11124897,53600492,74936459,160055503,166226477,107685208,4
2022,4,전통시장,2130301,양재시장,CS100005,제과점,373021210,302546489,70474721,60359384,58060908,50407339,60805606,72913252,40198880,30275841,,80211202,109286475,67603973,97159346,18760214,111440818,101941045,626054,27327221,50587733,43617951,44736586,46486318,*
2022,4,전통시장,2130299,엔터식스 강남점,CS100005,제과점,964168586,635044623,329123963,116687858,113463604,120039241,123633544,161220376,190011395,139112568,5901940,222399904,212319461,191949017,272289603,59308661,310110992,572593851,9179397,203911378,199802202,168931622,171469795,129410450,6
2022,4,전통시장,2130295,인헌시장(원당종합시장),CS100005,제과점,144000000,93837009,50162991,18234931,18021312,18168696,18338725,21073345,26427052,23735939,126168,18445408,27062575,36683969,50744450,10937430,64598243,79401757,501480,19289055,31607648,31189042,36581113,24831662,*
