기준년코드,기준분기코드,상권구분코드명,상권코드,상권코드명,서비스업종코드,서비스업종코드명,분기당매출건수,주중매출건수,주말매출건수,월요일매출건수,화요일매출건수,수요일매출건수,목요일매출건수,금요일매출건수,토요일매출건수,일요일매출건수,시간대00~06매출건수,시간대06~11매출건수,시간대11~14매출건수,시간대14~17매출건수,시간대17~21매출건수,시간대21~24매출건수,남성매출건수,여성매출건수,연령대10매출건수,연령대20매출건수,연령대30매출건수,연령대40매출건수,연령대50매출건수,연령대60이상매출건수,점포수
2022,4,관광특구,1001496,강남 마이스 관광특구,CS100005,제과점,268493,179715,88778,32365,32230,35837,37658,41625,47437,41341,172,26846,70453,69820,89284,11918,101873,145541,6831,69501,75761,53747,29364,12209,16
2022,4,관광특구,1001495,잠실 관광특구,CS100005,제과점,81588,49368,32220,9835,9219,9388,8947,11979,18231,13989,,5219,24840,27060,23581,888,35279,42234,141,9838,21264,20250,12602,13420,40
2022,4,관광특구,1001494,종로?청계 관광특구,CS100005,제과점,51203,36341,14862,5955,6851,7908,7440,8187,9349,5513,,4619,9934,10476,19058,7116,20953,28206,845,15335,11687,7987,8003,5299,20
2022,4,관광특구,1001493,동대문패션타운 관광특구,CS100005,제과점,38870,23961,14909,4286,4015,4769,4990,5901,9033,5876,1,998,10655,11861,12366,2989,15134,22020,826,11385,11028,7225,4713,1980,22
2022,4,관광특구,1001492,명동 남대문 북창동 다동 무교동 관광특구,CS100005,제과점,553185,435526,117659,78032,85036,93217,88561,90680,69814,47845,32,129300,162050,123101,122954,15748,198044,320106,8571,126635,147459,115151,79455,40883,71
2022,4,관광특구,1001491,이태원 관광특구,CS100005,제과점,67281,43759,23522,8688,8193,8555,8201,10122,13486,10036,1592,10725,14564,15929,19052,5419,27139,35693,639,19128,18431,10125,8753,5758,20
2022,4,전통시장,2130326,고덕 골목형상점가,CS100005,제과점,49990,35541,14449,7861,6999,6914,6999,6768,8604,5845,,7947,10741,12029,15798,3475,18472,31154,565,5292,12552,15072,8783,7361,*
2022,4,전통시장,2130325,명일전통시장,CS100005,제과점,3348,2057,1291,459,590,59,412,537,616,675,,294,1116,1041,897,,1585,1533,20,130,242,707,760,1258,*
2022,4,전통시장,2130324,길동복조리시장,CS100005,제과점,6682,4751,1931,1119,1040,851,709,1032,977,954,,519,1308,1749,2547,559,3813,2687,56,601,1215,1446,1714,1469,*
2022,4,전통시장,2130323,둔촌역전통시장,CS100005,제과점,19072,11713,7359,2695,2674,1475,1871,2998,3377,3982,,1382,4425,5305,7471,489,9500,9290,,1529,3384,3419,5437,5022,3
2022,4,전통시장,2130322,고분다리전통시장,CS100005,제과점,13709,9418,4291,1806,2013,2135,1536,1928,2334,1957,,2041,3292,2698,4289,1389,5629,7936,105,1675,2785,2815,3310,2874,3
2022,4,전통시장,2130319,성내전통시장,CS100005,제과점,6176,3998,2178,746,751,951,959,591,1215,963,,402,1101,1204,2540,929,4337,1541,,545,1154,1457,1262,1462,*
2022,4,전통시장,2130318,로데오거리상점가,CS100005,제과점,29113,21618,7495,3737,4044,4600,4482,4755,4698,2797,,4293,5277,6703,10848,1992,10996,17951,520,7563,6807,5668,4746,3643,6
2022,4,전통시장,2130317,마천중앙시장,CS100005,제과점,11535,6315,5220,1482,792,1351,1329,1361,2901,2319,,286,1780,3242,4964,1263,4904,6499,447,2232,2740,3423,1892,670,3
2022,4,전통시장,2130316,마천시장,CS100005,제과점,2356,1419,937,393,180,272,211,363,545,392,,90,423,726,1117,,1239,1117,,272,333,514,633,604,*
2022,4,전통시장,2130314,풍납시장,CS100005,제과점,18609,13223,5386,2483,2828,2575,2441,2896,2981,2405,,3889,2896,3580,6172,2072,7572,10656,152,2527,3441,4083,4556,3468,4
2022,4,전통시장,2130313,방이시장,CS100005,제과점,45595,32634,12961,6612,6527,6638,5997,6860,7262,5699,115,7051,9066,9891,14262,5210,20649,22517,284,6259,11202,8954,8034,8430,6
2022,4,전통시장,2130311,새마을시장,CS100005,제과점,28271,19632,8639,3946,3962,3811,3839,4074,4470,4169,85,3273,8105,8676,6615,1517,13380,13903,138,2402,3801,5638,6684,8617,8
2022,4,전통시장,2130310,강남개포시장,CS100005,제과점,67285,44780,22505,8308,8330,9748,8856,9538,12311,10194,,9543,14242,15889,21739,5872,28700,35848,1480,7150,8919,17784,17015,12200,4
2022,4,전통시장,2130301,양재시장,CS100005,제과점,34819,27340,7479,5337,5938,5252,5071,5742,4034,3445,,10154,10113,5267,7787,1498,14678,11527,42,3838,6149,5505,5015,5659,*
2022,4,전통시장,2130299,엔터식스 강남점,CS100005,제과점,116382,77830,38552,14794,14090,14596,14726,19624,22119,16433,875,30022,23893,22471,31647,7474,38611,71214,1575,28158,26059,20079,19889,14063,6
2022,4,전통시장,2130295,인헌시장(원당종합시장),CS100005,제과점,22583,15248,7335,2927,3044,3037,2857,3383,3771,3564,20,2827,4151,5475,8162,1948,9948,12635,102,3655,5139,4521,5364,3802,*
2022,4,전통시장,2130294,관악중부시장,CS100005,제과점,19863,14720,5143,2926,3044,2656,3024,3070,3136,2007,,2768,4933,5267,5445,1450,7457,12406,299,2039,3276,4294,4395,5560,3
2022,4,전통시장,2130290,영림시장,CS100005,제과점,5721,3347,2374,583,571,485,772,936,1431,943,,58,533,933,2761,1436,2407,3314,165,2219,1749,912,497,179,4
2022,4,전통시장,2130289,봉일시장,CS100005,제과점,3580,2290,1290,469,432,488,469,432,645,645,,294,598,809,1068,166,1487,1338,9,304,592,461,646,812,*
