기준년코드,기준분기코드,상권구분코드명,상권코드,상권코드명,서비스업종코드,서비스업종코드명,분기당매출건수,주중매출건수,주말매출건수,월요일매출건수,화요일매출건수,수요일매출건수,목요일매출건수,금요일매출건수,토요일매출건수,일요일매출건수,시간대00~06매출건수,시간대06~11매출건수,시간대11~14매출건수,시간대14~17매출건수,시간대17~21매출건수,시간대21~24매출건수,남성매출건수,여성매출건수,연령대10매출건수,연령대20매출건수,연령대30매출건수,연령대40매출건수,연령대50매출건수,연령대60이상매출건수,점포수
2022,4,관광특구,1001496,강남 마이스 관광특구,CS100008,분식전문점,313683,234737,78946,39559,45059,49257,50868,49994,42789,36157,,8065,135487,62681,101168,6282,105131,158597,4268,70336,88489,52854,33738,14042,30
2022,4,관광특구,1001495,잠실 관광특구,CS100008,분식전문점,291067,191881,99186,39343,37164,36836,36237,42301,57767,41419,9297,29287,88822,74578,74321,14762,122750,150241,2776,61875,89262,61668,37321,20085,90
2022,4,관광특구,1001494,종로?청계 관광특구,CS100008,분식전문점,381019,280949,100070,51204,54215,56948,56412,62170,61313,38757,2559,35719,149329,87585,89599,16228,176670,165929,2464,70273,87532,81410,64117,36813,138
2022,4,관광특구,1001493,동대문패션타운 관광특구,CS100008,분식전문점,411102,300702,110400,52922,58210,60916,63048,65606,65226,45174,12223,54348,109189,91186,120523,23633,160004,233070,6672,107117,107098,75446,64184,32553,105
2022,4,관광특구,1001492,명동 남대문 북창동 다동 무교동 관광특구,CS100008,분식전문점,744475,632773,111702,111716,131299,130941,131662,127155,68910,42792,2806,89984,378824,99257,159043,14561,332857,339249,4216,135958,198115,168643,109761,55411,232
2022,4,관광특구,1001491,이태원 관광특구,CS100008,분식전문점,58464,34006,24458,5922,5713,6660,6235,9476,14904,9554,1893,2434,13916,15931,16698,7592,19906,35120,678,23610,17747,6750,4360,1877,94
2022,4,전통시장,2130326,고덕 골목형상점가,CS100008,분식전문점,63018,45337,17681,7313,8927,9532,9677,9888,11051,6630,,3219,21814,14769,22889,327,27272,35746,808,8718,15596,19026,11659,7211,5
2022,4,전통시장,2130325,명일전통시장,CS100008,분식전문점,233,171,62,34,48,15,22,52,33,29,,4,111,48,70,,92,130,,17,104,52,30,18,3
2022,4,전통시장,2130324,길동복조리시장,CS100008,분식전문점,4302,3024,1278,755,454,576,588,651,818,460,6,249,1746,1042,1214,45,2401,1901,6,483,685,1354,1074,700,13
2022,4,전통시장,2130323,둔촌역전통시장,CS100008,분식전문점,2491,1667,824,505,260,260,261,381,519,305,,,138,490,1497,366,1443,941,,108,338,523,614,801,10
2022,4,전통시장,2130322,고분다리전통시장,CS100008,분식전문점,2220,1681,539,236,439,415,323,268,313,226,24,14,480,470,1093,139,957,1053,132,504,442,334,348,249,12
2022,4,전통시장,2130320,암사종합시장,CS100008,분식전문점,78011,48740,29271,10041,9178,8154,10328,11039,16246,13025,106,3520,16358,20974,35538,1515,35468,42328,387,6383,14167,19996,21677,15187,19
2022,4,전통시장,2130319,성내전통시장,CS100008,분식전문점,8072,5376,2696,1044,1033,1106,1127,1066,1306,1390,6,602,1471,1747,3545,701,4282,3728,,792,2094,1995,1726,1405,5
2022,4,전통시장,2130318,로데오거리상점가,CS100008,분식전문점,152078,98119,53959,18736,17255,19527,19981,22620,28641,25318,8563,8120,41739,27914,46246,19496,83607,68438,4435,39227,36091,30374,24522,17397,25
2022,4,전통시장,2130316,마천시장,CS100008,분식전문점,2458,1683,775,65,389,259,646,324,710,65,647,130,581,259,388,453,1359,1035,,582,389,130,841,452,*
2022,4,전통시장,2130315,문정동 로데오거리 상점가(문정동 로데오거리),CS100008,분식전문점,8281,6074,2207,1149,1210,1220,1142,1353,1145,1062,,1003,2422,1574,2928,354,5186,2688,57,1943,1992,1646,1249,985,8
2022,4,전통시장,2130314,풍납시장,CS100008,분식전문점,33505,23019,10486,4773,4564,3731,4957,4994,5736,4750,,7132,8604,6512,9793,1464,15253,17454,265,3759,6945,8112,7310,6316,9
2022,4,전통시장,2130313,방이시장,CS100008,분식전문점,37654,27510,10144,4310,6156,6045,5201,5798,3644,6500,64,2625,11314,8845,13805,1001,16037,19330,460,5411,9362,7776,8142,4217,16
2022,4,전통시장,2130312,석촌시장,CS100008,분식전문점,58421,37828,20593,6495,7636,7209,8022,8466,11068,9525,1441,4993,16778,12660,19948,2601,28338,27612,255,4849,13570,15448,12074,9750,17
2022,4,전통시장,2130311,새마을시장,CS100008,분식전문점,87042,56629,30413,8738,11702,11024,12624,12541,16424,13989,730,2331,23903,21210,33163,5705,44258,41762,1507,15666,19198,22003,17164,10486,29
2022,4,전통시장,2130310,강남개포시장,CS100008,분식전문점,240648,158860,81788,30989,31670,32807,28315,35079,41999,39789,5,13422,73362,56803,81253,15803,115807,115944,7623,27988,34538,64345,62258,35000,17
2022,4,전통시장,2130308,청담삼익시장,CS100008,분식전문점,1200,1046,154,192,235,236,216,167,77,77,,,1020,77,26,,402,524,,89,134,371,140,192,6
2022,4,전통시장,2130307,도곡시장,CS100008,분식전문점,3494,1884,1610,435,408,423,109,509,933,677,,233,1227,1057,977,,1603,1891,30,199,486,1303,1018,458,3
2022,4,전통시장,2130306,강남언주로,CS100008,분식전문점,23455,22337,1118,4304,4821,4256,4811,4145,947,171,135,36,18660,1166,2916,542,9587,9321,61,4000,6683,4872,2616,670,10
2022,4,전통시장,2130303,영동전통시장,CS100008,분식전문점,54550,42222,12328,6889,8565,8975,8380,9413,8988,3340,9172,3093,10340,6173,15033,10739,30833,19313,154,11071,17827,13303,5591,2204,17
2022,4,전통시장,2130299,엔터식스 강남점,CS100008,분식전문점,327623,218627,108996,42990,39047,39198,41718,55674,62819,46177,3163,59227,89499,55150,92441,28143,147256,166180,4729,75671,71411,64297,61881,35448,20
2022,4,전통시장,2130296,남부종합시장,CS100008,분식전문점,4656,3715,941,704,812,748,735,716,692,249,,382,2112,1045,1117,,2149,2228,60,686,1117,1359,831,321,3
2022,4,전통시장,2130295,인헌시장(원당종합시장),CS100008,분식전문점,47735,31231,16504,5170,6514,5268,7102,7177,8901,7603,83,3247,11016,10424,20007,2958,21320,26195,246,10490,13319,10349,8462,4652,14
2022,4,전통시장,2130294,관악중부시장,CS100008,분식전문점,5610,3796,1814,597,762,802,811,824,958,856,4,54,2412,1256,1827,57,3205,2392,46,932,1229,1623,1155,611,7
2022,4,전통시장,2130293,봉천중앙시장,CS100008,분식전문점,15429,11069,4360,2247,1999,2415,2080,2328,2376,1984,215,3040,3869,2560,4564,1181,8364,6591,291,3325,3466,3061,2710,2101,4
2022,4,전통시장,2130292,봉천현대시장,CS100008,분식전문점,2884,1808,1076,380,409,199,387,433,655,421,,53,690,748,1393,,1326,1558,6,250,595,708,867,458,*
2022,4,전통시장,2130291,봉천제일종합시장,CS100008,분식전문점,3243,2242,1001,426,500,371,408,537,445,556,,,742,584,1908,9,1305,1911,65,970,942,614,521,103,*
2022,4,전통시장,2130290,영림시장,CS100008,분식전문점,27710,21415,6295,4067,4310,4531,4242,4265,2940,3355,559,3423,6840,3486,10142,3260,14331,12007,418,7589,6495,4279,4950,2605,26
2022,4,전통시장,2130289,봉일시장,CS100008,분식전문점,6739,3209,3530,718,507,549,732,703,1392,2138,7,366,978,2117,2892,379,3817,2922,216,1105,1126,2265,1392,635,3
2022,4,전통시장,2130285,서원동상점가,CS100008,분식전문점,99079,68211,30868,13149,13730,14263,12423,14646,17924,12944,1782,2584,17289,19877,40937,16610,48374,50542,3560,31848,28873,16394,12583,5660,27
2022,4,전통시장,2130284,관악종합시장(신원시장),CS100008,분식전문점,6893,4341,2552,956,35,1117,1116,1117,1311,1241,,1027,1311,1524,2216,815,3112,3710,90,1068,1627,853,1482,1703,3
2022,4,전통시장,2130283,신원시장,CS100008,분식전문점,18083,10819,7264,2331,905,2277,2436,2870,3928,3336,12,590,2881,3648,9231,1721,8807,9129,106,3806,4857,3728,3332,2108,14
2022,4,전통시장,2130281,우림시장,CS100008,분식전문점,7006,4665,2341,954,747,933,967,1064,1273,1068,513,1577,1273,1074,2052,517,3660,3072,186,1050,940,1284,2135,1137,4
