기준년코드,기준분기코드,상권구분코드명,상권코드,상권코드명,서비스업종코드,서비스업종코드명,분기당매출건수,주중매출건수,주말매출건수,월요일매출건수,화요일매출건수,수요일매출건수,목요일매출건수,금요일매출건수,토요일매출건수,일요일매출건수,시간대00~06매출건수,시간대06~11매출건수,시간대11~14매출건수,시간대14~17매출건수,시간대17~21매출건수,시간대21~24매출건수,남성매출건수,여성매출건수,연령대10매출건수,연령대20매출건수,연령대30매출건수,연령대40매출건수,연령대50매출건수,연령대60이상매출건수,점포수
2022,4,관광특구,1001496,강남 마이스 관광특구,CS100010,커피-음료,475251,336625,138626,57274,63995,67896,72528,74932,73764,64862,129,91562,159938,123523,93922,6177,154791,273753,6643,116086,154325,81522,51708,18259,52
2022,4,관광특구,1001495,잠실 관광특구,CS100010,커피-음료,779050,497404,281646,93359,94697,98135,99667,111546,155844,125802,9603,109876,204772,206273,191889,56637,317730,425489,10543,227635,234776,117777,93164,59321,103
2022,4,관광특구,1001494,종로?청계 관광특구,CS100010,커피-음료,906744,703019,203725,123193,141197,143786,143374,151469,129224,74501,3565,177951,322191,202489,160769,39779,407968,435458,7531,251389,244222,149811,121985,68497,150
2022,4,관광특구,1001493,동대문패션타운 관광특구,CS100010,커피-음료,348563,276584,71979,52432,57424,59439,60660,46629,32246,39733,25781,63713,80919,55380,73008,49762,145123,192307,3351,99904,114786,65766,40042,13577,90
2022,4,관광특구,1001492,명동 남대문 북창동 다동 무교동 관광특구,CS100010,커피-음료,3218999,2701641,517358,473912,552524,556031,553966,565208,326204,191154,577,866116,1252885,645680,391445,62296,1405092,1554117,28896,724270,973038,672666,388223,172125,365
2022,4,관광특구,1001491,이태원 관광특구,CS100010,커피-음료,441329,280389,160940,47709,51268,56832,57501,67079,94036,66904,4019,55618,134618,130661,101610,14803,177427,233004,3858,148508,125416,57578,51396,23681,103
2022,4,전통시장,2130324,길동복조리시장,CS100010,커피-음료,8934,6026,2908,1266,1330,1318,888,1224,1706,1202,,1667,3012,2513,1661,81,3746,5067,101,1950,2743,1780,1749,489,3
2022,4,전통시장,2130323,둔촌역전통시장,CS100010,커피-음료,2096,1335,761,131,212,336,323,333,334,427,73,11,823,466,455,268,966,1106,16,565,644,347,330,174,5
2022,4,전통시장,2130322,고분다리전통시장,CS100010,커피-음료,1824,1372,452,300,225,286,308,253,226,226,,396,458,533,211,,437,1161,,479,431,320,211,157,3
2022,4,전통시장,2130321,장신구 특화거리 상점가,CS100010,커피-음료,4575,2829,1746,269,641,472,724,723,1134,612,,14,2107,1648,806,,1000,3506,28,1560,1617,412,744,144,8
2022,4,전통시장,2130318,로데오거리상점가,CS100010,커피-음료,84835,53859,30976,9655,10414,10363,10109,13318,17990,12986,313,5096,19233,19704,29314,11175,38907,45928,3484,34487,22030,12299,8971,3564,22
2022,4,전통시장,2130315,문정동 로데오거리 상점가(문정동 로데오거리),CS100010,커피-음료,27230,19536,7694,4013,3625,3797,3857,4244,4376,3318,1053,4628,6130,5479,5923,4017,11949,14330,477,9311,7140,5116,3037,1196,13
2022,4,전통시장,2130314,풍납시장,CS100010,커피-음료,9421,6074,3347,1176,1193,1170,1190,1345,1984,1363,,822,2999,2551,2777,272,3505,5697,348,2688,2672,1244,1344,906,4
2022,4,전통시장,2130313,방이시장,CS100010,커피-음료,111950,78827,33123,15708,15600,16395,14837,16287,18705,14418,,27187,31966,25503,22026,5268,59780,49789,3015,30309,34102,19076,13161,9908,14
2022,4,전통시장,2130312,석촌시장,CS100010,커피-음료,1382,1016,366,177,148,288,181,222,222,144,,144,468,457,276,37,442,940,12,223,481,472,147,47,6
2022,4,전통시장,2130311,새마을시장,CS100010,커피-음료,63959,41517,22442,8012,8080,7956,7924,9545,12457,9985,,11983,15529,16583,16408,3456,32065,31894,2915,17497,15947,14070,10209,3321,16
2022,4,전통시장,2130310,강남개포시장,CS100010,커피-음료,87157,58785,28372,11237,11732,11777,11267,12772,15006,13366,,18846,27419,21458,16585,2849,42661,40916,3672,19979,14183,21181,17450,7110,8
2022,4,전통시장,2130306,강남언주로,CS100010,커피-음료,31833,26971,4862,4841,5404,5408,5613,5705,2787,2075,299,4614,14848,5841,4682,1549,15037,14117,66,7670,11437,6367,2619,993,11
2022,4,전통시장,2130303,영동전통시장,CS100010,커피-음료,15867,11162,4705,2084,2163,2278,2256,2381,2816,1889,11,286,2358,3194,6285,3733,7899,7716,365,3927,4650,3210,2465,999,3
2022,4,전통시장,2130299,엔터식스 강남점,CS100010,커피-음료,294109,187282,106827,35600,33310,34916,36902,46554,59506,47321,30,38002,86233,82350,79745,7749,96701,177866,3325,75845,78710,52198,41286,23206,22
2022,4,전통시장,2130298,강남터미널지하도상점가2구역,CS100010,커피-음료,64963,43758,21205,8931,8922,8470,8881,8554,11343,9862,,9166,18239,23567,13840,151,20696,44267,4768,7426,10194,19013,15799,7763,7
2022,4,전통시장,2130295,인헌시장(원당종합시장),CS100010,커피-음료,20011,12450,7561,2677,2335,2385,2349,2704,4300,3261,7,2704,6055,5700,4907,638,11820,8125,60,7832,6799,1742,2378,1134,4
2022,4,전통시장,2130294,관악중부시장,CS100010,커피-음료,32280,21126,11154,4006,3887,4461,4170,4602,5855,5299,,6431,8449,9871,6457,1072,11877,20403,417,7014,7720,8113,5509,3507,6
2022,4,전통시장,2130293,봉천중앙시장,CS100010,커피-음료,21845,15172,6673,3072,2992,2941,2913,3254,3459,3214,,5210,6001,5436,4736,462,10760,11085,380,8046,6520,3788,2004,1107,*
2022,4,전통시장,2130290,영림시장,CS100010,커피-음료,49746,34172,15574,6266,6818,6669,7031,7388,8539,7035,,10477,13186,13130,12010,943,24571,24967,790,16397,13938,8062,6432,3920,15
2022,4,전통시장,2130285,서원동상점가,CS100010,커피-음료,736767,466601,270166,87046,89022,93212,93300,104021,151574,118592,3288,109798,154505,168946,214858,85372,384228,352539,16669,304786,221712,98465,67036,28099,27
2022,4,전통시장,2130278,미성동 도깨비시장 골목형상점가,CS100010,커피-음료,2588,1419,1169,326,200,292,261,340,648,521,,395,794,690,569,140,1194,1394,72,663,674,562,515,102,3
2022,4,전통시장,2130277,조원동 펭귄시장(신림중앙시장),CS100010,커피-음료,1923,1191,732,270,213,258,197,253,382,350,,124,631,646,470,52,1106,817,5,459,666,110,214,469,*
2022,4,전통시장,2130274,사당1동먹자골목상점가(사당1동먹자골목),CS100010,커피-음료,132833,81457,51376,14093,15608,16352,16311,19093,33559,17817,,10234,30142,40759,38772,12926,76288,52772,3328,36482,27872,16294,20451,24633,9
2022,4,전통시장,2130273,남성사계시장(남성시장),CS100010,커피-음료,232106,160218,71888,29351,32078,31505,30624,36660,43015,28873,,30090,61541,58426,65464,16585,88706,140045,12522,74858,49810,47569,31688,12304,13
2022,4,전통시장,2130271,남성역골목시장,CS100010,커피-음료,20794,13407,7387,2764,2588,2807,2456,2792,4101,3286,,3901,6922,5417,4216,338,12039,8755,87,5271,7967,4861,2043,565,4
