기준년코드,기준분기코드,상권구분코드명,상권코드,상권코드명,서비스업종코드,서비스업종코드명,분기당매출건수,주중매출건수,주말매출건수,월요일매출건수,화요일매출건수,수요일매출건수,목요일매출건수,금요일매출건수,토요일매출건수,일요일매출건수,시간대00~06매출건수,시간대06~11매출건수,시간대11~14매출건수,시간대14~17매출건수,시간대17~21매출건수,시간대21~24매출건수,남성매출건수,여성매출건수,연령대10매출건수,연령대20매출건수,연령대30매출건수,연령대40매출건수,연령대50매출건수,연령대60이상매출건수,점포수
2022,4,관광특구,1001495,잠실 관광특구,CS100007,치킨전문점,17615,11279,6336,2057,2165,2079,2200,2778,3475,2861,3481,17,181,776,5922,7238,10307,6144,211,5260,4498,2958,2510,1015,14
2022,4,관광특구,1001494,종로?청계 관광특구,CS100007,치킨전문점,61318,43096,18222,7062,8527,8366,8861,10280,10712,7510,5929,1741,5192,4655,22790,21011,34779,19816,506,14698,15230,10646,8196,5317,29
2022,4,관광특구,1001493,동대문패션타운 관광특구,CS100007,치킨전문점,4034,2954,1080,476,604,561,628,685,616,464,296,8,185,203,1429,1913,2335,1366,63,1071,994,594,607,370,12
2022,4,관광특구,1001492,명동 남대문 북창동 다동 무교동 관광특구,CS100007,치킨전문점,32513,25675,6838,3849,4989,5410,5561,5866,4422,2416,1855,6,1219,1224,12513,15696,15974,10641,286,6638,7414,6273,4250,1753,21
2022,4,관광특구,1001491,이태원 관광특구,CS100007,치킨전문점,5801,2480,3321,560,258,374,607,681,1844,1477,1699,,30,134,1735,2203,3746,1971,152,2223,1874,619,674,172,4
2022,4,전통시장,2130326,고덕 골목형상점가,CS100007,치킨전문점,3051,1785,1266,148,353,270,509,505,650,616,25,,,259,2002,765,1916,1118,42,172,474,1111,712,523,*
2022,4,전통시장,2130324,길동복조리시장,CS100007,치킨전문점,10739,6469,4270,1373,1194,663,1166,2073,2574,1696,564,,279,1373,6585,1938,6234,4505,92,1210,2004,2759,2808,1866,3
2022,4,전통시장,2130322,고분다리전통시장,CS100007,치킨전문점,2097,1434,663,276,274,237,296,351,389,274,35,40,163,301,1053,505,1337,720,6,227,415,273,677,461,6
2022,4,전통시장,2130320,암사종합시장,CS100007,치킨전문점,3573,2399,1174,437,380,344,648,590,551,623,207,,113,505,1831,917,2276,1283,100,457,830,756,786,632,5
2022,4,전통시장,2130319,성내전통시장,CS100007,치킨전문점,5584,3744,1840,796,822,639,645,842,1208,632,,269,854,1369,2732,360,2660,2924,55,375,856,856,1345,2097,5
2022,4,전통시장,2130318,로데오거리상점가,CS100007,치킨전문점,5818,3851,1967,668,626,788,689,1080,1043,924,989,,,250,2130,2449,3964,1854,16,1294,1402,1364,1043,699,7
2022,4,전통시장,2130317,마천중앙시장,CS100007,치킨전문점,2625,1606,1019,317,326,168,390,405,526,493,,16,381,565,1370,293,1517,1108,32,274,444,613,608,654,*
2022,4,전통시장,2130315,문정동 로데오거리 상점가(문정동 로데오거리),CS100007,치킨전문점,3751,2571,1180,601,424,379,467,700,633,547,185,,112,248,1955,1251,2231,1377,66,649,935,803,725,431,5
2022,4,전통시장,2130313,방이시장,CS100007,치킨전문점,29509,20163,9346,4024,4225,2746,4573,4595,5279,4067,1487,188,935,4021,15528,7350,16609,12784,165,4988,7766,7237,5653,3581,5
2022,4,전통시장,2130312,석촌시장,CS100007,치킨전문점,5369,3311,2058,710,436,551,659,955,1163,895,835,,16,214,2149,2155,2896,1993,12,557,1271,1436,1193,417,6
2022,4,전통시장,2130311,새마을시장,CS100007,치킨전문점,35852,22780,13072,2774,5086,4212,4944,5764,7101,5971,363,125,3601,7180,19519,5064,20048,14854,206,4685,6863,7766,7809,7574,8
2022,4,전통시장,2130310,강남개포시장,CS100007,치킨전문점,15580,10174,5406,1642,1691,1841,2213,2787,3007,2399,271,64,1385,2015,8643,3202,8911,6142,579,2117,2124,3609,4484,2140,5
2022,4,전통시장,2130303,영동전통시장,CS100007,치킨전문점,4391,3622,769,879,771,504,628,840,637,132,9,,,469,2568,1345,2554,1776,,984,1299,919,603,525,3
