기준년코드,기준분기코드,상권구분코드명,상권코드,상권코드명,서비스업종코드,서비스업종코드명,분기당매출금액,주중매출금액,주말매출금액,월요일매출금액,화요일매출금액,수요일매출금액,목요일매출금액,금요일매출금액,토요일매출금액,일요일매출금액,시간대00~06매출금액,시간대06~11매출금액,시간대11~14매출금액,시간대14~17매출금액,시간대17~21매출금액,시간대21~24매출금액,남성매출금액,여성매출금액,연령대10매출금액,연령대20매출금액,연령대30매출금액,연령대40매출금액,연령대50매출금액,연령대60이상매출금액,점포수
2022,4,관광특구,1001496,강남 마이스 관광특구,CS100006,패스트푸드점,1842714083,1263897841,578816242,219527910,228174586,262453898,266998927,286742520,320857665,257958577,,113634722,616192505,376811437,648312003,87763416,798828597,759783488,27421322,469607064,543766061,300326060,142008152,75483425,14
2022,4,관광특구,1001495,잠실 관광특구,CS100006,패스트푸드점,5250232020,3285117441,1965114579,639587803,612439120,621460916,629258862,782370740,1050219185,914895394,,337869278,1618800129,1273219530,1784866852,235476231,2453889216,2522331502,319572099,1170387856,1258986595,1360098661,543893638,323281867,45
2022,4,관광특구,1001494,종로?청계 관광특구,CS100006,패스트푸드점,387425956,296082999,91342957,53558089,57438957,64648776,64535011,55902166,57387335,33955622,,26235494,165445990,68856430,108380147,18507895,200291954,140035750,6335937,99556063,91359315,60643897,50395215,32037276,24
2022,4,관광특구,1001493,동대문패션타운 관광특구,CS100006,패스트푸드점,1846334084,1288674184,557659900,196305580,250920403,259957020,293333163,288158018,312521214,245138686,220463089,155448928,462980632,314041879,508513829,184885727,969165627,804609291,24564432,573709327,523983932,314300686,244961652,92254889,26
2022,4,관광특구,1001492,명동 남대문 북창동 다동 무교동 관광특구,CS100006,패스트푸드점,1618619876,1275695864,342924012,222932443,244342359,252843422,283544466,272033174,189372383,153551629,,197112406,677619126,275288476,442219830,26380038,672275396,639026083,12335369,360692888,463405551,266218312,138799452,69849903,69
2022,4,관광특구,1001491,이태원 관광특구,CS100006,패스트푸드점,3405928024,1691493298,1714434726,327710481,282206608,269011641,328291229,484273339,931723884,782710842,581573882,105538449,533501282,522695384,1077134604,585484423,2269285425,1053860332,49270491,1496952362,1040888339,347133874,282776734,106123959,37
2022,4,전통시장,2130324,길동복조리시장,CS100006,패스트푸드점,83607416,50628899,32978517,11263800,7784149,7499361,9667317,14414272,17310996,15667521,,342072,11783328,14493031,44300178,12688807,46898477,36035027,958711,17060292,14867627,19665064,19579600,10802210,3
2022,4,전통시장,2130323,둔촌역전통시장,CS100006,패스트푸드점,20301583,13510008,6791575,1155490,2649636,3827253,1947122,3930507,2998127,3793448,190533,,330667,2431445,13590524,3758414,11291892,7712839,165333,2101805,3804141,5031131,4906752,2995568,*
2022,4,전통시장,2130318,로데오거리상점가,CS100006,패스트푸드점,147086130,90666336,56419794,15488716,17759339,16343816,17380496,23693969,32943107,23476687,2384037,,25215558,21078763,50499337,47908435,98771796,48314334,3337257,41382111,46004511,30698058,17896344,7767849,6
2022,4,전통시장,2130317,마천중앙시장,CS100006,패스트푸드점,70500058,39118440,31381618,7222823,9786321,6655154,8617623,6836519,15690809,15690809,,,4683739,9947353,33463633,6714524,28497271,26311978,1021402,7653751,11002451,14651092,14905889,5574664,*
2022,4,전통시장,2130315,문정동 로데오거리 상점가(문정동 로데오거리),CS100006,패스트푸드점,668370057,425600690,242769367,83131330,71714964,89352693,79547423,101854280,117182089,125587278,8114967,18304622,232553168,117259890,253365997,38771413,346179466,259006807,7816044,123158339,160187398,139108701,103762997,71152794,6
2022,4,전통시장,2130314,풍납시장,CS100006,패스트푸드점,122833927,79759284,43074643,16978842,14690838,16441024,15799380,15849200,24324319,18750324,,2312136,14063101,22872964,70828372,12757354,64484794,53664663,1436802,10883811,29397691,34498143,23216185,18716823,3
2022,4,전통시장,2130313,방이시장,CS100006,패스트푸드점,166727516,107298457,59429059,20033728,18644791,15841162,26277100,26501676,31078390,28350669,,1667546,28320865,26846761,77913560,31978784,89727064,64017543,1278310,25432517,45016646,34700105,30427746,16889281,6
2022,4,전통시장,2130310,강남개포시장,CS100006,패스트푸드점,90096835,65606939,24489896,12491636,12160616,14371054,13999581,12584052,17891464,6598432,,6133725,33450967,19252857,30396219,863067,43081250,39564198,3725017,14720576,14009614,24222895,16453881,9513467,5
