기준년코드,기준분기코드,상권구분코드명,상권코드,상권코드명,서비스업종코드,서비스업종코드명,분기당매출건수,주중매출건수,주말매출건수,월요일매출건수,화요일매출건수,수요일매출건수,목요일매출건수,금요일매출건수,토요일매출건수,일요일매출건수,시간대00~06매출건수,시간대06~11매출건수,시간대11~14매출건수,시간대14~17매출건수,시간대17~21매출건수,시간대21~24매출건수,남성매출건수,여성매출건수,연령대10매출건수,연령대20매출건수,연령대30매출건수,연령대40매출건수,연령대50매출건수,연령대60이상매출건수,점포수
2022,4,관광특구,1001496,강남 마이스 관광특구,CS100006,패스트푸드점,152432,109442,42990,18807,20619,22697,22983,24336,23520,19470,,19445,47707,33101,45635,6544,71500,68913,2992,43927,46903,26325,13203,7060,14
2022,4,관광특구,1001495,잠실 관광특구,CS100006,패스트푸드점,536112,346615,189497,67292,64636,69496,66938,78253,101029,88468,,39713,155997,133974,179036,27392,243621,283825,38728,135335,128266,131779,58053,35286,45
2022,4,관광특구,1001494,종로?청계 관광특구,CS100006,패스트푸드점,49616,38547,11069,6707,7873,7821,8451,7695,7006,4063,,4210,20496,9054,13691,2165,27236,20376,919,14169,12732,7748,7024,5017,24
2022,4,관광특구,1001493,동대문패션타운 관광특구,CS100006,패스트푸드점,200260,143078,57182,22929,27904,29099,31370,31776,31818,25364,21258,16995,53365,34813,52661,21168,106674,89954,3267,63343,55850,34752,27384,12035,26
2022,4,관광특구,1001492,명동 남대문 북창동 다동 무교동 관광특구,CS100006,패스트푸드점,160400,130278,30122,23503,25663,26704,27960,26448,16910,13212,,35455,60723,25447,37015,1760,73820,75455,1535,41511,52505,29607,15956,8163,69
2022,4,관광특구,1001491,이태원 관광특구,CS100006,패스트푸드점,225738,121398,104340,23482,21048,19980,23746,33142,56675,47665,40708,7712,36395,34925,66420,39578,149153,73718,4137,97812,68635,25390,18831,8070,37
2022,4,전통시장,2130324,길동복조리시장,CS100006,패스트푸드점,5539,3371,2168,715,560,489,691,916,1144,1024,,18,766,952,2978,825,3234,2279,99,1239,1023,1227,1255,669,3
2022,4,전통시장,2130323,둔촌역전통시장,CS100006,패스트푸드점,719,466,253,37,67,134,86,142,117,136,6,,12,74,479,148,435,259,6,63,155,173,179,118,*
2022,4,전통시장,2130318,로데오거리상점가,CS100006,패스트푸드점,4982,3292,1690,573,688,579,625,827,944,746,34,,1429,938,1539,1042,3233,1749,154,1411,1415,1012,633,357,6
2022,4,전통시장,2130317,마천중앙시장,CS100006,패스트푸드점,4115,2377,1738,440,545,407,570,415,869,869,,,260,635,2002,349,1718,1528,73,501,674,798,847,353,*
2022,4,전통시장,2130315,문정동 로데오거리 상점가(문정동 로데오거리),CS100006,패스트푸드점,38579,26711,11868,5454,5195,5296,4742,6024,6366,5502,759,2105,12513,7174,12953,3075,21235,15776,820,8674,10532,7703,5496,3783,6
