기준년코드,기준분기코드,상권구분코드명,상권코드,상권코드명,서비스업종코드,서비스업종코드명,분기당매출금액,주중매출금액,주말매출금액,월요일매출금액,화요일매출금액,수요일매출금액,목요일매출금액,금요일매출금액,토요일매출금액,일요일매출금액,시간대00~06매출금액,시간대06~11매출금액,시간대11~14매출금액,시간대14~17매출금액,시간대17~21매출금액,시간대21~24매출금액,남성매출금액,여성매출금액,연령대10매출금액,연령대20매출금액,연령대30매출금액,연령대40매출금액,연령대50매출금액,연령대60이상매출금액,점포수
2022,4,관광특구,1001496,강남 마이스 관광특구,CS100001,한식음식점,4000265033,3156323904,843941129,575367393,567350477,670017232,680250242,663338560,478301762,365639367,,124838758,1936379755,675156970,1144747843,119141707,1354219246,1390290050,35305440,571204379,778410483,626805689,473453551,259329753,39
2022,4,관광특구,1001495,잠실 관광특구,CS100001,한식음식점,32299432461,20335516302,11963916159,3385188576,3888394605,3924793863,4184170618,4952968640,6771110827,5192805332,1681233958,427083818,5572145285,3413807109,14061857511,7143304780,16144938360,10936263400,225537198,7320885180,7769705742,4643410595,3817723525,3303939532,251
2022,4,관광특구,1001494,종로?청계 관광특구,CS100001,한식음식점,47116455557,34190704679,12925750878,5442257919,6357394623,6928139976,7114446294,8348465867,8463543385,4462207493,1222560465,904949288,11518688915,5760082732,19897648008,7812526149,24366231741,13233846968,141699119,7620875392,9294677039,6815236017,6784569807,6943021314,464
2022,4,관광특구,1001493,동대문패션타운 관광특구,CS100001,한식음식점,11254402359,8921711585,2332690774,1612454378,1676139236,1749696515,1851415673,2032005783,1441325484,891365290,440879883,560606631,3871901220,1286960575,3682603365,1411450685,5119958813,4002155021,50694324,1533222215,2185563222,1874832997,1920929182,1556871887,160
2022,4,관광특구,1001492,명동 남대문 북창동 다동 무교동 관광특구,CS100001,한식음식점,84431294042,69778815710,14652478332,11051113772,14534281179,14705295974,15366485422,14121639363,9350329502,5302148830,469528639,1249161088,30641507186,7609462999,31830452906,12631181224,32613081252,19908622580,213121213,7737578765,13813971468,13122459836,10165385097,7469187449,602
2022,4,관광특구,1001491,이태원 관광특구,CS100001,한식음식점,8340425383,4891189586,3449235797,886676399,812785852,821552009,1046026110,1324149216,2116929110,1332306687,1233341837,290683672,1585031665,669027506,2782500373,1779840330,3944331582,2874793401,44168188,2457201655,2388703087,852042364,682253479,394756203,116
2022,4,전통시장,2130326,고덕 골목형상점가,CS100001,한식음식점,755793380,488602487,267190893,91115305,93943441,85821408,99162503,118559830,151025933,116164960,6421825,5535972,126130190,52915003,436513449,128276941,423893366,273883409,4918251,67155989,181557714,186997712,151938120,105208990,9
2022,4,전통시장,2130325,명일전통시장,CS100001,한식음식점,210479042,140417781,70061261,9240104,24297792,42049807,23515555,41314523,45832364,24228897,3246768,3844240,11837060,20441066,103648373,67461535,129287223,60059973,515360,17940244,38641934,37008377,57901568,37339713,6
2022,4,전통시장,2130324,길동복조리시장,CS100001,한식음식점,1171727701,722137602,449590099,108494506,158966097,128749111,142253513,183674375,259993692,189596407,,27428775,204193693,263571176,576271102,100262955,678343194,389695052,215042,68430266,118925563,200696074,336203091,343568208,13
2022,4,전통시장,2130323,둔촌역전통시장,CS100001,한식음식점,1725983507,1143901184,582082323,229928516,191473679,226692200,230262950,265543839,341417355,240664968,28662711,11696737,136307963,206322055,963531014,379463027,1047374289,513380725,2195341,114985342,304334668,342039860,433510680,363689121,43
2022,4,전통시장,2130322,고분다리전통시장,CS100001,한식음식점,587881746,389369024,198512722,75746931,71486621,78843316,66554015,96738141,109663993,88848729,19467343,2934330,81114412,67650874,284047257,132667530,367773689,196009963,855713,71095081,94896897,115177941,155735713,126022308,29
2022,4,전통시장,2130321,장신구 특화거리 상점가,CS100001,한식음식점,252657426,169932773,82724653,44783949,30063582,36875199,28699029,29511014,38707474,44017179,,,28702028,12096026,156979775,54879597,136480778,102485347,4684211,31297095,49341488,50396035,70704004,32543293,4
2022,4,전통시장,2130320,암사종합시장,CS100001,한식음식점,1850554122,1174733385,675820737,209161438,218395950,212362142,229446551,305367304,415286163,260534574,830925,57592432,363673355,388557307,927152236,112747867,1005628944,797069955,7213559,122359530,297419697,403082403,483123765,489499945,26
2022,4,전통시장,2130319,성내전통시장,CS100001,한식음식점,343357599,235762748,107594851,45067691,44138599,43059654,44741542,58755262,71755850,35839001,3012217,4693368,37645554,27608776,197554893,72842791,239285108,93291335,225054,29854953,62031498,52263211,95345919,92855809,18
2022,4,전통시장,2130318,로데오거리상점가,CS100001,한식음식점,4281704917,2712123831,1569581086,469979874,479017360,538604958,503918556,720603083,923222573,646358513,450910516,64184157,435654224,256979510,1761491204,1312485306,2607966864,1542941702,38985566,1341645697,1108231002,680204470,573299333,408542498,60
2022,4,전통시장,2130317,마천중앙시장,CS100001,한식음식점,1920688966,1158004512,762684454,216193693,193953652,224198630,238720535,284938002,441142603,321541851,16579460,34376291,274533738,370494524,973632378,251072575,1146653254,696615570,2815324,105829788,281222003,422841144,567210173,463350396,44
2022,4,전통시장,2130316,마천시장,CS100001,한식음식점,452999877,289242333,163757544,48842935,49295909,56081827,75403142,59618520,95603923,68153621,,14260011,68059541,64749336,258908493,47022496,293118938,159880939,337585,12705536,73959270,62792276,180880635,122324575,8
2022,4,전통시장,2130315,문정동 로데오거리 상점가(문정동 로데오거리),CS100001,한식음식점,664793388,503666714,161126674,89140700,101061249,84527857,113421669,115515239,92396809,68729865,32888302,1231998,214054933,65767833,232661207,118189115,351120702,205648708,3202942,92163664,128826912,125014018,106431105,101130766,30
2022,4,전통시장,2130314,풍납시장,CS100001,한식음식점,1443359131,955157729,488201402,147708737,171253315,212004269,193174249,231017159,306172547,182028855,27085511,37133152,232523709,185741286,700920186,259955287,867593103,455732449,2069463,121483458,225172874,257787963,355640048,361171752,30
2022,4,전통시장,2130313,방이시장,CS100001,한식음식점,3383098721,2154886334,1228212387,344551603,416097505,436991895,419279242,537966089,732849799,495362588,12047365,57326555,730223803,457989053,1583838301,541673644,1665492654,1086272598,6231511,359406411,598809213,623038356,642853236,521426530,46
2022,4,전통시장,2130312,석촌시장,CS100001,한식음식점,4048635123,2643919426,1404715697,359831739,612325873,526390029,506827055,638544730,841364694,563351003,215681144,210085733,828011802,397401351,1769391277,628063816,2275305388,1169833985,8753461,304477267,839372394,940263103,795028630,557244517,42
2022,4,전통시장,2130311,새마을시장,CS100001,한식음식점,6144656259,4079528481,2065127778,622692874,805815236,741368096,878929015,1030723260,1232368930,832758848,259718451,59106560,548436483,475404955,3109263514,1692726296,3223119567,2138257234,26505736,1074879438,1531328388,1171433740,910183526,647045968,75
2022,4,전통시장,2130310,강남개포시장,CS100001,한식음식점,2014468308,1516602963,497865345,254743197,295675824,325318206,286163629,354702107,286897260,210968085,12357516,19650635,525427832,200017604,996158498,260856223,1060041651,481431671,19968286,172456010,199457759,351783383,447723810,350084071,36
2022,4,전통시장,2130308,청담삼익시장,CS100001,한식음식점,900773993,736207965,164566028,166261885,93407839,175835544,146895191,153807506,82283014,82283014,,16788991,265164304,61186544,257060343,218290797,247332903,190777204,,21028636,17781611,183627468,33408395,182263999,8
2022,4,전통시장,2130307,도곡시장,CS100001,한식음식점,204158241,130310064,73848177,16340467,26094551,29819771,26076554,31978721,39849677,33998500,719850,552485,27978037,23437105,104663140,46807624,105310406,59274101,,7063525,22126379,60629218,51132721,23632664,3
2022,4,전통시장,2130306,강남언주로,CS100001,한식음식점,4402371203,3680233213,722137990,646356502,708519739,780427793,808715842,736213337,495095700,227042290,241329760,43085232,858904291,177537804,1953923158,1127590958,1981218589,950675021,1488615,541611030,1052002360,740242447,445105009,151444150,48
2022,4,전통시장,2130305,논현종합시장,CS100001,한식음식점,38122899,35702397,2420502,5759897,6768440,6365022,7799394,9009644,1210251,1210251,,,33887021,2487738,537889,,14881602,11990447,201708,7194268,10735372,5535776,2398090,806833,3
2022,4,전통시장,2130304,신사상가,CS100001,한식음식점,216418054,128033048,88385006,27119466,24990861,28504165,21536480,25882076,44192503,44192503,,3388092,99830866,64808306,4198287,,58263023,104608449,487229,9858298,32530774,64100613,40031144,15863413,4
2022,4,전통시장,2130303,영동전통시장,CS100001,한식음식점,7796250663,5894475372,1901775291,901126678,1113744043,1170765126,1224799152,1484040373,1233379714,668395577,859832966,323392060,810203463,342267258,3086195423,2374359493,4386757596,1961893120,27467202,1640531587,2345981626,1309786650,631445367,393438284,61
2022,4,전통시장,2130302,강남시장(강남구 강남시장),CS100001,한식음식점,3049883415,2178244230,871639185,342641883,421696958,450559540,477571574,485774275,500970257,370668928,401485391,94577591,562837112,168713459,1024025961,798243901,1488866394,894390431,12008294,734772653,865539400,376167338,268188731,126580411,18
2022,4,전통시장,2130301,양재시장,CS100001,한식음식점,1346110267,1167839772,178270495,199881857,254949261,237443589,230366284,245198781,133249455,45021040,3351062,3768878,418805076,60988465,654821266,204375520,625589437,245846823,792999,74601618,185826159,189384424,186670319,234160742,16
2022,4,전통시장,2130299,엔터식스 강남점,CS100001,한식음식점,9627768934,6595854150,3031914784,1214422583,1224305150,1279688328,1369649585,1507788504,1644559556,1387355228,26389614,207407717,3741290798,1672766118,3440191164,539723523,3745011708,4456296500,56075240,1241290170,1744042702,1785119114,1794726096,1580054888,43
2022,4,전통시장,2130298,강남터미널지하도상점가2구역,CS100001,한식음식점,121319961,94252296,27067665,13171576,12089387,13106936,25532455,30351942,14271004,12796661,,3994244,46851965,20645095,32591194,17237463,36788097,82300690,714547,6552173,12893847,24728608,51179049,23020563,*
2022,4,전통시장,2130296,남부종합시장,CS100001,한식음식점,126000000,100455895,25544105,8755316,24863523,20461948,21065567,25309541,20067500,5476605,2478171,,62256671,10618096,42557289,8089773,52814812,55179181,6005570,17451720,29152481,31812933,14473993,9097296,4
2022,4,전통시장,2130295,인헌시장(원당종합시장),CS100001,한식음식점,871158431,621117098,250041333,121688340,112323828,117795586,130069930,139239414,156989333,93052000,15006138,19603153,190359086,124095869,383548326,138545859,479094710,340039740,1118356,131359981,196738247,149932641,164922328,175062899,31
2022,4,전통시장,2130294,관악중부시장,CS100001,한식음식점,1679083611,1082477246,596606365,207528591,199982353,219893378,230914829,224158095,297445083,299161282,1454804,33177183,504510741,262905937,733306359,143728587,836702678,726200293,2469903,93694501,184202522,272634996,392007821,617893228,21
2022,4,전통시장,2130293,봉천중앙시장,CS100001,한식음식점,822649696,610533781,212115915,109633284,113099477,119693100,135092979,133014941,149288106,62827809,,7752217,165688501,157351165,385615714,106242099,558805047,263844649,2192651,108279226,140076103,112818103,181539438,277744175,11
2022,4,전통시장,2130292,봉천현대시장,CS100001,한식음식점,496492348,294077464,202414884,44526355,37487919,65775606,67388672,78898912,134652616,67762268,374462,259243,65689192,62259124,268352532,99557795,297752212,152847861,1081617,22107632,86923176,133397034,117630318,89460297,3
2022,4,전통시장,2130291,봉천제일종합시장,CS100001,한식음식점,38867061,28788988,10078073,4305410,3749340,4178780,8748461,7806997,7352781,2725292,,660677,7713401,8159357,14433033,7900593,15792926,16252647,187192,6336991,7328005,3892487,7267444,7033454,*
2022,4,전통시장,2130290,영림시장,CS100001,한식음식점,2050307956,1378479005,671828951,239975183,248627197,268203952,286263160,335409513,385735579,286093372,107571734,50229478,283706125,240334989,856417467,512048163,1261119202,718604689,4478568,429116650,444316968,295038601,410043825,396729275,51
