기준년코드,기준분기코드,상권구분코드명,상권코드,상권코드명,서비스업종코드,서비스업종코드명,분기당매출건수,주중매출건수,주말매출건수,월요일매출건수,화요일매출건수,수요일매출건수,목요일매출건수,금요일매출건수,토요일매출건수,일요일매출건수,시간대00~06매출건수,시간대06~11매출건수,시간대11~14매출건수,시간대14~17매출건수,시간대17~21매출건수,시간대21~24매출건수,남성매출건수,여성매출건수,연령대10매출건수,연령대20매출건수,연령대30매출건수,연령대40매출건수,연령대50매출건수,연령대60이상매출건수,점포수
2022,4,관광특구,1001496,강남 마이스 관광특구,CS100001,한식음식점,228056,178368,49688,31552,34448,37434,38639,36295,26990,22698,,25468,121670,38322,41947,649,82120,115895,2278,47363,62203,40634,33754,11784,39
2022,4,관광특구,1001495,잠실 관광특구,CS100001,한식음식점,593600,387821,205779,68913,72802,77290,77925,90891,113267,92512,25729,14660,169169,72053,215870,96119,308033,228271,6745,155123,144116,91639,76395,62289,251
2022,4,관광특구,1001494,종로?청계 관광특구,CS100001,한식음식점,1187062,870656,316406,155826,172192,172808,175415,194415,199218,117188,22642,27715,462695,188160,369056,116794,653368,406853,5143,205866,245228,202161,198172,203634,464
2022,4,관광특구,1001493,동대문패션타운 관광특구,CS100001,한식음식점,371889,299527,72362,56382,58837,60281,61747,62280,42896,29466,13974,18979,169705,52355,89077,27799,180420,151719,2185,58067,81968,66053,72562,51307,160
2022,4,관광특구,1001492,명동 남대문 북창동 다동 무교동 관광특구,CS100001,한식음식점,1695228,1411906,283322,247967,287982,293736,295179,287042,180217,103105,8247,45762,948086,172219,403187,117727,800722,545149,6920,217956,351929,327403,252345,189334,602
2022,4,관광특구,1001491,이태원 관광특구,CS100001,한식음식점,203427,120793,82634,23467,21489,21651,22852,31334,51154,31480,34117,7734,58325,23957,51052,28242,106397,77917,1393,65175,62511,22571,19770,12893,116
2022,4,전통시장,2130326,고덕 골목형상점가,CS100001,한식음식점,24798,16706,8092,3233,3291,3003,3272,3907,4508,3584,176,462,6487,3011,12433,2229,14541,9213,209,2144,5012,6006,6101,4282,9
2022,4,전통시장,2130325,명일전통시장,CS100001,한식음식점,7184,4948,2236,434,758,1499,892,1365,1529,707,78,72,635,974,3704,1721,4143,2649,26,546,1335,1532,2042,1313,6
2022,4,전통시장,2130324,길동복조리시장,CS100001,한식음식점,45638,28909,16729,4955,5480,5473,5978,7023,9185,7544,,1831,11149,13289,18308,1061,24567,19565,21,1832,4187,8179,14702,15209,13
2022,4,전통시장,2130323,둔촌역전통시장,CS100001,한식음식점,54953,36781,18172,7434,6011,7222,7575,8539,10188,7984,339,958,8736,10214,27837,6869,31504,21271,135,3601,8161,11719,15614,13545,43
2022,4,전통시장,2130322,고분다리전통시장,CS100001,한식음식점,17944,12476,5468,2360,2287,2652,2329,2848,2985,2483,320,166,3993,2625,7953,2887,10946,6331,31,1753,2833,3727,4757,4176,29
2022,4,전통시장,2130321,장신구 특화거리 상점가,CS100001,한식음식점,6382,4581,1801,964,838,985,902,892,857,944,,,1646,396,3200,1140,3261,2764,75,761,1263,1261,1711,955,4
2022,4,전통시장,2130320,암사종합시장,CS100001,한식음식점,96134,65287,30847,11846,12436,11947,13286,15772,20039,10808,43,3893,20397,21894,46654,3253,49442,45571,413,6578,15345,21067,26530,25078,26
2022,4,전통시장,2130319,성내전통시장,CS100001,한식음식점,9268,6584,2684,1142,1335,1166,1323,1618,1807,877,80,274,1704,1243,4867,1100,6131,2957,9,630,1187,1501,2838,2924,18
2022,4,전통시장,2130318,로데오거리상점가,CS100001,한식음식점,103834,67449,36385,12043,12147,13215,13217,16827,20313,16072,8996,2997,19135,10415,38827,23464,60651,40994,1157,31261,25235,17338,15154,11502,60
2022,4,전통시장,2130317,마천중앙시장,CS100001,한식음식점,59395,36802,22593,7190,6268,7140,7297,8907,12951,9642,313,1440,10981,12877,28258,5526,34007,24435,113,3164,7956,13476,18369,15364,44
2022,4,전통시장,2130316,마천시장,CS100001,한식음식점,14653,9442,5211,1899,1585,1846,1864,2248,2701,2510,,750,3554,3241,6237,871,8307,6346,34,462,1779,2704,4961,4713,8
2022,4,전통시장,2130315,문정동 로데오거리 상점가(문정동 로데오거리),CS100001,한식음식점,23490,19015,4475,3610,4078,3518,4018,3791,2663,1812,653,67,11128,2824,6794,2024,12757,8022,222,3817,4743,4360,3961,3671,30
2022,4,전통시장,2130314,풍납시장,CS100001,한식음식점,33925,24299,9626,4065,4535,5523,4688,5488,5958,3668,374,1294,9116,5127,14739,3275,19197,13113,42,2481,5229,6718,8674,9165,30
