기준년코드,기준분기코드,상권구분코드명,상권코드,상권코드명,서비스업종코드,서비스업종코드명,분기당매출금액,주중매출금액,주말매출금액,월요일매출금액,화요일매출금액,수요일매출금액,목요일매출금액,금요일매출금액,토요일매출금액,일요일매출금액,시간대00~06매출금액,시간대06~11매출금액,시간대11~14매출금액,시간대14~17매출금액,시간대17~21매출금액,시간대21~24매출금액,남성매출금액,여성매출금액,연령대10매출금액,연령대20매출금액,연령대30매출금액,연령대40매출금액,연령대50매출금액,연령대60이상매출금액,점포수
2022,4,관광특구,1001495,잠실 관광특구,CS100009,호프-간이주점,6259329450,3804120772,2455208678,678858762,664808178,735005647,733834998,991613187,1439194965,1016013713,2068561932,86294467,11971033,27222011,1125314111,2939965896,3445519140,2478501354,108364586,2799803807,1659874595,673670151,493257645,189049710,53
2022,4,관광특구,1001494,종로?청계 관광특구,CS100009,호프-간이주점,7031312800,4936895001,2094417799,709125524,940809928,958564243,1049559304,1278836002,1483053978,611363821,981662179,24134266,44174293,93032303,1848430508,4039879251,4043160776,1942526194,30352480,1909401157,1868916564,978035547,783549344,415431872,82
2022,4,관광특구,1001493,동대문패션타운 관광특구,CS100009,호프-간이주점,1026380263,723394242,302986021,124024911,136965203,151167590,145754082,165482456,175956655,127029366,186846091,43249643,127495367,55478048,262097598,351213516,576329690,375208347,9415101,283685251,290515810,169647528,128360024,69914325,21
2022,4,관광특구,1001492,명동 남대문 북창동 다동 무교동 관광특구,CS100009,호프-간이주점,7261769762,6145442935,1116326827,896109124,1291788472,1298022281,1354983628,1304539430,791932230,324394597,488226696,4960046,715019537,173534636,1948064553,3931964294,3350024513,1628248277,19991528,969268284,1324443668,1280600689,905647477,478321137,61
2022,4,관광특구,1001491,이태원 관광특구,CS100009,호프-간이주점,5061467806,1396699351,3664768455,360622510,156152380,185082286,206791285,488050890,1862987943,1801780512,3125212001,75239544,22952936,33762720,451747122,1352553483,3692843342,1313276244,25888932,2111502700,2168408423,397875382,233881125,68563020,66
2022,4,전통시장,2130326,고덕 골목형상점가,CS100009,호프-간이주점,125012666,77135243,47877423,15186919,17274268,12092752,15219678,17361626,27817477,20059946,34226396,,,480478,27495886,62809906,81970369,40143597,935708,21192561,30897651,38440325,20394462,10253259,*
2022,4,전통시장,2130323,둔촌역전통시장,CS100009,호프-간이주점,39036444,33075364,5961080,10644462,9807484,3033898,3349159,6240361,3852653,2108427,2173310,,3096059,1564675,18838745,13363655,31996146,1089594,,573345,2164656,5431393,12945740,11970606,4
2022,4,전통시장,2130322,고분다리전통시장,CS100009,호프-간이주점,114942599,77712203,37230396,18519717,11493389,12764711,16972513,17961873,19232477,17997919,29987041,288803,155759,5852729,26368148,52290119,74089119,37745038,434204,12693956,29558195,18280082,28997596,21870122,5
2022,4,전통시장,2130320,암사종합시장,CS100009,호프-간이주점,14019257,8119487,5899770,1263857,3053437,1181548,923996,1696649,3353470,2546300,3725193,,,,1253237,9040827,7055621,6793705,,1440844,6487277,4940614,858454,122137,3
2022,4,전통시장,2130319,성내전통시장,CS100009,호프-간이주점,104693749,50917419,53776330,9294927,10952695,5947512,9782057,14940228,36721059,17055271,,1963801,7097738,7644797,65065738,22921675,68330833,34146626,,9845046,10592557,25243870,29927221,26868766,*
