기준년코드,기준분기코드,상권구분코드명,상권코드,상권코드명,서비스업종코드,서비스업종코드명,분기당매출건수,주중매출건수,주말매출건수,월요일매출건수,화요일매출건수,수요일매출건수,목요일매출건수,금요일매출건수,토요일매출건수,일요일매출건수,시간대00~06매출건수,시간대06~11매출건수,시간대11~14매출건수,시간대14~17매출건수,시간대17~21매출건수,시간대21~24매출건수,남성매출건수,여성매출건수,연령대10매출건수,연령대20매출건수,연령대30매출건수,연령대40매출건수,연령대50매출건수,연령대60이상매출건수,점포수
2022,4,관광특구,1001495,잠실 관광특구,CS100009,호프-간이주점,120525,72327,48198,13871,12590,13983,13847,18036,28038,20160,38854,1946,340,688,23855,54842,65106,52623,2337,58903,31914,12370,9236,2968,53
2022,4,관광특구,1001494,종로?청계 관광특구,CS100009,호프-간이주점,125660,87638,38022,13234,16287,17265,18091,22761,26014,12008,17546,358,2100,2698,34588,68370,75017,38104,554,36189,33131,18281,15706,9261,82
2022,4,관광특구,1001493,동대문패션타운 관광특구,CS100009,호프-간이주점,31791,23059,8732,4183,4528,4802,4612,4934,4940,3792,5088,1703,6276,2513,8141,8070,17809,11773,311,8803,9095,5182,4064,2123,21
2022,4,관광특구,1001492,명동 남대문 북창동 다동 무교동 관광특구,CS100009,호프-간이주점,131920,113505,18415,17084,23699,23683,25192,23847,12030,6385,5953,309,35253,3908,29100,57397,69965,37088,570,23319,29888,25206,19182,8891,61
2022,4,관광특구,1001491,이태원 관광특구,CS100009,호프-간이주점,139807,36947,102860,10534,3860,3896,5592,13065,51410,51450,86428,2437,1749,2250,12189,34754,104419,34883,840,59362,61096,10275,5920,1807,66
2022,4,전통시장,2130326,고덕 골목형상점가,CS100009,호프-간이주점,3036,1919,1117,388,400,311,361,459,682,435,737,,,15,698,1586,1946,1046,16,498,801,968,474,234,*
2022,4,전통시장,2130323,둔촌역전통시장,CS100009,호프-간이주점,810,707,103,168,205,104,95,135,58,45,29,,62,36,417,266,726,36,,11,44,100,294,314,4
2022,4,전통시장,2130322,고분다리전통시장,CS100009,호프-간이주점,2980,2006,974,402,308,416,401,479,459,515,746,13,13,134,647,1427,1976,961,6,330,630,550,680,738,5
2022,4,전통시장,2130320,암사종합시장,CS100009,호프-간이주점,281,155,126,21,37,32,27,38,79,47,47,,,,32,202,126,151,,31,114,94,32,5,3
2022,4,전통시장,2130319,성내전통시장,CS100009,호프-간이주점,4186,1917,2269,406,265,252,321,673,1374,895,,14,323,407,2743,699,2567,1605,,267,619,1181,1095,1009,*
2022,4,전통시장,2130318,로데오거리상점가,CS100009,호프-간이주점,84681,50138,34543,9409,8808,9152,9502,13267,19537,15006,24270,343,2219,1552,19115,37182,51514,33167,1161,39768,26107,9220,6516,1909,45
2022,4,전통시장,2130317,마천중앙시장,CS100009,호프-간이주점,976,661,315,122,159,120,130,130,194,121,148,,57,84,408,279,646,330,,178,179,179,271,169,*
2022,4,전통시장,2130315,문정동 로데오거리 상점가(문정동 로데오거리),CS100009,호프-간이주점,1417,958,459,206,196,139,175,242,275,184,466,,,,224,727,819,580,4,513,399,280,181,22,5
2022,4,전통시장,2130314,풍납시장,CS100009,호프-간이주점,5150,3520,1630,693,653,590,793,791,1226,404,527,,12,107,2262,2242,3405,1664,20,408,726,1590,1279,1044,11
2022,4,전통시장,2130313,방이시장,CS100009,호프-간이주점,850,641,209,94,137,132,104,174,154,55,245,,,16,207,382,489,336,,71,161,146,263,182,9
2022,4,전통시장,2130312,석촌시장,CS100009,호프-간이주점,1240,786,454,195,92,130,115,254,231,223,32,39,146,238,639,146,759,443,,62,225,225,318,372,4
2022,4,전통시장,2130311,새마을시장,CS100009,호프-간이주점,36704,24477,12227,3337,4030,4676,4921,7513,8565,3662,3033,,351,1636,14896,16788,20487,13585,287,8636,11209,6832,4435,2668,19
2022,4,전통시장,2130310,강남개포시장,CS100009,호프-간이주점,12539,8627,3912,1369,1684,1524,1715,2335,2408,1504,2458,6,13,87,3587,6388,7761,3459,313,2169,2182,2152,3091,1312,9
2022,4,전통시장,2130306,강남언주로,CS100009,호프-간이주점,336,230,106,25,45,39,64,57,53,53,155,,,,33,95,188,20,,,44,159,7,,5
2022,4,전통시장,2130303,영동전통시장,CS100009,호프-간이주점,7870,5628,2242,1002,1094,898,1270,1364,1436,806,2314,,,,1621,3935,4470,3069,31,2860,3100,1003,389,157,8
