,Unnamed: 0,기준년코드,기준분기코드,상권구분코드명,상권코드,상권코드명,서비스업종코드,서비스업종코드명,분기당매출금액,주중매출금액,주말매출금액,월요일매출금액,화요일매출금액,수요일매출금액,목요일매출금액,금요일매출금액,토요일매출금액,일요일매출금액,시간대00~06매출금액,시간대06~11매출금액,시간대11~14매출금액,시간대14~17매출금액,시간대17~21매출금액,시간대21~24매출금액,남성매출금액,여성매출금액,연령대10매출금액,연령대20매출금액,연령대30매출금액,연령대40매출금액,연령대50매출금액,연령대60이상매출금액,점포수
0,,2022,4,관광특구,1001496,강남 마이스 관광특구,CS100004,양식음식점,3265100727,2153278843.0,1106711169.0,357351328.0,379009958.0,430472397.0,460056198.0,526388962.0,589276333.0,517434836.0,5110715.0,21111512.0,1144825037.0,631527550.0,1273604908.0,188921005.0,1114220878.0,1463366693.0,28181177.0,607074829.0,878335673.0,647691801.0,291874297.0,124429791.0,36
1,1.0,2022,4,관광특구,1001495,잠실 관광특구,CS100004,양식음식점,4175524807,2236840528.0,1938684279.0,308399849.0,396997629.0,414900099.0,474312254.0,642230697.0,1105666182.0,833018097.0,86154973.0,28941889.0,1070037568.0,784866695.0,1648795437.0,556728245.0,1812869414.0,1855464959.0,38157569.0,850235779.0,984836455.0,735322590.0,558471038.0,501310941.0,78
2,2.0,2022,4,관광특구,1001494,종로?청계 관광특구,CS100004,양식음식점,2333394066,1786458660.0,546935406.0,250736604.0,356353616.0,356394205.0,389830664.0,433143571.0,369460547.0,177474859.0,23287542.0,5211477.0,898047354.0,222036749.0,868584791.0,316226153.0,921735944.0,836441044.0,15718171.0,453673657.0,553860173.0,360778262.0,258674489.0,115472247.0,45
3,3.0,2022,4,관광특구,1001493,동대문패션타운 관광특구,CS100004,양식음식점,2141814573,1179879452.0,961935121.0,235166911.0,185878679.0,233669158.0,229745910.0,295418794.0,508394233.0,453540888.0,1346525.0,14094556.0,545435467.0,477192773.0,935445730.0,168299522.0,1114555975.0,811927486.0,16175717.0,518645285.0,615614753.0,369676636.0,303465660.0,102905418.0,45
4,4.0,2022,4,관광특구,1001492,명동 남대문 북창동 다동 무교동 관광특구,CS100004,양식음식점,7335188527,5416564945.0,1918623582.0,866043648.0,1017358021.0,1108963409.0,1130974033.0,1293225834.0,1126462842.0,792160740.0,110960047.0,39539666.0,2750309366.0,883815542.0,2668722561.0,881841345.0,2452343815.0,2472505848.0,36025318.0,932657976.0,1509467790.0,1201990230.0,777260832.0,467447522.0,83
5,5.0,2022,4,관광특구,1001491,이태원 관광특구,CS100004,양식음식점,16173481278,7932518853.0,8240962425.0,1236444029.0,1144961444.0,1426690587.0,1647614650.0,2476808143.0,5103341990.0,3137620435.0,1816845464.0,156535147.0,1691122131.0,2375781008.0,6005308276.0,4127889252.0,7824852549.0,6303573420.0,137871120.0,5465467964.0,4703515848.0,1825785706.0,1238653946.0,757131376.0,221
6,6.0,2022,4,전통시장,2130318,로데오거리상점가,CS100004,양식음식점,4097818299,2378176120.0,1719642179.0,405976003.0,394996994.0,443528230.0,465441560.0,668233333.0,941427266.0,778214913.0,324069508.0,0.0,660533236.0,570896068.0,1564654617.0,977664870.0,1761829324.0,2151664454.0,92199286.0,1566562892.0,906467937.0,689173947.0,496171006.0,162918707.0,8
7,7.0,2022,4,전통시장,2130312,석촌시장,CS100004,양식음식점,58345816,27760661.0,20557898.0,6686887.0,8289571.0,3912684.0,945346.0,7926173.0,13249252.0,7308646.0,1906789.0,10027257.0,7927866.0,5471320.0,21778547.0,11234037.0,24029252.0,16231837.0,0.0,4064313.0,15359340.0,8905401.0,7485688.0,4446347.0,*
8,8.0,2022,4,전통시장,2130311,새마을시장,CS100004,양식음식점,12117836,8440351.0,3559649.0,2568663.0,1043707.0,1326715.0,1789715.0,1711551.0,2075653.0,1483996.0,0.0,418981.0,2426413.0,3388806.0,5765800.0,117836.0,5829377.0,6170623.0,157784.0,2190199.0,2697108.0,3807683.0,2150825.0,996401.0,5
9,9.0,2022,4,전통시장,2130310,강남개포시장,CS100004,양식음식점,44163314,33631322.0,10417827.0,6658588.0,6904271.0,7718042.0,6114703.0,6235718.0,10417827.0,0.0,0.0,0.0,15810091.0,8860611.0,19378447.0,114165.0,21104630.0,20367577.0,2280112.0,6422950.0,7317093.0,12238081.0,10022359.0,3191609.0,*
10,10.0,2022,4,전통시장,2130306,강남언주로,CS100004,양식음식점,396922386,307883937.0,89038449.0,45202306.0,76238313.0,60996306.0,52786774.0,72660238.0,51069621.0,37968828.0,11494229.0,0.0,155701743.0,32270852.0,130168145.0,67287417.0,168148869.0,117403145.0,1868297.0,64752309.0,109396418.0,47984441.0,45699692.0,15850858.0,8
11,11.0,2022,4,전통시장,2130303,영동전통시장,CS100004,양식음식점,171114784,144677942.0,26436842.0,29264383.0,31349766.0,24795635.0,28277029.0,30991129.0,26436842.0,0.0,0.0,290690.0,85874814.0,14200857.0,70059672.0,688751.0,62745840.0,72895259.0,149988.0,36726290.0,50873602.0,29003892.0,16276764.0,2610565.0,5
12,12.0,2022,4,전통시장,2130299,엔터식스 강남점,CS100004,양식음식점,2898751724,1838031571.0,1060720153.0,360645388.0,342712246.0,321860696.0,364977158.0,447836083.0,574143721.0,486576432.0,0.0,42443495.0,800228339.0,577502413.0,1147130733.0,331446744.0,1249670214.0,1249843964.0,18672032.0,650899843.0,812739638.0,485224077.0,359970353.0,172008236.0,13
13,13.0,2022,4,전통시장,2130291,봉천제일종합시장,CS100004,양식음식점,82258236,46491074.0,35128043.0,2681745.0,11685147.0,11587489.0,9189002.0,11347691.0,18720572.0,16407471.0,0.0,326206.0,34888246.0,8568801.0,35154119.0,639119.0,37887329.0,41050043.0,139917.0,25629310.0,22162600.0,12388252.0,13150585.0,5466708.0,*
14,14.0,2022,4,전통시장,2130290,영림시장,CS100004,양식음식점,361710095,235379833.0,126330262.0,47822213.0,54098450.0,53758498.0,49865486.0,29835186.0,70839600.0,55490662.0,0.0,292726.0,130196492.0,84726608.0,142885722.0,3608547.0,221180642.0,129797542.0,4136550.0,113676230.0,116352277.0,46178335.0,42375108.0,28259685.0,5
15,15.0,2022,4,전통시장,2130285,서원동상점가,CS100004,양식음식점,174011860,105516388.0,68495472.0,15897693.0,36912906.0,12607672.0,15175646.0,24922471.0,26903052.0,41592420.0,70073315.0,130822.0,19204078.0,20021556.0,39354886.0,25227203.0,126202423.0,42272609.0,1167535.0,32604676.0,32772611.0,84143378.0,14808828.0,2978005.0,5
16,16.0,2022,4,전통시장,2130273,남성사계시장(남성시장),CS100004,양식음식점,33938859,19500753.0,14438106.0,3122269.0,3144123.0,4233593.0,4948829.0,4051939.0,8549137.0,5888969.0,0.0,0.0,8617427.0,6376568.0,17117394.0,1827470.0,18750006.0,11710559.0,616896.0,6241807.0,6297350.0,7069951.0,8366116.0,1868445.0,3
17,17.0,2022,4,전통시장,2130270,흑석시장,CS100004,양식음식점,57532823,39227298.0,18305525.0,6547227.0,7952659.0,8263986.0,8471783.0,7991643.0,8011381.0,10294144.0,0.0,1268202.0,18646016.0,13162648.0,14102597.0,59216.0,22822527.0,24416152.0,215102.0,4184006.0,5903835.0,11997996.0,15450888.0,9486852.0,*
18,18.0,2022,4,전통시장,2130266,만양로상점가,CS100004,양식음식점,342404862,198776840.0,143628022.0,9788657.0,40454311.0,43053193.0,48627525.0,56853154.0,59957106.0,83670916.0,0.0,2905020.0,107394354.0,46472756.0,117118445.0,68514287.0,197474229.0,120863167.0,4852146.0,55475568.0,87225522.0,74285189.0,61548302.0,34950668.0,3
19,19.0,2022,4,전통시장,2130241,선유도역 골목형상점가,CS100004,양식음식점,274792752,271399700.0,3393052.0,48151458.0,58345415.0,50067061.0,62991606.0,51844160.0,176837.0,3216215.0,176837.0,106347.0,255252328.0,4643972.0,11702644.0,2910624.0,129123575.0,68824987.0,4572080.0,63353934.0,67991345.0,41258163.0,17628949.0,3144091.0,8
20,20.0,2022,4,전통시장,2130213,방신전통시장,CS100004,양식음식점,2809390,2316748.0,492642.0,434057.0,524597.0,553889.0,452698.0,351507.0,306237.0,186405.0,0.0,15978.0,673721.0,969304.0,828172.0,322215.0,1456622.0,1299510.0,0.0,138473.0,380799.0,218360.0,788226.0,1230274.0,*
21,21.0,2022,4,전통시장,2130210,목2동시장,CS100004,양식음식점,72186858,50449769.0,21712000.0,3080209.0,7715576.0,13734721.0,8420357.0,17498906.0,15429222.0,6282778.0,1856617.0,25089.0,8731504.0,4914439.0,41329959.0,15329250.0,35166103.0,35102380.0,362062.0,21795341.0,31324496.0,11681848.0,3762286.0,1342450.0,*
22,22.0,2022,4,전통시장,2130194,용강동 상점가,CS100004,양식음식점,78203564,55603405.0,22600159.0,1842658.0,13694668.0,21669892.0,5788273.0,12607914.0,16320379.0,6279780.0,9927320.0,0.0,5129253.0,870436.0,40318713.0,21957842.0,47614687.0,17444706.0,0.0,7286670.0,23422254.0,16846922.0,15110490.0,2393057.0,3
