기준년코드,기준분기코드,상권구분코드명,상권코드,상권코드명,서비스업종코드,서비스업종코드명,분기당매출금액,주중매출금액,주말매출금액,월요일매출금액,화요일매출금액,수요일매출금액,목요일매출금액,금요일매출금액,토요일매출금액,일요일매출금액,시간대00~06매출금액,시간대06~11매출금액,시간대11~14매출금액,시간대14~17매출금액,시간대17~21매출금액,시간대21~24매출금액,남성매출금액,여성매출금액,연령대10매출금액,연령대20매출금액,연령대30매출금액,연령대40매출금액,연령대50매출금액,연령대60이상매출금액,점포수
2022,4,관광특구,1001496,강남 마이스 관광특구,CS100002,중식음식점,8631791558,5704695316,2927096242,1028211485,1042502229,1117026749,1160979358,1355975495,1601564617,1325531625,,6545754,2999734743,1840944418,3574549788,210016855,2998485622,3955518876,57079332,1668867636,2216607965,1495309983,948277612,567861969,11
2022,4,관광특구,1001495,잠실 관광특구,CS100002,중식음식점,716923182,448720186,268202996,83545041,82348323,92096317,83239478,107491027,149194667,119008329,3224167,2028056,218018260,114822128,340409952,38420619,391404925,249059843,4609314,159850219,241468791,139995557,55116664,39424225,22
2022,4,관광특구,1001494,종로?청계 관광특구,CS100002,중식음식점,4088047021,3167084482,920962539,506921024,607124820,663981492,650029031,739028115,590086337,330876202,142165369,50042850,1021303441,316556415,1736398182,821580764,2114282678,1120978704,21308594,870658757,932621119,587249731,453586013,369837167,42
2022,4,관광특구,1001493,동대문패션타운 관광특구,CS100002,중식음식점,930722764,763251839,167470925,128294845,152904368,151468512,162456735,168127379,113141903,54329022,120153865,82234389,301686264,105362652,225931811,95353783,447961040,357940928,8414510,237746487,239135564,166815513,113994116,39795775,27
2022,4,관광특구,1001492,명동 남대문 북창동 다동 무교동 관광특구,CS100002,중식음식점,8877486602,7419683757,1457802845,1249813065,1410637385,1512242958,1629966003,1617024346,909388207,548414638,27200942,12394995,3588111860,848070149,3413767887,987940769,3377951894,2192666799,25561991,955477739,1595091663,1374960280,919418763,700108260,81
2022,4,관광특구,1001491,이태원 관광특구,CS100002,중식음식점,2014870478,1355558436,659312042,205233565,234701575,287695809,235334978,392592509,481075003,178237039,74386422,,520491081,184684423,908171725,327136827,1033559322,679608184,10738046,600827217,547836992,261526163,221718207,70520879,15
2022,4,전통시장,2130321,장신구 특화거리 상점가,CS100002,중식음식점,47793284,29738043,18055241,6523334,4561690,2658084,6569763,9425172,8038093,10017148,,127681,21496820,8670695,16598518,899570,24555359,17997203,632601,3673728,10133220,13191759,10603319,4317936,*
2022,4,전통시장,2130315,문정동 로데오거리 상점가(문정동 로데오거리),CS100002,중식음식점,33564764,24883654,8681110,4098009,3749350,4709426,5760457,6566412,4340555,4340555,,,14992344,2491145,11740720,,18804857,5583601,,4866070,5752877,4623525,4951971,4194017,*
2022,4,전통시장,2130314,풍납시장,CS100002,중식음식점,45574830,31326432,14248398,3901555,3434545,9307101,9307101,5376130,6614441,7633957,,,11822337,8115675,12442871,3886846,24136505,4181026,,4176429,4942215,9972683,2353436,6872767,4
2022,4,전통시장,2130313,방이시장,CS100002,중식음식점,253068012,194343582,58724430,35793916,38447947,40856594,37633656,41611469,44957042,13767388,,12617953,93717027,38531830,95305577,12895625,119598618,81034506,200182,21199962,43477048,49341684,45170204,41244044,*
2022,4,전통시장,2130312,석촌시장,CS100002,중식음식점,427886396,254377430,173508966,47427195,33828697,52943876,55102379,65075283,97649432,75859534,37339096,30219128,133092708,56956283,141319593,28959588,219668848,119189082,5384439,28129138,71347281,94140137,91656438,48200498,4
2022,4,전통시장,2130311,새마을시장,CS100002,중식음식점,175942872,113036421,62906451,23166195,23614452,16072254,25402827,24780693,38738036,24168415,393432,1491326,46965591,24171207,77472871,25448445,98766663,64810260,790347,28384510,44247756,34414518,28740133,26999658,4
2022,4,전통시장,2130310,강남개포시장,CS100002,중식음식점,87647984,59222802,28425182,1097576,15015795,13610443,15829873,13669115,14207786,14217396,,293361,52435534,12060181,22858908,,51269424,18316614,2496100,8764419,9812427,16595141,18590249,13327703,*
2022,4,전통시장,2130306,강남언주로,CS100002,중식음식점,172054213,142665309,29388904,27325369,24084845,31695814,23661562,35897719,14694452,14694452,,309323,83561098,18267103,47655226,7567011,67696084,30455266,117217,14518634,22035175,28675834,20871145,11933347,3
2022,4,전통시장,2130303,영동전통시장,CS100002,중식음식점,200831338,153965003,46866335,15596524,26266719,27494497,33842384,50764879,37271784,9594551,38912851,,352520,643317,66825158,94097492,125939074,51827613,1391825,46558326,81428408,35947943,6858976,5581210,4
2022,4,전통시장,2130302,강남시장(강남구 강남시장),CS100002,중식음식점,59653306,51217841,8435465,8557648,11822359,13668778,6656491,10512565,5512865,2922600,,,33639230,10370833,14489842,1153401,38444415,9112844,,10007219,10414819,14806539,9352322,2976361,*
2022,4,전통시장,2130299,엔터식스 강남점,CS100002,중식음식점,2039768096,1335319681,704448415,239883395,239088262,290361367,254006091,311980566,394040701,310407714,,3260614,650540115,411000666,784269780,190696921,722529838,986760552,23517439,341220154,499722656,366967597,272132211,205730334,9
2022,4,전통시장,2130295,인헌시장(원당종합시장),CS100002,중식음식점,51062879,31443230,19619649,6371880,5951419,4595181,6242408,8282342,12263354,7356295,,712454,27214431,7482191,15653803,,22665030,13412721,,3642097,5849701,8289066,10162332,8134558,*
2022,4,전통시장,2130290,영림시장,CS100002,중식음식점,71185008,40089615,31095393,6885553,6542948,9371522,7759410,9530182,15417777,15677616,,572359,13342010,10542544,33943103,12784992,41403030,28273039,,12930759,8798936,19699108,16725049,11522218,10
2022,4,전통시장,2130285,서원동상점가,CS100002,중식음식점,387642250,237893891,149748359,54230940,50434629,16097575,53859979,63270768,79050857,70697502,23587244,91733,94329627,48835777,151915905,68881964,231757887,154762633,11423204,132381238,104845243,62761719,49470708,25638408,6
2022,4,전통시장,2130279,관악신사시장,CS100002,중식음식점,2903509,1585781,1317728,209768,97132,486079,109575,683227,318697,999031,421926,,15314,183767,1990716,291786,1780043,1123466,,79145,466555,1436965,628966,291878,*
2022,4,전통시장,2130278,미성동 도깨비시장 골목형상점가,CS100002,중식음식점,15000000,9092529,5907471,611906,1561423,2162376,2338390,2418434,2880819,3026652,,235639,6482373,3117769,5164219,,8217915,6782085,188658,1550686,3075927,3198048,3858585,3128096,*
2022,4,전통시장,2130277,조원동 펭귄시장(신림중앙시장),CS100002,중식음식점,45981080,29606236,16374844,5168927,6247550,6865467,5024250,6300042,11232223,5142621,,210440,27567730,10837649,7365261,,24097888,13728650,,1288944,6920027,15432958,6458584,7726025,*
