기준년코드,기준분기코드,상권구분코드명,상권코드,상권코드명,서비스업종코드,서비스업종코드명,분기당매출건수,주중매출건수,주말매출건수,월요일매출건수,화요일매출건수,수요일매출건수,목요일매출건수,금요일매출건수,토요일매출건수,일요일매출건수,시간대00~06매출건수,시간대06~11매출건수,시간대11~14매출건수,시간대14~17매출건수,시간대17~21매출건수,시간대21~24매출건수,남성매출건수,여성매출건수,연령대10매출건수,연령대20매출건수,연령대30매출건수,연령대40매출건수,연령대50매출건수,연령대60이상매출건수,점포수
2022,4,관광특구,1001496,강남 마이스 관광특구,CS100002,중식음식점,164049,110128,53921,21399,20445,21318,21918,25048,29084,24837,,208,54813,38131,68259,2638,56150,84820,1571,37044,45148,28570,18675,9960,11
2022,4,관광특구,1001495,잠실 관광특구,CS100002,중식음식점,22806,15278,7528,2975,2940,3325,2811,3227,3992,3536,166,80,9971,4954,7004,631,12806,8263,263,5079,6970,5154,2397,1203,22
2022,4,관광특구,1001494,종로?청계 관광특구,CS100002,중식음식점,112809,88860,23949,15234,18169,18284,18316,18857,15030,8919,2023,727,50221,15507,33978,10353,66493,32769,1041,20228,23394,19667,17164,17766,42
2022,4,관광특구,1001493,동대문패션타운 관광특구,CS100002,중식음식점,39746,32019,7727,6025,6295,6571,6707,6421,4828,2899,3687,1885,14812,6582,9989,2791,19288,17455,681,10380,11699,6763,5090,2124,27
2022,4,관광특구,1001492,명동 남대문 북창동 다동 무교동 관광특구,CS100002,중식음식점,187480,155406,32074,26455,30827,31492,32213,34419,19274,12800,605,265,106504,22081,51483,6542,89650,63518,963,29887,45588,37299,23539,15889,81
2022,4,관광특구,1001491,이태원 관광특구,CS100002,중식음식점,46264,32532,13732,4916,5924,7603,5754,8335,9141,4591,856,,19498,6094,16056,3760,23957,17520,288,13802,14197,6028,5066,2094,15
2022,4,전통시장,2130321,장신구 특화거리 상점가,CS100002,중식음식점,2409,1724,685,378,359,156,343,488,296,389,,6,1120,418,841,24,1352,796,41,343,476,564,494,232,*
2022,4,전통시장,2130315,문정동 로데오거리 상점가(문정동 로데오거리),CS100002,중식음식점,2163,1677,486,268,283,368,364,394,243,243,,,1065,213,642,,1238,414,,358,374,363,323,233,*
2022,4,전통시장,2130314,풍납시장,CS100002,중식음식점,2133,1383,750,265,199,302,302,315,316,434,,,796,404,617,14,1433,286,,243,272,676,220,308,4
2022,4,전통시장,2130313,방이시장,CS100002,중식음식점,10313,7942,2371,1698,1575,1499,1614,1556,1673,698,,38,4909,2022,3144,200,5993,2964,19,1194,2112,2027,2059,1543,*
2022,4,전통시장,2130312,석촌시장,CS100002,중식음식점,16282,10377,5905,2032,1451,2290,2033,2571,3246,2659,1298,1392,5247,2405,4986,954,7965,5143,462,1211,2716,3447,3330,1940,4
2022,4,전통시장,2130311,새마을시장,CS100002,중식음식점,7495,5059,2436,1009,1112,889,1070,979,1329,1107,10,67,2849,1620,2498,451,4759,2407,79,1016,1539,1435,1571,1525,4
2022,4,전통시장,2130310,강남개포시장,CS100002,중식음식점,4927,3324,1603,51,861,839,829,744,859,744,,30,2712,804,1381,,3080,1255,193,587,516,940,1183,916,*
2022,4,전통시장,2130306,강남언주로,CS100002,중식음식점,5288,4612,676,730,990,957,945,990,338,338,,7,3613,326,938,66,2742,1003,13,664,1030,1029,645,365,3
2022,4,전통시장,2130303,영동전통시장,CS100002,중식음식점,2730,2098,632,261,408,361,443,625,479,153,505,,18,13,991,1203,1644,856,22,725,1082,470,117,83,4
2022,4,전통시장,2130302,강남시장(강남구 강남시장),CS100002,중식음식점,5210,4448,762,762,812,1290,704,880,557,205,,,3322,1027,831,30,3949,753,,850,1143,1456,1006,244,*
2022,4,전통시장,2130299,엔터식스 강남점,CS100002,중식음식점,54121,36267,17854,6632,6731,7192,7068,8644,9324,8530,,208,21326,9443,21656,1488,20301,29713,1706,12715,12341,10412,8043,4797,9
