,index,기준년코드,기준분기코드,상권구분코드명,상권코드,상권코드명,서비스업종코드,서비스업종코드명,분기당매출금액,주중매출금액,주말매출금액,월요일매출금액,화요일매출금액,수요일매출금액,목요일매출금액,금요일매출금액,토요일매출금액,일요일매출금액,시간대00~06매출금액,시간대06~11매출금액,시간대11~14매출금액,시간대14~17매출금액,시간대17~21매출금액,시간대21~24매출금액,남성매출금액,여성매출금액,연령대10매출금액,연령대20매출금액,연령대30매출금액,연령대40매출금액,연령대50매출금액,연령대60이상매출금액,점포수
0,0,2022,4,관광특구,1001496,강남 마이스 관광특구,CS100003,일식음식점,4282966621,2969231144.0,1313735477.0,491659443.0,515256915.0,619563569.0,654188944.0,688562273.0,714256225.0,599479252.0,0.0,5501886.0,1676316444.0,772409372.0,1709570926.0,119167993.0,1522779964.0,1699333222.0,45969012.0,847981540.0,1057712488.0,627441199.0,401397727.0,241611220.0,21
1,1,2022,4,관광특구,1001495,잠실 관광특구,CS100003,일식음식점,1895932166,1241882709.0,653606718.0,230377562.0,213032481.0,231029069.0,242728034.0,324715563.0,381799174.0,271807544.0,90807079.0,442739.0,275248135.0,182677890.0,828999092.0,517757231.0,882690450.0,709754688.0,8739462.0,585160497.0,473462741.0,178407095.0,206783453.0,139891889.0,46
2,2,2022,4,관광특구,1001494,종로?청계 관광특구,CS100003,일식음식점,3847947123,3180405390.0,667541733.0,443127090.0,606958825.0,706911467.0,738342698.0,685065310.0,504607661.0,162934072.0,228374295.0,2879492.0,767080270.0,121265330.0,1443852712.0,1284495024.0,1687048057.0,898194947.0,7840997.0,664015351.0,828097107.0,536736134.0,363842417.0,184711004.0,41
3,3,2022,4,관광특구,1001493,동대문패션타운 관광특구,CS100003,일식음식점,1061546264,760134970.0,301411294.0,145640521.0,139637668.0,158154517.0,151902859.0,164799405.0,235222300.0,66188994.0,1216335.0,5920258.0,420141569.0,230958548.0,382743288.0,20566266.0,474419452.0,493890387.0,11774935.0,285851382.0,290863705.0,169886457.0,158791220.0,51142142.0,11
4,4,2022,4,관광특구,1001492,명동 남대문 북창동 다동 무교동 관광특구,CS100003,일식음식점,8643049948,7659304449.0,983745499.0,1292695996.0,1460935707.0,1640743143.0,1609574083.0,1655355520.0,588413735.0,395331764.0,1723511.0,25756564.0,3598568751.0,575116004.0,2682245503.0,1759639615.0,2907013762.0,2458913054.0,80044884.0,1325303818.0,1522622928.0,1200965927.0,796164818.0,440824435.0,80
5,5,2022,4,관광특구,1001491,이태원 관광특구,CS100003,일식음식점,856189899,562280197.0,293497709.0,80094642.0,93791976.0,100943079.0,121218260.0,166232240.0,202850142.0,90647567.0,85548693.0,411993.0,114321097.0,26887929.0,295428159.0,333592028.0,335766158.0,325482034.0,5889994.0,208498218.0,237288249.0,101480785.0,67079138.0,41011808.0,23
6,6,2022,4,전통시장,2130324,길동복조리시장,CS100003,일식음식점,63693885,36999878.0,26533389.0,931582.0,6713817.0,8018032.0,7876689.0,13459758.0,16395205.0,10138184.0,481853.0,481853.0,2248005.0,7908812.0,40263627.0,12149117.0,41085348.0,18143367.0,160618.0,854486.0,8442063.0,16415122.0,21432174.0,12084871.0,3
7,7,2022,4,전통시장,2130318,로데오거리상점가,CS100003,일식음식점,1091435368,690264519.0,401170849.0,106949878.0,119858230.0,130603395.0,147527327.0,185325689.0,225279636.0,175891213.0,96309522.0,0.0,195216636.0,94495497.0,423101444.0,282312269.0,615918374.0,408050040.0,5604509.0,356691412.0,305344123.0,162997979.0,139265165.0,54065226.0,9
8,8,2022,4,전통시장,2130313,방이시장,CS100003,일식음식점,95565691,75712259.0,19853432.0,12356399.0,18345992.0,14187547.0,13139869.0,17682452.0,17598318.0,2255114.0,4663850.0,0.0,36616689.0,6834820.0,27012769.0,20437563.0,41304329.0,28686598.0,413578.0,11618001.0,17880523.0,17067340.0,10539628.0,12471861.0,6
9,9,2022,4,전통시장,2130310,강남개포시장,CS100003,일식음식점,138092962,104235485.0,33857477.0,19573152.0,19458078.0,19629203.0,25692074.0,19882978.0,26607288.0,7250189.0,176054.0,0.0,35258532.0,21334860.0,63117107.0,18206409.0,63130315.0,36854402.0,1743218.0,14290131.0,19346429.0,23808096.0,23253549.0,17543291.0,4
