,기준년코드,기준분기코드,상권구분코드명,상권코드,상권코드명,서비스업종코드,서비스업종코드명,분기당매출건수,주중매출건수,주말매출건수,월요일매출건수,화요일매출건수,수요일매출건수,목요일매출건수,금요일매출건수,토요일매출건수,일요일매출건수,시간대00~06매출건수,시간대06~11매출건수,시간대11~14매출건수,시간대14~17매출건수,시간대17~21매출건수,시간대21~24매출건수,남성매출건수,여성매출건수,연령대10매출건수,연령대20매출건수,연령대30매출건수,연령대40매출건수,연령대50매출건수,연령대60이상매출건수,점포수
0,2022,4,관광특구,1001496,강남 마이스 관광특구,CS100003,일식음식점,111768,80144,31624,13712.0,13970.0,16274.0,17917.0,18271.0,17174.0,14450.0,0.0,251.0,47676.0,20283.0,41903.0,1655.0,38409,54115,1798.0,26358.0,31178.0,16625.0,10488.0,6079.0,21
1,2022,4,관광특구,1001495,잠실 관광특구,CS100003,일식음식점,29177,18579,10598,3660.0,3259.0,3551.0,3606.0,4503.0,5559.0,5039.0,1469.0,12.0,6344.0,3253.0,12076.0,6035.0,13429,13338,236.0,11375.0,8194.0,2433.0,2802.0,1727.0,46
2,2022,4,관광특구,1001494,종로?청계 관광특구,CS100003,일식음식점,62817,53002,9815,7982.0,10457.0,11490.0,11508.0,11565.0,7384.0,2431.0,3261.0,101.0,25502.0,2562.0,17460.0,13931.0,28557,21453,293.0,14041.0,16895.0,9692.0,6237.0,2846.0,41
3,2022,4,관광특구,1001493,동대문패션타운 관광특구,CS100003,일식음식점,47758,34906,12852,6873.0,6415.0,7579.0,6925.0,7114.0,8764.0,4088.0,13.0,429.0,21260.0,11076.0,14755.0,225.0,19369,25753,785.0,14266.0,14173.0,7549.0,6177.0,2175.0,11
4,2022,4,관광특구,1001492,명동 남대문 북창동 다동 무교동 관광특구,CS100003,일식음식점,200916,171190,29726,28796.0,35391.0,35212.0,35596.0,36195.0,16516.0,13210.0,12.0,7229.0,115959.0,21132.0,44936.0,11648.0,74478,92632,2786.0,46096.0,54146.0,36493.0,19428.0,8169.0,80
5,2022,4,관광특구,1001491,이태원 관광특구,CS100003,일식음식점,11959,7716,4243,1092.0,1167.0,1520.0,1753.0,2184.0,2773.0,1470.0,1036.0,5.0,3052.0,625.0,3992.0,3254.0,4786,5324,170.0,3749.0,3362.0,1294.0,1105.0,431.0,23
6,2022,4,전통시장,2130324,길동복조리시장,CS100003,일식음식점,1548,919,629,45.0,167.0,206.0,174.0,327.0,404.0,225.0,6.0,6.0,91.0,206.0,937.0,302.0,944,508,6.0,19.0,187.0,347.0,624.0,276.0,3
7,2022,4,전통시장,2130318,로데오거리상점가,CS100003,일식음식점,29222,19628,9594,3405.0,3725.0,3671.0,4135.0,4692.0,5129.0,4465.0,1373.0,0.0,9289.0,3850.0,10369.0,4341.0,15614,12164,282.0,9492.0,7667.0,4514.0,3937.0,1886.0,9
8,2022,4,전통시장,2130313,방이시장,CS100003,일식음식점,2959,2642,317,503.0,579.0,536.0,482.0,542.0,300.0,17.0,64.0,0.0,1595.0,247.0,722.0,331.0,1475,1166,16.0,618.0,624.0,557.0,371.0,456.0,6
9,2022,4,전통시장,2130310,강남개포시장,CS100003,일식음식점,3909,2821,1088,576.0,518.0,602.0,618.0,507.0,673.0,415.0,6.0,0.0,1561.0,649.0,1485.0,208.0,1893,1544,144.0,579.0,544.0,735.0,867.0,570.0,4
