,호선명,지하철역,00시~06시승하차총승객수,06시~11시승하차총승객수,11시~14시승하차총승객수,14시~17시승하차총승객수,17시~21시승하차총승객수,21시~24시승하차총승객수
0,2호선,용답,364644,4904508,2144560,2555333,4185298,1795276
1,2호선,신답,162742,2931428,1062987,1323413,2793890,977782
2,2호선,용두,36691,779598,498045,581060,785173,256987
3,3호선,학여울,128758,4488637,3004923,3366636,3763101,1066794
4,4호선,삼각지,674228,19690328,10144831,11260521,20786519,7392128
5,4호선,신용산,472059,27092580,11624866,13947989,29304436,7713525
6,4호선,이촌,153988,5179099,3018471,3462062,4805968,1576931
7,경의선,운천,50,1065,167,420,810,0
8,장항선,온양온천,429492,7498970,6321819,5959153,6161117,1930206
9,경부선,금정,4304940,52747842,18144457,20705573,47543093,18449778
10,경강선,이매,502419,11844257,5660128,6297251,10374114,3959622
11,경강선,경기광주,177180,10539992,3617426,4102118,9068027,2776054
12,경강선,세종대왕릉,23220,439017,269588,308571,357475,93287
13,7호선,가산디지털단지,3073213,126439040,29665235,36534393,115288586,25361529
14,경부선,금천구청,1435378,22898424,8608997,9630799,18838472,6232970
15,경부선,석수,1242534,21231632,6991156,8084511,17071710,6266426
16,경부선,안양,2259292,44166674,21936794,25326468,44017277,16957485
17,경부선,명학,1042474,21257812,6302687,6760685,16435699,5031285
18,경부선,군포,862835,16425860,4110895,4600915,12974528,3438205
19,경부선,성균관대,1468976,28236718,10879852,12354436,26078967,10850737
20,경부선,광명,190948,3958571,1447198,2066642,4342618,944724
21,안산선,정왕,1031518,17377782,7296255,8214814,15668873,5066232
22,경인선,오류동,1694983,21814175,9412804,10205898,18484347,7030836
23,4호선,창동,3492637,48742150,23986016,28075334,47988329,19092427
24,4호선,길음,1921825,44190638,18642894,20523411,37807036,15019067
25,경원선,왕십리,314402,4290738,2950840,3789518,7316198,3557022
26,3호선,수서,1938607,51993537,23752697,27114158,48766110,16270298
27,5호선,양평,787169,19930855,8004593,8628328,16670805,5144152
28,중앙선,원덕,54502,755341,434894,514560,536343,169279
29,과천선,선바위,413866,16375818,5616949,6316691,14521376,4110223
30,과천선,대공원,68638,8827302,7010957,7721504,6368497,940668
31,과천선,인덕원,2000221,48514040,16974079,19075040,43281298,15415100
32,과천선,평촌,1234731,33582445,10880478,12168985,28489981,9427271
33,경인선,부천,5234074,60183594,32588154,36736524,66187798,26198759
34,안산선,신길온천,279948,3562680,1182505,1357446,2768272,942055
35,분당선,서울숲,393961,14915955,6813361,8839289,15517171,4233770
36,7호선,강남구청,959549,49511234,18673611,21809352,44944705,13523995
37,9호선2~3단계,선정릉,615587,30332198,11269314,12712286,27919404,7807620
38,분당선,가천대,779771,16634466,8162434,9339971,14320175,6594666
39,분당선,태평,1918954,26207300,10918525,12583599,21546579,9087335
40,8호선,모란,2567355,44624648,25206158,28332691,41508379,15643247
41,분당선,야탑,1548062,47042616,24048154,27378051,48240958,15974746
42,분당선,서현,1131503,39453106,22958439,27343378,48392580,16290769
43,분당선,수내,631873,22621765,11280828,13453492,23809458,7494402
44,분당선,정자,1028264,30052917,12373006,14397496,31334204,12177760
45,분당선,미금,971204,28743364,17195761,19408346,29850458,11245568
46,분당선,오리,849594,23187550,10289424,11190019,19135492,6884627
47,3호선,구파발,1851995,38421053,15143984,17205686,29497383,11120634
48,1호선,종로3가,2006808,66601532,63649010,69580679,93814903,30660332
49,4호선,미아,430252,7778054,3339069,3707257,6207765,2545429
50,4호선,회현,145776,10601512,7792701,8459828,9642578,1861233
51,경부선,용산,1469230,56849927,35890795,43370392,70875255,22371068
52,2호선,홍대입구,8105510,84028664,71312451,92034113,163667331,82896907
53,경의선,가좌,347610,9205489,4094982,4642320,7337843,2339877
54,경의선,금릉,615717,8478907,3705773,4239536,7940968,3008670
55,장항선,신창,44536,767561,431198,611643,685800,283549
56,2호선,양천구청,927753,13509850,5427749,5864040,11359967,4563104
57,2호선,을지로3가,942847,59209884,22447226,25985883,57009206,15702580
58,3호선,신사,1255009,46031490,25822985,32211555,60799504,21269942
59,경부선,대방,1193553,28284524,10866573,11857280,23972904,8442206
60,8호선,복정,761012,18431511,6489042,7705714,15872115,5008109
61,중앙선,양원,227798,4381506,1679311,2131025,2693444,803878
62,경부선,진위,106103,3327506,956903,1251506,2968895,673557
63,분당선,보정,173346,5204630,1955732,2262146,3549872,1386274
64,분당선,죽전,1704619,26739624,13784338,16139661,29767390,11714190
65,분당선,구성,415733,9882270,3581332,4163861,8345883,3259550
66,분당선,신갈,408943,8512269,3677100,4067905,6887624,2824569
67,분당선,상갈,455531,10039780,3963210,4386650,8732754,3394627
68,분당선,매탄권선,455422,8597078,3042828,3536441,7760776,3013165
69,분당선,수원시청,943762,18773866,9613983,11055086,22905374,8631231
70,수인선,고색,152970,2689588,687846,815582,2394869,609441
71,수인선,사리,134342,2550848,960887,1082840,2148987,804755
72,수인선,달월,4787,156385,57258,73501,194324,21369
73,수인선,소래포구,345598,7083668,6680276,7576838,7419076,2584264
74,수인선,호구포,275774,7467876,2315579,2667617,6377678,1725182
75,수인선,남동인더스파크,109544,5245916,1055636,1249573,3991746,557241
76,수인선,원인재,545170,7804178,3760769,4238814,7444443,3090330
77,수인선,연수,405915,7751381,3973519,4511110,8030535,2967933
78,수인선,송도,280979,5044427,2535531,2838371,4413882,1552381
79,수인선,신포,129292,2650700,1458613,1803615,2630864,695841
80,경원선,방학,1608132,17999327,8608720,9763068,15358376,5026824
81,경원선,도봉,1070308,11448741,5632232,6361195,9111371,2990262
82,경원선,망월사,1163956,15686976,7857654,8480775,12692355,4557300
83,경원선,회룡,2271256,24470990,10968438,11603429,19386205,6951920
84,경원선,의정부,2429342,30789407,21024507,24009503,36725592,12553217
85,2호선,잠실,1104694,29852152,16675313,19942381,36157891,14571797
86,2호선,신정네거리,1454927,18854880,7587881,8623270,17081205,6344082
87,3호선,연신내,4525536,68895207,31196457,35783595,63710909,26137737
88,3호선,무악재,362292,7723562,3197442,3524600,6613936,2624448
89,3호선,약수,1569518,29700923,14492896,16300365,28428599,10576858
90,3호선,잠원,363777,10242878,4794640,5299342,8678578,3305452
91,3호선,대청,786297,17777784,7179920,9004371,15695941,5753561
92,1호선,동대문,3599823,54003509,43938919,48315166,55095457,17358495
93,경춘선,마석,298912,7712268,3388706,3674180,5984842,1839778
94,경원선,양주,1266809,16809643,6964596,7271419,12790766,4425486
95,경원선,덕정,723179,12838539,5327365,5847671,10023848,3515737
96,경원선,지행,857623,12349939,5991382,6413582,11648991,4521575
97,경원선,동두천중앙,324572,5304157,2814218,2693548,3869791,1162249
98,경원선,동두천,206394,5519010,2098861,2346041,3626008,952677
99,일산선,원흥,854029,15456557,5921802,6538874,12597888,4976500
100,일산선,삼송,1283739,29971405,12661649,14263333,26059475,9630884
101,일산선,원당,1346002,22114580,9366250,10141478,17961383,6917837
102,일산선,화정,1716675,31106965,16884407,19596667,30770259,11902181
103,일산선,대곡,168914,3115946,1208341,1327242,2453016,808128
104,일산선,백석,966963,17456167,9992783,11383887,17629260,6179174
105,일산선,정발산,527334,11046059,9009566,10749593,15538252,4778701
106,일산선,주엽,963617,16244243,9399437,10300238,14072348,4826149
107,5호선,방화,838345,13555849,5681283,6390238,10558809,4225072
108,5호선,개화산,651037,11113790,4198834,4610557,9009247,3215388
109,5호선,김포공항,1465490,36755749,27657301,30979594,44195305,13956012
110,5호선,송정,879871,15125855,6610979,7517078,13668825,5125920
111,2호선,대림,1499754,15954530,7955978,8418866,15054101,6974522
112,2호선,당산,3440019,68419671,29162611,31970172,69622692,28095603
113,중앙선,회기,2496758,44335148,24524788,27203077,44425120,20095579
114,5호선,신길,2066740,25482034,8488396,9366885,21328884,7915150
115,중앙선,덕소,904577,11303076,5176088,5621454,9624275,3731962
116,중앙선,용문,229485,3761456,4297747,4580404,3348769,786958
117,5호선,마곡,604651,13963651,4433451,5553655,11331265,3359590
