,기준분기코드, 상권구분코드명,상권코드,상권코드명,총생활인구수,남성생활인구수,여성생활인구수,연령대10생활인구수,연령대20생활인구수,연령대30생활인구수,연령대40생활인구수,연령대50생활인구수,연령대60이상생활인구수,시간대1생활인구수,시간대2생활인구수,시간대3생활인구수,시간대4생활인구수,시간대5생활인구수,시간대6생활인구수,월요일생활인구수,화요일생활인구수,수요일생활인구수,목요일생활인구수,금요일생활인구수,토요일생활인구수,일요일생활인구수
0,1,관광특구,1001496,강남 마이스 관광특구,92815,46773,46043,6348,19683,25607,20687,11541,8949,6267,17913,21171,22211,19976,5277,13648,13721,14053,15264,15081,11312,9736
1,1,관광특구,1001495,잠실 관광특구,3221641,1567876,1653767,334733,695297,773414,532270,410051,475876,553535,615838,492595,529146,688670,341857,457554,456950,465358,470094,472796,464657,434231
2,1,관광특구,1001494,종로?청계 관광특구,3610698,1975798,1634900,124229,610832,665426,678449,674334,857429,431190,719724,746217,762450,684376,266740,565375,563063,560047,591669,597400,415375,317768
3,1,관광특구,1001493,동대문패션타운 관광특구,2996402,1435641,1560761,121963,542996,751225,617322,456240,506657,677671,606344,435731,420474,480905,375279,452257,460722,461579,475169,478088,355773,312815
4,1,관광특구,1001492,명동 남대문 북창동 다동 무교동 관광특구,3657861,1902880,1754981,125101,674875,930254,824291,585227,518110,246718,805661,882042,873024,670237,180178,588660,583394,579257,632942,622246,360143,291217
5,1,관광특구,1001491,이태원 관광특구,1829751,903510,926240,120144,437601,428731,298102,232431,312741,334875,334295,255056,283400,402211,219912,249157,249044,253688,256356,268472,288632,264405
6,1,전통시장,2130326,고덕 골목형상점가,145517,67147,78370,24334,13530,26184,27154,21362,32952,34203,31453,17958,17963,25499,18440,20537,20714,20984,20959,20935,20823,20566
7,1,전통시장,2130325,명일전통시장,204740,91758,112983,32724,21395,27840,34927,32742,55113,38673,39014,28315,29778,42859,26103,28942,28821,29147,29448,29656,29672,29056
8,1,전통시장,2130324,길동복조리시장,506523,232053,274471,84356,56747,70321,76606,80562,137931,142738,103748,58341,57614,79840,64245,71545,71690,71191,70622,71792,75111,74572
9,1,전통시장,2130323,둔촌역전통시장,347808,171022,176786,54293,45265,43682,54020,60337,90211,94749,72545,39982,40555,57081,42896,49441,49168,49913,49131,49706,50548,49902
10,1,전통시장,2130322,고분다리전통시장,267658,130283,137374,35434,34410,39751,36567,46689,74804,73696,54889,30569,30763,43998,33741,36920,37420,37324,37134,36840,40092,41927
11,1,전통시장,2130321,장신구 특화거리 상점가,163845,75938,87907,30720,20668,25047,28341,24904,34166,30812,34624,25088,25096,30775,17448,23717,23541,23524,23659,23735,22742,22928
12,1,전통시장,2130320,암사종합시장,124523,59395,65128,14553,16007,22023,19846,20910,31184,26676,22788,17049,18602,24806,14600,17814,17435,17526,17559,17888,18428,17871
