,상권코드,상권코드명,00시~06시유동인구,06시~11시유동인구,11시~14시유동인구,14시~17시유동인구,17시~21시유동인구,21시~24시유동인구
0,2110753,시흥동 은행나무사거리,54769,506030,275112,337443,448838,163958
1,2110427,노원 을지대학교병원,111460,1574509,779971,904775,1319819,496200
2,2110755,동일여자고등학교,41484,407658,219231,264289,328475,120459
3,2110739,시흥3동 우편취급국,26911,251349,96057,131208,220568,75766
4,2111017,송파나루역 3번,44816,609261,326402,376374,658501,254004
5,2110249,중화역 1번,84722,993217,442854,515465,890451,324001
6,2110963,역삼월드메르디앙아파트,27183,465471,199915,247399,430462,155535
7,2110332,돌곶이역 3번,81200,953259,400536,458547,783641,266888
8,2110245,KB국민은행 중화동지점,123459,947654,482241,566062,917105,330863
9,2110719,영서중학교,31830,245581,126395,144102,198476,62402
10,2110932,서울시인재개발원,10442,206414,78851,99317,164438,48794
11,2110933,한국상담대학원대학교,11781,257025,104518,130792,209151,63987
12,2110868,남부초등학교,126892,1325250,543592,652300,1126497,519415
13,2110395,신한은행 방학동지점,49805,412462,226278,262357,367348,137472
14,2110393,국민은행방학지점,69283,617028,332063,388853,560521,211984
15,2110114,왕십리파출소,74264,1203552,507884,594240,1045306,366230
16,2110760,선유도역 6번,30751,772999,270108,322675,684897,188602
17,2111068,강동성심병원,146949,1875214,884915,1021257,1647162,565871
18,2110619,목4동주민센터,64526,567684,285288,343196,569394,232888
19,2110093,우사단길,18140,199379,125413,166658,216379,81796
20,2110734,금천파출소,105125,1433122,694245,832471,1394819,453534
21,2111030,방이역 2번,59379,1184771,497604,599130,1044197,370022
22,2110573,신촌역 6번,208027,2647255,1968887,2284025,3499552,1464448
23,2110053,청구역 1번,63923,686353,327698,381350,620535,229092
24,2110972,강남세브란스병원미래의학연구센터,33315,639940,282028,347818,547532,197646
25,2110911,방배배수지체육공원,11464,110269,45642,76997,66353,23518
26,2110969,베르사이유1아파트,134655,3892745,1229661,1461653,3293111,848948
27,2111002,한국교통안전공단 강남자동차검사소,1667,14479,7700,10321,11728,1956
28,2110863,난우초등학교,72288,589101,309271,379205,554609,216629
29,2110751,난곡중학교,106988,609691,274666,335933,537953,198424
30,2110993,개포지하차도 북측,4872,88786,42431,60701,84947,36472
31,2110725,가산동주민센터,102196,903310,387609,471251,793880,264133
32,2110723,가산디지털단지역 1번 출입구,279071,5683456,1449887,1838058,4937514,1021036
33,2110938,바우뫼공원,21046,345504,143176,168957,305553,85887
34,2110999,윗방죽마을공원,13128,248127,95516,124456,194009,71213
35,2110941,언남고등학교,21304,421761,178798,214234,394246,110430
36,2110087,이태원엔틱가구거리,99508,705011,480026,645589,1088224,502860
37,2110094,오산중학교,16268,222604,128226,155231,199158,77127
38,2110262,상봉역 3번,65890,516394,320913,403439,602884,204363
39,2110279,신내역 2번,17888,324200,100716,136132,222159,67930
40,2110107,금호사거리,18837,307301,194255,241700,307023,107884
41,2110576,대흥역 3번,22512,329017,199355,246612,321206,134520
42,2111010,석촌역 7번,81251,1179615,625019,709132,1194101,465160
43,2110098,서울독일학교,87088,817050,443695,512589,814700,353210
44,2110669,화곡보람2차아파트,64751,619807,307258,349644,534010,218417
45,2111081,둔촌푸르지오아파트,15514,187561,84239,99465,131917,48845
46,2110331,돌곶이역 8번,85626,954220,416145,474744,803921,276406
47,2110786,당산역 8번,159096,2634695,1149397,1338465,2749615,1079705
48,2110956,언주역 8번,26466,887895,333985,395983,765843,201495
49,2111003,삼전역 4번,40261,620125,253561,301814,557006,218775
50,2110565,홍익대,229891,2741282,2422353,3074979,5179784,2399375
51,2110149,세종대학교,52659,272853,163920,193730,280745,123028
52,2110110,상왕십리역 6번,89780,1263381,566762,666779,1147582,422056
53,2110539,미근동,147147,2385885,903215,1080910,1954385,559979
54,2110505,홍남교남측,25657,357666,189028,215971,299578,123402
55,2110055,황학동벼룩시장,231875,2316744,1745845,1985238,2297909,837707
56,2110122,마장역 2번,40041,644514,285691,326599,554980,191513
57,2111065,천일초등학교,6069,108920,52673,61738,94121,39660
58,2110305,보문역 5번,79168,1009569,459988,522406,788927,311770
59,2110499,연가초등학교,23737,259293,134042,167271,235570,96786
60,2110150,중곡1동 마을마당,59753,286591,144788,166981,274411,112767
61,2110236,신묵초등학교,62778,735510,347286,395490,688592,249250
62,2111023,문정역 1번,62335,1562268,467283,590145,1393757,334974
63,2110925,서초중학교,27032,492069,205907,254475,345680,117718
64,2110910,내방역 5번,39831,1230461,491641,589901,1077190,304104
65,2110775,대동초등학교,52609,302749,185513,199749,288959,110143
66,2110854,조원동주민센터,159517,1204462,447146,472054,800831,261907
67,2110853,KT구로지사,368829,4643264,1603013,1902848,4300737,1496423
68,2110918,방배역 3번,47967,1394491,660543,786959,1216409,404683
69,2110243,중랑노인종합복지관,61608,431192,193156,229160,362262,130596
70,2110935,한전아트센터,18335,274561,125297,154667,242570,89943
71,2110585,마포경찰서,30115,611990,268535,307827,506106,156983
72,2110871,신원동주민센터,362056,4645059,1964725,2334818,4470269,1960476
73,2110811,보라매역 4번,66631,1095061,494148,607553,1037210,359298
74,2110992,도곡초등학교,33678,565217,418961,574627,795364,430306
75,2111043,마천공원,23220,227739,115472,141357,188240,74399
76,2111039,벌말어린이공원,26353,300110,140977,176348,248752,102483
77,2110771,대림역 11번,62660,493526,265788,291897,452143,183775
78,2110700,고척초등학교,37153,390594,220110,262800,367139,133536
79,2110903,방배아이파크아파트,27587,489714,227182,290814,401401,153318
80,2110709,구로119안전센터,58968,487095,297245,343643,402981,138309
81,2110986,삼성중앙역 7번,16209,645706,227881,275498,597399,159206
82,2110949,한남IC,74057,1676098,947531,1205463,2126968,746525
