,상권코드,상권코드명,버스,지하철,00시~06시유동인구,06시~11시유동인구,11시~14시유동인구,14시~17시유동인구,17시~21시유동인구,21시~24시유동인구
0,2110753,시흥동 은행나무사거리,"['18864', '18141', '18982', '18981', '18968', '18969', '18980', '18601', '18970', '18140', '18238', '18602', '18708', '18791', '18960', '18236', '18836', '18219', '18977', '18542', '18536', '18979', '18237', '18978', '18142', '18959', '18173', '18174', '18172', '18143', '18839', '18573', '18786', '18171', '18235', '18531', '18983', '18234', '18165', '18967', '18865']",[''],53732,499555,268978,335586,443947,169378
1,2110427,노원 을지대학교병원,"['11466', '11467', '11417', '11835', '11448', '11470', '11469', '11836', '11723', '11425', '11505', '11426', '11803', '11429', '11583', '11449', '11801', '11416', '11489', '11455', '11592', '11428', '11450', '11178', '11454', '11447', '11597', '11634', '11459', '11433', '11173', '11446', '11907', '11445', '11554', '11453']",['하계'],120101,1606910,782039,903994,1338639,522334
2,2110755,동일여자고등학교,"['18786', '18959', '18573', '18219', '18979', '18978', '18841', '18524', '18865', '18531', '18708', '18791', '18839', '18836', '18536', '18518', '18980', '18844', '18970', '18864', '18141', '18764', '18140', '18510', '18847', '18960', '18977', '18238', '18542', '18639', '18504']",[''],40693,398323,211923,263705,325593,123846
3,2110739,시흥3동 우편취급국,"['18540', '18166', '18014', '18013', '18169', '18534', '18168', '18167', '18985', '86160', '18987', '14284', '14288', '18984']",[''],27665,251685,94879,128287,222394,81350
4,2111017,송파나루역 3번,"['24202', '24391', '24220', '24225', '24219', '24199', '24213', '24207', '24201', '24212', '24196', '24195', '24214', '24226', '24197', '24218']",['송파나루'],45629,610789,322239,357905,632239,261033
5,2110249,중화역 1번,"['7108', '7106', '7107', '7257', '7255', '7258', '7256', '7394', '7259', '7392', '7253', '7393', '7391', '7254', '7105', '7260', '7396', '7390', '7395', '7501', '7389']",['중화'],102552,1075386,478194,564489,970915,367276
6,2110963,역삼월드메르디앙아파트,"['23291', '23866', '23314', '23292', '23293', '23294', '23512', '23488', '23313', '23312', '23321', '23315']",[''],27724,458533,196789,241936,416630,155140
7,2110332,돌곶이역 3번,"['8143', '8141', '8191', '8192', '8210', '8878', '8207', '8780', '8983', '8142', '8209', '8145', '8600', '8404', '8193', '8194', '8144', '8190', '11869', '8212', '11599', '8189', '8876', '8574', '8587', '8211', '8586', '8868', '8602', '11842']",['돌곶이'],91130,973325,402842,459999,785084,282103
8,2110245,KB국민은행 중화동지점,"['7398', '7109', '7110', '7399', '7530', '7397', '7506', '7508', '7520', '7504', '7521', '7503', '7125', '7128', '7005', '7004', '7395', '7124', '7254', '7252', '7253', '7501', '7256', '7523', '7003']",['중랑'],132920,958210,487188,569012,927026,348271
9,2110719,영서중학교,"['17931', '17116', '17899', '17744', '17117', '17929', '17773', '17118', '17927', '17838', '17114', '17734', '17115', '17119', '17933', '17925', '17889', '17252', '17503', '17752', '17911', '17974']",[''],34299,232347,125579,143033,196099,62215
