,기준분기코드,상권코드,상권코드명,총직장인구수
0,4,1001496,강남 마이스 관광특구,15904
1,4,1001495,잠실 관광특구,24375
2,4,1001494,종로?청계 관광특구,32935
3,4,1001493,동대문패션타운 관광특구,6054
4,4,1001492,명동 남대문 북창동 다동 무교동 관광특구,104830
5,4,1001491,이태원 관광특구,5839
6,4,2130326,고덕 골목형상점가,935
7,4,2130325,명일전통시장,89
8,4,2130324,길동복조리시장,154
9,4,2130323,둔촌역전통시장,171
10,4,2130322,고분다리전통시장,8
11,4,2130321,장신구 특화거리 상점가,433
12,4,2130320,암사종합시장,173
13,4,2130319,성내전통시장,34
14,4,2130318,로데오거리상점가,266
15,4,2130317,마천중앙시장,107
16,4,2130316,마천시장,18
17,4,2130315,문정동 로데오거리 상점가(문정동 로데오거리),1372
18,4,2130314,풍납시장,202
19,4,2130313,방이시장,3469
20,4,2130312,석촌시장,619
21,4,2130311,새마을시장,377
22,4,2130310,강남개포시장,298
23,4,2130308,청담삼익시장,48
24,4,2130307,도곡시장,57
25,4,2130306,강남언주로,235
26,4,2130305,논현종합시장,85
27,4,2130304,신사상가,138
28,4,2130303,영동전통시장,242
29,4,2130302,강남시장(강남구 강남시장),58
30,4,2130301,양재시장,35
31,4,2130299,엔터식스 강남점,1850
32,4,2130298,강남터미널지하도상점가2구역,2
33,4,2130296,남부종합시장,85
34,4,2130295,인헌시장(원당종합시장),122
35,4,2130294,관악중부시장,102
36,4,2130293,봉천중앙시장,154
37,4,2130290,영림시장,417
38,4,2130289,봉일시장,36
39,4,2130288,신림현대종합상가,2
40,4,2130285,서원동상점가,615
41,4,2130284,관악종합시장(신원시장),17
42,4,2130283,신원시장,25
43,4,2130282,난곡 골목형상점가,20
44,4,2130281,우림시장,1
45,4,2130280,신림종합시장,8
46,4,2130279,관악신사시장,120
47,4,2130278,미성동 도깨비시장 골목형상점가,75
48,4,2130277,조원동 펭귄시장(신림중앙시장),98
49,4,2130276,신림중앙시장(조원동 펭귄시장),43
50,4,2130275,강남골목시장,168
51,4,2130274,사당1동먹자골목상점가(사당1동먹자골목),389
52,4,2130273,남성사계시장(남성시장),141
53,4,2130272,사당시장,45
54,4,2130271,남성역골목시장,467
55,4,2130270,흑석시장,4
56,4,2130268,상도전통시장,239
57,4,2130267,본동인정시장(기능상실),59
58,4,2130266,만양로상점가,129
59,4,2130265,노량진중앙시장,115
60,4,2130264,상도약수골목형상점가,65
61,4,2130263,신노량진시장(기능상실),11
62,4,2130262,상도도깨비 골목형상점가,18
63,4,2130261,성대전통시장(성대시장),211
64,4,2130260,신대방1동골목상권,70
65,4,2130259,대신시장,12
66,4,2130257,영등포시장기계공구상가,158
67,4,2130256,신동시장,2
68,4,2130255,영등포전통시장,45
69,4,2130253,영신상가(제일상가),9
70,4,2130250,삼구시장(로타리상가),1
71,4,2130249,동남상가,10
72,4,2130248,영등포역지하도상점가,12
73,4,2130247,우리시장,21
74,4,2130246,영등포청과시장(조광시장),237
75,4,2130245,영일시장,675
76,4,2130244,대림중앙시장,95
77,4,2130243,도림시장,6
78,4,2130242,대림중앙 골목형상점가,68
79,4,2130241,선유도역 골목형상점가,500
80,4,2130240,영등포유통상가,1183
81,4,2130238,은행나무시장,113
82,4,2130237,박미시장(기능상실),39
83,4,2130236,비단길현대시장(현대시장),139
84,4,2130235,대명여울빛거리시장(대명시장),298
85,4,2130234,푸른터시장(기능상실),3
86,4,2130233,남문시장,76
87,4,2130232,독산동 맛나는거리상점가(독산동 맛나는거리),33
88,4,2130231,독산동 우시장,611
89,4,2130229,남구로시장,249
90,4,2130228,구로시장,10
91,4,2130227,고척골목시장상점가(그라운드 고척),97
92,4,2130226,고척프라자,2
93,4,2130225,개봉중앙시장,147
94,4,2130224,개봉프라자(고척근린시장),5
95,4,2130223,고척근린시장,42
96,4,2130222,오류시장,132
97,4,2130221,"남부골목시장(남부화곡시장, 남부시장)",188
98,4,2130219,까치산시장,124
99,4,2130218,신월중앙시장,118
100,4,2130217,화곡본동시장,36
101,4,2130216,화곡중앙시장,75
102,4,2130215,대원종합시장,9
103,4,2130214,송화벽화시장(송화골목시장),119
104,4,2130213,방신전통시장,112
105,4,2130212,공항시장,8
106,4,2130211,신정2동 골목시장(오목교중앙시장),51
107,4,2130210,목2동시장,432
108,4,2130209,목사랑시장(목4동시장),111
109,4,2130208,목동깨비시장(목3동시장),148
110,4,2130207,신정1동 골목시장(신정제일시장),38
111,4,2130206,신정3동 골목시장,20
112,4,2130205,신곡종합시장(신월6동 골목시장),141
113,4,2130204,경창시장,100
114,4,2130203,서서울 골목형상점가,34
115,4,2130202,신영시장,40
116,4,2130201,월정로시장,27
117,4,2130200,"신월7동 골목시장(약수시장, 우성상가)",27
118,4,2130199,신월3동 골목시장,18
119,4,2130198,아현시장,203
120,4,2130197,마포시장,15
121,4,2130196,공덕시장,3948
122,4,2130195,도화동 상점가,1055
123,4,2130194,용강동 상점가,875
124,4,2130193,신수시장,34
125,4,2130192,동진시장,10
126,4,2130191,홍대 걷고싶은 거리,367
127,4,2130190,홍대소상공인상점가,150
128,4,2130189,서교시장,24
129,4,2130187,영진시장,29
130,4,2130186,망원시장,178
131,4,2130185,망원월드컵시장,190
132,4,2130184,마포농수산물시장,77
133,4,2130183,상암동상점가,816
134,4,2130182,영천시장,78
135,4,2130181,아현가구거리상점가,59
136,4,2130180,포방터시장,59
137,4,2130179,"이화여대 3,5,7길 상점가",147
138,4,2130178,이대 앞 스타트업 상점가,32
139,4,2130177,인왕시장(홍제골목형상점가),44
140,4,2130176,유진상가,38
141,4,2130175,신촌 상인회(신촌상점가),13
142,4,2130173,백련시장,5
143,4,2130172,모래내시장(서중시장),41
144,4,2130171,불광먹자골목 골목형상점가,155
145,4,2130170,제일시장,58
146,4,2130169,대조시장,67
147,4,2130168,연서시장,242
148,4,2130167,연신내상점가(연빛거리),636
149,4,2130166,응암시장(신응암시장),17
150,4,2130165,"대림골목시장(대림시장, 양지시장)",214
151,4,2130164,역촌중앙시장,9
152,4,2130163,응암오거리상점가,182
153,4,2130162,증산골목시장,7
154,4,2130161,증산종합시장,8
155,4,2130160,수일시장,7
156,4,2130159,공릉동 도깨비시장,101
157,4,2130157,상계중앙시장,74
158,4,2130155,시영B상가(중계 그린아파트 B 상가),12
159,4,2130153,창동역상점가,229
160,4,2130152,오!도봉거리 상점가,61
161,4,2130151,신도봉시장,5
162,4,2130150,창동골목시장,84
163,4,2130149,창동신창시장,104
164,4,2130148,방학동도깨비시장,60
165,4,2130147,쌍문역동측상점가,69
166,4,2130146,쌍문시장(쌍문역골목시장),263
167,4,2130145,쌍문역둘리상점가,244
168,4,2130144,백운시장,38
169,4,2130143,방천골목시장,65
170,4,2130142,강북북부시장,7
171,4,2130141,강북북부골목시장,43
172,4,2130140,숭인시장,62
173,4,2130139,강북종합전통시장(강북종합골목시장),166
174,4,2130138,수유프라자,142
175,4,2130137,"수유전통시장(수유시장, 수유골목시장)",89
176,4,2130136,수유재래시장,29
177,4,2130135,수유중앙골목시장(수유중앙시장),24
178,4,2130134,"솔샘시장(미아6,7동골목시장)",73
179,4,2130133,우이골목시장(우이시장),69
180,4,2130132,삼양골목시장(삼양시장),57
181,4,2130131,동북프라자,121
182,4,2130130,수유북부골목시장,20
183,4,2130129,장미원골목시장,911
184,4,2130128,돌곶이시장(석관황금시장),191
185,4,2130126,새석관시장,3
186,4,2130125,장위전통시장,40
187,4,2130123,꿈의숲 장곡 골목형상점가,6
188,4,2130122,밤나무골시장,17
189,4,2130121,길음시장,91
190,4,2130120,돈암시장(돈암제일시장),99
191,4,2130119,정릉아리랑시장,15
192,4,2130118,정릉골 골목형상점가,67
193,4,2130117,정릉시장,119
194,4,2130116,동성타워프라자,31
195,4,2130115,우림골목시장,307
196,4,2130114,유영시장,31
197,4,2130113,신아타운,148
198,4,2130112,사가정시장,86
199,4,2130111,"동원전통종합시장(동원시장, 동원전통시장 상점가)",224
200,4,2130110,면목골목시장(면목시장),103
201,4,2130109,묵1동도깨비시장,47
202,4,2130108,태능엔터피아(태릉시장),3
203,4,2130107,중랑동부시장(중랑교종합상가),13
204,4,2130106,중랑동부시장,166
205,4,2130105,장미제일시장(중화동제일시장),63
206,4,2130104,전곡시장,93
207,4,2130103,이경시장,16
208,4,2130101,답십리현대시장,8
209,4,2130100,답십리시장,93
210,4,2130099,전농로터리시장,7
211,4,2130098,회기시장,55
212,4,2130097,답십리 건축자재시장,315
213,4,2130096,동부시장,14
214,4,2130095,청량리전통시장,95
215,4,2130094,청량리청과물시장,54
216,4,2130093,동서시장,5
217,4,2130092,청량리농수산물시장,12
218,4,2130091,청량종합도매시장,36
219,4,2130090,청량리종합시장,19
220,4,2130089,청량리수산시장,42
221,4,2130088,경동시장,126
222,4,2130087,경동광성상가(경동시장),28
223,4,2130086,서울약령시장,1184
224,4,2130085,용두시장,4
225,4,2130084,신성시장(신성골목시장),21
226,4,2130083,"중곡제일시장(중곡제일골목시장, 광성시장)",111
227,4,2130082,면곡골목시장,20
228,4,2130081,자양골목전통시장(자양골목시장),54
229,4,2130080,자양종합시장(기능상실),14
230,4,2130079,한아름시장,40
231,4,2130078,화양제일골목시장,65
232,4,2130077,조양시장,31
233,4,2130076,능동로골목시장,88
234,4,2130075,노룬산시장(노룬산골목시장),23
235,4,2130074,영동교골목시장,21
236,4,2130073,뚝도시장,45
237,4,2130072,성동용답상가시장,132
