,기준분기코드,상권구분코드명,상권코드,상권코드명,집객시설수,관공서수,은행수,대학교수,백화점수,슈퍼마켓수,의료시설수,교육시설수,여가시설수,교통시설수
0,4,골목상권,2110332,돌곶이역 3번,2,,,,,,,,,
1,4,전통시장,2130133,우이골목시장(우이시장),4,,,,,,,,,
2,4,골목상권,2110367,강북구청,13,1.0,1.0,,,,,,,
3,4,골목상권,2110797,KT대방빌딩,8,,,,,,,,,
4,4,전통시장,2130277,조원동 펭귄시장(신림중앙시장),2,,,,,,,,,
5,4,골목상권,2111052,암사역 3번(천호동자전거거리),10,1.0,,,,,,,,
6,4,골목상권,2110958,역삼역 4번,4,,,,,,,,,
7,4,골목상권,2110055,황학동벼룩시장,5,,1.0,,,,,,,
8,4,골목상권,2110435,서울과학기술대,2,,,,,,,,,
9,4,골목상권,2110957,언북중학교,7,,,4.0,,,,,,
10,4,전통시장,2130104,전곡시장,6,,1.0,,,,,,,
11,4,골목상권,2110633,개화산역 1번,8,,1.0,,,,,,,
12,4,전통시장,2130296,남부종합시장,1,,,,,1.0,,,,
13,4,전통시장,2130017,동대문상가C동,1,,,,,,,,,
14,4,골목상권,2110133,서울교통공사,2,1.0,,,,,,,,
15,4,골목상권,2110160,광진경찰서,2,1.0,,,,,,,,
16,4,골목상권,2110524,연희세브란스병원,4,,,,,,,,,
17,4,골목상권,2110217,자동차부품상가,1,,,,,,,,,
18,4,전통시장,2130090,청량리종합시장,9,,,,,,,,,
19,4,골목상권,2110417,월계역 3번,3,,,,,,,,,
20,4,골목상권,2110341,북한산우이역 2번,13,,,1.0,,,,,,
21,4,골목상권,2110971,선정릉역 4번,1,,1.0,,,,,,,
22,4,전통시장,2130009,마전교지하쇼핑센터(구 한일상가),2,,,,,1.0,,,,
23,4,골목상권,2110616,양목초등학교,1,,,,,,,,,
24,4,전통시장,2130001,통인시장,2,,1.0,,,,,,,
25,4,골목상권,2111024,경찰병원역 4번(건너말공원),1,,,,,,,,,
26,4,골목상권,2110343,무너미어린이공원,11,,,,,,,,,
27,4,전통시장,2130021,신설종합시장,1,,,,,1.0,,,,
28,4,골목상권,2110894,관악동부센트레빌아파트(은천로35라길),1,,,,,,,,,
29,4,골목상권,2110231,장안교,2,,,,,,,,,
30,4,전통시장,2130028,을지입구지하상가(을지로지하보도쇼핑센터),1,,,,,,,,,
31,4,전통시장,2130039,청계6가 지하도상가,1,,,,,,,,,
32,4,골목상권,2110148,어린이대공원역 3번,1,,,,,,,,,
33,4,골목상권,2110573,신촌역 6번,1,,,,,,,,,
34,4,전통시장,2130289,봉일시장,3,,,,,,,,,
35,4,골목상권,2110949,한남IC,3,,,,,,,,,
36,4,골목상권,2110939,양재역 8번(양재동우체국),23,,,1.0,,,,,,
37,4,골목상권,2110480,연신내역 3번,5,,,,,,,,,
38,4,전통시장,2130161,증산종합시장,2,,,,,1.0,,,,
39,4,골목상권,2110474,세명컴퓨터고등학교,11,1.0,,,,1.0,,,,
40,4,발달상권,2120112,등촌역,46,1.0,5.0,,,,,,,
41,4,전통시장,2130210,목2동시장,26,1.0,1.0,,,,,,,
42,4,골목상권,2110703,개봉역,31,,1.0,,,,,,,
43,4,발달상권,2120108,신정네거리역,66,1.0,3.0,,,,,,,
44,4,골목상권,2110602,신월시영아파트중문,9,,1.0,,,,,,,
45,4,골목상권,2110662,까치산역 1번,24,1.0,,,,,,,,
46,4,골목상권,2110677,등촌역 1번,1,,,,,,,,,
47,4,골목상권,2110645,우장산역 4번,29,2.0,,,,,11.0,,,
48,4,골목상권,2110665,곰달래도서관,15,1.0,,,,,,,,
49,4,발달상권,2120119,발산역(마곡),105,,7.0,,,,,,,
50,4,골목상권,2110667,가양역 10번,16,,,,,,,,,
51,4,골목상권,2110668,화곡2동주민센터,21,2.0,,,,,,,,
52,4,골목상권,2110664,강서구청옆,5,,,,,,,,,
53,4,발달상권,2120129,구로디지털단지,76,5.0,16.0,,,,,,,
54,4,발달상권,2120127,구로구청,22,1.0,3.0,,,,,,,
55,4,발달상권,2120130,구로디지털단지역,50,,1.0,,,,,,,
56,4,발달상권,2120124,개봉동 현대아파트,66,4.0,2.0,,,1.0,,,,
57,4,전통시장,2130225,개봉중앙시장,25,1.0,2.0,,,1.0,,,,
58,4,골목상권,2110682,온수역 8번,14,,1.0,,,,,,,
59,4,골목상권,2110202,전농1동주민센터(전농시장),9,1.0,,,,,,,,
60,4,골목상권,2110752,한울중학교,30,,,,,,,,,
61,4,발달상권,2120134,구로전화국,40,,1.0,,,,,,,
62,4,골목상권,2110849,이수역 10번,15,1.0,,,,1.0,,,,
63,4,골목상권,2110754,삼성산자연공원(서울금천초등학교),16,1.0,,,,,,,,
64,4,골목상권,2110621,목동역 5번,6,,,,,,,,,
65,4,골목상권,2110022,경신고등학교,9,,,2.0,,,,,,
66,4,골목상권,2110846,남성역 1번,34,4.0,,,,,,,,
67,4,전통시장,2130265,노량진중앙시장,3,,,,,,,,,
68,4,발달상권,2120188,압구정역,213,,14.0,,1.0,,,,,
69,4,골목상권,2110904,이수역 5번,7,,,,,,,,,
70,4,골목상권,2110906,서문여고,7,1.0,,,,,,,,
71,4,발달상권,2120182,"양재시민의숲역(양재동꽃시장, aT센터)",25,2.0,1.0,,,,,,,
72,4,골목상권,2110037,신설동역 12번,16,,,,,,,,,
73,4,발달상권,2120232,송파나루역,22,,1.0,,,,,,,
74,4,골목상권,2110184,용두사거리,8,,,,,,,,,
75,4,발달상권,2120081,노원역,217,2.0,9.0,,,,,,,
76,4,골목상권,2111034,오동나무공원(송파레미니스1단지),9,,,,,,,,,
77,4,골목상권,2110413,누원고등학교,12,1.0,1.0,,,,,,,
78,4,골목상권,2110955,논현초등학교,12,,,,,,,,,
79,4,발달상권,2120245,둔촌역,80,2.0,5.0,1.0,,,,,,
80,4,골목상권,2111063,강동구립 천호도서관,18,1.0,,,,,,,,
81,4,전통시장,2130319,성내전통시장,5,,,,,,,,,
82,4,골목상권,2110065,남정초등학교,4,,,,,,,,,
83,4,발달상권,2120021,시청역_8번,53,,15.0,,,,,,,
84,4,골목상권,2110092,NH농협은행 보광동지점,16,,1.0,,,,,,,
85,4,발달상권,2120139,대림3동사거리,43,1.0,4.0,1.0,,,,,,
86,4,발달상권,2120047,한남오거리,46,3.0,6.0,,,1.0,,,,
87,4,전통시장,2130012,"동대문종합시장(동대문종합시장 신관, 동대문종합시장D동상가)",15,,4.0,,,3.0,,,,
88,4,발달상권,2120013,이화사거리,28,1.0,1.0,3.0,,,,,,
89,4,발달상권,2120055,군자역,93,2.0,6.0,,,,,,,
90,4,골목상권,2110162,군자역 4번,3,,,,,,,,,
91,4,골목상권,2110140,건대입구역 6번,24,,2.0,,,,,,,
92,4,전통시장,2130025,삼익패션타운(남대문시장),10,,1.0,,,,,,,
93,4,발달상권,2120022,북창동(시청역_6번),45,3.0,3.0,,,,,,,
94,4,관광특구,1001493,동대문패션타운 관광특구,149,3.0,12.0,,,3.0,17.0,,,
95,4,발달상권,2120043,서울역,101,4.0,7.0,,,,,,,
96,4,골목상권,2110042,남산골공원옆,5,,,,,,,,,
97,4,골목상권,2110048,장충동주민센터,11,2.0,1.0,,,,,,,
98,4,골목상권,2110089,서빙고동주민센터,4,1.0,,,,,,,,
99,4,발달상권,2120051,뚝섬역,39,1.0,3.0,1.0,,,,,,
100,4,골목상권,2110057,황학코아루아파트,14,,,,,,,,,
101,4,골목상권,2110256,면목2동체육관,36,,,,,7.0,,,,
102,4,골목상권,2110152,중곡어린이공원,6,,,,,,,,,
103,4,골목상권,2110244,중화역 4번,18,,1.0,,,1.0,,,,
104,4,골목상권,2110247,먹골역 1번,21,2.0,,,,,,,,
105,4,골목상권,2110175,푸른동산공원,8,,,,,,,,,
106,4,골목상권,2110180,광진정보도서관,11,1.0,1.0,,,,,,,
107,4,골목상권,2110252,장안제일시장,16,,1.0,,,2.0,,,,
108,4,골목상권,2110307,길음역 7번,27,,2.0,,,,,,,
109,4,골목상권,2110356,덕수교,8,,,,,,,,,
110,4,골목상권,2110275,하나은행 망우동지점,10,,1.0,,,1.0,,,,
111,4,골목상권,2110249,중화역 1번,22,,,,,,,,,
112,4,골목상권,2110313,안암역 3번,23,,2.0,1.0,,,,,,
113,4,골목상권,2110299,정릉역 1번,23,,,,,,,,,
114,4,골목상권,2110322,장위1동주민센터,16,,1.0,,,,,,,
115,4,전통시장,2130121,길음시장,4,,2.0,,,1.0,,,,
116,4,골목상권,2110321,동덕여대,5,1.0,,,,,,,,
117,4,골목상권,2110329,우리은행체육관,8,,,,,,,,,
118,4,발달상권,2120071,성북구청,14,,,1.0,,,,,,
119,4,골목상권,2110335,석계역 7번,37,4.0,1.0,,,,,,,
120,4,전통시장,2130132,삼양골목시장(삼양시장),31,1.0,,,,,,,,
121,4,골목상권,2110374,송중초등학교,22,1.0,,,,,,,,
122,4,골목상권,2110550,합정역 8번,16,,,,,,,,,
123,4,발달상권,2120105,상수역(홍대),28,2.0,1.0,3.0,,,,,,
124,4,골목상권,2110778,구로디지털단지역 4번,32,1.0,1.0,,,,,,,
125,4,골목상권,2110502,남가좌파출소,23,1.0,1.0,,,,,,,
126,4,골목상권,2110578,대흥역 2번,20,4.0,,,,,,,,
127,4,골목상권,2110571,신수동주민센터,8,2.0,,,,,,,,
128,4,골목상권,2110511,연희초등학교,13,,,,,,,,,
129,4,골목상권,2110854,조원동주민센터,5,2.0,,,,,,,,
130,4,골목상권,2110555,홍익지구대,6,,,,,,,,,
131,4,전통시장,2130185,망원월드컵시장,13,,,,,,,,,
132,4,전통시장,2130246,영등포청과시장(조광시장),13,,,,,,,,,
133,4,골목상권,2110589,애오개역 3번,11,,1.0,,,,,,,
134,4,골목상권,2110795,도림초등학교,10,1.0,,,,,,,,
135,4,전통시장,2130295,인헌시장(원당종합시장),18,1.0,,,,1.0,,,,
136,4,발달상권,2120160,사당역(사당),83,2.0,4.0,1.0,,,,,,
137,4,골목상권,2110885,영락고등학교,18,,,,,,,,,
138,4,전통시장,2130276,신림중앙시장(조원동 펭귄시장),4,,,,,1.0,,,,
139,4,전통시장,2130290,영림시장,30,1.0,1.0,,,1.0,,,,
140,4,전통시장,2130149,창동신창시장,12,1.0,,,,,,,,
141,4,발달상권,2120211,도성초등학교,27,,1.0,1.0,,,,,,
142,4,발달상권,2120220,대치역,72,1.0,8.0,,,,,,,
143,4,발달상권,2120218,코엑스,22,,6.0,,,,,,,
144,4,골목상권,2110437,당고개역 2번,18,1.0,,,,,,,,
145,4,발달상권,2120206,개나리아파트,45,2.0,4.0,,,,,,,
146,4,발달상권,2120067,장안동사거리,92,1.0,3.0,,,,,,,
147,4,골목상권,2110257,상봉역 7번,11,2.0,,,,,,,,
148,4,골목상권,2110405,방학역 1번,23,,1.0,,,,,,,
149,4,발달상권,2120168,서울고교교차로,14,1.0,2.0,,,,,,,
150,4,골목상권,2110394,방학중학교,12,2.0,,,,,,,,
151,4,골목상권,2110672,백석중학교,1,,,,,,,,,
152,4,골목상권,2111086,한영중고,11,,,,,,,,,
153,4,골목상권,2110960,은광여고,3,,,,,,,,,
154,4,골목상권,2110016,평창동동측,39,2.0,1.0,1.0,,,,,,
155,4,골목상권,2110216,전농중학교,12,,,,,,,,,
156,4,골목상권,2110419,수락산디자인거리,22,1.0,,,,,,,,
