업종코드,cluster,단가,특징
0,0,33107,#남성 #50대 #금요일
0,2,36522,#남성 #30대 #금요일
0,4,35337,#남성 #30대
0,1,39457,#남성 #30대 #의료시설
0,3,37033,#남성 #30대 #평일 #직장인구 #관공서 #은행 
1,4,39167,#여성 #30대
1,0,39749,#20대 #30대 #주말
1,2,39766,#여성 #20대 #30대 #점심
1,1,44072,#여성 #20대 #30대 #직장인구 #관공서 #은생 #의료시설
1,3,39080,#남성 #20대 #30대 #토요일 #저녁 #밤 #은행 #슈퍼마켓
2,0,40395,#남성 #30대
2,2,42101,#남성 #20대 #30대 #대학교 #은행 #의료시설
2,3,35913,#남성 #20대 #30대
2,1,44763,#남성 #30대 #금요일 #저녁 #밤 #관공서
2,4,40415,#20대 #30대 #주중 #점심 #직장인구 #관공서 #은행
3,3,26042,#남성 #40대 #50대 #점심
3,0,24818,#남성 #40대 #50대
3,2,35141,#남성 #30대 #40대 #집객시설
3,4,32956,#남성 #30대 #주중 #점심
3,1,37377,#남성 #30대 #평일 #직장인구 #은행 #의료시설
4,3,12545,#남성 #30대 #40대 #50대 #토요일
4,1,12842,#남성 #30대 #40대 #금요일 #슈퍼마켓
4,0,14420,#20대 #30대 #금요일
4,2,13720,#20대 #30대 #금요일 #점심 #의료시설
4,4,17146,#남성 #20대 #30대 #주중 #점심 #직장인구 #은행
5,0,10201,#여성 #30대 #40대 #금요일 #저녁 #직장인구 #대학교
5,1,10098,#여성 #40대 #금요일 #저녁
5,2,10561,#여성 #30대 #금요일 #저녁 #직장인구 #관공서 #은행 #백화점 #슈퍼마켓 #의료시설
5,3,9516,#여성 #40대 #금요일 #저녁
5,4,5303,#여성 #30대 #금요일
6,0,7548,#여성 #20대 #30대 #토요일 #점심
6,1,8561,#여성 #20대 #금요일 #점심 #직장인구 #백화점 #의료시설
6,2,9390,#여성 #20대 #30대 #금요일 #점심 #직장인구 #관공서 #은행
6,3,8145,#여성 #20대 #30대 #토요일 #점심 #대학교 #슈퍼마켓
6,4,7208,#여성 #30대 #토요일 #점심
7,0,24583,#남성 #40대 #50대 #토요일 #저녁 #밤
7,1,26083,#남성 #40대 #토요일 #저녁 #밤
7,2,30873,#남성 #30대 #금요일 #밤 #직장인구 #대학교
7,3,44326,#남성 #30대 #토요일 #밤 #직장인구 #관공서 #은행 #의료시설
7,4,24276,#남성 #40대 #50대 #토요일 #저녁 #슈퍼마켓
8,1,35337,#남성 #20대 #30대 #금요일 #토요일 #밤
8,0,49348,#남성 #20대 #30대 #금요일 #토요일 #밤
8,2,57642,#남성 #30대 #40대 #주중 #직장인구 #은행 #밤
8,3,50095,#남성 #20대 #주말 #직장인구 #관공서 #은행 #밤 #새벽
8,4,49077,#남성 #20대 #30대 #주말 #의료시설 #밤 #새벽
9,0,13098,#남성 #40대 #토요일 #저녁
9,1,10191,#20대 #토요일 #저녁 #직장인구 #관공서
9,2,10344,#남성 #30대 #주중 #점심
9,3,12213,#20대 #30대 #금요일 #저녁
9,4,10059,#남성 #20대 #토요일 #직장인구 #은행 #대학교 #백화점
