,상권코드,분기당매출건수,주중매출건수,주말매출건수,월요일매출건수,화요일매출건수,수요일매출건수,목요일매출건수,금요일매출건수,토요일매출건수,일요일매출건수,시간대00~06매출건수,시간대06~11매출건수,시간대11~14매출건수,시간대14~17매출건수,시간대17~21매출건수,시간대21~24매출건수,남성매출건수,여성매출건수,연령대10매출건수,연령대20매출건수,연령대30매출건수,연령대40매출건수,연령대50매출건수,연령대60이상매출건수,분기당매출금액,주중매출금액,주말매출금액,월요일매출금액,화요일매출금액,수요일매출금액,목요일매출금액,금요일매출금액,토요일매출금액,일요일매출금액,시간대00~06매출금액,시간대06~11매출금액,시간대11~14매출금액,시간대14~17매출금액,시간대17~21매출금액,시간대21~24매출금액,남성매출금액,여성매출금액,연령대10매출금액,연령대20매출금액,연령대30매출금액,연령대40매출금액,연령대50매출금액,연령대60이상매출금액,점포수,총생활인구수,남성생활인구수,여성생활인구수,연령대10생활인구수,연령대20생활인구수,연령대30생활인구수,연령대40생활인구수,연령대50생활인구수,연령대60이상생활인구수,시간대00~06생활인구수,시간대06~11생활인구수,시간대11~14생활인구수,시간대14~17생활인구수,시간대17~21생활인구수,시간대21~24생활인구수,월요일생활인구수,화요일생활인구수,수요일생활인구수,목요일생활인구수,금요일생활인구수,토요일생활인구수,일요일생활인구수,총직장인구수,집객시설수,관공서수,은행수,대학교수,백화점수,슈퍼마켓수,의료시설수,교육시설수,여가시설수,교통시설수,시간대00~06유동인구수,시간대06~11유동인구수,시간대11~14유동인구수,시간대14~17유동인구수,시간대17~21유동인구수,시간대21~24유동인구수,총유동인구수,분기코드,행정동코드
0,1001491,2074598,1099063.0,975535.0,188526.0,187795.0,205569.0,213555.0,303618.0,552943.0,422592.0,318988.0,104177.0,349483.0,345889.0,577635.0,378426.0,1066346.0,922740.0,19123.0,812357.0,701879.0,217337.0,161291.0,77091.0,58281044956,30359872195.0,27921172761.0,4795365142.0,5030118635.0,5673623470.0,6079926312.0,8780838636.0,16069504623.0,11851668138.0,8908082874.0,1442182238.0,7256874342.0,7199400452.0,18745432947.0,14729072103.0,29479115111.0,23453167972.0,381097942.0,20722252477.0,19634368705.0,5924733499.0,4164422450.0,2105408036.0,661.0,2163881,1069449,1094432,134612,604883.0,528835.0,334062.0,243355.0,318133,455932.0,357174,275101,302222,456672,316779.0,272212.0,268884.0,280624.0,285787.0,319558.0,392204,344611,5839.0,63.0,5.0,6.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,114682,744240,490246,637296,1059433,507865,3553762,2,11170650
1,1001492,6567570,5598910.0,968660.0,1063056.0,1172370.0,1112968.0,1106857.0,1143659.0,598085.0,370575.0,18713.0,1156512.0,3027768.0,1013779.0,1066482.0,284316.0,2956994.0,2807063.0,28670.0,1173399.0,1825561.0,1378679.0,880044.0,477707.0,142020269131,119134696032.0,22885573099.0,20996904352.0,24652326643.0,24210321834.0,25058433585.0,24216709618.0,13859617811.0,9025955288.0,1216865413.0,6927722604.0,55475392791.0,15997074366.0,40985306889.0,21417907068.0,56125113693.0,42083222314.0,335162212.0,16239301686.0,29819588810.0,24053373883.0,17038571981.0,10722337410.0,1662.0,4382710,2227935,2154774,168316,787473.0,1109970.0,980707.0,689754.0,646489,283650.0,954286,1062169,1036994,809109,236500.0,679265.0,736783.0,709949.0,714472.0,725461.0,457803,358978,104830.0,426.0,14.0,57.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,264411,6440641,3046134,3555301,6652916,1819438,21778841,2,11140520
2,1001493,1522255,1143444.0,378811.0,211918.0,233733.0,237482.0,232525.0,227786.0,208391.0,170420.0,79868.0,140265.0,474512.0,284488.0,398927.0,144195.0,678851.0,775669.0,17590.0,379575.0,429206.0,286800.0,217316.0,124038.0,23991760038,17736701800.0,6255058238.0,3150139410.0,3537852881.0,3638535695.0,3641513270.0,3768660544.0,3634514257.0,2620543981.0,1193900694.0,1511363237.0,7519734262.0,3760764363.0,7116571453.0,2889426029.0,10965920863.0,10514092508.0,191109828.0,5045656030.0,6005747398.0,4499382746.0,3561866203.0,2176251158.0,522.0,3242889,1525455,1717434,162824,557728.0,783657.0,665252.0,505098.0,568330,708734.0,660722,488636,463436,521016,400344.0,505390.0,523329.0,517519.0,516023.0,487773.0,346944,345911,6054.0,149.0,3.0,12.0,0.0,0.0,3.0,17.0,0.0,0.0,0.0,350233,3072614,2197061,2420575,3131632,1194588,12366703,2,11140590
3,1001494,2976159,2263400.0,712759.0,413891.0,454626.0,449776.0,447013.0,498094.0,439630.0,273129.0,40756.0,267852.0,1091496.0,519382.0,762762.0,293911.0,1493627.0,1228900.0,13860.0,656737.0,732264.0,522665.0,445742.0,351257.0,70971119742,52608330949.0,18362788793.0,8802675339.0,10496879058.0,10519971806.0,10634674381.0,12154130365.0,11665218187.0,6697570606.0,2120921579.0,1807401824.0,17658711003.0,8501698767.0,25912245564.0,14970141005.0,36346684929.0,22638441780.0,226825515.0,13094163655.0,16335378118.0,11293425412.0,9582711795.0,8452622209.0,1032.0,4041501,2175790,1865710,144719,694844.0,752217.0,747809.0,739083.0,962830,461846.0,796050,830509,832729,788949,331417.0,612470.0,647447.0,635503.0,634828.0,649044.0,491187,371020,32935.0,243.0,5.0,18.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,198112,4643181,3891391,4189672,5590180,1620131,20132667,2,11110615
4,1001495,2613349,1669293.0,944056.0,307643.0,317061.0,329906.0,332080.0,382603.0,499939.0,444117.0,73947.0,202193.0,681845.0,564763.0,803801.0,286800.0,1198935.0,1291864.0,47326.0,715524.0,735696.0,471153.0,314145.0,206962.0,65086689704,40830860238.0,24255829466.0,7136823442.0,7601798484.0,7938138731.0,8172784623.0,9981314958.0,13331088737.0,10924740729.0,3588219788.0,2112130474.0,12505686953.0,9495235698.0,23549672606.0,13835744185.0,31866999982.0,26642716041.0,618187780.0,16170183048.0,17769297671.0,10549598710.0,7719363991.0,5683084839.0,721.0,3561819,1712126,1849694,387394,790978.0,848876.0,584508.0,440663.0,509399,595362.0,654385,544682,575567,779833,411990.0,493641.0,502218.0,505695.0,505711.0,525509.0,538563,490482,24375.0,149.0,3.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16503,249902,130116,152988,236040,88208,873757,2,11710566
5,1001496,1712133,1250234.0,461899.0,213112.0,233324.0,261756.0,269945.0,272097.0,245336.0,216563.0,138.0,162203.0,666253.0,369551.0,475437.0,38551.0,607602.0,900477.0,18642.0,407253.0,524038.0,298882.0,181453.0,77813.0,41755533735,28240105889.0,13515427846.0,4474671661.0,4853389489.0,6254262808.0,6375598642.0,6282183289.0,7292104701.0,6223323145.0,2200871.0,986618045.0,14387006962.0,8769838337.0,15409003169.0,2200866351.0,15002448935.0,18241131587.0,272798103.0,7926713750.0,12313599425.0,6732688234.0,4063043277.0,1934737733.0,219.0,106859,53586,53273,7510,22268.0,29894.0,23907.0,13306.0,9974,6498.0,20657,25172,25635,22596,6302.0,15012.0,16326.0,16915.0,17593.0,17247.0,12963,10805,15904.0,34.0,1.0,8.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,99764,1876381,954887,1156623,1913184,554530,6555369,2,11680580
6,2110001,50033,31804.0,18229.0,5414.0,6515.0,6758.0,6214.0,6903.0,9055.0,9174.0,65.0,12150.0,19098.0,8904.0,9321.0,495.0,28303.0,17080.0,218.0,2184.0,4226.0,9584.0,14508.0,14669.0,1190178264,735591301.0,454586963.0,107790797.0,217702476.0,144142799.0,128493006.0,137462223.0,219578989.0,235007974.0,988088.0,274690722.0,422291800.0,189595382.0,278387518.0,24224754.0,591654136.0,371840139.0,2019249.0,34165991.0,94091591.0,195905790.0,307591300.0,329720352.0,16.0,145911,63808,82104,25343,15525.0,14630.0,23229.0,24573.0,42612,38372.0,30756,16588,16749,24179,19270.0,20554.0,20348.0,20457.0,20486.0,20396.0,21350,22324,1066.0,12.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9008,137018,83783,103268,120551,44619,498247,2,11110560
7,2110002,86576,63816.0,22760.0,12429.0,13480.0,13693.0,11663.0,12551.0,13059.0,9701.0,120.0,16265.0,24887.0,17041.0,23064.0,5199.0,37142.0,45410.0,913.0,11391.0,16221.0,18735.0,20214.0,15077.0,1322377056,967189193.0,355187863.0,187384286.0,175417128.0,274079305.0,156160528.0,174147946.0,232669967.0,122517896.0,3377527.0,156803079.0,430177238.0,258386503.0,372665450.0,100967259.0,564117913.0,525783934.0,4895523.0,94428247.0,182727382.0,236183215.0,311230373.0,260437108.0,20.0,333379,155139,178240,65917,42483.0,39505.0,47505.0,49009.0,88958,77085.0,72080,41964,43353,57451,41446.0,47734.0,48186.0,48121.0,48486.0,48075.0,47139,45635,475.0,18.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,68423,857278,471475,538194,657983,240520,2833873,2,11110570
8,2110003,34569,25458.0,9111.0,5285.0,4808.0,5408.0,4837.0,5120.0,5237.0,3874.0,608.0,5185.0,10806.0,6145.0,8119.0,3303.0,17862.0,14402.0,358.0,3184.0,5748.0,8702.0,7414.0,6871.0,677444368,490250978.0,187193390.0,92990135.0,94861731.0,97789534.0,102544432.0,102065146.0,117268670.0,69924720.0,37852446.0,49082277.0,153305083.0,73228272.0,180316922.0,178697949.0,383700126.0,220175716.0,11530147.0,63300686.0,99030057.0,134309807.0,148354506.0,147350633.0,31.0,397065,179090,217975,77880,46006.0,41791.0,64398.0,61078.0,105912,133215.0,83820,38798,37310,52188,51733.0,57065.0,56396.0,56384.0,56408.0,55848.0,57002,57964,485.0,15.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23893,406430,258579,315631,372277,133727,1510537,2,11110550
9,2110004,14616,9357.0,5259.0,1795.0,1480.0,1835.0,2098.0,2149.0,2647.0,2612.0,0.0,1603.0,4418.0,2447.0,5343.0,805.0,6275.0,4292.0,22.0,681.0,1390.0,1975.0,2813.0,3684.0,705562710,393038306.0,312524404.0,55227955.0,60285932.0,90186287.0,78254796.0,109083336.0,162986152.0,149538252.0,0.0,21661566.0,175966241.0,148582220.0,290245077.0,69107606.0,349029285.0,220845858.0,431941.0,26432401.0,85817608.0,114184021.0,150007029.0,193002144.0,5.0,385468,182425,203042,79710,45169.0,50266.0,63712.0,55034.0,91578,77960.0,80574,50124,53010,74056,49744.0,54840.0,55607.0,54870.0,55205.0,54706.0,55016,55226,32.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,119882,1204737,671651,789079,950238,345729,4081316,2,11110570
