,상권구분코드명,상권코드,상권코드명,분기당매출건수,주중매출건수,주말매출건수,월요일매출건수,화요일매출건수,수요일매출건수,목요일매출건수,금요일매출건수,토요일매출건수,일요일매출건수,시간대00~06매출건수,시간대06~11매출건수,시간대11~14매출건수,시간대14~17매출건수,시간대17~21매출건수,시간대21~24매출건수,남성매출건수,여성매출건수,연령대10매출건수,연령대20매출건수,연령대30매출건수,연령대40매출건수,연령대50매출건수,연령대60이상매출건수,분기당매출금액,주중매출금액,주말매출금액,월요일매출금액,화요일매출금액,수요일매출금액,목요일매출금액,금요일매출금액,토요일매출금액,일요일매출금액,시간대00~06매출금액,시간대06~11매출금액,시간대11~14매출금액,시간대14~17매출금액,시간대17~21매출금액,시간대21~24매출금액,남성매출금액,여성매출금액,연령대10매출금액,연령대20매출금액,연령대30매출금액,연령대40매출금액,연령대50매출금액,연령대60이상매출금액,점포수, 상권구분코드명,총생활인구수,남성생활인구수,여성생활인구수,연령대10생활인구수,연령대20생활인구수,연령대30생활인구수,연령대40생활인구수,연령대50생활인구수,연령대60이상생활인구수,시간대1생활인구수,시간대2생활인구수,시간대3생활인구수,시간대4생활인구수,시간대5생활인구수,시간대6생활인구수,월요일생활인구수,화요일생활인구수,수요일생활인구수,목요일생활인구수,금요일생활인구수,토요일생활인구수,일요일생활인구수,총직장인구수,집객시설수,관공서수,은행수,대학교수,백화점수,슈퍼마켓수,의료시설수,교육시설수,여가시설수,교통시설수,00시~06시유동인구,06시~11시유동인구,11시~14시유동인구,14시~17시유동인구,17시~21시유동인구,21시~24시유동인구
0,관광특구,1001496,강남 마이스 관광특구,291792,191864,99928,34981,34244,34747,39421,48471,51746,48182,173.0,22404,74154,79132,102484,13445.0,105589,167250,7388.0,82959.0,82707.0,58015.0,29913.0,11858.0,3651812144,2352376753,1299435391,439992289,400593009,433670989,475043416,603077050,666614698,632820693,1036219.0,173257559,1062324924,962904999,1301729204,150559239.0,1347996972,1882935997,78089994.0,897598470.0,934809441.0,751199818.0,405175048.0,164060199.0,16.0,관광특구,112779,55430,57349.0,9270.0,24016.0,30650.0,24891.0,13753.0,10199.0,6759.0,21284,26523,27652,24056.0,6504.0,15622.0,16729.0,17618.0,18382.0,17770.0,14152.0,12509.0,15904.0,34.0,1.0,8.0,,1.0,,,,,,94713,1863405,870589,1052999,1866933,541492
1,관광특구,1001495,잠실 관광특구,71292,42220,29072,7752,8299,8206,7303,10660,16566,12506,,4627,20063,22999,22983,620.0,30011,37597,152.0,8374.0,18704.0,14990.0,10979.0,14411.0,2344646665,1421847654,922799011,279769425,280234861,216364764,286533420,358945184,524068440,398730571,,155441415,703511319,708996564,760699060,15998307.0,885675404,1146114373,2073335.0,273973668.0,604771214.0,466655305.0,291920302.0,392395954.0,40.0,관광특구,3462257,1669214,1793043.0,386966.0,763874.0,832217.0,569446.0,424261.0,485492.0,586315.0,639204,526430,554049,752595.0,403665.0,484642.0,493251.0,503128.0,504169.0,509741.0,503826.0,463502.0,24375.0,149.0,3.0,13.0,,,,,,,,13762,223462,105061,125835,215851,78465
2,관광특구,1001494,종로?청계 관광특구,66741,47820,18921,8613,8867,10129,9214,10997,11447,7474,,5506,12451,13968,25747,9069.0,27430,37418,1035.0,20293.0,16374.0,10425.0,9860.0,6863.0,705953547,499825178,206128369,85297144,91812263,108556756,92074724,122084291,123222010,82906359,,43289832,111477290,169588042,282437808,99160575.0,287082628,362206447,11453605.0,195117143.0,154033260.0,110768765.0,102960408.0,74955895.0,19.0,관광특구,3847828,2058936,1788892.0,156328.0,693404.0,724426.0,704612.0,685375.0,883685.0,444350.0,763158,789190,792496,745864.0,312772.0,569367.0,613810.0,625220.0,631340.0,612665.0,446058.0,349369.0,32935.0,243.0,5.0,18.0,,,6.0,,,,,178222,4322590,3460719,3714242,4978188,1350373
3,관광특구,1001493,동대문패션타운 관광특구,46172,29542,16630,5335,5408,5557,5969,7273,9695,6935,1.0,1061,12237,13917,15135,3821.0,17682,27162,936.0,14481.0,13292.0,8515.0,5397.0,2221.0,730286051,459610638,270675413,82012198,82127365,83976732,97664811,113829532,157103500,113571913,17155.0,15947264,219609354,203260739,239759452,51692087.0,285197915,405194546,11674889.0,213263128.0,195336704.0,148053427.0,88139850.0,33924465.0,23.0,관광특구,3028657,1419622,1609037.0,154373.0,521012.0,726519.0,607132.0,475170.0,544452.0,648852.0,616758,457079,437709,496812.0,371449.0,461027.0,492909.0,500811.0,493398.0,444803.0,315138.0,320572.0,6054.0,149.0,3.0,12.0,,,3.0,17.0,,,,287218,2851171,1978510,2164517,2812363,999309
4,관광특구,1001492,명동 남대문 북창동 다동 무교동 관광특구,547766,442678,105088,79959,86434,94654,88112,93519,58594,46494,10.0,137645,164524,113391,118482,13714.0,198740,316967,7710.0,127491.0,151893.0,112178.0,77394.0,39037.0,5328871369,4263704930,1065166439,768247457,782213707,932031957,852565665,928646144,599369151,465797288,275765.0,988703699,1694761825,1257976166,1241186795,145967119.0,1683769467,2804205279,49762708.0,1059073153.0,1293965834.0,1000834266.0,715792687.0,368546092.0,69.0,관광특구,4367217,2224106,2143112.0,197079.0,803497.0,1099102.0,976313.0,679434.0,611795.0,296674.0,964673,1043639,1021464,802848.0,237920.0,659203.0,731186.0,747350.0,748228.0,708085.0,426622.0,346542.0,104830.0,426.0,14.0,57.0,1.0,1.0,2.0,,,,,236385,5884842,2642608,3097027,5965200,1495243
5,관광특구,1001491,이태원 관광특구,81166,53803,27363,10344,9735,10198,10122,13404,15203,12160,3079.0,11319,17121,18303,24371,6973.0,30562,45956,923.0,26643.0,22201.0,11183.0,9309.0,6265.0,1093713509,701198354,392515155,146712800,107363087,130964128,126279323,189879016,217935878,174579277,27774584.0,91935078,256661731,280492581,341084927,95764608.0,361639201,584393269,10906169.0,346046846.0,273521094.0,138035854.0,113640577.0,63881931.0,21.0,관광특구,2108170,1048246,1059925.0,132557.0,608541.0,516877.0,322141.0,231047.0,297007.0,469819.0,349035,264136,289409,429441.0,306329.0,269641.0,261196.0,270391.0,278963.0,313242.0,371886.0,342851.0,5839.0,63.0,5.0,6.0,,,3.0,,,,,148029,698756,478057,621719,1125521,611127
6,전통시장,2130326,고덕 골목형상점가,54352,39953,14399,7363,7886,8360,7861,8483,7630,6769,,9599,11070,12261,17279,4143.0,19607,34392,982.0,7191.0,13854.0,14526.0,9393.0,8054.0,481249730,342903210,138346520,60549120,67749462,68783393,68571603,77249632,72620328,65726192,,86361940,107737685,103408270,150608986,33132849.0,180662085,291981063,5905068.0,57629704.0,113977261.0,136773368.0,81780918.0,76576830.0,2.0,전통시장,140332,64196,76136.0,26379.0,13049.0,22850.0,25679.0,19787.0,32587.0,33586.0,30929,16979,16926,24248.0,17663.0,19967.0,20241.0,20307.0,20391.0,20302.0,19747.0,19376.0,935.0,11.0,,,,,,,,,,91130,1211862,442720,502951,933081,312779
7,전통시장,2130325,명일전통시장,2948,2005,943,498,611,39,366,491,491,452,,275,1003,767,896,7.0,1212,1480,,72.0,197.0,478.0,682.0,1265.0,23912630,16553638,7358992,4717539,5607850,153299,2350579,3724371,3913047,3445945,,2547772,10308353,5687775,5349076,19654.0,7300031,10490478,,370144.0,1105848.0,4308087.0,3954320.0,8052112.0,1.0,전통시장,203108,89846,113262.0,35654.0,21756.0,26649.0,33010.0,31538.0,54500.0,38231.0,39526,28311,28916,42337.0,25788.0,28386.0,29158.0,29257.0,29213.0,29350.0,28860.0,28885.0,89.0,2.0,,,,,,,,,,62841,796122,409169,475524,742212,272870
8,전통시장,2130324,길동복조리시장,5642,4107,1535,756,969,836,678,868,803,732,,505,1197,1545,2025,370.0,2877,2648,16.0,540.0,777.0,1212.0,1538.0,1441.0,40720454,30683469,10036985,5092963,10430212,5397927,4096120,5666247,5646539,4390446,,3185959,8817139,13081500,13598040,2037816.0,19195179,16320414,93774.0,2743444.0,5185259.0,8685510.0,10158665.0,8648940.0,3.0,전통시장,486493,223362,263130.0,79013.0,55345.0,68549.0,73520.0,75217.0,134850.0,141612.0,98548,54302,53514,76496.0,62020.0,69410.0,68984.0,68816.0,68359.0,68891.0,70865.0,71171.0,154.0,5.0,,,,,,,,,,44035,588665,317851,359161,545931,184284
9,전통시장,2130323,둔촌역전통시장,9486,6579,2907,1497,1202,1117,1315,1448,1807,1100,,630,2143,2672,3711,330.0,5359,4127,,741.0,1074.0,1843.0,2380.0,3448.0,69324653,47321342,22003311,10396130,9423281,8331678,8218006,10952247,13113767,8889544,,4470430,14396606,20570882,27925029,1961706.0,37192195,32132458,,4393205.0,8684482.0,13478249.0,18542448.0,24226269.0,3.0,전통시장,343847,165124,178722.0,50900.0,45451.0,43897.0,53197.0,57061.0,93341.0,96348.0,68617,37497,38460,58125.0,44799.0,48688.0,48658.0,48312.0,48348.0,49173.0,49642.0,51023.0,171.0,6.0,,,,,,,,,,35105,666091,331085,387094,639959,211662
10,전통시장,2130322,고분다리전통시장,14208,10269,3939,1970,2023,2165,1903,2208,1995,1944,,2529,3422,3043,4051,1163.0,5440,8614,106.0,1828.0,2783.0,2882.0,3232.0,3224.0,146219611,106714101,39505510,17847857,28319410,19320403,17119522,24106909,20883714,18621796,,21952395,40108148,29972921,43524607,10661540.0,52621170,75486021,853144.0,14752580.0,24947376.0,27223927.0,32642610.0,27687554.0,3.0,전통시장,254824,125456,129369.0,32889.0,32452.0,40365.0,35291.0,44157.0,69671.0,73172.0,52250,28375,28067,40849.0,32112.0,35995.0,35377.0,35096.0,35142.0,34931.0,37960.0,40325.0,8.0,9.0,,,,,,,,,,8051,107533,52868,62307,94443,39790
