,상권코드,분기당매출건수,주중매출건수,주말매출건수,월요일매출건수,화요일매출건수,수요일매출건수,목요일매출건수,금요일매출건수,토요일매출건수,일요일매출건수,시간대00~06매출건수,시간대06~11매출건수,시간대11~14매출건수,시간대14~17매출건수,시간대17~21매출건수,시간대21~24매출건수,남성매출건수,여성매출건수,연령대10매출건수,연령대20매출건수,연령대30매출건수,연령대40매출건수,연령대50매출건수,연령대60이상매출건수,분기당매출금액,주중매출금액,주말매출금액,월요일매출금액,화요일매출금액,수요일매출금액,목요일매출금액,금요일매출금액,토요일매출금액,일요일매출금액,시간대00~06매출금액,시간대06~11매출금액,시간대11~14매출금액,시간대14~17매출금액,시간대17~21매출금액,시간대21~24매출금액,남성매출금액,여성매출금액,연령대10매출금액,연령대20매출금액,연령대30매출금액,연령대40매출금액,연령대50매출금액,연령대60이상매출금액,점포수,총생활인구수,남성생활인구수,여성생활인구수,연령대10생활인구수,연령대20생활인구수,연령대30생활인구수,연령대40생활인구수,연령대50생활인구수,연령대60이상생활인구수,시간대1생활인구수,시간대2생활인구수,시간대3생활인구수,시간대4생활인구수,시간대5생활인구수,시간대6생활인구수,월요일생활인구수,화요일생활인구수,수요일생활인구수,목요일생활인구수,금요일생활인구수,토요일생활인구수,일요일생활인구수,총직장인구수,집객시설수,관공서수,은행수,대학교수,백화점수,슈퍼마켓수,의료시설수,교육시설수,여가시설수,교통시설수,00시~06시유동인구,06시~11시유동인구,11시~14시유동인구,14시~17시유동인구,17시~21시유동인구,21시~24시유동인구
0,1001496,268493,179715,88778,32365,32230,35837,37658,41625,47437,41341,172.0,26846,70453,69820,89284,11918.0,101873,145541,6831.0,69501.0,75761.0,53747.0,29364.0,12209.0,3275467837,2143589485,1131878352,387588378,365445972,431185921,441714981,517654233,605549798,526328554,815950.0,201124861,962982969,862126042,1117475478,130942537.0,1257508618,1574727122,67489781.0,739791567.0,876824293.0,647022128.0,350255694.0,150852276.0,16.0,112658,55901,56757.0,8418.0,23312.0,31050.0,25243.0,14171.0,10465.0,6927.0,21425,26597,27297,24047.0,6364.0,15275.0,17149.0,17951.0,18478.0,18144.0,13757.0,11903.0,15904.0,34.0,1.0,8.0,,1.0,,,,,,97471,1876586,904782,1110564,1884407,540901
1,1001495,81588,49368,32220,9835,9219,9388,8947,11979,18231,13989,,5219,24840,27060,23581,888.0,35279,42234,141.0,9838.0,21264.0,20250.0,12602.0,13420.0,2858595699,1789743768,1068851931,386141855,319262443,276704101,368565960,439069409,635757791,433094140,,210310747,836541105,916677351,872939081,22127415.0,1211986194,1358090887,5205591.0,321174234.0,729396614.0,688322881.0,460321623.0,365656140.0,40.0,3632727,1757144,1875581.0,420460.0,782581.0,868287.0,604063.0,446690.0,510646.0,609917.0,661280,560811,591956,790967.0,417796.0,498146.0,511833.0,518698.0,520540.0,535444.0,549320.0,498745.0,24375.0,149.0,3.0,13.0,,,,,,,,14849,231566,119472,146958,226226,79155
2,1001494,51203,36341,14862,5955,6851,7908,7440,8187,9349,5513,,4619,9934,10476,19058,7116.0,20953,28206,845.0,15335.0,11687.0,7987.0,8003.0,5299.0,519025478,367447874,151577604,62434483,66883828,83529158,72767111,81833294,94840814,56736790,,32200568,89406714,120512495,205607427,71298274.0,207251194,245106602,8388460.0,128371573.0,96562513.0,74974057.0,86260313.0,57800880.0,20.0,3957665,2127522,1830142.0,153739.0,683891.0,754661.0,740487.0,714745.0,910141.0,454100.0,764869,816677,826502,772949.0,322568.0,584215.0,632025.0,633852.0,637559.0,635029.0,473775.0,361210.0,32935.0,243.0,5.0,18.0,,,6.0,,,,,188742,4473529,3784701,4247394,5453726,1487090
3,1001493,38870,23961,14909,4286,4015,4769,4990,5901,9033,5876,1.0,998,10655,11861,12366,2989.0,15134,22020,826.0,11385.0,11028.0,7225.0,4713.0,1980.0,629835350,379267419,250567931,64158342,64311031,75310060,79041185,96446801,150570871,99997060,24657.0,12155206,194648200,180023891,198359261,44624135.0,242187417,342126498,11081847.0,173413873.0,169973102.0,122902355.0,76998876.0,29943863.0,22.0,3249964,1534697,1715268.0,159801.0,553169.0,792382.0,652721.0,508656.0,583237.0,713818.0,656245,486928,464319,527135.0,401520.0,503703.0,522616.0,525575.0,525777.0,483198.0,339784.0,349309.0,6054.0,149.0,3.0,12.0,,,3.0,17.0,,,,312860,2956891,2130916,2384259,3010817,1066861
4,1001492,553185,435526,117659,78032,85036,93217,88561,90680,69814,47845,32.0,129300,162050,123101,122954,15748.0,198044,320106,8571.0,126635.0,147459.0,115151.0,79455.0,40883.0,6091045518,4763012965,1328032553,819381279,961800006,976890520,958311637,1046629523,823082179,504950374,2213287.0,1028668832,1941739587,1551524379,1398140388,168759045.0,1866720026,2996817267,56627580.0,1078857387.0,1347689710.0,1084061275.0,818739236.0,477562107.0,71.0,4667755,2345370,2322385.0,228777.0,839000.0,1165914.0,1041428.0,724056.0,668582.0,282967.0,971749,1115202,1119293,925074.0,253470.0,679317.0,768449.0,774811.0,784367.0,764916.0,503227.0,392668.0,104830.0,426.0,14.0,57.0,1.0,1.0,2.0,,,,,259838,6251116,3028660,3707418,6838800,1808023
5,1001491,67281,43759,23522,8688,8193,8555,8201,10122,13486,10036,1592.0,10725,14564,15929,19052,5419.0,27139,35693,639.0,19128.0,18431.0,10125.0,8753.0,5758.0,851810122,531189729,320620393,103565878,96084755,93632420,105557424,132349252,196533196,124087197,14935515.0,89024055,206658386,232855100,243990501,64346565.0,303739642,412109520,6476454.0,221022392.0,204845297.0,112722634.0,107440103.0,63342289.0,20.0,1932414,970165,962249.0,125978.0,477674.0,475694.0,322464.0,237115.0,293490.0,386686.0,344206,267076,289866,391413.0,253167.0,254239.0,250796.0,255809.0,261940.0,286186.0,333111.0,290333.0,5839.0,63.0,5.0,6.0,,,3.0,,,,,97967,696565,473446,637331,1077806,498871
6,2130326,49990,35541,14449,7861,6999,6914,6999,6768,8604,5845,,7947,10741,12029,15798,3475.0,18472,31154,565.0,5292.0,12552.0,15072.0,8783.0,7361.0,474056473,328949356,145107117,68736734,65435783,62821535,67325998,64629306,87760282,57346835,,74480409,110277496,109375318,148556920,31366330.0,186296152,276561922,2687680.0,44525580.0,117773626.0,145414327.0,84371779.0,68085081.0,2.0,147720,68341,79379.0,29412.0,13392.0,23412.0,27522.0,20231.0,33750.0,36781.0,32895,17637,17495,24680.0,18232.0,21216.0,21130.0,21065.0,21411.0,21288.0,20901.0,20709.0,935.0,11.0,,,,,,,,,,93697,1199645,451428,532729,958578,328561
7,2130325,3348,2057,1291,459,590,59,412,537,616,675,,294,1116,1041,897,,1585,1533,20.0,130.0,242.0,707.0,760.0,1258.0,30228668,17325372,12903296,3630689,5619642,303977,3103971,4667093,4516415,8386881,,6753006,9015142,8164792,6295728,,9178268,12727067,85166.0,488722.0,1472717.0,5854176.0,5206259.0,8798296.0,1.0,235226,103286,131940.0,42483.0,24487.0,31586.0,37835.0,34976.0,63858.0,46849.0,44457,31730,33199,48589.0,30402.0,33171.0,33181.0,33559.0,32384.0,34548.0,33996.0,34387.0,89.0,2.0,,,,,,,,,,63350,818407,424572,504871,758609,283802
8,2130324,6682,4751,1931,1119,1040,851,709,1032,977,954,,519,1308,1749,2547,559.0,3813,2687,56.0,601.0,1215.0,1446.0,1714.0,1469.0,45252751,31101514,14151237,6826604,6927471,5416052,4503525,7427862,7051191,7100046,,3979494,9390816,11646126,16239486,3996829.0,24414659,18538654,174153.0,3506558.0,7632276.0,10321345.0,11210725.0,10108256.0,1.0,459772,208444,251329.0,72778.0,50427.0,65855.0,71189.0,70730.0,128794.0,131738.0,90775,51528,51448,73557.0,60725.0,66246.0,65632.0,64805.0,64810.0,64266.0,66298.0,67717.0,154.0,5.0,,,,,,,,,,45326,599357,325013,383230,559853,192553
9,2130323,19072,11713,7359,2695,2674,1475,1871,2998,3377,3982,,1382,4425,5305,7471,489.0,9500,9290,,1529.0,3384.0,3419.0,5437.0,5022.0,154509262,88986721,65522541,20000969,20673701,9675181,13735895,24900975,30123978,35398563,,12875565,39118134,42713603,54893873,4908087.0,75723096,75356095,,11022548.0,28638044.0,29363399.0,48634634.0,33420567.0,3.0,369289,181530,187759.0,50918.0,46914.0,47037.0,59827.0,62994.0,101601.0,102616.0,74772,40196,41953,61826.0,47925.0,52185.0,51701.0,52464.0,51840.0,53128.0,54054.0,53919.0,171.0,6.0,,,,,,,,,,36953,706452,352812,427903,685947,226860
