,상권코드,분기당매출건수,주중매출건수,주말매출건수,월요일매출건수,화요일매출건수,수요일매출건수,목요일매출건수,금요일매출건수,토요일매출건수,일요일매출건수,시간대00~06매출건수,시간대06~11매출건수,시간대11~14매출건수,시간대14~17매출건수,시간대17~21매출건수,시간대21~24매출건수,남성매출건수,여성매출건수,연령대10매출건수,연령대20매출건수,연령대30매출건수,연령대40매출건수,연령대50매출건수,연령대60이상매출건수,분기당매출금액,주중매출금액,주말매출금액,월요일매출금액,화요일매출금액,수요일매출금액,목요일매출금액,금요일매출금액,토요일매출금액,일요일매출금액,시간대00~06매출금액,시간대06~11매출금액,시간대11~14매출금액,시간대14~17매출금액,시간대17~21매출금액,시간대21~24매출금액,남성매출금액,여성매출금액,연령대10매출금액,연령대20매출금액,연령대30매출금액,연령대40매출금액,연령대50매출금액,연령대60이상매출금액,점포수,총생활인구수,남성생활인구수,여성생활인구수,연령대10생활인구수,연령대20생활인구수,연령대30생활인구수,연령대40생활인구수,연령대50생활인구수,연령대60이상생활인구수,시간대1생활인구수,시간대2생활인구수,시간대3생활인구수,시간대4생활인구수,시간대5생활인구수,시간대6생활인구수,월요일생활인구수,화요일생활인구수,수요일생활인구수,목요일생활인구수,금요일생활인구수,토요일생활인구수,일요일생활인구수,총직장인구수,집객시설수,관공서수,은행수,대학교수,백화점수,슈퍼마켓수,의료시설수,교육시설수,여가시설수,교통시설수,00시~06시유동인구,06시~11시유동인구,11시~14시유동인구,14시~17시유동인구,17시~21시유동인구,21시~24시유동인구
0,1001496,180625,129840,50785,22916,23612,25208,27200,30904,25974,24811,,27690.0,55441,38844,51605,7045.0,85629,83137,3373.0,51643.0,55195.0,33330.0,16618.0,8611.0,2198345928,1470446918,727899010,253949978,264786036,282102536,310089944,359518424,373168705,354730305,,144310570.0,739250529,470411790,750607770,93765269.0,959670762,958800686,38907740.0,583160806.0,633762990.0,393416663.0,178353104.0,90870143.0,14.0,112779,55430,57349.0,9270.0,24016.0,30650.0,24891.0,13753.0,10199.0,6759.0,21284,26523,27652,24056.0,6504.0,15622.0,16729.0,17618.0,18382.0,17770.0,14152.0,12509.0,15904.0,34.0,1.0,8.0,,1.0,,,,,,94713,1863405,870589,1052999,1866933,541492
1,1001495,547340,368137,179203,74793,66804,72453,68547,85540,91772,87431,,43261.0,153072,135464,186933,28610.0,249233,292476,28901.0,138747.0,133677.0,143880.0,57467.0,39036.0,5332493886,3459985625,1872508261,728317850,617381684,649914098,631849694,832522299,958330990,914177271,,372886655.0,1604410779,1230089078,1866284587,258822787.0,2540278088,2656819317,227516698.0,1222150944.0,1286103573.0,1564341142.0,542594818.0,354390232.0,45.0,3462257,1669214,1793043.0,386966.0,763874.0,832217.0,569446.0,424261.0,485492.0,586315.0,639204,526430,554049,752595.0,403665.0,484642.0,493251.0,503128.0,504169.0,509741.0,503826.0,463502.0,24375.0,149.0,3.0,13.0,,,,,,,,13762,223462,105061,125835,215851,78465
2,1001494,52800,41424,11376,7533,8010,8784,8449,8648,6738,4638,,3743.0,22310,9580,15006,2161.0,28719,22496,744.0,14987.0,12658.0,8730.0,8053.0,6036.0,399107984,306218301,92889683,56366763,58828174,65065132,59347107,66611125,54012914,38876769,,24412155.0,167232787,73076213,115643878,18742951.0,209426311,152445412,5511063.0,103016333.0,90789592.0,67668593.0,57332340.0,37553803.0,24.0,3847828,2058936,1788892.0,156328.0,693404.0,724426.0,704612.0,685375.0,883685.0,444350.0,763158,789190,792496,745864.0,312772.0,569367.0,613810.0,625220.0,631340.0,612665.0,446058.0,349369.0,32935.0,243.0,5.0,18.0,,,6.0,,,,,178222,4322590,3460719,3714242,4978188,1350373
3,1001493,215998,157391,58607,25848,31134,32039,31926,36444,30711,27896,22466.0,19798.0,54793,36034,58175,24732.0,111957,99359,3677.0,65013.0,59331.0,37962.0,29048.0,16285.0,1905816916,1362336444,543480472,212897457,266039391,273754965,279116287,330528344,284839397,258641075,220523907.0,172619193.0,465766943,317435289,527567491,201904093.0,985252675,838716202,30490956.0,561589289.0,528846449.0,332817392.0,248984057.0,121240737.0,25.0,3028657,1419622,1609037.0,154373.0,521012.0,726519.0,607132.0,475170.0,544452.0,648852.0,616758,457079,437709,496812.0,371449.0,461027.0,492909.0,500811.0,493398.0,444803.0,315138.0,320572.0,6054.0,149.0,3.0,12.0,,,3.0,17.0,,,,287218,2851171,1978510,2164517,2812363,999309
4,1001492,179062,147202,31860,26302,29277,29907,30401,31315,17012,14848,,40035.0,67666,26667,42234,2460.0,82915,82860,1400.0,48108.0,59425.0,29781.0,18135.0,8929.0,1930080582,1522354034,407726548,249478347,305122105,327163015,297086005,343504562,214469193,193257355,,228917983.0,797832256,303504042,558818898,41007403.0,803330272,773282416,16079381.0,452499233.0,543155865.0,303777605.0,177002485.0,84098115.0,70.0,4367217,2224106,2143112.0,197079.0,803497.0,1099102.0,976313.0,679434.0,611795.0,296674.0,964673,1043639,1021464,802848.0,237920.0,659203.0,731186.0,747350.0,748228.0,708085.0,426622.0,346542.0,104830.0,426.0,14.0,57.0,1.0,1.0,2.0,,,,,236385,5884842,2642608,3097027,5965200,1495243
5,1001491,304485,164791,139694,33280,26458,29591,30660,44802,70856,68838,78616.0,9990.0,45812,39542,80032,50493.0,198014,100712,3848.0,134358.0,96708.0,31149.0,22624.0,10044.0,4859114315,2545103002,2314011313,475563617,396031207,446301483,472078252,755128443,1194601838,1119409475,1102146963.0,102222270.0,784683462,626761898,1453648006,789651716.0,3124282352,1573664226,51422364.0,2148302398.0,1543093308.0,457093804.0,363595516.0,134439188.0,34.0,2108170,1048246,1059925.0,132557.0,608541.0,516877.0,322141.0,231047.0,297007.0,469819.0,349035,264136,289409,429441.0,306329.0,269641.0,261196.0,270391.0,278963.0,313242.0,371886.0,342851.0,5839.0,63.0,5.0,6.0,,,3.0,,,,,148029,698756,478057,621719,1125521,611127
6,2130324,6031,3792,2239,649,714,780,886,763,1112,1127,,18.0,755,986,3217,1055.0,3374,2637,56.0,1435.0,1149.0,1434.0,1333.0,605.0,88215165,55280442,32934723,9072019,9458843,11158675,13958041,11632864,15085323,17849400,,210077.0,10433814,14536397,48790231,14244646.0,50164796,37623978,964320.0,20881519.0,16481945.0,21532662.0,19945358.0,7982971.0,3.0,486493,223362,263130.0,79013.0,55345.0,68549.0,73520.0,75217.0,134850.0,141612.0,98548,54302,53514,76496.0,62020.0,69410.0,68984.0,68816.0,68359.0,68891.0,70865.0,71171.0,154.0,5.0,,,,,,,,,,44035,588665,317851,359161,545931,184284
7,2130323,762,455,307,92,98,92,74,99,97,210,6.0,,24,92,480,68.0,347,304,6.0,44.0,166.0,204.0,168.0,63.0,20645771,12511861,8133910,2148104,2148104,2431444,2146260,3637949,2669304,5464606,163489.0,,682845,2743673,12246960,2660700.0,9597934,7919411,109085.0,1060666.0,5076780.0,5409899.0,4194769.0,1666146.0,2.0,343847,165124,178722.0,50900.0,45451.0,43897.0,53197.0,57061.0,93341.0,96348.0,68617,37497,38460,58125.0,44799.0,48688.0,48658.0,48312.0,48348.0,49173.0,49642.0,51023.0,171.0,6.0,,,,,,,,,,35105,666091,331085,387094,639959,211662
8,2130322,362,243,119,20,71,34,58,60,60,59,,,47,33,164,118.0,242,114,,68.0,20.0,79.0,100.0,88.0,5153405,3428361,1725044,184356,876349,526731,974452,866473,928364,796680,,,612325,539898,2377534,1623648.0,3323445,1685108,,772600.0,259315.0,1009105.0,1670996.0,1296538.0,3.0,254824,125456,129369.0,32889.0,32452.0,40365.0,35291.0,44157.0,69671.0,73172.0,52250,28375,28067,40849.0,32112.0,35995.0,35377.0,35096.0,35142.0,34931.0,37960.0,40325.0,8.0,9.0,,,,,,,,,,8051,107533,52868,62307,94443,39790
9,2130318,5487,4065,1422,889,861,676,756,883,736,686,18.0,,1717,1049,1704,999.0,3352,2055,165.0,1543.0,1366.0,1051.0,837.0,446.0,153263295,110084102,43179193,21876108,22167138,19415821,19893705,26731330,22677612,20501581,1073395.0,,32695172,22795799,53340217,43358712.0,97018690,51411578,2930800.0,40968013.0,41114830.0,28745180.0,23031799.0,11639646.0,6.0,384799,181045,203753.0,31220.0,85574.0,75364.0,57924.0,57752.0,76964.0,59499.0,62507,57358,65910,90546.0,48977.0,50582.0,51084.0,51661.0,51945.0,56315.0,62462.0,60750.0,266.0,37.0,1.0,1.0,,,,,,,,73690,433367,264019,311264,469826,202724
