,상권구분코드명,상권코드,상권코드명,분기당매출건수,주중매출건수,주말매출건수,월요일매출건수,화요일매출건수,수요일매출건수,목요일매출건수,금요일매출건수,토요일매출건수,일요일매출건수,시간대00~06매출건수,시간대06~11매출건수,시간대11~14매출건수,시간대14~17매출건수,시간대17~21매출건수,시간대21~24매출건수,남성매출건수,여성매출건수,연령대10매출건수,연령대20매출건수,연령대30매출건수,연령대40매출건수,연령대50매출건수,연령대60이상매출건수,분기당매출금액,주중매출금액,주말매출금액,월요일매출금액,화요일매출금액,수요일매출금액,목요일매출금액,금요일매출금액,토요일매출금액,일요일매출금액,시간대00~06매출금액,시간대06~11매출금액,시간대11~14매출금액,시간대14~17매출금액,시간대17~21매출금액,시간대21~24매출금액,남성매출금액,여성매출금액,연령대10매출금액,연령대20매출금액,연령대30매출금액,연령대40매출금액,연령대50매출금액,연령대60이상매출금액,점포수, 상권구분코드명,총생활인구수,남성생활인구수,여성생활인구수,연령대10생활인구수,연령대20생활인구수,연령대30생활인구수,연령대40생활인구수,연령대50생활인구수,연령대60이상생활인구수,시간대1생활인구수,시간대2생활인구수,시간대3생활인구수,시간대4생활인구수,시간대5생활인구수,시간대6생활인구수,월요일생활인구수,화요일생활인구수,수요일생활인구수,목요일생활인구수,금요일생활인구수,토요일생활인구수,일요일생활인구수,총직장인구수,집객시설수,관공서수,은행수,대학교수,백화점수,슈퍼마켓수,의료시설수,교육시설수,여가시설수,교통시설수,00시~06시유동인구,06시~11시유동인구,11시~14시유동인구,14시~17시유동인구,17시~21시유동인구,21시~24시유동인구
0,관광특구,1001496,강남 마이스 관광특구,152432,109442,42990,18807,20619,22697,22983,24336,23520,19470,,19445.0,47707,33101,45635,6544.0,71500,68913,2992.0,43927.0,46903.0,26325.0,13203.0,7060.0,1842714083,1263897841,578816242,219527910,228174586,262453898,266998927,286742520,320857665,257958577,,113634722.0,616192505,376811437,648312003,87763416.0,798828597,759783488,27421322.0,469607064.0,543766061.0,300326060.0,142008152.0,75483425.0,14.0,관광특구,112658,55901,56757.0,8418.0,23312.0,31050.0,25243.0,14171.0,10465.0,6927.0,21425,26597,27297,24047.0,6364.0,15275.0,17149.0,17951.0,18478.0,18144.0,13757.0,11903.0,15904.0,34.0,1.0,8.0,,1.0,,,,,,97471,1876586,904782,1110564,1884407,540901
1,관광특구,1001495,잠실 관광특구,536112,346615,189497,67292,64636,69496,66938,78253,101029,88468,,39713.0,155997,133974,179036,27392.0,243621,283825,38728.0,135335.0,128266.0,131779.0,58053.0,35286.0,5250232020,3285117441,1965114579,639587803,612439120,621460916,629258862,782370740,1050219185,914895394,,337869278.0,1618800129,1273219530,1784866852,235476231.0,2453889216,2522331502,319572099.0,1170387856.0,1258986595.0,1360098661.0,543893638.0,323281867.0,45.0,관광특구,3632727,1757144,1875581.0,420460.0,782581.0,868287.0,604063.0,446690.0,510646.0,609917.0,661280,560811,591956,790967.0,417796.0,498146.0,511833.0,518698.0,520540.0,535444.0,549320.0,498745.0,24375.0,149.0,3.0,13.0,,,,,,,,14849,231566,119472,146958,226226,79155
2,관광특구,1001494,종로?청계 관광특구,49616,38547,11069,6707,7873,7821,8451,7695,7006,4063,,4210.0,20496,9054,13691,2165.0,27236,20376,919.0,14169.0,12732.0,7748.0,7024.0,5017.0,387425956,296082999,91342957,53558089,57438957,64648776,64535011,55902166,57387335,33955622,,26235494.0,165445990,68856430,108380147,18507895.0,200291954,140035750,6335937.0,99556063.0,91359315.0,60643897.0,50395215.0,32037276.0,24.0,관광특구,3957665,2127522,1830142.0,153739.0,683891.0,754661.0,740487.0,714745.0,910141.0,454100.0,764869,816677,826502,772949.0,322568.0,584215.0,632025.0,633852.0,637559.0,635029.0,473775.0,361210.0,32935.0,243.0,5.0,18.0,,,6.0,,,,,188742,4473529,3784701,4247394,5453726,1487090
3,관광특구,1001493,동대문패션타운 관광특구,200260,143078,57182,22929,27904,29099,31370,31776,31818,25364,21258.0,16995.0,53365,34813,52661,21168.0,106674,89954,3267.0,63343.0,55850.0,34752.0,27384.0,12035.0,1846334084,1288674184,557659900,196305580,250920403,259957020,293333163,288158018,312521214,245138686,220463089.0,155448928.0,462980632,314041879,508513829,184885727.0,969165627,804609291,24564432.0,573709327.0,523983932.0,314300686.0,244961652.0,92254889.0,26.0,관광특구,3249964,1534697,1715268.0,159801.0,553169.0,792382.0,652721.0,508656.0,583237.0,713818.0,656245,486928,464319,527135.0,401520.0,503703.0,522616.0,525575.0,525777.0,483198.0,339784.0,349309.0,6054.0,149.0,3.0,12.0,,,3.0,17.0,,,,312860,2956891,2130916,2384259,3010817,1066861
4,관광특구,1001492,명동 남대문 북창동 다동 무교동 관광특구,160400,130278,30122,23503,25663,26704,27960,26448,16910,13212,,35455.0,60723,25447,37015,1760.0,73820,75455,1535.0,41511.0,52505.0,29607.0,15956.0,8163.0,1618619876,1275695864,342924012,222932443,244342359,252843422,283544466,272033174,189372383,153551629,,197112406.0,677619126,275288476,442219830,26380038.0,672275396,639026083,12335369.0,360692888.0,463405551.0,266218312.0,138799452.0,69849903.0,69.0,관광특구,4667755,2345370,2322385.0,228777.0,839000.0,1165914.0,1041428.0,724056.0,668582.0,282967.0,971749,1115202,1119293,925074.0,253470.0,679317.0,768449.0,774811.0,784367.0,764916.0,503227.0,392668.0,104830.0,426.0,14.0,57.0,1.0,1.0,2.0,,,,,259838,6251116,3028660,3707418,6838800,1808023
5,관광특구,1001491,이태원 관광특구,225738,121398,104340,23482,21048,19980,23746,33142,56675,47665,40708.0,7712.0,36395,34925,66420,39578.0,149153,73718,4137.0,97812.0,68635.0,25390.0,18831.0,8070.0,3405928024,1691493298,1714434726,327710481,282206608,269011641,328291229,484273339,931723884,782710842,581573882.0,105538449.0,533501282,522695384,1077134604,585484423.0,2269285425,1053860332,49270491.0,1496952362.0,1040888339.0,347133874.0,282776734.0,106123959.0,37.0,관광특구,1932414,970165,962249.0,125978.0,477674.0,475694.0,322464.0,237115.0,293490.0,386686.0,344206,267076,289866,391413.0,253167.0,254239.0,250796.0,255809.0,261940.0,286186.0,333111.0,290333.0,5839.0,63.0,5.0,6.0,,,3.0,,,,,97967,696565,473446,637331,1077806,498871
6,전통시장,2130324,길동복조리시장,5539,3371,2168,715,560,489,691,916,1144,1024,,18.0,766,952,2978,825.0,3234,2279,99.0,1239.0,1023.0,1227.0,1255.0,669.0,83607416,50628899,32978517,11263800,7784149,7499361,9667317,14414272,17310996,15667521,,342072.0,11783328,14493031,44300178,12688807.0,46898477,36035027,958711.0,17060292.0,14867627.0,19665064.0,19579600.0,10802210.0,3.0,전통시장,459772,208444,251329.0,72778.0,50427.0,65855.0,71189.0,70730.0,128794.0,131738.0,90775,51528,51448,73557.0,60725.0,66246.0,65632.0,64805.0,64810.0,64266.0,66298.0,67717.0,154.0,5.0,,,,,,,,,,45326,599357,325013,383230,559853,192553
7,전통시장,2130323,둔촌역전통시장,719,466,253,37,67,134,86,142,117,136,6.0,,12,74,479,148.0,435,259,6.0,63.0,155.0,173.0,179.0,118.0,20301583,13510008,6791575,1155490,2649636,3827253,1947122,3930507,2998127,3793448,190533.0,,330667,2431445,13590524,3758414.0,11291892,7712839,165333.0,2101805.0,3804141.0,5031131.0,4906752.0,2995568.0,2.0,전통시장,369289,181530,187759.0,50918.0,46914.0,47037.0,59827.0,62994.0,101601.0,102616.0,74772,40196,41953,61826.0,47925.0,52185.0,51701.0,52464.0,51840.0,53128.0,54054.0,53919.0,171.0,6.0,,,,,,,,,,36953,706452,352812,427903,685947,226860
8,전통시장,2130318,로데오거리상점가,4982,3292,1690,573,688,579,625,827,944,746,34.0,,1429,938,1539,1042.0,3233,1749,154.0,1411.0,1415.0,1012.0,633.0,357.0,147086130,90666336,56419794,15488716,17759339,16343816,17380496,23693969,32943107,23476687,2384037.0,,25215558,21078763,50499337,47908435.0,98771796,48314334,3337257.0,41382111.0,46004511.0,30698058.0,17896344.0,7767849.0,6.0,전통시장,381567,179019,202548.0,29357.0,82373.0,75471.0,58588.0,57107.0,78673.0,60077.0,63587,57677,65397,87318.0,47512.0,50086.0,50474.0,50975.0,51222.0,55923.0,63001.0,59886.0,266.0,37.0,1.0,1.0,,,,,,,,76070,450162,273222,335191,489368,211449
9,전통시장,2130317,마천중앙시장,4115,2377,1738,440,545,407,570,415,869,869,,,260,635,2002,349.0,1718,1528,73.0,501.0,674.0,798.0,847.0,353.0,70500058,39118440,31381618,7222823,9786321,6655154,8617623,6836519,15690809,15690809,,,4683739,9947353,33463633,6714524.0,28497271,26311978,1021402.0,7653751.0,11002451.0,14651092.0,14905889.0,5574664.0,2.0,전통시장,446769,216374,230395.0,60001.0,44659.0,58165.0,62138.0,77094.0,144713.0,120623.0,89977,51523,51652,75237.0,57756.0,63718.0,62026.0,61636.0,61430.0,61234.0,67139.0,69586.0,107.0,9.0,,,,,,,,,,61994,702388,295521,362134,557312,206252
10,전통시장,2130315,문정동 로데오거리 상점가(문정동 로데오거리),38579,26711,11868,5454,5195,5296,4742,6024,6366,5502,759.0,2105.0,12513,7174,12953,3075.0,21235,15776,820.0,8674.0,10532.0,7703.0,5496.0,3783.0,668370057,425600690,242769367,83131330,71714964,89352693,79547423,101854280,117182089,125587278,8114967.0,18304622.0,232553168,117259890,253365997,38771413.0,346179466,259006807,7816044.0,123158339.0,160187398.0,139108701.0,103762997.0,71152794.0,6.0,전통시장,615949,294453,321495.0,88721.0,94332.0,121922.0,99174.0,90938.0,120863.0,139357.0,127736,85488,85959,106920.0,70490.0,91569.0,92299.0,91426.0,91370.0,90550.0,80337.0,78399.0,1372.0,15.0,2.0,,,,,,,,,68855,1627894,501112,632169,1460801,364726
11,전통시장,2130314,풍납시장,7677,5300,2377,1247,857,1083,1000,1113,1252,1125,,283.0,1137,1471,3856,930.0,4446,3134,83.0,876.0,1988.0,1702.0,1760.0,1171.0,122833927,79759284,43074643,16978842,14690838,16441024,15799380,15849200,24324319,18750324,,2312136.0,14063101,22872964,70828372,12757354.0,64484794,53664663,1436802.0,10883811.0,29397691.0,34498143.0,23216185.0,18716823.0,3.0,전통시장,1262187,580028,682157.0,165203.0,139494.0,197548.0,193257.0,206539.0,360145.0,335919.0,253940,141102,142421,217998.0,170807.0,178975.0,177295.0,174166.0,173576.0,176761.0,190521.0,190892.0,202.0,21.0,1.0,,,,,,,,,35119,226555,103519,123327,177929,83162
12,전통시장,2130313,방이시장,11181,7118,4063,1374,1297,1150,1457,1840,2167,1896,,109.0,1784,1989,5097,2202.0,6326,4485,129.0,1858.0,3368.0,2396.0,1941.0,1119.0,166727516,107298457,59429059,20033728,18644791,15841162,26277100,26501676,31078390,28350669,,1667546.0,28320865,26846761,77913560,31978784.0,89727064,64017543,1278310.0,25432517.0,45016646.0,34700105.0,30427746.0,16889281.0,6.0,전통시장,1005440,461317,544124.0,129842.0,145818.0,211261.0,169613.0,141820.0,207087.0,302866.0,210272,107906,104222,149792.0,130382.0,144550.0,142114.0,141533.0,141113.0,141654.0,145775.0,148700.0,3469.0,33.0,,1.0,,,,,,,,42814,574960,307184,354183,625664,239566
13,전통시장,2130310,강남개포시장,10205,7952,2253,1457,1550,1684,1764,1497,2005,248,,725.0,3920,2428,3122,10.0,4785,5081,493.0,2202.0,1955.0,2622.0,1727.0,867.0,90096835,65606939,24489896,12491636,12160616,14371054,13999581,12584052,17891464,6598432,,6133725.0,33450967,19252857,30396219,863067.0,43081250,39564198,3725017.0,14720576.0,14009614.0,24222895.0,16453881.0,9513467.0,5.0,전통시장,211859,95107,116752.0,48064.0,22368.0,22914.0,36559.0,32639.0,49312.0,25412.0,42559,37800,41098,46461.0,18531.0,29824.0,30279.0,30862.0,30706.0,31362.0,30257.0,28566.0,298.0,30.0,,3.0,,,,,,,,17411,415944,203793,280706,363368,143706
14,전통시장,2130307,도곡시장,8618,5760,2858,1117,1239,1239,997,1168,1298,1560,,,1228,1320,3885,946.0,3976,3121,323.0,1187.0,886.0,2355.0,1761.0,584.0,139044921,92181534,46863387,17687450,18947962,18947962,17647177,18950983,20435007,26428380,,,19073812,22602643,64548823,13871681.0,65245527,46075162,4566842.0,17147805.0,13768987.0,40100815.0,26447511.0,9288730.0,2.0,전통시장,196676,89861,106817.0,68595.0,15531.0,16786.0,44939.0,27024.0,23803.0,36772.0,36228,23955,29739,42054.0,27928.0,27325.0,27575.0,27815.0,27329.0,27693.0,29831.0,29110.0,57.0,9.0,,,,,,,,,,47008,1319794,764967,926041,1409485,529551
