상권코드,분기당매출건수,주중매출건수,주말매출건수,월요일매출건수,화요일매출건수,수요일매출건수,목요일매출건수,금요일매출건수,토요일매출건수,일요일매출건수,시간대00~06매출건수,시간대06~11매출건수,시간대11~14매출건수,시간대14~17매출건수,시간대17~21매출건수,시간대21~24매출건수,남성매출건수,여성매출건수,연령대10매출건수,연령대20매출건수,연령대30매출건수,연령대40매출건수,연령대50매출건수,연령대60이상매출건수,분기당매출금액,주중매출금액,주말매출금액,월요일매출금액,화요일매출금액,수요일매출금액,목요일매출금액,금요일매출금액,토요일매출금액,일요일매출금액,시간대00~06매출금액,시간대06~11매출금액,시간대11~14매출금액,시간대14~17매출금액,시간대17~21매출금액,시간대21~24매출금액,남성매출금액,여성매출금액,연령대10매출금액,연령대20매출금액,연령대30매출금액,연령대40매출금액,연령대50매출금액,연령대60이상매출금액,점포수,총생활인구수,남성생활인구수,여성생활인구수,연령대10생활인구수,연령대20생활인구수,연령대30생활인구수,연령대40생활인구수,연령대50생활인구수,연령대60이상생활인구수,시간대1생활인구수,시간대2생활인구수,시간대3생활인구수,시간대4생활인구수,시간대5생활인구수,시간대6생활인구수,월요일생활인구수,화요일생활인구수,수요일생활인구수,목요일생활인구수,금요일생활인구수,토요일생활인구수,일요일생활인구수,총직장인구수,집객시설수,관공서수,은행수,대학교수,백화점수,슈퍼마켓수,의료시설수,교육시설수,여가시설수,교통시설수,00시~06시유동인구,06시~11시유동인구,11시~14시유동인구,14시~17시유동인구,17시~21시유동인구,21시~24시유동인구
1001496,226817,178026,48791,31627,34763,36831,38964,35841,25492,23299,,28651,122345,36912,38441,468,82454,115874,1388,46730,66921,39018,33057,11218,3564062206,2797516092,766546114,489426435,546337317,556976848,643358896,561416596,382663394,383882720,,110475551,1832914276,525155095,955741029,139776255,1230668375,1254060829,25573500,503754846,790316723,565883618,390737077,208463441,40,106859,53586,53273,7510,22268,29894,23907,13306,9974,6498,20657,25172,25635,22596,6302,15012,16326,16915,17593,17247,12963,10805,15904,34,1,8,,1,,,,,,99764,1876381,954887,1156623,1913184,554530
1001495,579437,380504,198933,68781,72255,75209,74670,89589,107217,91716,17902,12104,162951,70987,216194,99299,306625,218580,4314,137361,147758,90175,77546,68064,31980760213,20474404945,11506355268,3590571135,3827723101,4003704886,4038793746,5013612077,6394824009,5111531259,1101975610,320907751,5534254795,3504232126,13860753291,7658636640,16474022117,10999404365,141153348,6666532557,8399111128,4754052519,4057262276,3455314660,252,3561819,1712126,1849694,387394,790978,848876,584508,440663,509399,595362,654385,544682,575567,779833,411990,493641,502218,505695,505711,525509,538563,490482,24375,149,3,13,,,,,,,,16503,249902,130116,152988,236040,88208
1001494,1090099,810690,279409,148688,161126,162178,160223,178475,170532,108877,14848,28195,440769,164819,334848,106620,606655,376404,3204,181978,229918,188469,183247,196239,38666493644,28360914103,10305579541,4798571523,5671553891,5647900524,5772716494,6470171671,6548786941,3756792600,806360272,514840620,10002065839,4506336975,16133606730,6703283208,20762684764,11239800221,86974892,6085261846,8071885041,5990850596,5690646235,6076866371,464,4041501,2175790,1865710,144719,694844,752217,747809,739083,962830,461846,796050,830509,832729,788949,331417,612470,647447,635503,634828,649044,491187,371020,32935,243,5,18,,,6,,,,,198112,4643181,3891391,4189672,5590180,1620131
1001493,336593,270307,66286,51727,55273,55392,54298,53617,38540,27746,12617,20022,153373,47853,76892,25836,165956,142859,1858,51588,75998,63190,66526,49667,9486758822,7512637713,1974121109,1309528309,1479099645,1551280519,1556607956,1616121284,1214372485,759748624,371023406,576058233,3494298449,992385246,2838220630,1214772858,4479212082,3668855425,31819814,1283912442,1976895021,1760110507,1773482966,1321846762,159,3242889,1525455,1717434,162824,557728,783657,665252,505098,568330,708734,660722,488636,463436,521016,400344,505390,523329,517519,516023,487773,346944,345911,6054,149,3,12,,,3,17,,,,350233,3072614,2197061,2420575,3131632,1194588
1001492,1584343,1354177,230166,257130,282394,270712,271107,272834,141652,88514,6017,42355,936628,153562,334402,111379,759166,499072,2712,177636,344678,315106,239355,178757,73078530270,61865318125,11213212145,10665874706,12951292048,12711598181,13224656825,12311896365,6795706556,4417505589,371023572,951761026,28078127784,6125181537,25349965503,12202470848,29237618173,16838212541,69328739,5874975407,13172830507,11611751667,8911058286,6435886097,603,4382710,2227935,2154774,168316,787473,1109970,980707,689754,646489,283650,954286,1062169,1036994,809109,236500,679265,736783,709949,714472,725461,457803,358978,104830,426,14,57,1,1,2,,,,,264411,6440641,3046134,3555301,6652916,1819438
1001491,276084,152582,123502,28661,26223,28693,28085,40920,73910,49592,52491,10995,63858,28318,72289,48133,144756,110716,2053,97796,92305,28776,21161,13390,10293844784,5970780826,4323063958,1076873479,972201956,1145157195,1195126757,1581421439,2572051871,1751012087,1449136374,321335566,1666836779,813151033,3600326097,2443058935,4952026598,3902198953,63077978,3370919571,3230263106,1011377133,764553591,414034177,107,2163881,1069449,1094432,134612,604883,528835,334062,243355,318133,455932,357174,275101,302222,456672,316779,272212,268884,280624,285787,319558,392204,344611,5839,63,5,6,,,3,,,,,114682,744240,490246,637296,1059433,507865
2130326,20375,13652,6723,2763,2759,2115,2885,3130,3462,3261,104,317,5735,2469,9728,2022,12473,7416,187,1967,3835,4625,5303,3972,472973037,302014393,170958644,61824212,61786641,40909021,67408120,70086399,85006572,85952072,3604250,3927232,98264014,45568652,248815267,72793622,271639828,177645250,3632005,42072050,80807205,119505737,116908498,86359583,8,138559,63251,75308,24916,12761,23376,25405,19944,32157,32578,30507,16780,16774,24306,17615,20047,20069,19891,19574,19793,19635,19552,935,11,,,,,,,,,,100034,1195894,439262,520737,951773,332784
2130325,7927,6161,1766,660,1087,1495,1366,1553,1092,674,52,41,676,784,4777,1597,4241,3341,10,600,1610,1726,2272,1364,223433931,170157835,53276096,11074746,31348455,42433742,38027897,47272995,32152348,21123748,1803760,1030628,11904132,17104083,135582830,56008498,126499461,80128844,64498,14437310,36066003,52485099,66015496,37559898,7,189755,83274,106482,32958,20106,25482,31670,29604,49934,33362,36427,26960,27897,41019,24091,26775,27056,27433,26826,27261,27101,27304,89,2,,,,,,,,,,67659,829089,421738,504594,760429,289551
2130324,38004,23469,14535,4315,4338,4666,4797,5353,7535,7000,,1697,9169,9655,16604,879,19499,17461,36,1494,3545,6564,11696,13623,866715870,528525892,338189978,94329574,88914255,99234042,106729405,139318616,179309678,158880300,,24829830,163156400,162554002,445000638,71175000,477921733,335557294,533902,37647767,91870092,154275246,257753414,271398604,13,482114,219228,262886,78473,55491,67182,72947,75406,132617,140113,96895,53230,52866,76832,62178,68621,68313,67785,67607,67651,70497,71640,154,5,,,,,,,,,,52638,658719,347031,403754,604119,217740
2130323,49875,34428,15447,6324,6366,7042,6674,8022,8413,7034,257,877,9769,7983,24343,6646,27577,20013,270,3451,7614,10956,13983,11316,1355352735,914729540,440623195,160103613,166314684,193571258,182614571,212125414,254340165,186283030,13559611,10044215,171184627,151511149,699065294,309987839,806021914,443837965,5114923,99449203,217366466,306574567,348479984,272874739,45,330904,158816,172088,47156,44216,42378,51672,56045,89437,93053,65867,35490,37164,56149,43181,47203,46150,46575,46874,46911,48424,48766,171,6,,,,,,,,,,42834,737815,353955,442203,687866,233990
