,상권코드,분기당매출건수,주중매출건수,주말매출건수,월요일매출건수,화요일매출건수,수요일매출건수,목요일매출건수,금요일매출건수,토요일매출건수,일요일매출건수,시간대00~06매출건수,시간대06~11매출건수,시간대11~14매출건수,시간대14~17매출건수,시간대17~21매출건수,시간대21~24매출건수,남성매출건수,여성매출건수,연령대10매출건수,연령대20매출건수,연령대30매출건수,연령대40매출건수,연령대50매출건수,연령대60이상매출건수,분기당매출금액,주중매출금액,주말매출금액,월요일매출금액,화요일매출금액,수요일매출금액,목요일매출금액,금요일매출금액,토요일매출금액,일요일매출금액,시간대00~06매출금액,시간대06~11매출금액,시간대11~14매출금액,시간대14~17매출금액,시간대17~21매출금액,시간대21~24매출금액,남성매출금액,여성매출금액,연령대10매출금액,연령대20매출금액,연령대30매출금액,연령대40매출금액,연령대50매출금액,연령대60이상매출금액,점포수,총생활인구수,남성생활인구수,여성생활인구수,연령대10생활인구수,연령대20생활인구수,연령대30생활인구수,연령대40생활인구수,연령대50생활인구수,연령대60이상생활인구수,시간대1생활인구수,시간대2생활인구수,시간대3생활인구수,시간대4생활인구수,시간대5생활인구수,시간대6생활인구수,월요일생활인구수,화요일생활인구수,수요일생활인구수,목요일생활인구수,금요일생활인구수,토요일생활인구수,일요일생활인구수,총직장인구수,집객시설수,관공서수,은행수,대학교수,백화점수,슈퍼마켓수,의료시설수,교육시설수,여가시설수,교통시설수,00시~06시유동인구,06시~11시유동인구,11시~14시유동인구,14시~17시유동인구,17시~21시유동인구,21시~24시유동인구
0,1001496,242126,186104,56022,32383,36418,37689,38452,41162,29018,27004,,29539.0,125491,44092,42418,586.0,87448,124480,2352.0,50843.0,65747.0,42272.0,38401.0,12313.0,4022336273,3032862515,989473758,545563637,582929726,626366159,610209620,667793373,523460202,466013556,,117603133.0,2027720284,721519615,1011377953,144115288.0,1344856315,1455390199,35856683.0,608665778.0,820236270.0,627865439.0,465946759.0,241675590.0,39.0,112779,55430,57349,9270,24016,30650,24891,13753,10199,6759,21284,26523,27652,24056,6504,15622,16729,17618,18382,17770,14152,12509,15904.0,34.0,1.0,8.0,,1.0,,,,,,94713,1863405,870589,1052999,1866933,541492
1,1001495,554248,372693,181555,67479,67494,72318,74664,90738,94593,86962,23211.0,13595.0,153549,65645,207006,91242.0,293280,208487,4558.0,134074.0,135382.0,88910.0,74338.0,64508.0,29461506520,19450422608,10011083912,3380323389,3319802120,3787692340,3991344090,4971260669,5447901800,4563182112,1469786357.0,389657173.0,5122771495,2981203309,12852079502,6646008684.0,15060792231,9992910316,145601307.0,6414898935.0,7230256843.0,4494894160.0,3568634654.0,3199416650.0,253.0,3462257,1669214,1793043,386966,763874,832217,569446,424261,485492,586315,639204,526430,554049,752595,403665,484642,493251,503128,504169,509741,503826,463502,24375.0,149.0,3.0,13.0,,,,,,,,13762,223462,105061,125835,215851,78465
2,1001494,1035585,788017,247568,137382,147699,156466,164208,182262,149101,98467,17739.0,27837.0,423848,155135,315901,95125.0,572633,356318,3720.0,175717.0,213121.0,177409.0,174410.0,184574.0,37390246286,28126855695,9263390591,4518417276,5046497397,5813096621,5938282109,6810562292,5741057398,3522333193,969264828.0,514907937.0,10035853287,4339085755,15585681656,5945452823.0,19758486154,10703971292,94178755.0,6117215921.0,7556657091.0,5634500305.0,5413791542.0,5646113850.0,462.0,3847828,2058936,1788892,156328,693404,724426,704612,685375,883685,444350,763158,789190,792496,745864,312772,569367,613810,625220,631340,612665,446058,349369,32935.0,243.0,5.0,18.0,,,6.0,,,,,178222,4322590,3460719,3714242,4978188,1350373
3,1001493,359164,290681,68483,51383,59525,59706,60710,59357,38633,29850,13304.0,18864.0,165960,50167,84277,26592.0,177928,152681,1886.0,57410.0,82973.0,67634.0,69404.0,51305.0,10095348751,8034726566,2060622185,1268764895,1587935462,1648406717,1684045662,1845573830,1226139274,834482911,392767064.0,560563775.0,3796331796,1050189948,3066965624,1228530544.0,4826777664,3820175744,40353492.0,1433583308.0,2059391967.0,1838796055.0,1795510964.0,1479317619.0,159.0,3028657,1419622,1609037,154373,521012,726519,607132,475170,544452,648852,616758,457079,437709,496812,371449,461027,492909,500811,493398,444803,315138,320572,6054.0,149.0,3.0,12.0,,,3.0,17.0,,,,287218,2851171,1978510,2164517,2812363,999309
4,1001492,1576321,1358961,217360,235346,271103,282438,284802,285272,131944,85416,7505.0,42207.0,919897,152333,351022,103357.0,753873,498154,3730.0,190692.0,338576.0,311733.0,236219.0,171084.0,72436595122,61970759830,10465835292,9719584266,12474041619,12958252860,13422988673,13395892412,6114861203,4350974089,406707877.0,1232706289.0,28491577378,6587423962,25259619708,10458559908.0,28651827923,17337624790,113962332.0,6258803895.0,12909663304.0,11718960016.0,8848192300.0,6139870862.0,596.0,4367217,2224106,2143112,197079,803497,1099102,976313,679434,611795,296674,964673,1043639,1021464,802848,237920,659203,731186,747350,748228,708085,426622,346542,104830.0,426.0,14.0,57.0,1.0,1.0,2.0,,,,,236385,5884842,2642608,3097027,5965200,1495243
5,1001491,250100,149385,100715,27983,24666,26358,28221,42157,55868,44847,58266.0,10463.0,56599,24461,58630,41681.0,135935,95319,1828.0,86932.0,81655.0,28654.0,19765.0,12416.0,9718051080,5883184654,3834866426,1100319779,933898867,1026350775,1126976573,1695638660,2146637499,1688228927,1680418983.0,425463738.0,1437140576,696550145,3275544277,2202933361.0,4799116927,3573530876,65828063.0,3295582908.0,2936433811.0,980803805.0,700978026.0,393021192.0,113.0,2108170,1048246,1059925,132557,608541,516877,322141,231047,297007,469819,349035,264136,289409,429441,306329,269641,261196,270391,278963,313242,371886,342851,5839.0,63.0,5.0,6.0,,,3.0,,,,,148029,698756,478057,621719,1125521,611127
6,2130326,20776,14076,6700,2764,2560,2534,2838,3380,3198,3502,184.0,453.0,5252,2083,10846,1958.0,12812,7495,128.0,1968.0,3948.0,5029.0,5559.0,3675.0,527582385,338794548,188787837,64838260,58858419,55865658,69282548,89949663,86055132,102732705,7770410.0,6028117.0,89015110,32056170,301252723,91459855.0,318772334,184547265,2514752.0,50313807.0,110795775.0,127979635.0,127728901.0,83986731.0,8.0,140332,64196,76136,26379,13049,22850,25679,19787,32587,33586,30929,16979,16926,24248,17663,19967,20241,20307,20391,20302,19747,19376,935.0,11.0,,,,,,,,,,91130,1211862,442720,502951,933081,312779
7,2130325,6870,5230,1640,413,1051,1387,994,1385,1129,511,26.0,129.0,582,964,3685,1484.0,3715,2814,10.0,597.0,920.0,1494.0,1925.0,1583.0,206843309,150689053,56154256,7833194,33958908,35820970,31327638,41748343,35092403,21061853,773040.0,5060474.0,11873277,19938349,113333672,55864497.0,123998537,67690831,61838.0,15321601.0,22813727.0,43421967.0,55059481.0,55010755.0,6.0,203108,89846,113262,35654,21756,26649,33010,31538,54500,38231,39526,28311,28916,42337,25788,28386,29158,29257,29213,29350,28860,28885,89.0,2.0,,,,,,,,,,62841,796122,409169,475524,742212,272870
8,2130324,39716,26868,12848,4010,4457,4912,6047,7442,6615,6233,,2357.0,10173,9795,16722,669.0,20871,17874,28.0,1411.0,3354.0,7130.0,12354.0,14462.0,843097804,559370559,283727245,76221429,83584633,107678624,129788266,162097607,151406162,132321083,,30852677.0,169474871,167417371,411052387,64300498.0,477529671,309503613,312057.0,32780553.0,83533733.0,159203958.0,254201983.0,257000998.0,14.0,486493,223362,263130,79013,55345,68549,73520,75217,134850,141612,98548,54302,53514,76496,62020,69410,68984,68816,68359,68891,70865,71171,154.0,5.0,,,,,,,,,,44035,588665,317851,359161,545931,184284
9,2130323,50082,35984,14098,6628,5762,6517,6949,10128,7873,6225,394.0,1265.0,9505,7606,24336,6976.0,28799,18654,245.0,3336.0,7260.0,10477.0,14029.0,12105.0,1507630690,1045225486,462405204,184954471,170753312,189886767,213363110,286267826,279707857,182697347,28696672.0,18333762.0,164178397,163874344,800849369,331698146.0,902283385,448869532,3410938.0,104609636.0,223276957.0,303727972.0,387806382.0,328321035.0,42.0,343847,165124,178722,50900,45451,43897,53197,57061,93341,96348,68617,37497,38460,58125,44799,48688,48658,48312,48348,49173,49642,51023,171.0,6.0,,,,,,,,,,35105,666091,331085,387094,639959,211662
