,상권코드,분기당매출건수,주중매출건수,주말매출건수,월요일매출건수,화요일매출건수,수요일매출건수,목요일매출건수,금요일매출건수,토요일매출건수,일요일매출건수,시간대00~06매출건수,시간대06~11매출건수,시간대11~14매출건수,시간대14~17매출건수,시간대17~21매출건수,시간대21~24매출건수,남성매출건수,여성매출건수,연령대10매출건수,연령대20매출건수,연령대30매출건수,연령대40매출건수,연령대50매출건수,연령대60이상매출건수,분기당매출금액,주중매출금액,주말매출금액,월요일매출금액,화요일매출금액,수요일매출금액,목요일매출금액,금요일매출금액,토요일매출금액,일요일매출금액,시간대00~06매출금액,시간대06~11매출금액,시간대11~14매출금액,시간대14~17매출금액,시간대17~21매출금액,시간대21~24매출금액,남성매출금액,여성매출금액,연령대10매출금액,연령대20매출금액,연령대30매출금액,연령대40매출금액,연령대50매출금액,연령대60이상매출금액,점포수,총생활인구수,남성생활인구수,여성생활인구수,연령대10생활인구수,연령대20생활인구수,연령대30생활인구수,연령대40생활인구수,연령대50생활인구수,연령대60이상생활인구수,시간대1생활인구수,시간대2생활인구수,시간대3생활인구수,시간대4생활인구수,시간대5생활인구수,시간대6생활인구수,월요일생활인구수,화요일생활인구수,수요일생활인구수,목요일생활인구수,금요일생활인구수,토요일생활인구수,일요일생활인구수,총직장인구수,집객시설수,관공서수,은행수,대학교수,백화점수,슈퍼마켓수,의료시설수,교육시설수,여가시설수,교통시설수,00시~06시유동인구,06시~11시유동인구,11시~14시유동인구,14시~17시유동인구,17시~21시유동인구,21시~24시유동인구
0,1001496,96255,68916,27339,12181,12284,13842,14145,16464,13605,13734,,113.0,40821.0,17377.0,36410.0,1534.0,32781,47897,1367.0,24969.0,26267.0,14356.0,8760.0,4957.0,3619382513,2500259881.0,1119122632.0,423779929.0,425734309.0,527327447.0,501229013.0,622189183.0,558896272.0,560226360.0,,11516709.0,1414575582.0,638173833.0,1441871346.0,113245043.0,1256477045.0,1516856996.0,35088303.0,792281008.0,875884940.0,536412309.0,329850558.0,203816924.0,20.0,112779,55430,57349,9270,24016,30650,24891,13753,10199,6759,21284,26523,27652,24056,6504,15622,16729,17618,18382,17770,14152,12509,15904,34.0,1.0,8.0,,1.0,,,,,,94713,1863405,870589,1052999,1866933,541492
1,1001495,19508,13285,6223,2552,2094,2491,2514,3634,3350,2873,612.0,45.0,5007.0,2153.0,7681.0,4010.0,9697,7828,172.0,6764.0,5455.0,1944.0,1960.0,1235.0,1293610863,898767683.0,394843180.0,158787801.0,163068788.0,163344185.0,166585484.0,246981425.0,232276508.0,162566672.0,48058540.0,326706.0,210247181.0,94333472.0,560380999.0,380263965.0,644631616.0,392817635.0,5357340.0,333462838.0,323004641.0,141018378.0,142392239.0,92213816.0,46.0,3462257,1669214,1793043,386966,763874,832217,569446,424261,485492,586315,639204,526430,554049,752595,403665,484642,493251,503128,504169,509741,503826,463502,24375,149.0,3.0,13.0,,,,,,,,13762,223462,105061,125835,215851,78465
2,1001494,68370,59578,8792,8932,10859,12400,12899,14488,6592,2200,3878.0,80.0,30532.0,2640.0,17849.0,13391.0,30637,24859,171.0,15100.0,19841.0,11399.0,6114.0,2873.0,3578056055,3030815565.0,547240490.0,442736979.0,529342528.0,629053908.0,672214468.0,757467682.0,409720625.0,137519865.0,277165118.0,1941889.0,866749631.0,82853416.0,1213163828.0,1136182173.0,1617583997.0,814771539.0,3729565.0,622161723.0,813073849.0,542687815.0,296846620.0,153855969.0,39.0,3847828,2058936,1788892,156328,693404,724426,704612,685375,883685,444350,763158,789190,792496,745864,312772,569367,613810,625220,631340,612665,446058,349369,32935,243.0,5.0,18.0,,,6.0,,,,,178222,4322590,3460719,3714242,4978188,1350373
3,1001493,50289,37511,12778,7559,7806,7496,7823,6827,8229,4549,7.0,271.0,22271.0,12509.0,15102.0,129.0,20559,27393,933.0,15108.0,15171.0,8590.0,6059.0,2090.0,987942967,743492464.0,244450503.0,135838462.0,151355671.0,152598207.0,156494945.0,147205179.0,185486611.0,58963892.0,1532179.0,3627405.0,375663052.0,216100413.0,380075988.0,10943930.0,428910001.0,495415778.0,15079236.0,286925067.0,276932138.0,170489089.0,129793610.0,45106641.0,11.0,3028657,1419622,1609037,154373,521012,726519,607132,475170,544452,648852,616758,457079,437709,496812,371449,461027,492909,500811,493398,444803,315138,320572,6054,149.0,3.0,12.0,,,3.0,17.0,,,,287218,2851171,1978510,2164517,2812363,999309
4,1001492,186085,164351,21734,28446,32002,33675,35473,34755,11542,10192,65.0,4256.0,111589.0,18343.0,41553.0,10279.0,70181,83112,1523.0,43181.0,52244.0,32103.0,17464.0,6776.0,7564020150,6772536038.0,791484112.0,1136847431.0,1287544991.0,1427110390.0,1478443629.0,1442589597.0,425207159.0,366276953.0,5881956.0,21130490.0,3495619561.0,532037291.0,2231655655.0,1277695197.0,2615057248.0,2298787086.0,40899221.0,1220840708.0,1505774140.0,1113472854.0,695947587.0,336909830.0,77.0,4367217,2224106,2143112,197079,803497,1099102,976313,679434,611795,296674,964673,1043639,1021464,802848,237920,659203,731186,747350,748228,708085,426622,346542,104830,426.0,14.0,57.0,1.0,1.0,2.0,,,,,236385,5884842,2642608,3097027,5965200,1495243
5,1001491,14519,9203,5316,1273,1174,1773,2009,2974,3331,1985,1800.0,11.0,2994.0,675.0,5016.0,4023.0,6090,6701,92.0,4788.0,4254.0,1841.0,1440.0,380.0,971775796,621908554.0,349867242.0,79812469.0,92932064.0,115378601.0,122678888.0,211106532.0,226897577.0,122969665.0,121798963.0,526102.0,99860006.0,25938150.0,342842680.0,380809895.0,426853755.0,376226997.0,2903809.0,274543666.0,274784141.0,140849974.0,79336704.0,30662455.0,22.0,2108170,1048246,1059925,132557,608541,516877,322141,231047,297007,469819,349035,264136,289409,429441,306329,269641,261196,270391,278963,313242,371886,342851,5839,63.0,5.0,6.0,,,3.0,,,,,148029,698756,478057,621719,1125521,611127
6,2130324,1356,809,547,64,141,186,142,276,296,251,6.0,,116.0,168.0,738.0,328.0,790,424,6.0,51.0,192.0,385.0,244.0,335.0,53594890,32271293.0,21323597.0,2621280.0,5589494.0,6649570.0,6135593.0,11275356.0,11326756.0,9996841.0,751691.0,,3841973.0,6354033.0,29200285.0,13446908.0,29675713.0,17051168.0,192741.0,1336339.0,6823037.0,17372403.0,8654078.0,12348283.0,3.0,486493,223362,263130,79013,55345,68549,73520,75217,134850,141612,98548,54302,53514,76496,62020,69410,68984,68816,68359,68891,70865,71171,154,5.0,,,,,,,,,,44035,588665,317851,359161,545931,184284
7,2130318,32237,21512,10725,3056,4306,4344,4275,5531,5375,5350,1560.0,11.0,10378.0,4564.0,11330.0,4394.0,17669,13082,269.0,10019.0,8451.0,4438.0,4796.0,2777.0,1142331591,737675726.0,404655865.0,86417921.0,143767801.0,143454885.0,151224190.0,212810929.0,216529481.0,188126384.0,93695629.0,216701.0,227065788.0,110004946.0,430213370.0,281135157.0,654861425.0,432402601.0,6918859.0,366614281.0,317710218.0,164395942.0,154915234.0,76709487.0,9.0,384799,181045,203753,31220,85574,75364,57924,57752,76964,59499,62507,57358,65910,90546,48977,50582,51084,51661,51945,56315,62462,60750,266,37.0,1.0,1.0,,,,,,,,73690,433367,264019,311264,469826,202724
8,2130313,2766,2559,207,514,468,536,430,611,195,12,99.0,,1494.0,256.0,593.0,324.0,1313,1102,10.0,431.0,530.0,490.0,530.0,423.0,79972688,68131471.0,11841217.0,12900204.0,11984808.0,15139878.0,11739843.0,16366738.0,11280595.0,560622.0,6873464.0,,30352765.0,5469327.0,21711311.0,15565821.0,35627638.0,27118401.0,195762.0,6673294.0,14148348.0,15754293.0,16377645.0,9596698.0,6.0,995031,453743,541288,137571,145880,203055,163238,137462,207825,300563,209545,106445,102750,147401,128329,142660,142495,141493,141830,138259,142228,146065,3469,33.0,,1.0,,,,,,,,40771,570561,298493,336215,602727,232218
9,2130310,4260,3282,967,680,606,736,655,605,506,461,,11.0,1757.0,672.0,1560.0,260.0,2401,1538,144.0,916.0,605.0,799.0,882.0,596.0,124328231,100860332.0,23146712.0,15300434.0,16895081.0,22304980.0,21613700.0,24746137.0,15056216.0,8090496.0,,321187.0,33532625.0,16099440.0,51579386.0,22795593.0,67902824.0,35316129.0,2373155.0,18060069.0,21445357.0,21400119.0,25097783.0,14842470.0,4.0,212630,96734,115898,49679,22873,21855,36572,32848,48804,23485,40565,38513,41860,48650,19558,29703,30462,31326,31038,31496,29890,28715,298,30.0,,3.0,,,,,,,,17564,405548,201058,266278,358025,142854
