,상권코드,분기당매출건수,주중매출건수,주말매출건수,월요일매출건수,화요일매출건수,수요일매출건수,목요일매출건수,금요일매출건수,토요일매출건수,일요일매출건수,시간대00~06매출건수,시간대06~11매출건수,시간대11~14매출건수,시간대14~17매출건수,시간대17~21매출건수,시간대21~24매출건수,남성매출건수,여성매출건수,연령대10매출건수,연령대20매출건수,연령대30매출건수,연령대40매출건수,연령대50매출건수,연령대60이상매출건수,분기당매출금액,주중매출금액,주말매출금액,월요일매출금액,화요일매출금액,수요일매출금액,목요일매출금액,금요일매출금액,토요일매출금액,일요일매출금액,시간대00~06매출금액,시간대06~11매출금액,시간대11~14매출금액,시간대14~17매출금액,시간대17~21매출금액,시간대21~24매출금액,남성매출금액,여성매출금액,연령대10매출금액,연령대20매출금액,연령대30매출금액,연령대40매출금액,연령대50매출금액,연령대60이상매출금액,점포수,총생활인구수,남성생활인구수,여성생활인구수,연령대10생활인구수,연령대20생활인구수,연령대30생활인구수,연령대40생활인구수,연령대50생활인구수,연령대60이상생활인구수,시간대1생활인구수,시간대2생활인구수,시간대3생활인구수,시간대4생활인구수,시간대5생활인구수,시간대6생활인구수,월요일생활인구수,화요일생활인구수,수요일생활인구수,목요일생활인구수,금요일생활인구수,토요일생활인구수,일요일생활인구수,총직장인구수,집객시설수,관공서수,은행수,대학교수,백화점수,슈퍼마켓수,의료시설수,교육시설수,여가시설수,교통시설수,00시~06시유동인구,06시~11시유동인구,11시~14시유동인구,14시~17시유동인구,17시~21시유동인구,21시~24시유동인구
0,1001496,169152,115400,53752,23157,21242,22448,23161,25392,27100,26652,,364.0,55693,40195,70231,2669.0,59704,86799,1574.0,38451.0,47393.0,29712.0,19561.0,9811.0,8570111492,5794436131,2775675361,1171585016,1051544421,1103498592,1127622045,1340186057,1365420553,1410254808,,12771507.0,2957414986,1866316004,3525095786,208513209.0,3056774081,3921658607,50278016.0,1706184486.0,2242766119.0,1497194274.0,976836330.0,505173465.0,12.0,112779,55430,57349,9270,24016,30650,24891,13753,10199,6759,21284,26523,27652,24056,6504,15622,16729,17618,18382,17770,14152,12509,15904.0,34.0,1.0,8.0,,1.0,,,,,,94713,1863405,870589,1052999,1866933,541492
1,1001495,29158,20964,8194,4015,3698,3984,4257,5010,4625,3569,80.0,117.0,13039,5950,9199,773.0,16300,10184,250.0,5669.0,8955.0,6340.0,3472.0,1797.0,896517688,600893743,295623945,110076932,101883250,110899414,116167332,161866815,170445845,125178100,1699447.0,1836776.0,279979136,150308389,407348933,55345007.0,481257463,318020779,3966357.0,160957426.0,287327326.0,201118390.0,93092484.0,52816256.0,21.0,3462257,1669214,1793043,386966,763874,832217,569446,424261,485492,586315,639204,526430,554049,752595,403665,484642,493251,503128,504169,509741,503826,463502,24375.0,149.0,3.0,13.0,,,,,,,,13762,223462,105061,125835,215851,78465
2,1001494,122567,102125,20442,17005,19848,21039,20415,23818,12682,7760,1666.0,1455.0,58371,16802,33349,10924.0,68146,40311,1839.0,25191.0,24448.0,21155.0,19487.0,16339.0,3694988038,2946965535,748022503,470471875,535018347,630298745,587540253,723636315,448117554,299904949,111510466.0,11665532.0,1010385377,282409201,1538644464,740372998.0,1883237175,1094498920,31225984.0,831382637.0,850674148.0,543901585.0,441657216.0,278894523.0,43.0,3847828,2058936,1788892,156328,693404,724426,704612,685375,883685,444350,763158,789190,792496,745864,312772,569367,613810,625220,631340,612665,446058,349369,32935.0,243.0,5.0,18.0,,,6.0,,,,,178222,4322590,3460719,3714242,4978188,1350373
3,1001493,38101,31235,6866,5291,5844,6518,6741,6841,3987,2879,3290.0,1864.0,14018,7219,9310,2400.0,17477,18520,647.0,9976.0,10999.0,7017.0,4992.0,2371.0,812605242,672879259,139725983,100666227,119966789,143782021,151821593,156642629,90302247,49423736,96890209.0,85783891.0,256810717,99849099,205226132,68045194.0,397739607,326683855,9042850.0,199410400.0,211360637.0,148768631.0,110920427.0,44920520.0,26.0,3028657,1419622,1609037,154373,521012,726519,607132,475170,544452,648852,616758,457079,437709,496812,371449,461027,492909,500811,493398,444803,315138,320572,6054.0,149.0,3.0,12.0,,,3.0,17.0,,,,287218,2851171,1978510,2164517,2812363,999309
4,1001492,161354,136931,24423,22258,27574,28511,28048,30540,14348,10075,566.0,314.0,96783,18291,40018,5382.0,79943,52806,595.0,24848.0,40017.0,32866.0,21909.0,12510.0,6559900353,5542375454,1017524899,928629154,1072696760,1193704488,1107200735,1240144317,622191698,395333201,25079879.0,6585867.0,2960416413,623513669,2305507749,638796776.0,2637114301,1524953437,13659133.0,672664442.0,1250434946.0,1057313007.0,743170209.0,424825998.0,78.0,4367217,2224106,2143112,197079,803497,1099102,976313,679434,611795,296674,964673,1043639,1021464,802848,237920,659203,731186,747350,748228,708085,426622,346542,104830.0,426.0,14.0,57.0,1.0,1.0,2.0,,,,,236385,5884842,2642608,3097027,5965200,1495243
5,1001491,43981,30632,13349,3966,4362,7224,6920,8160,8841,4508,433.0,,14376,4925,18261,5986.0,20417,19195,282.0,15346.0,12402.0,5134.0,4609.0,1838.0,2167556316,1480143743,687412573,181626847,193018367,343790063,323294139,438414327,460194358,227218215,44202276.0,,425221531,162912178,1091198176,444022155.0,986292493,855378331,13763274.0,734266299.0,598488719.0,235082462.0,197402164.0,62667909.0,15.0,2108170,1048246,1059925,132557,608541,516877,322141,231047,297007,469819,349035,264136,289409,429441,306329,269641,261196,270391,278963,313242,371886,342851,5839.0,63.0,5.0,6.0,,,3.0,,,,,148029,698756,478057,621719,1125521,611127
6,2130323,1099,623,476,82,99,105,145,192,238,238,,,6,41,628,186.0,471,262,,99.0,226.0,158.0,164.0,88.0,127090550,72446756,54643794,11004644,14973532,12436237,12936713,21095630,27321897,27321897,,,872923,7460579,68715885,22719266.0,57327156,25960719,,7029936.0,27188047.0,21846343.0,18686363.0,8537183.0,2.0,343847,165124,178722,50900,45451,43897,53197,57061,93341,96348,68617,37497,38460,58125,44799,48688,48658,48312,48348,49173,49642,51023,171.0,6.0,,,,,,,,,,35105,666091,331085,387094,639959,211662
7,2130321,2629,1830,799,336,449,215,395,435,388,411,,6.0,1294,435,894,,1451,795,23.0,266.0,471.0,667.0,569.0,250.0,45866463,28960351,16906112,6122880,6204131,4294721,5588942,6749677,6796105,10110007,,58037.0,22228084,8130952,15449390,,24717862,14456960,185718.0,2988895.0,8850609.0,13458728.0,9622496.0,4068378.0,2.0,177457,81863,95594,34362,21289,25577,30951,27386,37892,34269,37694,26913,26349,32649,19583,25743,25996,26122,25971,25655,23879,24094,433.0,7.0,1.0,,,,,,,,,10806,188857,83200,96401,167529,59048
8,2130315,2461,2005,456,273,349,359,513,511,228,228,,,1232,253,738,10.0,1426,546,15.0,394.0,464.0,440.0,419.0,238.0,36018011,28216129,7801882,4082849,4027266,5421903,7493646,7190465,3900941,3900941,,,16624476,3097508,11920101,474985.0,19459225,8079798,161697.0,5285471.0,6159645.0,6543676.0,5745298.0,3643237.0,1.0,613069,295242,317827,87205,96597,119792,100007,89757,119712,137349,126797,85624,86314,106592,70393,91063,91953,92025,91605,90039,78894,77491,1372.0,15.0,2.0,,,,,,,,,68270,1606707,465411,580172,1425471,360978
9,2130314,1545,1088,457,287,228,243,37,293,228,229,,14.0,715,449,360,7.0,1115,333,,112.0,318.0,364.0,380.0,276.0,24240387,15488548,8751839,3805946,3397772,3188171,393465,4703194,4758353,3993486,,235344.0,9615990,7041921,7244169,102963.0,17982846,4463047,,1638628.0,6069497.0,5350192.0,4578021.0,4809554.0,4.0,1253487,575381,678107,163829,143114,194341,192904,208754,350547,326054,250339,143026,143658,219651,170759,177973,176080,175456,175015,176143,186035,186786,202.0,21.0,1.0,,,,,,,,,32015,205600,92619,104852,154129,70931
10,2130313,10267,7937,2330,1614,1421,1602,1653,1647,1543,787,,25.0,5276,1717,3023,226.0,5974,2990,65.0,1420.0,2099.0,1957.0,1970.0,1453.0,249637085,189407994,60229091,36910417,33911554,33933446,47077103,37575474,44040142,16188949,,258300.0,106939925,35219198,93904300,13315362.0,124781476,75723729,981539.0,26259419.0,42880891.0,47068708.0,46742605.0,36572044.0,2.0,995031,453743,541288,137571,145880,203055,163238,137462,207825,300563,209545,106445,102750,147401,128329,142660,142495,141493,141830,138259,142228,146065,3469.0,33.0,,1.0,,,,,,,,40771,570561,298493,336215,602727,232218
11,2130312,15239,10400,4839,2246,1226,1983,2317,2628,2548,2291,868.0,1486.0,5075,2204,4846,760.0,7849,4447,158.0,1171.0,2372.0,3354.0,3398.0,1843.0,379101492,244520534,134580958,49284757,28792191,40384322,56522784,69536480,74022177,60558781,24176514.0,35883745.0,114930259,48396778,128882336,26831860.0,189431493,107382205,1999620.0,24116981.0,56261262.0,82808980.0,83767030.0,47859827.0,5.0,311851,148875,162976,52245,37858,62389,55320,44134,59907,61831,58591,42987,45237,63426,39779,44681,44422,44971,44761,44667,44488,43864,619.0,9.0,,,,,,,,,,82080,981004,470945,567370,895563,330184
12,2130311,7034,5072,1962,965,944,1057,1051,1055,1051,911,10.0,56.0,2608,1346,2670,344.0,4633,1941,33.0,996.0,1280.0,1414.0,1485.0,1364.0,158187928,116327790,41860138,21508811,23079592,25241595,19999577,26498215,25994554,15865584,621209.0,418911.0,40612098,17546816,76935095,22053799.0,89029661,52603505,424497.0,23936792.0,35605478.0,34182036.0,24780268.0,22704097.0,5.0,842789,399472,443317,144467,128668,147168,145400,117548,159538,199097,156427,101088,110730,165038,110410,118049,119364,120137,119422,121086,126108,118624,377.0,17.0,,2.0,,,,,,,,93629,1382331,778156,949073,1554633,640413
13,2130310,4618,3182,1436,35,778,851,840,678,733,703,,25.0,2408,587,1593,5.0,3192,1128,141.0,753.0,688.0,824.0,1132.0,779.0,73426288,48973619,24452669,566491,13155733,12558894,12847198,9845303,12136556,12316113,,510853.0,40268885,8666801,23921583,58166.0,47382894,17237500,1451633.0,10786083.0,10715271.0,14415163.0,16797458.0,10454786.0,2.0,212630,96734,115898,49679,22873,21855,36572,32848,48804,23485,40565,38513,41860,48650,19558,29703,30462,31326,31038,31496,29890,28715,298.0,30.0,,3.0,,,,,,,,17564,405548,201058,266278,358025,142854
14,2130306,5171,4571,600,742,1074,951,951,853,300,300,,20.0,3437,306,1023,85.0,2924,768,14.0,638.0,1081.0,951.0,553.0,455.0,140150756,125420494,14730262,18207714,26879065,24353461,30085708,25894546,7365131,7365131,,198618.0,66184640,12936203,44141978,9324186.0,59823984,15821044,97680.0,11063986.0,17200950.0,18780768.0,15151924.0,13349718.0,3.0,152158,75352,76806,6374,32021,46392,32271,18953,16147,37362,34266,22337,21016,21542,15637,22726,23982,24168,23863,22398,17655,17370,235.0,4.0,,,,,,,,,,42091,281171,126737,143298,235419,95220
15,2130303,2377,1725,652,239,308,283,413,482,487,165,443.0,,18,17,922,977.0,1396,760,13.0,586.0,887.0,447.0,174.0,48.0,171495695,127269828,44225867,15907533,21721075,21967536,32058266,35615418,33599837,10626030,32389053.0,,394249,708952,60275104,77728337.0,102537985,46297305,1470935.0,34661308.0,60172956.0,36002277.0,12832435.0,3695378.0,4.0,414561,209284,205277,23514,98349,104666,79710,50753,57570,72709,76770,60197,62002,89756,53125,59024,62913,64203,64888,64457,53710,45368,242.0,5.0,,,,,,,,,,126413,1572231,579758,704601,1502829,565506
16,2130302,4545,3988,557,792,850,723,684,939,401,156,,,2825,957,733,30.0,3206,625,,362.0,1202.0,1065.0,978.0,225.0,57967191,51779880,6187311,10834149,11416714,9618190,7770794,12140033,4496308,1691003,,,36766119,9310291,10502790,1387991.0,31785968,7477557,,5195191.0,12452820.0,11151823.0,8093356.0,2370337.0,2.0,55872,26836,29036,4378,14438,13517,10478,6776,6286,7687,10095,9685,10100,12373,5935,7849,8428,8567,8593,8775,7599,6063,58.0,,,,,,,,,,,86560,1798982,948977,1170233,2116450,736211
