,상권구분코드명,상권코드,상권코드명,분기당매출금액,주중매출금액,주말매출금액,월요일매출금액,화요일매출금액,수요일매출금액,목요일매출금액,금요일매출금액,토요일매출금액,일요일매출금액,시간대00~06매출금액,시간대06~11매출금액,시간대11~14매출금액,시간대14~17매출금액,시간대17~21매출금액,시간대21~24매출금액,남성매출금액,여성매출금액,연령대10매출금액,연령대20매출금액,연령대30매출금액,연령대40매출금액,연령대50매출금액,연령대60이상매출금액,점포수
0,관광특구,1001496,강남 마이스 관광특구,14405510588,8947367596,5458142992,1225033703,1282030228,2210149716,2167769816,2062384133,3038267810,2419875182,,62507300.0,3861743152,3265279031,5892457668,1323523437.0,5441275422,6266897472,64333235.0,2581529620.0,5086637420.0,2099517480.0,1315563582.0,560591555.0,30.0
1,관광특구,1001495,잠실 관광특구,4958694221,3170740508,1787953713,530705964,588195154,605169583,662928990,783740817,975619167,812334546,424090071.0,305521360.0,1130035805,862345490,1306155674,930545821.0,2285038835,2293024622,57244128.0,1343820807.0,1437346065.0,927834848.0,552317411.0,259500203.0,88.0
2,관광특구,1001494,종로?청계 관광특구,5558121591,3791737147,1766384444,650165285,727455435,747539465,766774993,899801969,1054202325,712182119,38089475.0,275577043.0,1905975718,1223159406,1705179067,410140882.0,2598197580,2343910798,21834575.0,989715251.0,1248971743.0,1129719420.0,956093423.0,595773972.0,138.0
3,관광특구,1001493,동대문패션타운 관광특구,4331484401,3046245602,1285238799,518499825,636179506,607865659,631412273,652288339,702958690,582280109,178125881.0,348177729.0,1208405768,909415419,1291742449,395617155.0,1720621150,2304584747,53381451.0,1082574057.0,1140470531.0,845540469.0,604940578.0,298298806.0,106.0
4,관광특구,1001492,명동 남대문 북창동 다동 무교동 관광특구,11579584817,9569535123,2010049694,1792347099,1907729089,1937008387,1966047849,1966402699,1137339658,872710036,307572411.0,699627864.0,5674902040,1390905379,2448661655,1057915468.0,4705106382,4408718262,28104995.0,1708526558.0,2949866137.0,2227132036.0,1428602582.0,771592339.0,234.0
5,관광특구,1001491,이태원 관광특구,2321804342,1507398067,814406275,203628966,271341040,306406186,315530166,410491709,496755068,317651207,144681230.0,49239632.0,265559211,304696969,787252739,770374561.0,840425101,1203170898,11329286.0,854818077.0,725515235.0,212089200.0,183152814.0,56691391.0,87.0
6,전통시장,2130326,고덕 골목형상점가,541295210,383514650,157780560,71611589,66186001,81946558,82625838,81144664,89749098,68031462,,31772013.0,193087248,113579141,197705659,5151149.0,249789090,281901168,5466420.0,60756647.0,137891721.0,159385393.0,101763474.0,66426603.0,5.0
7,전통시장,2130325,명일전통시장,2570754,1554969,1015785,224230,294158,215922,215922,604737,121194,894591,,,1368132,238002,748698,,1153369,1201463,,,867371.0,1056787.0,352327.0,78347.0,4.0
8,전통시장,2130324,길동복조리시장,104982944,71904860,33078084,11624740,17666059,12940916,14550797,15122348,17813493,15264591,420312.0,3385119.0,33799478,26445899,34108152,6823984.0,51313654,53669290,844814.0,10710355.0,18233363.0,32533769.0,28348565.0,14312078.0,12.0
9,전통시장,2130323,둔촌역전통시장,67502625,46505162,20997463,6934626,4405778,9355875,14095513,11713370,12407413,8590050,,,471740,14061570,32025368,20943947.0,39041658,24171738,,6607680.0,9294351.0,12815262.0,22659589.0,11836515.0,9.0
10,전통시장,2130322,고분다리전통시장,26279794,17659907,8619887,2551402,3667416,4280796,2711476,4448817,5062173,3557714,339742.0,,6998495,5602071,11344412,1995074.0,9792713,14743487,192281.0,5316712.0,4751833.0,5351778.0,5767012.0,3156584.0,17.0
11,전통시장,2130320,암사종합시장,974353038,633048246,341304792,116057854,127018953,96653633,144522100,148795706,176037994,165266798,4527841.0,35254277.0,203891185,208261686,454539805,67878244.0,470266695,498863297,2730698.0,69213794.0,167419554.0,282779962.0,264262264.0,182723720.0,19.0
