,상권구분코드명,상권코드,상권코드명,분기당매출금액,주중매출금액,주말매출금액,월요일매출금액,화요일매출금액,수요일매출금액,목요일매출금액,금요일매출금액,토요일매출금액,일요일매출금액,시간대00~06매출금액,시간대06~11매출금액,시간대11~14매출금액,시간대14~17매출금액,시간대17~21매출금액,시간대21~24매출금액,남성매출금액,여성매출금액,연령대10매출금액,연령대20매출금액,연령대30매출금액,연령대40매출금액,연령대50매출금액,연령대60이상매출금액,점포수
0,관광특구,1001496,강남 마이스 관광특구,3265100727,2153278843,1106711169,357351328,379009958,430472397,460056198,526388962,589276333,517434836,5110715.0,21111512.0,1144825037.0,631527550.0,1273604908.0,188921005.0,1114220878,1463366693,28181177.0,607074829.0,878335673.0,647691801.0,291874297.0,124429791.0,36
1,관광특구,1001495,잠실 관광특구,4175524807,2236840528,1938684279,308399849,396997629,414900099,474312254,642230697,1105666182,833018097,86154973.0,28941889.0,1070037568.0,784866695.0,1648795437.0,556728245.0,1812869414,1855464959,38157569.0,850235779.0,984836455.0,735322590.0,558471038.0,501310941.0,78
2,관광특구,1001494,종로?청계 관광특구,2333394066,1786458660,546935406,250736604,356353616,356394205,389830664,433143571,369460547,177474859,23287542.0,5211477.0,898047354.0,222036749.0,868584791.0,316226153.0,921735944,836441044,15718171.0,453673657.0,553860173.0,360778262.0,258674489.0,115472247.0,45
3,관광특구,1001493,동대문패션타운 관광특구,2141814573,1179879452,961935121,235166911,185878679,233669158,229745910,295418794,508394233,453540888,1346525.0,14094556.0,545435467.0,477192773.0,935445730.0,168299522.0,1114555975,811927486,16175717.0,518645285.0,615614753.0,369676636.0,303465660.0,102905418.0,45
4,관광특구,1001492,명동 남대문 북창동 다동 무교동 관광특구,7335188527,5416564945,1918623582,866043648,1017358021,1108963409,1130974033,1293225834,1126462842,792160740,110960047.0,39539666.0,2750309366.0,883815542.0,2668722561.0,881841345.0,2452343815,2472505848,36025318.0,932657976.0,1509467790.0,1201990230.0,777260832.0,467447522.0,83
5,관광특구,1001491,이태원 관광특구,16173481278,7932518853,8240962425,1236444029,1144961444,1426690587,1647614650,2476808143,5103341990,3137620435,1816845464.0,156535147.0,1691122131.0,2375781008.0,6005308276.0,4127889252.0,7824852549,6303573420,137871120.0,5465467964.0,4703515848.0,1825785706.0,1238653946.0,757131376.0,221
6,전통시장,2130318,로데오거리상점가,4097818299,2378176120,1719642179,405976003,394996994,443528230,465441560,668233333,941427266,778214913,324069508.0,,660533236.0,570896068.0,1564654617.0,977664870.0,1761829324,2151664454,92199286.0,1566562892.0,906467937.0,689173947.0,496171006.0,162918707.0,8
7,전통시장,2130312,석촌시장,58345816,27760661,20557898,6686887,8289571,3912684,945346,7926173,13249252,7308646,1906789.0,10027257.0,7927866.0,5471320.0,21778547.0,11234037.0,24029252,16231837,,4064313.0,15359340.0,8905401.0,7485688.0,4446347.0,2
8,전통시장,2130311,새마을시장,12117836,8440351,3559649,2568663,1043707,1326715,1789715,1711551,2075653,1483996,,418981.0,2426413.0,3388806.0,5765800.0,117836.0,5829377,6170623,157784.0,2190199.0,2697108.0,3807683.0,2150825.0,996401.0,5
9,전통시장,2130310,강남개포시장,44163314,33631322,10417827,6658588,6904271,7718042,6114703,6235718,10417827,10417827,,,15810091.0,8860611.0,19378447.0,114165.0,21104630,20367577,2280112.0,6422950.0,7317093.0,12238081.0,10022359.0,3191609.0,2
10,전통시장,2130306,강남언주로,396922386,307883937,89038449,45202306,76238313,60996306,52786774,72660238,51069621,37968828,11494229.0,,155701743.0,32270852.0,130168145.0,67287417.0,168148869,117403145,1868297.0,64752309.0,109396418.0,47984441.0,45699692.0,15850858.0,8
11,전통시장,2130303,영동전통시장,171114784,144677942,26436842,29264383,31349766,24795635,28277029,30991129,26436842,26436842,,290690.0,85874814.0,14200857.0,70059672.0,688751.0,62745840,72895259,149988.0,36726290.0,50873602.0,29003892.0,16276764.0,2610565.0,5
12,전통시장,2130299,엔터식스 강남점,2898751724,1838031571,1060720153,360645388,342712246,321860696,364977158,447836083,574143721,486576432,,42443495.0,800228339.0,577502413.0,1147130733.0,331446744.0,1249670214,1249843964,18672032.0,650899843.0,812739638.0,485224077.0,359970353.0,172008236.0,13
13,전통시장,2130291,봉천제일종합시장,82258236,46491074,35128043,2681745,11685147,11587489,9189002,11347691,18720572,16407471,,326206.0,34888246.0,8568801.0,35154119.0,639119.0,37887329,41050043,139917.0,25629310.0,22162600.0,12388252.0,13150585.0,5466708.0,2
14,전통시장,2130290,영림시장,361710095,235379833,126330262,47822213,54098450,53758498,49865486,29835186,70839600,55490662,,292726.0,130196492.0,84726608.0,142885722.0,3608547.0,221180642,129797542,4136550.0,113676230.0,116352277.0,46178335.0,42375108.0,28259685.0,5
15,전통시장,2130285,서원동상점가,174011860,105516388,68495472,15897693,36912906,12607672,15175646,24922471,26903052,41592420,70073315.0,130822.0,19204078.0,20021556.0,39354886.0,25227203.0,126202423,42272609,1167535.0,32604676.0,32772611.0,84143378.0,14808828.0,2978005.0,5
16,전통시장,2130273,남성사계시장(남성시장),33938859,19500753,14438106,3122269,3144123,4233593,4948829,4051939,8549137,5888969,,,8617427.0,6376568.0,17117394.0,1827470.0,18750006,11710559,616896.0,6241807.0,6297350.0,7069951.0,8366116.0,1868445.0,3
17,전통시장,2130270,흑석시장,57532823,39227298,18305525,6547227,7952659,8263986,8471783,7991643,8011381,10294144,,1268202.0,18646016.0,13162648.0,14102597.0,59216.0,22822527,24416152,215102.0,4184006.0,5903835.0,11997996.0,15450888.0,9486852.0,2
18,전통시장,2130266,만양로상점가,342404862,198776840,143628022,9788657,40454311,43053193,48627525,56853154,59957106,83670916,,2905020.0,107394354.0,46472756.0,117118445.0,68514287.0,197474229,120863167,4852146.0,55475568.0,87225522.0,74285189.0,61548302.0,34950668.0,3
19,전통시장,2130241,선유도역 골목형상점가,274792752,271399700,3393052,48151458,58345415,50067061,62991606,51844160,176837,3216215,176837.0,106347.0,255252328.0,4643972.0,11702644.0,2910624.0,129123575,68824987,4572080.0,63353934.0,67991345.0,41258163.0,17628949.0,3144091.0,8
20,전통시장,2130213,방신전통시장,2809390,2316748,492642,434057,524597,553889,452698,351507,306237,186405,,15978.0,673721.0,969304.0,828172.0,322215.0,1456622,1299510,,138473.0,380799.0,218360.0,788226.0,1230274.0,1
21,전통시장,2130210,목2동시장,72186858,50449769,21712000,3080209,7715576,13734721,8420357,17498906,15429222,6282778,1856617.0,25089.0,8731504.0,4914439.0,41329959.0,15329250.0,35166103,35102380,362062.0,21795341.0,31324496.0,11681848.0,3762286.0,1342450.0,2
22,전통시장,2130194,용강동 상점가,78203564,55603405,22600159,1842658,13694668,21669892,5788273,12607914,16320379,6279780,9927320.0,,5129253.0,870436.0,40318713.0,21957842.0,47614687,17444706,,7286670.0,23422254.0,16846922.0,15110490.0,2393057.0,3
23,전통시장,2130192,동진시장,37629870,4758211,14573594,1462133,1120465,412010,417034,1346569,4381374,10192220,2065074.0,,6745406.0,7054413.0,818995.0,6255516.0,3296079,5843506,1421920.0,6044486.0,2678064.0,2056351.0,417035.0,1019975.0,5
24,전통시장,2130191,홍대 걷고싶은 거리,865852383,496738027,369114356,103870953,79991092,79004414,97990728,135880840,208096094,161018262,127835497.0,598755.0,127078690.0,134550064.0,287148402.0,188640975.0,351999484,503607416,54817730.0,437007597.0,166850310.0,106187833.0,74617566.0,16125866.0,12
25,전통시장,2130190,홍대소상공인상점가,1412277916,707400157,704877759,132041934,98400068,119388072,136175819,221394264,409227909,295649850,121509225.0,4187102.0,222605471.0,276429828.0,590970963.0,196575327.0,614700789,746749661,118058720.0,636888490.0,280873872.0,195796574.0,105899766.0,23933026.0,25
26,전통시장,2130186,망원시장,90150269,53033310,36966690,10288867,11295906,10327645,10936489,10184403,22194962,14771728,,150269.0,38878954.0,18339104.0,32669238.0,112704.0,33732189,49203338,379778.0,23235894.0,21770157.0,21368179.0,13087015.0,3094503.0,6
27,전통시장,2130183,상암동상점가,509209006,377615130,131593876,70055055,55999384,88217917,79173316,84169458,88241145,43352731,13351984.0,9161796.0,213959279.0,60144908.0,155710896.0,56880143.0,200032525,170493825,1619270.0,80743549.0,130556245.0,86025156.0,53112277.0,18469847.0,15
28,전통시장,2130179,"이화여대 3,5,7길 상점가",900357771,731831218,168526553,135393692,147492741,161419469,157050805,130474511,106281176,62245377,,10462439.0,392626020.0,153262111.0,337035170.0,6972031.0,160348653,589819707,44655896.0,385337740.0,109434111.0,92005204.0,95060401.0,23675009.0,14
29,전통시장,2130178,이대 앞 스타트업 상점가,89991978,84898921,4316968,14043515,15145258,16849175,16294826,22566147,4147837,169131,776089.0,2691746.0,31456170.0,14564822.0,21452665.0,19050486.0,9124413,70633625,3996860.0,58928992.0,5552937.0,2769005.0,7521838.0,988405.0,3
30,전통시장,2130177,인왕시장(홍제골목형상점가),12957698,8975885,3760242,2250071,1458388,1470338,1789501,2007587,1471334,2288908,,59750.0,5374976.0,2741013.0,4560388.0,221571.0,6867283,5232511,203148.0,1909528.0,2212758.0,2608461.0,2886960.0,2278938.0,1
31,전통시장,2130170,제일시장,1411686632,800096502,611590130,58707793,180751062,175207946,178194157,207235544,320919945,290670185,,3112479.0,519705708.0,243309997.0,604666914.0,40891534.0,554601854,822077281,23629754.0,240379727.0,375551554.0,300431892.0,265352479.0,171333729.0,2
32,전통시장,2130167,연신내상점가(연빛거리),987246250,589740303,397505947,105334625,106336298,105065886,119134380,153869114,269054564,128451383,89510541.0,8083010.0,126847339.0,99129526.0,407751485.0,255924349.0,405565812,577684437,40820085.0,483407808.0,214886682.0,113642219.0,100821316.0,29672138.0,13
33,전통시장,2130152,오!도봉거리 상점가,21034709,14936786,5660328,4412896,2406776,2681836,2482929,2952349,2645465,3014863,437595.0,,6619629.0,2864262.0,8462076.0,2651147.0,11530170,7381917,,1275663.0,6076989.0,6436872.0,3541900.0,1580661.0,1
34,전통시장,2130146,쌍문시장(쌍문역골목시장),20112017,12209791,7527254,31710,3263849,2706393,2297379,3910460,4052465,3474789,,39063.0,6292858.0,4581888.0,8823236.0,374972.0,8779940,10957105,1991580.0,5588355.0,2690102.0,5160889.0,3162379.0,1143740.0,1
35,전통시장,2130140,숭인시장,100181553,72484448,27697105,5290743,6661007,6090064,18282879,36159755,26402966,1294139,11050928.0,,,3171908.0,38811471.0,45853107.0,69778727,29108687,,15916125.0,30285525.0,38270040.0,12233451.0,2182273.0,2
36,전통시장,2130137,"수유전통시장(수유시장, 수유골목시장)",18962733,12052796,5770186,2807454,3155281,1391303,2347826,2350932,2329193,3440993,,1093168.0,5009317.0,7658386.0,4062111.0,1139751.0,7454542,10368440,,628569.0,1349085.0,3815152.0,5812665.0,6217511.0,1
37,전통시장,2130118,정릉골 골목형상점가,58337071,37999300,20337771,10297192,1168290,11729562,8034330,6769926,9275405,11062366,,,20505737.0,10852410.0,26218415.0,760509.0,18359668,34672506,1354623.0,18136452.0,9989067.0,13556074.0,8003142.0,1992818.0,2
38,전통시장,2130113,신아타운,53795245,43138529,10656716,14038401,5851783,13785511,3217010,6245824,6575170,4081546,3528714.0,2029010.0,12697490.0,18025847.0,13150341.0,4363843.0,31755456,22039789,5122145.0,12279354.0,6355511.0,23271383.0,6087717.0,679135.0,2
39,전통시장,2130110,면목골목시장(면목시장),49649704,37385245,12264459,5957776,8934546,6938574,8851675,6702674,8113839,4150620,,489693.0,26717940.0,8209422.0,13691161.0,541488.0,22037372,25094650,1158145.0,12169947.0,11041010.0,11732597.0,8665938.0,2364384.0,4
40,전통시장,2130106,중랑동부시장,46665726,32412317,14253409,4556636,7083542,7892715,4476281,8403143,10548442,3704967,5009756.0,,7998389.0,3958173.0,9007213.0,20692195.0,23178308,21471491,550246.0,10402568.0,21378530.0,5130335.0,4438724.0,2749397.0,4
41,전통시장,2130100,답십리시장,36407311,24067790,12339521,5924137,5328583,5791231,5924137,7023839,6827001,5512520,,,9799164.0,7733231.0,18796406.0,78510.0,18865424,15946452,401192.0,6789944.0,9645198.0,7559948.0,6582318.0,3833277.0,2
42,전통시장,2130098,회기시장,85079893,55469648,29610245,8844890,13024113,15028991,10890042,7681612,11287565,18322680,,,41756146.0,8264297.0,34044720.0,1014730.0,34007060,45822389,2050383.0,35876988.0,12799199.0,11191323.0,15515956.0,2395600.0,2
43,전통시장,2130079,한아름시장,104951268,60525747,44425521,12231067,10905656,9353683,11049293,16986048,24240147,20185374,,,20015978.0,28342532.0,49441365.0,7151393.0,44306447,57414435,10655296.0,53994553.0,12811526.0,12654831.0,10431949.0,1172725.0,2
44,전통시장,2130078,화양제일골목시장,60965542,35461066,25504476,6393144,625716,9205098,8477554,10759554,14494610,11009866,2021751.0,,823506.0,3384563.0,33108389.0,21627333.0,41136026,19647789,3901125.0,33557911.0,11879839.0,4975145.0,5378863.0,1090932.0,5
45,전통시장,2130070,뚝섬역상점가,102047442,96332001,5715441,18240887,19311191,20939507,21767197,16073219,5715441,5715441,,,72817047.0,3503914.0,25726481.0,,34357963,36224229,802495.0,14722042.0,18044929.0,22250560.0,10796351.0,3965816.0,3
46,전통시장,2130069,"한양대앞상점가(한양시장, 왕십리맛골목)",37761025,36710243,754102,5554965,9183458,7253093,7103781,7614946,155879,598223,296680.0,326347.0,14100076.0,7000429.0,14970661.0,1066832.0,26030642,11433703,1389682.0,28142573.0,2302658.0,1298675.0,4031714.0,299043.0,8
47,전통시장,2130067,왕십리도선동상점가,133261764,102076514,31185250,15582570,20478675,14403923,19334480,32276866,27076493,4108757,10537536.0,,16707552.0,5252106.0,54617586.0,46146984.0,54751589,67305378,2476118.0,50066466.0,48790701.0,8064276.0,9853683.0,2805723.0,5
48,전통시장,2130066,행당시장상점가,34666235,21431326,13152502,427105,5289085,4171590,3873202,7670344,7997985,5154517,1550451.0,,82407.0,620180.0,19787262.0,12625935.0,25608388,5862837,,5930408.0,7081263.0,6788540.0,6839557.0,4831457.0,8
49,전통시장,2130061,이태원시장,381227108,157638733,223588375,19076319,25871946,21761155,33355748,57573565,139686849,83901526,10932104.0,39484.0,41369202.0,73835674.0,198829204.0,56221440.0,211998061,124093032,1515071.0,151337814.0,110405752.0,39291658.0,23639176.0,9901623.0,14
50,전통시장,2130058,이촌종합시장,502274012,341296366,160977646,59685978,65871700,70883630,73651318,71203740,93843030,67134616,35560159.0,,154035665.0,56229114.0,160784269.0,95664805.0,178226223,246631500,5217010.0,103223239.0,130176311.0,79799276.0,77700846.0,28741043.0,2
51,전통시장,2130038,"평화시장(통일상가, 동화상가)",841335423,434524285,406811138,81780298,69493384,87660102,88939328,106651173,235502374,171308764,,308565.0,182976726.0,207416638.0,396029104.0,54604390.0,346001700,398007567,7853482.0,125966384.0,240020178.0,210484021.0,113422407.0,46262797.0,8
52,전통시장,2130024,남대문시장(자유상가),19731214,14045752,5685462,1945330,2037965,1238991,3346432,5477034,4156987,1528475,,,7445522.0,5245446.0,7040246.0,,12366748,6044421,,3867503.0,6820239.0,3786448.0,2153760.0,1783221.0,3
53,전통시장,2130015,창신골목시장,49254696,19148370,29347664,3396024,2163760,4325273,3970632,5292681,15559313,13788351,3820246.0,758662.0,10158893.0,12257561.0,16315730.0,5943604.0,28205861,18611240,118008.0,12663614.0,22604598.0,5251938.0,4098953.0,2079990.0,7
54,전통시장,2130012,"동대문종합시장(동대문종합시장 신관, 동대문종합시장D동상가)",83548963,75625043,7712212,13942470,16664426,15394180,15522716,14101251,7712212,7712212,,3478057.0,66778682.0,13080516.0,211708.0,,34130318,39853990,559514.0,11031487.0,16142718.0,19930774.0,15106862.0,11212951.0,2
55,전통시장,2130010,종로신진시장,52564017,42129848,10434169,7697089,5564890,8952216,12747833,7167820,6048794,4385375,,771222.0,28172256.0,5580013.0,18040526.0,,42848878,6418546,,813679.0,1546250.0,8934435.0,13481985.0,24491076.0,2
56,전통시장,2130002,세종마을음식문화거리(금천교시장),179752667,108137254,71615413,17118994,19717873,22206154,23614111,25480122,40486790,31128623,8794205.0,,53860326.0,27336656.0,64755616.0,25005864.0,72337257,86540434,2529625.0,51266919.0,40412075.0,29683588.0,25663372.0,9322113.0,7
57,발달상권,2120249,고덕역,1384738363,883395774,501342589,152551382,177646602,177744507,172857290,202595993,304925865,196416724,,179474.0,553304232.0,243364856.0,578114805.0,9774996.0,630596070,721106375,54693335.0,159677015.0,211292779.0,569329138.0,254278278.0,102431899.0,12
58,발달상권,2120248,명일역,145845341,90793848,52559163,20990241,16715933,23113982,4114517,25859175,26981596,25577567,,,51559606.0,24269973.0,67523432.0,2492330.0,66259475,77093536,2553919.0,20806095.0,33034385.0,47304608.0,28783011.0,10870993.0,10
59,발달상권,2120246,길동역,18856935,12014180,6842755,2501559,2094812,515785,3405994,3496030,3526797,3315958,,,5699882.0,4151620.0,7038210.0,1451438.0,9504778,7593058,100407.0,3751381.0,3770881.0,4145484.0,2969252.0,2360430.0,9
60,발달상권,2120245,둔촌역,327704226,191989308,135714918,9777106,51818874,36108835,44062797,50221696,62276717,73438201,13328140.0,2665010.0,129541959.0,40828983.0,107706267.0,33633867.0,164281526,136639948,4579409.0,54109104.0,85679558.0,91542918.0,47000692.0,18009787.0,11
61,발달상권,2120243,천호역,1006377601,515848514,490529087,111873113,93164395,86376419,108797855,115636732,276239966,214289121,14033619.0,,187822747.0,213843633.0,448732521.0,141945081.0,449383949,446369486,5181698.0,173487713.0,292162597.0,255564484.0,126781348.0,42575595.0,18
62,발달상권,2120242,강동구청역,288474959,169680123,118794836,30335748,26613932,31198997,41679884,39851562,50297723,68497113,,423465.0,98813642.0,43814932.0,127568087.0,17854833.0,111188483,116502644,308819.0,20930562.0,51761426.0,62123320.0,63555976.0,29011025.0,5
63,발달상권,2120239,오금역,648762662,459611890,189150772,76806830,92913218,83572365,96159169,110160308,121433002,67717770,1480904.0,5968779.0,180483030.0,71501798.0,267793521.0,121534630.0,340111894,242285475,3454971.0,90081247.0,151297026.0,137866905.0,116998590.0,82698630.0,8
64,발달상권,2120236,장지역(가든파이브),1650622718,820246607,830376111,164280274,125767905,153515989,179994509,196687930,389418600,440957511,,27660295.0,617913170.0,420813305.0,584235948.0,,759710169,890912549,21561743.0,187850441.0,401663883.0,645025010.0,252992615.0,141529026.0,5
65,발달상권,2120235,문정역,290820126,228415855,62404271,37681731,41314816,56130659,44646491,48642158,42296858,20107413,32396163.0,3527.0,90733405.0,9398477.0,75143307.0,83145247.0,129669700,111900309,2132216.0,84838531.0,94782721.0,37774812.0,13669791.0,8371942.0,38
66,발달상권,2120234,가락시장역,38048256,22878115,12933251,4175697,3685089,2931584,6509101,5576644,9403990,3529261,12662813.0,191518.0,,344330.0,4685909.0,18271126.0,23937246,6364331,1892560.0,4993545.0,11711757.0,6824276.0,5176014.0,1595984.0,4
67,발달상권,2120231,가락시장,87777101,66484593,21292508,13541060,12454883,14052116,13723274,12713260,13541236,7751272,,440413.0,42206261.0,10502385.0,24155017.0,2721753.0,33750328,28841013,,6638494.0,13582224.0,20781629.0,12924599.0,8664394.0,2
68,발달상권,2120230,송파사거리(송파역),61533789,34527036,27006753,4665832,7420184,7049957,6473148,8917915,16397289,10609464,,2384416.0,27686274.0,6409316.0,18264085.0,2123866.0,25165024,27437793,147975.0,12120334.0,19776712.0,11342660.0,4959478.0,4255658.0,11
69,발달상권,2120229,방이동먹자골목,423135820,242495936,180639884,13701504,53356962,54567132,54413207,66457131,105275446,75364438,33587354.0,8562775.0,59583804.0,50739020.0,160803679.0,109859188.0,198977598,178790179,5537514.0,163512788.0,108146198.0,44789297.0,44366014.0,11415964.0,20
70,발달상권,2120228,석촌역(석촌호수),1179050043,582948409,596101634,66523203,123145256,113074439,118925213,161280298,364671956,231429678,,,331171062.0,161537308.0,559801835.0,126539838.0,617072081,482798885,4287796.0,336363357.0,307027832.0,117557177.0,162309451.0,172325351.0,13
71,발달상권,2120227,잠실역,1688475412,1135969377,552506035,201684029,201614740,233310401,222780508,276579699,319038727,233467308,13853176.0,621707.0,530947894.0,298045799.0,580894244.0,264112592.0,726627902,765837819,20107868.0,328413791.0,468992045.0,376394964.0,198529932.0,100027121.0,46
72,발달상권,2120226,석촌고분역,209341288,107761520,101091162,10891464,9446078,12410582,28099264,46914132,58660653,42430509,28827731.0,,488606.0,3198146.0,99019030.0,77807775.0,111800955,47495573,,25053918.0,37980645.0,35149842.0,39707644.0,21404479.0,10
73,발달상권,2120225,잠실새내역(신천),1788268402,1062907958,725360444,157386381,222399548,182024695,193423607,307673727,419465942,305894502,95226388.0,956944.0,223791848.0,181879742.0,774157984.0,512255496.0,898159279,590611387,14534282.0,416708107.0,476326119.0,306249973.0,200436314.0,74515866.0,34
74,발달상권,2120224,수서역,320855783,260849919,60005864,41957436,46089189,52753505,59140898,60908891,49950642,10055222,32717532.0,,7287112.0,7579479.0,113592338.0,159679322.0,164704537,129166316,1224632.0,63541496.0,101536559.0,75785940.0,42688324.0,9093901.0,4
75,발달상권,2120222,삼성역,2530935242,1821520681,709414561,322212353,351647207,368699145,397294296,381667680,374722719,334691842,,18156389.0,1106988910.0,385003468.0,900947017.0,119839458.0,872372679,1125142013,19199056.0,484351031.0,716479015.0,458494274.0,229180202.0,89811111.0,33
76,발달상권,2120221,봉은사역,878662098,664917405,213017681,112084555,123088695,128337967,129076061,172330127,109501357,103516324,727012.0,254441.0,363404409.0,105881925.0,331550537.0,76843774.0,308924956,308878787,1903019.0,87617555.0,160096540.0,175624902.0,129061217.0,63500507.0,9
77,발달상권,2120220,대치역,375797155,276223152,99574003,51964173,48926048,61821919,51777569,61733443,64777179,34796824,,1029725.0,150867927.0,94957900.0,121151219.0,7790384.0,153528283,192368502,24000638.0,27487749.0,39779897.0,142313695.0,102175975.0,10138829.0,7
78,발달상권,2120219,은마아파트,409533361,232576662,176956699,54451965,51412475,13618281,56032316,57061625,97312577,79644122,61437.0,533270.0,126389923.0,80282760.0,191230348.0,11035623.0,166822256,231279981,52999531.0,28297855.0,29255767.0,165748916.0,111542526.0,10257640.0,13
79,발달상권,2120218,코엑스,1127386836,698810890,423465231,111810441,111511678,135602407,148124393,191761971,217762159,205703072,5110715.0,3196626.0,308923711.0,251622871.0,452432337.0,106100576.0,414036782,418984504,8982121.0,164449496.0,271274501.0,256474777.0,91985197.0,39855193.0,18
80,발달상권,2120217,대치사거리,206891450,131130935,75377295,23792396,25225063,26605996,26344832,29162648,29819543,45557752,383220.0,10135973.0,121722850.0,35866503.0,38782904.0,,69318244,106006620,1848653.0,15406013.0,36395501.0,74810838.0,33839559.0,13024302.0,8
81,발달상권,2120216,경기고교사거리(경기고교앞사거리),537975920,414215340,123760580,66550425,87546489,76403839,102592755,81121832,62075710,61684870,,923924.0,335583717.0,15690484.0,182730841.0,3046954.0,188518990,212809278,691281.0,64048518.0,113066993.0,115494453.0,64312801.0,43714221.0,2
