,상권구분코드명,상권코드,상권코드명,분기당매출건수,주중매출건수,주말매출건수,월요일매출건수,화요일매출건수,수요일매출건수,목요일매출건수,금요일매출건수,토요일매출건수,일요일매출건수,시간대00~06매출건수,시간대06~11매출건수,시간대11~14매출건수,시간대14~17매출건수,시간대17~21매출건수,시간대21~24매출건수,남성매출건수,여성매출건수,연령대10매출건수,연령대20매출건수,연령대30매출건수,연령대40매출건수,연령대50매출건수,연령대60이상매출건수
0,관광특구,1001496,강남 마이스 관광특구,84180,58731.0,25449.0,10927.0,11205.0,12213.0,12327.0,12059.0,13359.0,12090.0,,4468.0,32249.0,18390.0,27984.0,1089.0,30276.0,42624.0,714.0,19342.0,26461.0,14770.0,8249.0,3363.0
1,관광특구,1001495,잠실 관광특구,55383,31659.0,23724.0,5123.0,6652.0,7035.0,6294.0,6555.0,11965.0,11759.0,27.0,392.0,15774.0,14910.0,21884.0,2396.0,25182.0,27352.0,815.0,15059.0,15578.0,9482.0,6725.0,4873.0
2,관광특구,1001494,종로?청계 관광특구,56671,45548.0,11123.0,8759.0,8408.0,9142.0,10077.0,9162.0,6386.0,4737.0,247.0,1203.0,31127.0,8350.0,14284.0,1460.0,26079.0,25171.0,470.0,15464.0,13905.0,10421.0,7197.0,3797.0
3,관광특구,1001493,동대문패션타운 관광특구,52458,30455.0,22003.0,6964.0,5543.0,6206.0,5533.0,6209.0,11314.0,10689.0,30.0,694.0,14202.0,14830.0,20459.0,2243.0,29405.0,21948.0,305.0,16037.0,20197.0,7738.0,4681.0,2398.0
4,관광특구,1001492,명동 남대문 북창동 다동 무교동 관광특구,83332,63408.0,19924.0,11710.0,12253.0,12654.0,13359.0,13432.0,10897.0,9027.0,,258.0,42719.0,12931.0,26092.0,1332.0,31487.0,35780.0,312.0,15958.0,23428.0,14360.0,8937.0,4281.0
5,관광특구,1001491,이태원 관광특구,300585,154195.0,146390.0,22994.0,29781.0,32080.0,28948.0,40392.0,82644.0,63746.0,4614.0,6768.0,58509.0,62991.0,131246.0,36457.0,149170.0,140725.0,3778.0,119500.0,97829.0,33262.0,26073.0,9473.0
6,전통시장,2130318,로데오거리상점가,69293,43412.0,25881.0,8077.0,7258.0,9713.0,8767.0,9597.0,13924.0,11957.0,,,14215.0,14690.0,34243.0,6145.0,31217.0,38076.0,3881.0,30840.0,13795.0,10107.0,8624.0,2046.0
7,전통시장,2130312,석촌시장,1185,787.0,398.0,127.0,228.0,131.0,97.0,204.0,238.0,160.0,51.0,115.0,126.0,135.0,509.0,249.0,731.0,350.0,,173.0,303.0,151.0,291.0,160.0
8,전통시장,2130311,새마을시장,986,679.0,307.0,123.0,138.0,126.0,161.0,131.0,164.0,143.0,,25.0,236.0,241.0,476.0,8.0,470.0,516.0,,92.0,272.0,327.0,224.0,71.0
9,전통시장,2130310,강남개포시장,3384,2936.0,448.0,594.0,570.0,603.0,662.0,507.0,448.0,448.0,,,1320.0,694.0,1370.0,,1419.0,1901.0,266.0,764.0,565.0,722.0,792.0,211.0
