,상권구분코드명,상권코드,상권코드명,분기당매출건수,주중매출건수,주말매출건수,월요일매출건수,화요일매출건수,수요일매출건수,목요일매출건수,금요일매출건수,토요일매출건수,일요일매출건수,시간대00~06매출건수,시간대06~11매출건수,시간대11~14매출건수,시간대14~17매출건수,시간대17~21매출건수,시간대21~24매출건수,남성매출건수,여성매출건수,연령대10매출건수,연령대20매출건수,연령대30매출건수,연령대40매출건수,연령대50매출건수,연령대60이상매출건수
0,관광특구,1001496,강남 마이스 관광특구,120612,88927,31685,15264,16355,19274,18553,19481,17319,14366,4.0,137.0,53818.0,21477.0,43399.0,1777.0,40635,56950,1215.0,28374.0,33500.0,17799.0,10310.0,6386.0
1,관광특구,1001495,잠실 관광특구,22946,15475,7471,3022,2565,3146,2959,3783,4054,3417,235.0,23.0,6340.0,2722.0,9479.0,4147.0,10895,9892,125.0,7769.0,6400.0,2504.0,2876.0,1116.0
2,관광특구,1001494,종로?청계 관광특구,59078,52393,6685,9182,11106,9978,10667,11460,4807,1878,1970.0,70.0,29619.0,3263.0,15294.0,8862.0,26911,20810,173.0,11512.0,16417.0,10375.0,6028.0,3214.0
3,관광특구,1001493,동대문패션타운 관광특구,49820,37706,12114,7321,7402,8097,7346,7540,8487,3627,,132.0,22185.0,12729.0,14522.0,252.0,20534,27607,681.0,15249.0,15245.0,9274.0,5488.0,2206.0
4,관광특구,1001492,명동 남대문 북창동 다동 무교동 관광특구,143766,130996,12770,24755,27192,26212,25983,26854,7266,5504,53.0,793.0,92032.0,11335.0,29811.0,9742.0,56359,57922,922.0,29019.0,40462.0,24828.0,13469.0,5578.0
5,관광특구,1001491,이태원 관광특구,16296,10116,6180,1642,1682,2142,1920,2730,3897,2283,1445.0,5.0,3489.0,1237.0,5998.0,4122.0,6883,7621,151.0,5503.0,5009.0,2084.0,1175.0,584.0
6,전통시장,2130324,길동복조리시장,1342,830,506,19,296,109,154,252,280,226,6.0,,109.0,78.0,725.0,424.0,726,507,,45.0,199.0,353.0,437.0,199.0
7,전통시장,2130318,로데오거리상점가,30569,20221,10348,3496,4320,3477,3954,4974,5501,4847,1181.0,,9814.0,4328.0,10680.0,4566.0,16091,12792,179.0,9885.0,8073.0,4323.0,3974.0,2452.0
8,전통시장,2130313,방이시장,3851,3379,472,654,744,630,588,763,448,24,146.0,,1861.0,300.0,1000.0,544.0,1971,1491,25.0,618.0,897.0,784.0,671.0,465.0
9,전통시장,2130310,강남개포시장,5312,4136,1171,713,863,751,817,992,828,343,6.0,5.0,2024.0,719.0,1994.0,564.0,2864,1863,191.0,884.0,877.0,913.0,1196.0,666.0
10,전통시장,2130306,강남언주로,3352,3078,274,396,652,655,623,752,214,60,91.0,,788.0,60.0,1044.0,1369.0,1511,936,,555.0,1001.0,503.0,315.0,73.0
11,전통시장,2130304,신사상가,103,70,33,23,17,8,7,15,33,33,,4.0,28.0,53.0,18.0,,53,32,4.0,,14.0,,11.0,57.0
12,전통시장,2130303,영동전통시장,22892,18123,4769,3056,3698,3746,3604,4019,2699,2070,24.0,238.0,12011.0,3092.0,5434.0,2093.0,10834,7457,60.0,3723.0,5232.0,3841.0,3103.0,2332.0
13,전통시장,2130302,강남시장(강남구 강남시장),5508,5318,190,1159,1094,993,1074,998,190,190,5.0,20.0,4603.0,305.0,320.0,255.0,3487,1128,15.0,421.0,1018.0,1124.0,798.0,1239.0
14,전통시장,2130301,양재시장,4619,3611,1008,814,653,736,717,691,447,561,,12.0,2107.0,1131.0,1357.0,12.0,1805,1905,273.0,954.0,771.0,553.0,754.0,406.0
15,전통시장,2130299,엔터식스 강남점,45232,30861,14371,5753,5578,5677,6105,7748,7656,6715,,226.0,16637.0,9829.0,18440.0,100.0,16539,25747,1073.0,13360.0,10182.0,7167.0,7013.0,3493.0
16,전통시장,2130298,강남터미널지하도상점가2구역,4253,2901,1352,611,561,544,623,562,774,578,,110.0,1788.0,1001.0,1354.0,,1812,2320,243.0,747.0,609.0,939.0,963.0,631.0
17,전통시장,2130295,인헌시장(원당종합시장),8668,5503,3165,56,1240,1226,1504,1477,1799,1366,,182.0,1950.0,1589.0,4250.0,697.0,4291,4377,14.0,1185.0,1892.0,1398.0,1879.0,2300.0
18,전통시장,2130285,서원동상점가,17678,11190,6488,2114,2039,2391,1961,2685,3367,3121,338.0,55.0,3251.0,2646.0,8315.0,3073.0,9999,7352,353.0,7449.0,4699.0,2150.0,1871.0,829.0
19,전통시장,2130284,관악종합시장(신원시장),2082,1660,417,297,376,325,293,369,408,9,,14.0,74.0,411.0,1332.0,246.0,1202,875,5.0,559.0,557.0,413.0,326.0,222.0
