,상권구분코드명,상권코드,상권코드명,분기당매출금액,주중매출금액,주말매출금액,월요일매출금액,화요일매출금액,수요일매출금액,목요일매출금액,금요일매출금액,토요일매출금액,일요일매출금액,시간대00~06매출금액,시간대06~11매출금액,시간대11~14매출금액,시간대14~17매출금액,시간대17~21매출금액,시간대21~24매출금액,남성매출금액,여성매출금액,연령대10매출금액,연령대20매출금액,연령대30매출금액,연령대40매출금액,연령대50매출금액,연령대60이상매출금액,점포수
0,관광특구,1001496,강남 마이스 관광특구,3497296455,2294354503,1202941952,365044323,388657695,491580375,508034964,541037146,634037994,568903958,519068.0,176171105,1059814070,870564121,1244416635,145811456.0,1271566200,1773887604,54903279.0,860779031.0,954891617.0,666555009.0,358795069.0,149529798.0,16.0
1,관광특구,1001495,잠실 관광특구,2066850109,1214570292,852279817,165893640,219136079,222039324,252512637,354988612,409249788,443030029,,111133861,528492183,655764099,752166621,19293345.0,885496742,992845711,1762158.0,244425547.0,521013635.0,450323497.0,303408643.0,357408976.0,39.0
2,관광특구,1001494,종로?청계 관광특구,610832640,424407299,186425341,69930172,83626653,88412575,83203528,99234371,117254417,69170924,,34597399,101673473,153532864,242073371,78955533.0,262867923,304036759,8213631.0,165112722.0,138842679.0,98701254.0,89317309.0,66717085.0,19.0
3,관광특구,1001493,동대문패션타운 관광특구,730557538,428618660,301938878,72712152,77649966,82375481,85475552,110405509,179679363,122259515,27053.0,16770444,225636815,202127934,236823596,49171696.0,289702867,404374308,11291761.0,205074540.0,207526551.0,147213651.0,84187000.0,38783673.0,24.0
4,관광특구,1001492,명동 남대문 북창동 다동 무교동 관광특구,4874653285,3838040595,1036612690,688394527,776613599,821003996,746913215,805115258,597130051,439482639,466490.0,843113018,1513406636,1210405944,1166150489,141110708.0,1574643414,2534241953,41711234.0,979791990.0,1230173520.0,890969073.0,617849888.0,348389664.0,68.0
5,관광특구,1001491,이태원 관광특구,1179122425,698194710,480927715,119717651,129413152,137170053,141902478,169991376,283273618,197654097,27441044.0,85546510,256664191,319861210,383319935,106289535.0,412693683,651017906,12043789.0,381750508.0,330609702.0,155744187.0,120382467.0,63180933.0,21.0
6,전통시장,2130326,고덕 골목형상점가,474287208,322072851,152214357,56612061,66395837,73788335,63315790,61960828,79285392,72928965,,85510030,101619540,98393778,154601332,34162528.0,180384673,284076596,4835986.0,48199358.0,117264188.0,131659705.0,86188359.0,76313672.0,2.0
7,전통시장,2130325,명일전통시장,27178417,19191818,7986599,3729612,5388383,996442,2819648,6257733,4413561,3573038,,4064381,8077007,7740274,7167697,129058.0,8121555,11095812,32756.0,459240.0,1403927.0,4665128.0,6425442.0,6230871.0,1.0
8,전통시장,2130324,길동복조리시장,43850394,29070317,14780077,5689493,6127552,7674512,1821899,7756861,6555526,8224551,,3053572,9993257,10653616,15244534,4905415.0,19491325,24359069,56234.0,2915653.0,7000630.0,12406032.0,11932757.0,9539088.0,3.0
9,전통시장,2130323,둔촌역전통시장,141630660,66988132,74642528,13394246,14627882,11197119,12531896,15236989,41835236,32807292,,11517781,32833525,35967493,57330673,3981188.0,69641956,71988704,,10855144.0,18990405.0,30926030.0,41523791.0,39335290.0,3.0
