,상권구분코드명,상권코드,상권코드명,분기당매출건수,주중매출건수,주말매출건수,월요일매출건수,화요일매출건수,수요일매출건수,목요일매출건수,금요일매출건수,토요일매출건수,일요일매출건수,시간대00~06매출건수,시간대06~11매출건수,시간대11~14매출건수,시간대14~17매출건수,시간대17~21매출건수,시간대21~24매출건수,남성매출건수,여성매출건수,연령대10매출건수,연령대20매출건수,연령대30매출건수,연령대40매출건수,연령대50매출건수,연령대60이상매출건수
0,관광특구,1001496,강남 마이스 관광특구,256257,173326,82931,32876,33569,33736,35808,37337,44061,38870,,21775,66799,66484,93499,7700.0,93755,144049,4960.0,75664.0,77580.0,43229.0,26586.0,9788.0
1,관광특구,1001495,잠실 관광특구,75021,43542,31479,7940,9003,8491,7514,10594,16618,14861,,4306,20935,25004,24404,372.0,31884,39372,243.0,8535.0,21619.0,18572.0,9682.0,12603.0
2,관광특구,1001494,종로?청계 관광특구,42639,31747,10892,5690,6029,7144,6483,6401,6553,4339,11.0,4384,8354,9597,15560,4733.0,17936,23146,481.0,12818.0,10224.0,6550.0,6321.0,4684.0
3,관광특구,1001493,동대문패션타운 관광특구,39657,24070,15587,4200,4614,5061,4841,5354,8915,6672,,879,11119,12735,13571,1353.0,15770,23376,595.0,14106.0,12462.0,6477.0,3899.0,1608.0
4,관광특구,1001492,명동 남대문 북창동 다동 무교동 관광특구,450472,351277,99195,67369,67808,73850,72693,69557,54607,44588,,99042,131587,103159,107956,8728.0,170498,255790,5454.0,109372.0,129358.0,92699.0,58887.0,30523.0
5,관광특구,1001491,이태원 관광특구,69791,46178,23613,9124,8449,9367,9270,9968,12493,11120,247.0,7444,14383,20470,23196,4051.0,30419,36563,671.0,21570.0,21133.0,10192.0,8440.0,4977.0
6,전통시장,2130326,고덕 골목형상점가,55032,39187,15845,7157,7862,8348,8190,7630,8421,7424,,8481,12309,13537,17181,3524.0,20898,33745,911.0,6674.0,13888.0,15735.0,9834.0,7601.0
7,전통시장,2130325,명일전통시장,3158,1996,1162,399,551,111,458,477,577,585,,223,917,1101,910,7.0,1317,1592,20.0,125.0,196.0,642.0,747.0,1179.0
8,전통시장,2130324,길동복조리시장,6179,4563,1616,992,954,955,796,866,741,875,,426,1230,2033,2135,355.0,3099,3080,24.0,580.0,827.0,1409.0,1793.0,1546.0
9,전통시장,2130323,둔촌역전통시장,18039,10177,7862,1987,1080,1684,1956,3470,4549,3313,,1054,4272,4723,7219,771.0,9704,8137,105.0,1412.0,2073.0,3838.0,5343.0,5069.0
10,전통시장,2130322,고분다리전통시장,13133,9039,4094,1830,1721,1726,1913,1849,2156,1938,,2036,3475,2761,3731,1130.0,5023,7982,58.0,1868.0,2599.0,2508.0,3169.0,2805.0
11,전통시장,2130319,성내전통시장,7830,5375,2455,926,1139,1216,1077,1017,1211,1244,,341,1164,1665,3377,1283.0,4462,3055,5.0,1415.0,756.0,2090.0,2163.0,1087.0
12,전통시장,2130318,로데오거리상점가,28580,20806,7774,4278,3828,4349,4181,4170,4307,3467,,3984,5074,6585,10887,2050.0,10784,17755,431.0,7790.0,7427.0,4777.0,4403.0,3709.0
13,전통시장,2130317,마천중앙시장,14721,8688,6033,1934,1494,1834,1548,1878,2856,3177,,231,2428,4020,6098,1944.0,6199,8281,553.0,2996.0,3437.0,4268.0,2111.0,1117.0
14,전통시장,2130316,마천시장,1510,845,665,302,90,212,181,60,424,241,,60,362,423,665,,966,514,,60.0,151.0,363.0,484.0,423.0
15,전통시장,2130314,풍납시장,20597,14733,5864,3132,2895,2817,2866,3023,3174,2690,,4398,3198,4022,6501,2478.0,8051,12201,115.0,2917.0,4539.0,3887.0,4805.0,3988.0
16,전통시장,2130313,방이시장,43095,31003,12092,6458,5645,6306,6221,6373,6333,5759,103.0,6960,9704,9280,13033,4015.0,16854,24193,278.0,6129.0,10776.0,8169.0,8754.0,6944.0
17,전통시장,2130311,새마을시장,23893,16920,6973,3208,3417,3300,3465,3530,3432,3541,16.0,2242,5948,7752,6653,1282.0,11020,12307,75.0,1954.0,3385.0,4746.0,6321.0,6844.0
18,전통시장,2130310,강남개포시장,75055,51422,23633,11499,9100,9643,10773,10407,12637,10996,,9616,15307,18945,25558,5629.0,31814,40173,1882.0,7791.0,11623.0,18108.0,19387.0,13197.0
19,전통시장,2130301,양재시장,40574,32898,7676,6932,6051,6135,7198,6582,3852,3824,,10981,11331,6037,9971,2254.0,16891,14286,252.0,5757.0,7577.0,5939.0,4735.0,6919.0
20,전통시장,2130299,엔터식스 강남점,87259,60938,26321,11152,11920,12235,11518,14113,14225,12096,664.0,23018,17790,17060,23496,5231.0,29183,53062,839.0,22323.0,21055.0,13604.0,14690.0,9734.0
21,전통시장,2130295,인헌시장(원당종합시장),21470,14710,6760,3253,2840,2805,2859,2953,3711,3049,5.0,2119,4311,5740,7590,1705.0,9812,11658,72.0,3292.0,4589.0,4440.0,4569.0,4508.0
22,전통시장,2130294,관악중부시장,23274,16931,6343,3221,3543,3661,3358,3148,3457,2886,,3136,4985,5851,7505,1797.0,9041,14233,200.0,2666.0,4755.0,5076.0,5466.0,5111.0
23,전통시장,2130290,영림시장,23239,18351,4888,3450,3729,3721,3643,3808,3699,1189,10.0,1310,3827,4978,9696,3418.0,10899,12210,156.0,6334.0,5749.0,3249.0,4356.0,3264.0
24,전통시장,2130289,봉일시장,3462,2448,1014,470,441,433,543,561,507,507,,220,634,866,1097,138.0,1394,1561,9.0,363.0,530.0,733.0,604.0,716.0
25,전통시장,2130279,관악신사시장,13598,9395,4203,1919,1439,2129,2060,1848,2398,1805,,1016,3160,4527,4684,211.0,6162,7436,168.0,1427.0,1654.0,2813.0,3336.0,4200.0
26,전통시장,2130276,신림중앙시장(조원동 펭귄시장),1760,1194,566,250,181,291,244,228,283,283,,221,315,478,463,,722,550,,133.0,337.0,204.0,221.0,377.0
27,전통시장,2130274,사당1동먹자골목상점가(사당1동먹자골목),23683,17516,6167,3515,3418,3491,3562,3530,3531,2636,,3994,4569,5088,8291,1741.0,8994,13890,160.0,5879.0,5695.0,3546.0,4130.0,3474.0
28,전통시장,2130273,남성사계시장(남성시장),60797,39434,21363,7885,8060,7683,7460,8346,11485,9878,,841,8947,15234,27523,8252.0,27184,33267,2961.0,15626.0,13459.0,11859.0,9444.0,7102.0
29,전통시장,2130271,남성역골목시장,122116,83114,39002,18484,14963,16140,17100,16427,19663,19339,9.0,10445,21867,30079,43371,16345.0,52084,68967,2277.0,27878.0,32314.0,34618.0,16267.0,7696.0
30,전통시장,2130268,상도전통시장,42622,29714,12908,6461,5517,6735,5345,5656,6885,6023,114.0,5782,9357,11011,12899,3459.0,18209,24413,259.0,5890.0,8170.0,10566.0,10075.0,7662.0
31,전통시장,2130267,본동인정시장(기능상실),4939,3267,1672,481,614,743,747,682,836,836,,423,1370,1391,919,,1542,2561,30.0,518.0,1063.0,752.0,979.0,761.0
32,전통시장,2130262,상도도깨비 골목형상점가,1232,895,337,180,191,197,164,163,169,168,,229,419,295,246,43.0,463,747,,205.0,221.0,413.0,260.0,112.0
33,전통시장,2130261,성대전통시장(성대시장),49339,34743,14596,6833,7313,6943,6882,6772,7588,7008,48.0,4425,9225,13085,17656,4900.0,21607,27480,345.0,7990.0,10360.0,9619.0,11044.0,9730.0
34,전통시장,2130260,신대방1동골목상권,18977,13000,5977,2918,2754,2101,2707,2520,3315,2662,,1213,3057,4879,7868,1960.0,8185,10255,210.0,3634.0,4342.0,4600.0,3731.0,1923.0
35,전통시장,2130244,대림중앙시장,2749,1717,1032,302,332,396,406,281,417,615,,406,938,916,469,20.0,1191,1558,10.0,62.0,559.0,684.0,949.0,485.0
