,상권구분코드명,상권코드,상권코드명,분기당매출금액,주중매출금액,주말매출금액,월요일매출금액,화요일매출금액,수요일매출금액,목요일매출금액,금요일매출금액,토요일매출금액,일요일매출금액,시간대00~06매출금액,시간대06~11매출금액,시간대11~14매출금액,시간대14~17매출금액,시간대17~21매출금액,시간대21~24매출금액,남성매출금액,여성매출금액,연령대10매출금액,연령대20매출금액,연령대30매출금액,연령대40매출금액,연령대50매출금액,연령대60이상매출금액,점포수
0,관광특구,1001496,강남 마이스 관광특구,6253433578,4101963401,2151470177,784391908,763799127,803648144,834533675,915590547,1123131780,1028338397,,10211482.0,2107933531,1399911317,2663751881,71625367.0,2307112583,2792949347,25745851.0,1269955198.0,1701160105.0,1017562387.0,714061433.0,371576952.0,13.0
1,관광특구,1001495,잠실 관광특구,876480450,552710165,323770285,90803990,107809531,109990765,119838912,124266967,171721845,152048440,597749.0,771254.0,280853420,165871867,394860643,33525517.0,490093204,302861021,6690209.0,196192569.0,272588006.0,175574296.0,98018842.0,43890296.0,23.0
2,관광특구,1001494,종로?청계 관광특구,2383723460,1907750680,475972780,344693193,372874282,398742709,403996876,387443620,292315949,183656831,114649.0,12218425.0,770042746,252949689,1077959098,270438853.0,1320481724,567032431,8077843.0,359862300.0,536447438.0,418957642.0,308143329.0,256025611.0,41.0
3,관광특구,1001493,동대문패션타운 관광특구,753004922,595003907,158001015,99430152,119558038,118531873,127876871,129606973,110710083,47290932,54796595.0,105174128.0,246469988,87984858,201094082,57485271.0,371937613,299199520,5028895.0,180867562.0,198727484.0,124155318.0,107336191.0,55021684.0,26.0
4,관광특구,1001492,명동 남대문 북창동 다동 무교동 관광특구,4732820602,3998134811,734685791,711310119,705764495,802987009,919596863,858476325,466261489,268424302,14039323.0,12476868.0,2149385129,499837872,1750257576,306823834.0,1946526700,1110560475,10710031.0,523139785.0,888505002.0,758704347.0,529795917.0,346232084.0,76.0
5,관광특구,1001491,이태원 관광특구,919123467,577101382,342022085,68067808,71015452,156123028,116839262,165055832,217056971,124965114,,48577.0,252350850,116909537,488426392,61388111.0,368548685,481976165,2056914.0,404372283.0,263224544.0,85655018.0,71909932.0,23306166.0,14.0
6,전통시장,2130321,장신구 특화거리 상점가,38681511,26842007,11839504,6465297,6349223,3261667,5095628,5670192,5084022,6755482,,,21200834,4660353,12443085,377239.0,21096368,11804680,,2344686.0,6500119.0,14770358.0,6738069.0,2547814.0,1.0
7,전통시장,2130315,문정동 로데오거리 상점가(문정동 로데오거리),37771412,24936712,12834700,3956524,4835752,5517909,4977237,5649290,6417350,6417350,,,15012557,6205123,10136382,,20444567,6927706,136431.0,2875175.0,7170252.0,6073744.0,7271313.0,3845358.0,1.0
8,전통시장,2130314,풍납시장,13197625,7431708,5765917,764867,1371612,1857008,73545,3364676,3250683,2515234,,,5460706,2073965,4206765,1456189.0,9123251,3684586,,384505.0,1877617.0,4761624.0,2445399.0,3338692.0,4.0
9,전통시장,2130313,방이시장,168052529,130712043,37340486,26598437,26708215,26872880,25836453,24696058,27428225,9912261,,6993470.0,63153692,29094260,63522416,5288691.0,82765761,52443930,1252754.0,18216604.0,29714181.0,30604669.0,30489080.0,24932403.0,2.0
