,상권구분코드명,상권코드,상권코드명,분기당매출건수,주중매출건수,주말매출건수,월요일매출건수,화요일매출건수,수요일매출건수,목요일매출건수,금요일매출건수,토요일매출건수,일요일매출건수,시간대00~06매출건수,시간대06~11매출건수,시간대11~14매출건수,시간대14~17매출건수,시간대17~21매출건수,시간대21~24매출건수,남성매출건수,여성매출건수,연령대10매출건수,연령대20매출건수,연령대30매출건수,연령대40매출건수,연령대50매출건수,연령대60이상매출건수
0,관광특구,1001496,강남 마이스 관광특구,169152,115400,53752,23157,21242,22448,23161,25392,27100,26652,,364.0,55693,40195,70231,2669.0,59704,86799,1574.0,38451.0,47393.0,29712.0,19561.0,9811.0
1,관광특구,1001495,잠실 관광특구,29158,20964,8194,4015,3698,3984,4257,5010,4625,3569,80.0,117.0,13039,5950,9199,773.0,16300,10184,250.0,5669.0,8955.0,6340.0,3472.0,1797.0
2,관광특구,1001494,종로?청계 관광특구,122567,102125,20442,17005,19848,21039,20415,23818,12682,7760,1666.0,1455.0,58371,16802,33349,10924.0,68146,40311,1839.0,25191.0,24448.0,21155.0,19487.0,16339.0
3,관광특구,1001493,동대문패션타운 관광특구,38101,31235,6866,5291,5844,6518,6741,6841,3987,2879,3290.0,1864.0,14018,7219,9310,2400.0,17477,18520,647.0,9976.0,10999.0,7017.0,4992.0,2371.0
4,관광특구,1001492,명동 남대문 북창동 다동 무교동 관광특구,161354,136931,24423,22258,27574,28511,28048,30540,14348,10075,566.0,314.0,96783,18291,40018,5382.0,79943,52806,595.0,24848.0,40017.0,32866.0,21909.0,12510.0
5,관광특구,1001491,이태원 관광특구,43981,30632,13349,3966,4362,7224,6920,8160,8841,4508,433.0,,14376,4925,18261,5986.0,20417,19195,282.0,15346.0,12402.0,5134.0,4609.0,1838.0
6,전통시장,2130323,둔촌역전통시장,1099,623,476,82,99,105,145,192,238,238,,,6,41,628,186.0,471,262,,99.0,226.0,158.0,164.0,88.0
7,전통시장,2130321,장신구 특화거리 상점가,2629,1830,799,336,449,215,395,435,388,411,,6.0,1294,435,894,,1451,795,23.0,266.0,471.0,667.0,569.0,250.0
8,전통시장,2130315,문정동 로데오거리 상점가(문정동 로데오거리),2461,2005,456,273,349,359,513,511,228,228,,,1232,253,738,10.0,1426,546,15.0,394.0,464.0,440.0,419.0,238.0
9,전통시장,2130314,풍납시장,1545,1088,457,287,228,243,37,293,228,229,,14.0,715,449,360,7.0,1115,333,,112.0,318.0,364.0,380.0,276.0
10,전통시장,2130313,방이시장,10267,7937,2330,1614,1421,1602,1653,1647,1543,787,,25.0,5276,1717,3023,226.0,5974,2990,65.0,1420.0,2099.0,1957.0,1970.0,1453.0
11,전통시장,2130312,석촌시장,15239,10400,4839,2246,1226,1983,2317,2628,2548,2291,868.0,1486.0,5075,2204,4846,760.0,7849,4447,158.0,1171.0,2372.0,3354.0,3398.0,1843.0
12,전통시장,2130311,새마을시장,7034,5072,1962,965,944,1057,1051,1055,1051,911,10.0,56.0,2608,1346,2670,344.0,4633,1941,33.0,996.0,1280.0,1414.0,1485.0,1364.0
