,상권구분코드명,상권코드,상권코드명,분기당매출금액,주중매출금액,주말매출금액,월요일매출금액,화요일매출금액,수요일매출금액,목요일매출금액,금요일매출금액,토요일매출금액,일요일매출금액,시간대00~06매출금액,시간대06~11매출금액,시간대11~14매출금액,시간대14~17매출금액,시간대17~21매출금액,시간대21~24매출금액,남성매출금액,여성매출금액,연령대10매출금액,연령대20매출금액,연령대30매출금액,연령대40매출금액,연령대50매출금액,연령대60이상매출금액,점포수
0,관광특구,1001495,잠실 관광특구,769845198,517076052,252769146,92708890,98958156,92175382,99535035,133698589,130078780,122690366,199117709.0,,5513295.0,29122545,219045528,317046121,461425009,249778148,5988333.0,213005273.0,208391102.0,139146031.0,91565239.0,53107178.0,13.0
1,관광특구,1001494,종로?청계 관광특구,2595917686,1957658184,638259502,303628062,359795512,378362770,401074610,514797230,386048813,252210689,230040389.0,66170416.0,189568735.0,158833278,997225556,954079312,1399341846,790413801,11882121.0,574840131.0,692086818.0,446682035.0,293690947.0,170573594.0,29.0
2,관광특구,1001493,동대문패션타운 관광특구,150686265,107422995,43263270,20572750,19646003,23827590,20733865,22642787,21299923,21963347,16197805.0,,3985174.0,7711132,48913324,73878830,97074608,41867300,1184383.0,29846763.0,34032249.0,27409400.0,28509486.0,17959627.0,11.0
3,관광특구,1001492,명동 남대문 북창동 다동 무교동 관광특구,1746393548,1480572903,265820645,214231555,274496800,322539975,335555279,333749294,175433715,90386930,86419343.0,,41272038.0,46045853,620855190,951801124,868021727,473731455,9355363.0,271431398.0,376117485.0,361941270.0,242543768.0,80363899.0,20.0
4,관광특구,1001491,이태원 관광특구,483594500,214479714,269114786,44051034,19921162,21848110,33977297,94682111,141954018,127160768,153173211.0,7465738.0,,2148486,98502292,222304773,318077611,162895377,620541.0,241630616.0,150410459.0,34680540.0,42055005.0,11575828.0,4.0
5,전통시장,2130326,고덕 골목형상점가,77967258,52795148,25172110,2387822,12470201,12569182,10388934,14979009,12078583,13093527,,,,6657763,48598748,22710747,46305746,28987140,441213.0,5517107.0,14579668.0,25007439.0,18359614.0,11387846.0,2.0
6,전통시장,2130324,길동복조리시장,128095559,79893037,48202522,16205974,16294796,10311425,12484422,24596420,28843816,19358706,3822037.0,,4242820.0,13755744,82939989,23334969,67153220,60942339,789600.0,10775259.0,20838062.0,37123209.0,32259313.0,26310116.0,3.0
7,전통시장,2130322,고분다리전통시장,37999066,29215039,8784027,2616834,2907253,4369832,6608577,12712543,4027969,4756058,214079.0,8861745.0,4566462.0,3815608,15453096,5088076,17023599,11733450,307583.0,2361658.0,5186403.0,6974192.0,8633675.0,5293538.0,7.0
8,전통시장,2130320,암사종합시장,55187767,35342511,19845256,7531821,7928369,4084582,6603220,9194519,9566584,10278672,3409996.0,,2236763.0,6893779,29191825,13455404,39653137,15169563,215965.0,5677511.0,8333764.0,11771933.0,18675429.0,10148100.0,5.0
9,전통시장,2130319,성내전통시장,101001654,71450072,29551582,11961321,15184053,12584888,11639919,20079891,18888955,10662627,,5660285.0,13533671.0,19147058,53307342,9353298,49377932,50238772,453474.0,6113184.0,13150333.0,16605150.0,25383829.0,37910733.0,5.0
