,상권구분코드명,상권코드,상권코드명,분기당매출건수,주중매출건수,주말매출건수,월요일매출건수,화요일매출건수,수요일매출건수,목요일매출건수,금요일매출건수,토요일매출건수,일요일매출건수,시간대00~06매출건수,시간대06~11매출건수,시간대11~14매출건수,시간대14~17매출건수,시간대17~21매출건수,시간대21~24매출건수,남성매출건수,여성매출건수,연령대10매출건수,연령대20매출건수,연령대30매출건수,연령대40매출건수,연령대50매출건수,연령대60이상매출건수
0,관광특구,1001495,잠실 관광특구,19943,13065,6878,2435,2458,2288,2691,3193,3817,3061,3803.0,,246.0,1023,6628,8243,11980,6920,164.0,5644.0,5551.0,3547.0,2648.0,1345.0
1,관광특구,1001494,종로?청계 관광특구,60323,42831,17492,7074,8812,8640,8266,10039,9896,7596,4743.0,1843.0,4577.0,4805,23466,20889,34866,20058,382.0,14163.0,16266.0,10502.0,8201.0,5414.0
2,관광특구,1001493,동대문패션타운 관광특구,3802,2864,938,522,611,551,578,602,511,427,269.0,,198.0,177,1232,1926,2358,1308,55.0,1058.0,867.0,619.0,633.0,435.0
3,관광특구,1001492,명동 남대문 북창동 다동 무교동 관광특구,35540,28801,6739,4916,5782,5953,6099,6051,4452,2287,1962.0,6.0,1109.0,1012,12465,18986,18365,11107,163.0,6164.0,8518.0,7426.0,5144.0,2061.0
4,관광특구,1001491,이태원 관광특구,12190,6172,6018,1121,1084,837,1062,2068,3501,2517,3363.0,68.0,,141,3182,5436,7040,4932,89.0,5160.0,4035.0,930.0,1321.0,439.0
5,전통시장,2130324,길동복조리시장,10820,6666,4154,1149,1220,843,1417,2037,2225,1929,378.0,,270.0,1356,6869,1947,5691,5129,27.0,1002.0,1976.0,2969.0,2482.0,2364.0
6,전통시장,2130323,둔촌역전통시장,7394,4129,3265,152,712,1113,1015,1137,1708,1557,,6.0,1009.0,1775,4586,18,3556,3838,18.0,272.0,922.0,1595.0,2212.0,2375.0
7,전통시장,2130322,고분다리전통시장,3281,2201,1080,243,420,405,540,593,542,538,148.0,45.0,332.0,386,1638,732,2068,1151,19.0,233.0,700.0,650.0,766.0,850.0
8,전통시장,2130320,암사종합시장,3842,2280,1562,393,543,304,535,505,867,695,346.0,,107.0,453,1945,991,2618,1198,103.0,562.0,744.0,898.0,903.0,609.0
9,전통시장,2130319,성내전통시장,6073,4244,1829,826,835,794,799,990,972,857,,244.0,800.0,1474,2938,617,3095,2928,11.0,439.0,917.0,1306.0,1262.0,2088.0
