,상권구분코드명,상권코드,상권코드명,분기당매출금액,주중매출금액,주말매출금액,월요일매출금액,화요일매출금액,수요일매출금액,목요일매출금액,금요일매출금액,토요일매출금액,일요일매출금액,시간대00~06매출금액,시간대06~11매출금액,시간대11~14매출금액,시간대14~17매출금액,시간대17~21매출금액,시간대21~24매출금액,남성매출금액,여성매출금액,연령대10매출금액,연령대20매출금액,연령대30매출금액,연령대40매출금액,연령대50매출금액,연령대60이상매출금액,점포수
0,관광특구,1001496,강남 마이스 관광특구,2627193700,1855302009,771891691,336182067,347773869,376797415,409192922,385355736,417242151,354649540,,338150803,958745633,768002584,547305646,14989034.0,876725749,1327184788,20510596.0,583554347.0,831833302.0,434968319.0,226616571,106427402.0,52.0
1,관광특구,1001495,잠실 관광특구,5967213733,3680091941,2287121792,685535697,743484594,813954556,712813180,724303914,1165567246,1121554546,448218.0,593049576,1660915407,1878321700,1634911243,199567589.0,2342138789,3297236868,50698374.0,1737226934.0,1796848014.0,853903903.0,753671396,447027036.0,95.0
2,관광특구,1001494,종로?청계 관광특구,4542316844,3488491552,1053825292,639187195,694705140,701168286,737458985,715971946,607325568,446499724,3221953.0,596031498,1723500831,1173193857,937232522,109136183.0,1873232452,2106718289,21274458.0,1203678625.0,1186079242.0,644846458.0,536792998,387278956.0,147.0
3,관광특구,1001493,동대문패션타운 관광특구,1839394130,1395932360,443461770,259721293,272788043,281171298,295424878,286826848,241484834,201976936,123486290.0,236524813,445679530,420553990,421715709,191433798.0,752124007,942974315,13636282.0,525860992.0,598678725.0,301310353.0,181287524,74324446.0,93.0
4,관광특구,1001492,명동 남대문 북창동 다동 무교동 관광특구,17170844325,14303193690,2867650635,2753517034,2776191585,2685110787,3137515389,2950858895,1683209141,1184441494,5474804.0,3122348038,7619403938,3630820471,2545640123,247156951.0,6750606826,7619866495,80519643.0,3442139491.0,4827710875.0,3277604240.0,1895939386,846559684.0,364.0
5,관광특구,1001491,이태원 관광특구,5114060953,3089496929,2024564024,540969994,618314551,651839157,614369712,664003515,1069344614,955219410,,372829964,1488073994,1738639583,1427814434,86702978.0,1774156835,2855123198,46354970.0,1892011578.0,1446998802.0,519748574.0,507296495,216869603.0,95.0
6,전통시장,2130324,길동복조리시장,36141614,23748580,12393034,5053359,4362470,4644051,4573220,5115480,6614533,5778501,,3821370,13265066,11060607,7404703,589868.0,14951018,21190596,277619.0,7570374.0,9637707.0,8854670.0,8612460,1188784.0,3.0
7,전통시장,2130323,둔촌역전통시장,24756868,22997542,1759326,904257,642254,7906055,7790635,5754341,1152907,606419,69613.0,117593,1376703,14468445,8589115,135399.0,9416380,15094901,,749406.0,15895625.0,1086432.0,1453153,5326664.0,4.0
8,전통시장,2130322,고분다리전통시장,13968507,8536803,5431704,1524892,1741369,1765953,2016573,1488016,2715852,2715852,,2210514,4107580,3238946,1695615,,3768185,7262530,22535.0,1552208.0,2782775.0,3699213.0,1804877,1169107.0,3.0
9,전통시장,2130321,장신구 특화거리 상점가,60675962,34775162,25900800,4566728,7732317,3780759,8039178,10656180,16998938,8901862,,2204477,23104313,26872046,8495126,,15558719,41479784,,18948663.0,14092444.0,5206504.0,17444755,1346135.0,6.0
10,전통시장,2130318,로데오거리상점가,679916099,428806868,251109231,90020437,82647276,86061193,80752037,89325925,136685982,114423249,,34495222,136551088,195147895,265830524,47891370.0,315089960,364826139,34670786.0,302686340.0,175621535.0,76396478.0,64626928,25914032.0,25.0
11,전통시장,2130315,문정동 로데오거리 상점가(문정동 로데오거리),152826567,97190594,55635973,17374771,20117587,21751484,17103356,20843396,29829175,25806798,,18428539,42775736,47908941,39140972,4572379.0,60816363,86814909,1722754.0,36603691.0,47050242.0,27494099.0,26707062,8053422.0,9.0
12,전통시장,2130314,풍납시장,109764565,75813521,33951044,14917202,16539557,16698930,12931796,14726036,20712219,13238825,,9550063,27021438,32534736,37588631,3069697.0,36244047,71029287,3714097.0,33453173.0,30790781.0,12056615.0,16212706,11045962.0,6.0
13,전통시장,2130313,방이시장,432757097,311139631,121617466,59071865,64456254,63749026,63991641,59870845,60261585,61355881,,86075434,135582232,99288101,89763102,22048228.0,211248237,204814766,9703810.0,120989213.0,129594270.0,75777615.0,52778224,27219872.0,13.0
14,전통시장,2130312,석촌시장,13669456,6615367,7054089,176042,1120131,2072256,2280057,966881,3716391,3337698,,1040914,5179887,4797946,2650709,,6942958,6670973,210359.0,3100049.0,3221525.0,2907769.0,3188295,985934.0,7.0
15,전통시장,2130311,새마을시장,286382879,191115410,95267469,38563738,36530366,37686336,38840699,39494271,50745799,44521670,,46007339,74457181,78471506,72676835,14770018.0,140792639,145590240,11454892.0,84707448.0,78665014.0,56950901.0,39437727,15166897.0,14.0
