,상권구분코드명,상권코드,상권코드명,분기당매출건수,주중매출건수,주말매출건수,월요일매출건수,화요일매출건수,수요일매출건수,목요일매출건수,금요일매출건수,토요일매출건수,일요일매출건수,시간대00~06매출건수,시간대06~11매출건수,시간대11~14매출건수,시간대14~17매출건수,시간대17~21매출건수,시간대21~24매출건수,남성매출건수,여성매출건수,연령대10매출건수,연령대20매출건수,연령대30매출건수,연령대40매출건수,연령대50매출건수,연령대60이상매출건수
0,관광특구,1001496,강남 마이스 관광특구,479843,340240,139603,60033,63525,65559,70041,81082,71984,67619,128.0,91315,166207,125804,91612,4777.0,158347,274974,5687.0,116433.0,152512.0,86157.0,52308,20226.0
1,관광특구,1001495,잠실 관광특구,793232,527169,266063,97761,99049,101894,103355,125110,137866,128197,8994.0,121167,206931,199961,198073,58106.0,326990,433734,9436.0,221294.0,241088.0,130618.0,99670,58613.0
2,관광특구,1001494,종로?청계 관광특구,958914,764904,194010,131276,149276,152201,161117,171034,115669,78341,1042.0,205644,336142,208158,170665,37263.0,420868,475845,6295.0,275517.0,260309.0,160552.0,126507,67538.0
3,관광특구,1001493,동대문패션타운 관광특구,360989,290721,70268,54050,58857,62098,62431,53285,30280,39988,24983.0,68494,81935,58102,81142,46333.0,150604,199106,2941.0,98306.0,119622.0,73072.0,41774,13992.0
4,관광특구,1001492,명동 남대문 북창동 다동 무교동 관광특구,3138946,2726552,412394,472488,541382,556189,564118,592375,249035,163359,462.0,930175,1241038,589217,327908,50146.0,1408671,1478503,17122.0,669395.0,976116.0,682046.0,378371,164129.0
5,관광특구,1001491,이태원 관광특구,519002,328639,190363,57553,58893,63029,64718,84446,107467,82896,2399.0,51843,137913,159989,147023,19835.0,201795,292781,6250.0,191873.0,152508.0,63070.0,56396,24480.0
6,전통시장,2130324,길동복조리시장,11779,8152,3627,1615,1562,1521,1608,1846,1949,1678,,2322,3576,3275,2403,203.0,4860,6919,54.0,2563.0,3009.0,2866.0,2669,618.0
7,전통시장,2130323,둔촌역전통시장,1300,911,389,129,183,176,178,245,216,173,8.0,24,393,498,291,86.0,614,667,8.0,198.0,410.0,251.0,309,104.0
8,전통시장,2130322,고분다리전통시장,2485,2068,417,341,471,389,417,450,376,41,,498,595,772,620,,939,1546,,648.0,780.0,512.0,297,248.0
9,전통시장,2130321,장신구 특화거리 상점가,4082,2517,1565,58,694,578,608,579,768,797,,14,1593,1578,897,,848,3132,43.0,1450.0,1535.0,350.0,501,102.0
10,전통시장,2130318,로데오거리상점가,104753,67108,37645,12173,11986,12483,12764,17702,20192,17453,432.0,7034,22940,25785,36200,12362.0,49296,55457,4023.0,41633.0,26789.0,15059.0,12174,5075.0
11,전통시장,2130315,문정동 로데오거리 상점가(문정동 로데오거리),27710,19709,8001,3826,3789,3632,4067,4395,4210,3791,953.0,4177,6291,5619,6741,3929.0,13477,13380,348.0,8806.0,7838.0,5203.0,3307,1354.0
12,전통시장,2130314,풍납시장,12177,8641,3536,1736,1413,1779,1794,1919,1817,1719,,996,3391,3026,4383,381.0,4325,7647,427.0,3853.0,2871.0,2004.0,1746,1070.0
13,전통시장,2130313,방이시장,133083,95806,37277,17753,19586,18651,19177,20639,19398,17879,,31924,35096,29417,28559,8087.0,70917,60731,3095.0,35258.0,41796.0,23176.0,18447,9874.0
14,전통시장,2130311,새마을시장,84194,58270,25924,10344,10620,11284,11859,14163,13379,12545,,16382,20512,22151,20946,4203.0,40653,43541,3509.0,23487.0,21581.0,19061.0,12729,3827.0
15,전통시장,2130310,강남개포시장,94599,65318,29281,12519,11893,12929,12725,15252,15357,13924,,20452,26727,22846,21162,3412.0,45273,45782,4129.0,19421.0,18194.0,22614.0,18669,8027.0
16,전통시장,2130306,강남언주로,34422,29038,5384,4584,5725,6223,6438,6068,2911,2473,100.0,5264,15869,6763,5057,1369.0,16253,15664,180.0,8433.0,12861.0,6837.0,2325,1280.0
17,전통시장,2130303,영동전통시장,10922,8231,2691,1580,1660,1625,1500,1866,1557,1134,,148,1385,2084,4213,3092.0,5037,5255,80.0,2633.0,2942.0,2153.0,1545,939.0
18,전통시장,2130299,엔터식스 강남점,280894,186122,94772,34351,31271,34797,36474,49229,50811,43961,48.0,38871,78990,79114,75932,7939.0,94892,169505,3545.0,80156.0,75213.0,46584.0,38538,20362.0
19,전통시장,2130298,강남터미널지하도상점가2구역,72814,49758,23056,10113,10063,8998,9593,10991,11946,11110,,10448,20677,25225,16120,344.0,22876,49938,5957.0,8948.0,11368.0,21229.0,17039,8273.0
20,전통시장,2130295,인헌시장(원당종합시장),25116,16209,8907,2912,3096,3068,2940,4193,4596,4311,,3378,6929,6891,6674,1244.0,15047,10039,103.0,10307.0,8281.0,2140.0,2981,1274.0
21,전통시장,2130294,관악중부시장,38187,26590,11597,4849,5085,5206,5486,5964,5939,5658,,6576,10363,11175,8426,1647.0,14561,23602,677.0,8005.0,11385.0,8988.0,5500,3608.0
22,전통시장,2130293,봉천중앙시장,26501,19650,6851,3716,3813,3733,3892,4496,3791,3060,,6634,6907,6383,6036,541.0,14013,12488,208.0,10025.0,7402.0,4701.0,2875,1290.0
23,전통시장,2130290,영림시장,49533,34569,14964,5998,6235,7002,7255,8079,8261,6703,,8871,13497,12673,13021,1471.0,23809,25724,989.0,16318.0,13949.0,8479.0,5761,4037.0
24,전통시장,2130285,서원동상점가,861942,564729,297213,103456,106446,108512,110692,135623,157858,139355,3015.0,114929,176172,195035,258332,114459.0,443994,417948,19753.0,349968.0,261511.0,113956.0,79594,37160.0
25,전통시장,2130278,미성동 도깨비시장 골목형상점가,3387,2201,1186,383,408,408,452,550,676,510,,549,720,782,909,427.0,1922,1465,63.0,843.0,834.0,902.0,603,142.0
26,전통시장,2130277,조원동 펭귄시장(신림중앙시장),1876,1313,563,285,197,273,243,315,289,274,,63,542,512,686,73.0,1094,782,5.0,420.0,556.0,191.0,259,445.0
27,전통시장,2130274,사당1동먹자골목상점가(사당1동먹자골목),126045,80293,45752,13388,13860,13740,19157,20148,26347,19405,,10112,29961,33063,41004,11905.0,66408,55542,2811.0,38729.0,29606.0,14158.0,15337,21308.0
28,전통시장,2130273,남성사계시장(남성시장),300960,213730,87230,38445,41416,41071,41876,50922,47996,39234,6.0,44421,77752,71983,84676,22122.0,113275,186117,15720.0,92258.0,69079.0,65335.0,40039,16961.0
29,전통시장,2130271,남성역골목시장,27297,18390,8907,3551,3454,3800,3376,4209,4631,4276,,5740,8577,6406,6006,568.0,15864,11433,127.0,6708.0,10438.0,6411.0,2442,1171.0
30,전통시장,2130269,강남시장(동작구 강남시장),1851,1427,424,272,252,344,253,306,235,189,,343,633,424,451,,1392,395,27.0,507.0,890.0,127.0,137,99.0
31,전통시장,2130268,상도전통시장,5583,3732,1851,11,843,763,1109,1006,839,1012,,455,1953,1678,1453,44.0,2001,3485,154.0,874.0,1062.0,1901.0,913,584.0
32,전통시장,2130266,만양로상점가,2171,1614,557,356,267,300,312,379,256,301,,779,724,423,245,,1114,902,,501.0,212.0,701.0,111,490.0
33,전통시장,2130265,노량진중앙시장,43798,30390,13408,5686,5667,5896,6182,6959,6922,6486,366.0,10814,9373,8654,9870,4721.0,26722,17045,895.0,17382.0,11823.0,5094.0,6686,1887.0
34,전통시장,2130264,상도약수골목형상점가,7300,4717,2583,989,941,954,778,1055,1376,1207,,1646,1934,1903,1454,363.0,4041,3259,79.0,1093.0,3000.0,1722.0,934,472.0
35,전통시장,2130262,상도도깨비 골목형상점가,726,494,232,74,83,134,122,81,116,116,,111,166,210,123,,189,374,,97.0,145.0,188.0,62,70.0
36,전통시장,2130261,성대전통시장(성대시장),62190,40308,21882,7388,7031,7949,8363,9577,10428,11454,,8188,17177,18334,16043,2448.0,29108,33001,1417.0,15839.0,16049.0,14015.0,9806,4983.0
37,전통시장,2130260,신대방1동골목상권,35275,24089,11186,4124,4664,4686,5093,5522,5174,6012,,8952,10493,7318,7413,1099.0,13527,21748,457.0,12530.0,9575.0,6033.0,4865,1815.0
38,전통시장,2130258,영진시장A동,1001,569,432,31,46,137,181,174,227,205,,68,349,334,235,15.0,637,333,15.0,145.0,219.0,425.0,107,61.0
39,전통시장,2130257,영등포시장기계공구상가,10055,7292,2763,1286,1437,1447,1467,1655,1504,1259,806.0,2139,2482,1801,2003,824.0,6266,3789,174.0,4307.0,3292.0,1121.0,935,226.0
40,전통시장,2130248,영등포역지하도상점가,31985,23251,8734,4053,4459,5120,4422,5197,4680,4054,,13117,6301,5086,6559,922.0,14414,17571,74.0,7318.0,7801.0,5573.0,7653,3566.0
41,전통시장,2130245,영일시장,13066,10271,2795,1782,1985,2197,2062,2245,1613,1182,,4320,3954,3081,1644,67.0,5654,6397,17.0,1597.0,4124.0,3635.0,1946,734.0
42,전통시장,2130241,선유도역 골목형상점가,49632,43128,6504,7352,8605,9099,8980,9092,3389,3115,,11766,21864,8264,6604,1134.0,20892,20474,101.0,8758.0,15929.0,9190.0,5417,1972.0
43,전통시장,2130240,영등포유통상가,39615,38561,1054,7285,7801,7950,7464,8061,527,527,,16429,13155,8110,1394,,19813,11792,,8050.0,9363.0,7076.0,4001,3115.0
44,전통시장,2130238,은행나무시장,10247,6863,3384,1068,1350,1523,1449,1473,1801,1583,,1405,2989,3360,2229,264.0,5245,4911,336.0,2644.0,2545.0,2324.0,1792,514.0
45,전통시장,2130236,비단길현대시장(현대시장),18160,11989,6171,2116,2355,2455,2433,2630,3097,3074,,1550,5272,5519,4925,894.0,6488,10742,453.0,2595.0,3884.0,3803.0,3761,2733.0
46,전통시장,2130235,대명여울빛거리시장(대명시장),47633,34185,13448,6203,6653,6584,6603,8142,7696,5752,,7970,12075,11619,12906,3063.0,18746,28068,996.0,12844.0,13100.0,9897.0,6868,3111.0
47,전통시장,2130233,남문시장,1198,936,262,167,169,262,160,178,131,131,,234,430,384,19,,720,262,,159.0,160.0,169.0,374,122.0
48,전통시장,2130229,남구로시장,599,462,137,128,60,77,95,102,77,60,,60,315,197,27,,305,269,,62.0,78.0,165.0,157,112.0
49,전통시장,2130228,구로시장,2899,2268,631,417,455,484,492,420,320,311,,66,1594,799,440,,1244,1655,,412.0,482.0,730.0,639,636.0
50,전통시장,2130227,고척골목시장상점가(그라운드 고척),7196,5028,2168,867,830,1024,1116,1191,1251,917,,1564,2176,1752,1585,119.0,3300,3772,70.0,1357.0,2128.0,1900.0,1113,505.0
51,전통시장,2130226,고척프라자,2392,1617,775,300,280,301,360,376,360,415,,210,617,705,705,155.0,911,1441,92.0,498.0,526.0,356.0,559,321.0
52,전통시장,2130225,개봉중앙시장,57875,39183,18692,7314,7620,7515,7581,9153,10085,8607,,10372,15574,16346,13540,2043.0,26956,30706,1082.0,9552.0,17980.0,13789.0,10590,4667.0
53,전통시장,2130222,오류시장,7182,4696,2486,1027,822,882,837,1128,1254,1232,,619,1686,2254,2368,255.0,2815,4367,223.0,2916.0,1920.0,902.0,927,294.0
54,전통시장,2130221,"남부골목시장(남부화곡시장, 남부시장)",17169,11047,6122,1915,1730,2025,2342,3035,2911,3211,,989,3830,5630,6202,518.0,6454,10688,35.0,3001.0,3615.0,4237.0,3573,2680.0
55,전통시장,2130219,까치산시장,48749,32996,15753,6340,5823,6381,6628,7824,8540,7213,,10332,11808,11774,11859,2976.0,20286,28069,589.0,13120.0,14099.0,10045.0,6726,3777.0
56,전통시장,2130218,신월중앙시장,2710,1909,801,274,274,433,485,443,464,337,,11,1096,896,422,11.0,701,1641,64.0,1011.0,575.0,309.0,214,168.0
57,전통시장,2130216,화곡중앙시장,42975,29740,13235,5736,5539,5662,6105,6698,7142,6093,,9880,11114,10362,10090,1529.0,19710,22673,216.0,8115.0,14475.0,12135.0,5559,1882.0
58,전통시장,2130214,송화벽화시장(송화골목시장),35881,24937,10944,4838,4479,5002,4602,6016,6041,4903,,5538,8714,10073,9000,2556.0,14741,21140,2425.0,7829.0,6877.0,10149.0,6141,2460.0
59,전통시장,2130212,공항시장,1411,1091,320,199,221,214,232,225,160,160,,40,660,290,261,,515,577,4.0,200.0,356.0,204.0,149,182.0
60,전통시장,2130211,신정2동 골목시장(오목교중앙시장),3343,2033,1310,477,352,376,452,376,590,720,,501,1086,1335,421,,1469,1874,6.0,918.0,1115.0,752.0,462,90.0
61,전통시장,2130210,목2동시장,19599,13742,5857,2543,2517,2625,2772,3285,3063,2794,,2093,5566,4544,5386,2010.0,8313,11231,282.0,4799.0,6607.0,4181.0,2550,1125.0
62,전통시장,2130208,목동깨비시장(목3동시장),25432,17429,8003,3424,3354,3456,3354,3841,4077,3926,,4317,7906,6719,5580,910.0,11999,12197,215.0,4403.0,8024.0,5162.0,4355,2038.0
63,전통시장,2130205,신곡종합시장(신월6동 골목시장),16395,11147,5248,2111,2114,2033,2091,2798,2864,2384,,4031,4566,3950,3613,235.0,7064,9077,328.0,2630.0,4748.0,4850.0,2598,988.0
64,전통시장,2130204,경창시장,14061,9706,4355,1728,1904,1833,1933,2308,2240,2115,,3010,4247,3776,2781,247.0,6246,7815,179.0,1775.0,4579.0,4200.0,2422,906.0
65,전통시장,2130202,신영시장,511,342,169,46,49,94,51,102,99,70,,12,206,163,130,,250,165,,19.0,70.0,100.0,111,118.0
66,전통시장,2130198,아현시장,13034,9476,3558,1802,1698,1872,2000,2104,1709,1849,,1849,4767,3488,2488,442.0,5743,6546,127.0,2999.0,4302.0,2093.0,1930,837.0
67,전통시장,2130196,공덕시장,21804,20752,1052,3713,4018,4424,4333,4264,1047,5,,7981,7343,3696,2409,375.0,11748,8524,37.0,4490.0,5589.0,5295.0,3036,1824.0
68,전통시장,2130195,도화동 상점가,208072,157588,50484,29100,30239,30214,32130,35905,27709,22775,1205.0,42587,66552,44388,44255,9085.0,91110,104959,2365.0,44314.0,65833.0,40916.0,29445,13195.0
69,전통시장,2130194,용강동 상점가,9219,7568,1651,1194,1567,1532,1557,1718,965,686,,1564,4716,1616,1133,190.0,4927,2765,5.0,870.0,2017.0,1856.0,2126,818.0
70,전통시장,2130192,동진시장,13529,8375,5154,1193,1689,1730,1741,2022,2840,2314,,18,3746,4826,4783,156.0,4992,8294,194.0,5499.0,4435.0,1552.0,1221,385.0
71,전통시장,2130191,홍대 걷고싶은 거리,352770,223122,129648,40336,40444,42303,44382,55657,70930,58718,1142.0,24507,74894,108455,113564,30208.0,133702,215124,24175.0,179267.0,68938.0,36959.0,32950,6538.0
72,전통시장,2130190,홍대소상공인상점가,387148,243776,143372,50871,44724,41354,44853,61974,77173,66199,3182.0,43838,91435,108464,113599,26630.0,161836,224077,26127.0,177172.0,81625.0,54415.0,37028,9546.0
73,전통시장,2130187,영진시장,5221,4456,765,787,817,810,913,1129,334,431,,1092,2219,1256,654,,2592,1516,,995.0,1567.0,706.0,676,164.0
74,전통시장,2130186,망원시장,15554,9667,5887,1823,1677,2019,1957,2191,3105,2782,,200,4152,6117,4814,271.0,5249,10261,200.0,7642.0,4648.0,1353.0,1286,381.0
75,전통시장,2130185,망원월드컵시장,3466,1980,1486,390,232,429,360,569,737,749,,13,611,1539,1246,57.0,966,2500,42.0,1918.0,889.0,303.0,225,89.0
76,전통시장,2130184,마포농수산물시장,72926,29068,43858,7292,4072,4741,5670,7293,21079,22779,,3917,21826,25691,19275,2217.0,34833,37655,393.0,4896.0,23842.0,26332.0,9874,7150.0
77,전통시장,2130183,상암동상점가,266247,232315,33932,38436,45872,47752,49571,50684,22947,10985,1291.0,58160,117308,53306,28930,7252.0,127885,108815,882.0,56512.0,79351.0,51483.0,35661,12815.0
78,전통시장,2130182,영천시장,3999,2572,1427,502,462,536,457,615,812,615,,303,1455,1427,787,27.0,1831,1957,73.0,727.0,615.0,866.0,853,654.0
79,전통시장,2130181,아현가구거리상점가,4523,3144,1379,500,581,649,667,747,429,950,,892,1623,1141,822,45.0,2033,2490,6.0,735.0,1188.0,643.0,1026,925.0
80,전통시장,2130179,"이화여대 3,5,7길 상점가",237724,195371,42353,34927,39116,40663,41828,38837,24050,18303,175.0,48887,71881,55327,50948,10506.0,35883,201343,13999.0,143870.0,32686.0,20544.0,21117,5010.0
81,전통시장,2130178,이대 앞 스타트업 상점가,23399,19881,3518,3372,4010,3785,4567,4147,2028,1490,,627,8608,7552,6393,219.0,1998,21300,1412.0,16727.0,1957.0,1311.0,1570,320.0
82,전통시장,2130176,유진상가,9693,6260,3433,1120,1173,1190,1158,1619,1867,1566,,735,1861,2580,2995,1522.0,5292,4300,216.0,2633.0,2637.0,1056.0,1604,1446.0
83,전통시장,2130175,신촌 상인회(신촌상점가),32113,21885,10228,4165,4036,4630,4062,4992,5510,4718,2273.0,2826,5817,7805,9705,3687.0,12298,19815,559.0,17825.0,6844.0,1921.0,3582,1382.0
84,전통시장,2130174,연희사러가,16671,11007,5664,1164,2215,2328,2370,2930,3126,2538,,2257,6028,4936,3422,28.0,5482,10067,14.0,2271.0,6015.0,4094.0,1935,1221.0
85,전통시장,2130171,불광먹자골목 골목형상점가,14118,11006,3112,1938,2256,2153,2225,2434,1723,1389,10.0,3153,5069,3081,2578,227.0,5582,8224,21.0,2421.0,2960.0,2435.0,2896,3078.0
86,전통시장,2130170,제일시장,58663,36598,22065,6024,7452,7928,6742,8452,11187,10878,,3156,17529,21617,15511,850.0,21092,37571,1446.0,10875.0,10990.0,13629.0,13550,8173.0
87,전통시장,2130169,대조시장,3745,2591,1154,512,232,574,489,784,731,423,,340,1243,1128,926,108.0,1445,2283,4.0,938.0,996.0,516.0,770,504.0
88,전통시장,2130167,연신내상점가(연빛거리),128242,86507,41735,16185,15407,16798,17437,20680,22815,18920,1321.0,11845,26042,33517,42701,12816.0,53356,74670,8753.0,47037.0,28429.0,21280.0,16267,6264.0
89,전통시장,2130163,응암오거리상점가,5810,3804,2006,673,665,664,878,924,1019,987,,591,1288,1586,1847,498.0,2518,3218,95.0,1275.0,1550.0,1169.0,1115,532.0
90,전통시장,2130162,증산골목시장,555,305,250,66,53,53,67,66,144,106,,92,126,152,185,,370,139,,72.0,85.0,47.0,86,218.0
91,전통시장,2130159,공릉동 도깨비시장,1182,728,454,157,124,33,133,281,198,256,,8,521,405,248,,466,716,16.0,201.0,108.0,199.0,417,241.0
92,전통시장,2130154,상계주공1단지(가)상가,2706,2075,631,344,482,470,332,447,356,275,,56,1354,1113,183,,1112,1515,11.0,455.0,665.0,632.0,572,291.0
93,전통시장,2130153,창동역상점가,52914,39482,13432,7241,7681,7382,7854,9324,7452,5980,,12598,14210,11811,11904,2391.0,23974,26414,1981.0,12646.0,11308.0,11247.0,9230,3975.0
94,전통시장,2130152,오!도봉거리 상점가,1088,761,327,75,150,155,214,167,139,188,,40,403,420,225,,663,425,,57.0,379.0,132.0,145,375.0
95,전통시장,2130149,창동신창시장,4035,2813,1222,491,570,526,535,691,623,599,,453,1158,1022,1057,345.0,1617,2418,30.0,851.0,765.0,1135.0,747,507.0
96,전통시장,2130148,방학동도깨비시장,26704,18453,8251,3451,3309,3460,3633,4600,4274,3977,,3511,7537,8439,6807,410.0,11755,14855,731.0,4162.0,7179.0,6994.0,5172,2371.0
97,전통시장,2130147,쌍문역동측상점가,21284,14756,6528,3140,2537,2723,2897,3459,3523,3005,,1562,5303,5571,7363,1485.0,7961,13323,915.0,6624.0,4835.0,4036.0,3478,1396.0
98,전통시장,2130146,쌍문시장(쌍문역골목시장),70512,49389,21123,9239,9548,9378,9378,11846,11327,9796,,13317,16721,16679,19436,4359.0,31155,39357,2024.0,18855.0,20352.0,13991.0,10338,4952.0
99,전통시장,2130140,숭인시장,35353,25522,9831,4739,4750,5096,5188,5749,5445,4386,,7993,8454,8766,8790,1350.0,13478,21875,659.0,9362.0,8642.0,8228.0,5995,2467.0
100,전통시장,2130132,삼양골목시장(삼양시장),25605,18170,7435,3306,3405,3499,4048,3912,3879,3556,,4179,8682,6802,5859,83.0,12901,12561,499.0,4357.0,8518.0,6428.0,4030,1631.0
101,전통시장,2130127,석관시장,907,685,222,132,92,105,131,225,65,157,,39,250,315,303,,367,316,,78.0,144.0,105.0,132,224.0
102,전통시장,2130125,장위전통시장,785,612,173,128,138,110,93,143,89,84,,177,282,195,131,,386,399,,300.0,165.0,112.0,174,34.0
103,전통시장,2130118,정릉골 골목형상점가,1064,615,449,108,85,122,94,206,294,155,,84,403,432,145,,471,584,,149.0,234.0,387.0,205,81.0
104,전통시장,2130117,정릉시장,16685,10642,6043,1857,2261,2233,2041,2250,3303,2740,,1239,4929,4948,4970,599.0,6874,9635,341.0,3753.0,3703.0,2597.0,3275,2841.0
105,전통시장,2130116,동성타워프라자,1853,1309,544,239,226,220,325,299,517,27,,166,505,877,305,,600,1253,20.0,46.0,654.0,700.0,312,121.0
106,전통시장,2130115,우림골목시장,13923,9456,4467,1534,1860,1919,1764,2379,2337,2130,,1653,3489,3961,4291,529.0,4774,9149,255.0,3152.0,3752.0,2487.0,2489,1788.0
107,전통시장,2130113,신아타운,7520,6595,925,1141,1379,1272,1363,1440,886,39,,2303,2351,2009,857,,3014,4366,98.0,1260.0,2079.0,1704.0,1032,1207.0
108,전통시장,2130112,사가정시장,12410,8386,4024,1762,1490,1402,1643,2089,1975,2049,,1385,2899,3568,3491,1067.0,5525,6859,658.0,4016.0,2771.0,2412.0,1834,693.0
109,전통시장,2130111,"동원전통종합시장(동원시장, 동원전통시장 상점가)",41094,28375,12719,5503,5355,5510,5557,6450,6685,6034,,7922,9801,10262,10529,2580.0,19117,21977,887.0,10070.0,10798.0,9178.0,7033,3128.0
110,전통시장,2130110,면목골목시장(면목시장),7448,4813,2635,1037,793,874,1003,1106,1317,1318,,802,1977,1823,2316,530.0,2620,4573,178.0,2050.0,2318.0,1175.0,964,509.0
111,전통시장,2130109,묵1동도깨비시장,13226,8451,4775,1690,1529,1503,1610,2119,1851,2924,,1771,3621,2763,4615,456.0,5225,7598,54.0,1860.0,2342.0,2989.0,3314,2264.0
112,전통시장,2130106,중랑동부시장,64578,43597,20981,8084,7924,8385,8653,10551,11078,9903,1354.0,7352,14135,15513,18991,7233.0,29577,35001,1987.0,21650.0,18646.0,12058.0,7217,3020.0
113,전통시장,2130104,전곡시장,17742,11932,5810,2359,2287,2160,2332,2794,2955,2855,,2630,4827,4600,4627,1058.0,7390,10352,277.0,5060.0,3638.0,4025.0,3313,1429.0
114,전통시장,2130099,전농로터리시장,11353,8205,3148,1155,1511,1679,1699,2161,1574,1574,,1827,2454,2958,2330,210.0,3999,5570,1144.0,2267.0,1249.0,1485.0,2284,1142.0
115,전통시장,2130098,회기시장,21579,13117,8462,1958,2464,2734,3046,2915,4067,4395,27.0,889,6848,6412,6567,836.0,8847,12648,288.0,10834.0,5205.0,2546.0,2212,410.0
116,전통시장,2130094,청량리청과물시장,2559,1667,892,373,238,292,389,375,436,456,,82,736,1174,553,14.0,1869,667,,8.0,52.0,223.0,142,2109.0
117,전통시장,2130090,청량리종합시장,400,200,200,40,48,48,24,40,88,112,,16,96,152,128,8.0,360,32,,16.0,16.0,32.0,80,248.0
118,전통시장,2130086,서울약령시장,1798,1723,75,350,333,311,386,343,50,25,,998,465,265,70,,1192,569,,653.0,226.0,397.0,220,264.0
119,전통시장,2130083,"중곡제일시장(중곡제일골목시장, 광성시장)",2169,1658,511,138,415,421,348,336,295,216,,198,644,631,558,138.0,702,1329,,408.0,312.0,612.0,426,270.0
120,전통시장,2130078,화양제일골목시장,31208,20938,10270,3901,3814,3818,4211,5194,5228,5042,96.0,2771,5509,7556,10153,5123.0,14207,17001,970.0,18291.0,7661.0,2073.0,1691,522.0
121,전통시장,2130072,성동용답상가시장,71896,50420,21476,9294,9323,10194,9869,11740,9978,11498,,15981,20714,16280,16071,2850.0,37521,32840,465.0,21220.0,17686.0,13501.0,12294,5190.0
122,전통시장,2130070,뚝섬역상점가,96206,84531,11675,14201,16277,18011,17990,18052,6578,5097,,29102,37445,18512,10770,377.0,43812,42733,816.0,29481.0,31471.0,12723.0,9229,2826.0
123,전통시장,2130069,"한양대앞상점가(한양시장, 왕십리맛골목)",54078,40298,13780,7101,7768,8070,8662,8697,7186,6594,4.0,3763,14417,14330,18136,3428.0,24041,29895,3523.0,33394.0,7582.0,4114.0,4348,974.0
124,전통시장,2130068,마장축산물시장,13660,10705,2955,1681,2282,2054,2247,2441,1891,1064,21.0,2808,5191,2866,2238,536.0,6967,5354,56.0,2966.0,4175.0,2066.0,2271,785.0
125,전통시장,2130067,왕십리도선동상점가,77202,56442,20760,10011,11072,11180,11734,12445,11885,8875,74.0,16027,24199,16559,17145,3198.0,36654,39271,878.0,26307.0,23692.0,10930.0,10689,3428.0
126,전통시장,2130066,행당시장상점가,47957,33709,14248,6579,5959,6782,7251,7138,8064,6184,,4509,16244,11095,14401,1708.0,18806,26459,525.0,17408.0,13199.0,5720.0,5378,3034.0
127,전통시장,2130065,무학봉상점가,2739,2009,730,377,365,385,446,436,345,385,,145,721,850,953,70.0,1372,1367,143.0,863.0,545.0,382.0,663,143.0
128,전통시장,2130064,금남시장,4587,3586,1001,469,747,587,745,1038,930,71,,1097,1422,1240,813,15.0,1140,2757,,822.0,775.0,867.0,606,827.0
129,전통시장,2130063,신금호역 골목형상점가,37711,26848,10863,5564,5460,4798,5089,5937,5599,5264,,6421,11932,9925,8438,995.0,14914,22791,1046.0,7880.0,10114.0,8715.0,6271,3680.0
130,전통시장,2130061,이태원시장,78027,43205,34822,6451,7346,7650,8295,13463,20475,14347,,6238,23320,26040,20641,1788.0,32135,40459,868.0,26204.0,21654.0,7798.0,11832,4238.0
131,전통시장,2130060,신흥시장,18251,10850,7401,2013,1892,2022,2195,2728,3942,3459,130.0,1175,3886,6525,6214,321.0,6571,11382,292.0,8428.0,5171.0,1907.0,1659,496.0
132,전통시장,2130059,후암시장,2314,2065,249,375,471,443,458,318,138,111,,98,1661,347,208,,984,817,,277.0,596.0,568.0,277,84.0
133,전통시장,2130058,이촌종합시장,21358,14869,6489,2685,2685,2869,3026,3604,3166,3323,,3262,6201,5886,5292,717.0,8169,12184,997.0,4278.0,5353.0,4198.0,3403,2126.0
134,전통시장,2130056,용산용문시장,11839,9267,2572,1629,1983,1902,1657,2096,1361,1211,,2159,4893,2580,2086,121.0,5014,5218,50.0,1472.0,2251.0,2089.0,2450,1924.0
