,상권구분코드명,상권코드,상권코드명,분기당매출금액,주중매출금액,주말매출금액,월요일매출금액,화요일매출금액,수요일매출금액,목요일매출금액,금요일매출금액,토요일매출금액,일요일매출금액,시간대00~06매출금액,시간대06~11매출금액,시간대11~14매출금액,시간대14~17매출금액,시간대17~21매출금액,시간대21~24매출금액,남성매출금액,여성매출금액,연령대10매출금액,연령대20매출금액,연령대30매출금액,연령대40매출금액,연령대50매출금액,연령대60이상매출금액,점포수
0,관광특구,1001496,강남 마이스 관광특구,2198345928,1470446918,727899010,253949978,264786036,282102536,310089944,359518424,373168705,354730305,,144310570.0,739250529,470411790,750607770,93765269.0,959670762,958800686,38907740.0,583160806.0,633762990.0,393416663.0,178353104.0,90870143.0,14.0
1,관광특구,1001495,잠실 관광특구,5332493886,3459985625,1872508261,728317850,617381684,649914098,631849694,832522299,958330990,914177271,,372886655.0,1604410779,1230089078,1866284587,258822787.0,2540278088,2656819317,227516698.0,1222150944.0,1286103573.0,1564341142.0,542594818.0,354390232.0,45.0
2,관광특구,1001494,종로?청계 관광특구,399107984,306218301,92889683,56366763,58828174,65065132,59347107,66611125,54012914,38876769,,24412155.0,167232787,73076213,115643878,18742951.0,209426311,152445412,5511063.0,103016333.0,90789592.0,67668593.0,57332340.0,37553803.0,24.0
3,관광특구,1001493,동대문패션타운 관광특구,1905816916,1362336444,543480472,212897457,266039391,273754965,279116287,330528344,284839397,258641075,220523907.0,172619193.0,465766943,317435289,527567491,201904093.0,985252675,838716202,30490956.0,561589289.0,528846449.0,332817392.0,248984057.0,121240737.0,25.0
4,관광특구,1001492,명동 남대문 북창동 다동 무교동 관광특구,1930080582,1522354034,407726548,249478347,305122105,327163015,297086005,343504562,214469193,193257355,,228917983.0,797832256,303504042,558818898,41007403.0,803330272,773282416,16079381.0,452499233.0,543155865.0,303777605.0,177002485.0,84098115.0,70.0
5,관광특구,1001491,이태원 관광특구,4859114315,2545103002,2314011313,475563617,396031207,446301483,472078252,755128443,1194601838,1119409475,1102146963.0,102222270.0,784683462,626761898,1453648006,789651716.0,3124282352,1573664226,51422364.0,2148302398.0,1543093308.0,457093804.0,363595516.0,134439188.0,34.0
6,전통시장,2130324,길동복조리시장,88215165,55280442,32934723,9072019,9458843,11158675,13958041,11632864,15085323,17849400,,210077.0,10433814,14536397,48790231,14244646.0,50164796,37623978,964320.0,20881519.0,16481945.0,21532662.0,19945358.0,7982971.0,3.0
7,전통시장,2130323,둔촌역전통시장,20645771,12511861,8133910,2148104,2148104,2431444,2146260,3637949,2669304,5464606,163489.0,,682845,2743673,12246960,2660700.0,9597934,7919411,109085.0,1060666.0,5076780.0,5409899.0,4194769.0,1666146.0,2.0
8,전통시장,2130322,고분다리전통시장,5153405,3428361,1725044,184356,876349,526731,974452,866473,928364,796680,,,612325,539898,2377534,1623648.0,3323445,1685108,,772600.0,259315.0,1009105.0,1670996.0,1296538.0,3.0
9,전통시장,2130318,로데오거리상점가,153263295,110084102,43179193,21876108,22167138,19415821,19893705,26731330,22677612,20501581,1073395.0,,32695172,22795799,53340217,43358712.0,97018690,51411578,2930800.0,40968013.0,41114830.0,28745180.0,23031799.0,11639646.0,6.0
10,전통시장,2130317,마천중앙시장,62517623,39140407,23377216,7876716,7396061,8345171,7614837,7907622,11688608,11688608,,,5606010,9604145,28809994,6808866.0,28035459,22793556,1360319.0,7544668.0,8848976.0,14191741.0,13027504.0,5855807.0,2.0
11,전통시장,2130315,문정동 로데오거리 상점가(문정동 로데오거리),687519359,470093387,217425972,81385513,74769158,100962231,90458539,122517946,105093451,112332521,8338257.0,19006649.0,255745448,96335233,270330043,37763729.0,334653317,266368496,9609379.0,103027515.0,172331529.0,138325442.0,110318549.0,67409403.0,6.0
12,전통시장,2130314,풍납시장,139610647,84509224,55101423,12355618,19647412,17090679,18444053,16971462,32016818,23084605,,2022922.0,22779335,18643986,73467867,22696537.0,83865662,55744985,1418729.0,12716233.0,24468735.0,43034798.0,32239015.0,25733137.0,3.0
13,전통시장,2130313,방이시장,179433844,123083969,56349875,23211430,23715641,25801344,23435821,26919733,27104386,29245489,,2806736.0,34731441,28092117,83324990,30478560.0,96470663,76457956,2366772.0,26080021.0,48120271.0,38721362.0,36816232.0,20823959.0,5.0
14,전통시장,2130310,강남개포시장,86728201,65715995,21012206,11410930,13685650,12805797,13479471,14334147,15608284,5403922,,4676778.0,29406027,20609890,31522632,512874.0,38301934,41087103,2862101.0,14909782.0,14384563.0,19225526.0,17507907.0,10499158.0,5.0
15,전통시장,2130307,도곡시장,122815015,87101227,35713788,14912711,16685685,16685685,19311417,19505729,17154450,18559338,,,23055703,17734568,47623420,17715639.0,55127094,43362643,4956473.0,15777552.0,7032493.0,33174641.0,29013942.0,8534637.0,2.0
16,전통시장,2130303,영동전통시장,8745953,7554203,1191750,433363,3785912,660989,1209806,1464133,270852,920898,619404.0,,806975,930199,4300804,2088571.0,2734238,4958946,,449669.0,1041823.0,2466669.0,1359733.0,2375291.0,1.0
17,전통시장,2130302,강남시장(강남구 강남시장),66387647,55789284,10598363,10495860,10495860,14166740,6686172,13944652,5005554,5592809,,,18441962,3376186,26778856,7294783.0,28547030,18503891,,17965751.0,13553860.0,11860428.0,1684890.0,1985992.0,2.0
18,전통시장,2130299,엔터식스 강남점,1832427501,1253480163,578947338,218220035,211242645,228066764,250912102,345038617,328324196,250623142,1912117.0,249953305.0,529952749,378455566,535374550,136779214.0,771840824,927378468,24764499.0,521082843.0,416580236.0,309740071.0,270729784.0,156321857.0,10.0
19,전통시장,2130295,인헌시장(원당종합시장),85361058,54833838,30527220,5405191,12566810,12141478,12146952,12573407,14901708,15625512,,3148571.0,20528588,13300559,47527554,855786.0,45740685,39620373,852780.0,26155227.0,19531904.0,20113092.0,11377401.0,7330654.0,3.0
20,전통시장,2130294,관악중부시장,229015711,156629011,72386700,27479637,30999918,27523133,31526209,39100114,36746679,35640021,2305356.0,9627670.0,59582924,48753025,89625411,19121325.0,125446396,89602250,2410720.0,40956836.0,46283237.0,52874934.0,39666776.0,32856144.0,3.0
21,전통시장,2130293,봉천중앙시장,186659584,120786309,65873275,22163584,23262405,21891310,22119825,31349185,31230063,34643212,,1256836.0,26715665,23460532,94528891,40697660.0,106731289,79928295,1965911.0,47640727.0,45707302.0,32980340.0,39234521.0,19130783.0,2.0
22,전통시장,2130290,영림시장,78058018,50823868,27234150,11205773,11079876,7430742,8369332,12738145,12484472,14749678,,135292.0,9130351,9811510,45565318,13415547.0,49007750,29050268,546528.0,30490310.0,17199701.0,12517917.0,13050377.0,4253185.0,5.0
23,전통시장,2130285,서원동상점가,327321987,223933287,103388700,41748046,43708219,42838883,43818423,51819716,50703042,52685658,33696124.0,22862518.0,53038687,50196660,107992169,59535829.0,182725914,144596073,13439933.0,123535688.0,81981340.0,45450239.0,40785226.0,22129561.0,7.0
24,전통시장,2130278,미성동 도깨비시장 골목형상점가,11981324,8250720,3730604,1727719,1853660,1358892,1682741,1627708,1693854,2036750,,246060.0,2271700,2083846,4394706,2985012.0,6695507,4849257,2098134.0,2153696.0,1807094.0,2178567.0,2749006.0,558267.0,1.0
25,전통시장,2130273,남성사계시장(남성시장),92883241,66151975,26731266,12112910,13469353,13200873,11315844,16052995,13837227,12894039,,358693.0,13818862,17771911,46134450,14799325.0,49518418,43364823,2998794.0,18268058.0,17984649.0,23742137.0,20886101.0,9003502.0,3.0
26,전통시장,2130271,남성역골목시장,179486513,116937558,62548955,24021494,21838306,25978787,20312253,24786718,29292741,33256214,,22162514.0,41358040,34082931,73633471,8249557.0,81536971,94168161,3936819.0,39515760.0,45299367.0,41402817.0,33014194.0,12536177.0,5.0
27,전통시장,2130269,강남시장(동작구 강남시장),38264931,24638556,13626375,6167702,4760869,2641185,4849499,6219301,5777832,7848543,,,5184424,7392499,20457717,5230291.0,20873885,16142122,1168411.0,10649504.0,6159908.0,6282741.0,9548333.0,3207110.0,2.0
28,전통시장,2130262,상도도깨비 골목형상점가,30568539,18856246,11712293,3497217,3970189,3615606,3521980,4251254,6053403,5658890,32046.0,74748.0,4431920,4939207,15105356,5985262.0,15794278,14509166,144087.0,5113388.0,6195915.0,6742555.0,8311990.0,3795509.0,2.0
29,전통시장,2130261,성대전통시장(성대시장),12285688,8612341,3673347,1169001,1733120,2530643,1253816,1925761,2026028,1647319,,353725.0,1290964,2155552,6417012,2068435.0,6241850,5248286,114730.0,1642512.0,2125158.0,2641082.0,2913722.0,2052931.0,4.0
30,전통시장,2130260,신대방1동골목상권,17595444,9637353,7958091,2011545,2316511,1513676,1278402,2517219,3704186,4253905,,269284.0,4730587,3879249,7552214,1164110.0,10247492,6908067,71363.0,3442476.0,2826818.0,3303043.0,4572026.0,2939832.0,2.0
31,전통시장,2130248,영등포역지하도상점가,3175400496,2126701815,1048698681,394812845,401804009,401207599,394275310,534602052,527337094,521361587,58893447.0,368952368.0,665588826,573014219,1061668788,447282848.0,1798135647,1377264849,41922252.0,952054020.0,883259414.0,564668493.0,480003270.0,253493047.0,4.0
32,전통시장,2130235,대명여울빛거리시장(대명시장),66005499,48404494,17601005,10196830,9734367,9751144,8185403,10536750,10011554,7589451,,4163640.0,14281326,11466421,29174287,6919825.0,26584067,34794964,811930.0,12409645.0,13459067.0,12853255.0,15945245.0,5899888.0,3.0
33,전통시장,2130232,독산동 맛나는거리상점가(독산동 맛나는거리),7505011,3927856,3577155,616015,481834,1308268,527577,994162,2897099,680056,,,558072,2387821,3619849,939269.0,3363684,4141327,,710552.0,1265575.0,1396706.0,1637624.0,2494554.0,1.0
34,전통시장,2130227,고척골목시장상점가(그라운드 고척),24396942,13284504,11112438,2692635,3865593,180121,2334325,4211830,4995574,6116864,,,3493280,4132153,13561208,3210301.0,14380418,8999541,148733.0,3970337.0,4504666.0,5780639.0,6035304.0,2940282.0,2.0
35,전통시장,2130225,개봉중앙시장,230575866,149273036,81302830,25050956,29632374,28866719,30277994,35444993,39079475,42223355,10441233.0,15499455.0,51691384,36883076,84484814,31575904.0,135403631,95172235,4889968.0,43114003.0,52616524.0,70585602.0,42176326.0,17193443.0,4.0
36,전통시장,2130219,까치산시장,133450213,95038605,38411608,15050520,20446753,17484774,19582360,22474198,20126405,18285203,67826.0,5741505.0,33440748,21124911,61762957,11312266.0,72392518,55664086,2557163.0,35872561.0,38643278.0,27552849.0,17568264.0,5862490.0,7.0
37,전통시장,2130217,화곡본동시장,124352686,83783868,40568818,7999870,12243830,21003459,20829037,21707672,30805825,9762993,,145423.0,20506284,21646069,73289711,8765199.0,60697402,60878897,1292131.0,34287165.0,32053565.0,26742430.0,21254373.0,5946636.0,2.0
38,전통시장,2130214,송화벽화시장(송화골목시장),103116553,74602540,28514013,13660855,13156760,16074551,12822065,18888309,16309660,12204353,,2147791.0,32318504,23595585,41009256,4045417.0,53941390,49175163,8817362.0,17449521.0,12653640.0,32607307.0,27076935.0,4511788.0,2.0
39,전통시장,2130205,신곡종합시장(신월6동 골목시장),7778618,5945930,1832688,821550,1408371,837801,1336220,1541988,315981,1516707,,704186.0,2401526,3246478,1426428,,4238330,3540288,,249878.0,1300027.0,2916576.0,1792912.0,1519225.0,1.0
40,전통시장,2130204,경창시장,22647620,12470934,10176686,3136821,2313612,1364267,2246672,3409562,4441340,5735346,,,2019847,4106634,15563496,957643.0,11263716,10634829,93496.0,1478331.0,4686294.0,7293549.0,5039560.0,3307315.0,2.0
41,전통시장,2130195,도화동 상점가,282022840,217851573,64171267,35272096,45350474,36756821,60105744,40366438,30198217,33973050,,4351028.0,105629720,45474568,112340775,14226749.0,124862604,82696240,4100620.0,34821133.0,51812535.0,47545978.0,49718191.0,19560389.0,11.0
42,전통시장,2130191,홍대 걷고싶은 거리,216787239,128917092,87870147,22501472,25434511,23484151,21966190,35530768,45176145,42694002,,,39843040,34157651,125798671,16987877.0,109633792,107027589,11259140.0,115065157.0,37123289.0,25762089.0,24585496.0,2866210.0,10.0
