,상권구분코드명,상권코드,상권코드명,분기당매출건수,주중매출건수,주말매출건수,월요일매출건수,화요일매출건수,수요일매출건수,목요일매출건수,금요일매출건수,토요일매출건수,일요일매출건수,시간대00~06매출건수,시간대06~11매출건수,시간대11~14매출건수,시간대14~17매출건수,시간대17~21매출건수,시간대21~24매출건수,남성매출건수,여성매출건수,연령대10매출건수,연령대20매출건수,연령대30매출건수,연령대40매출건수,연령대50매출건수,연령대60이상매출건수
0,관광특구,1001496,강남 마이스 관광특구,226817,178026,48791,31627,34763,36831,38964,35841,25492,23299,,28651.0,122345,36912,38441,468.0,82454,115874,1388.0,46730.0,66921.0,39018.0,33057.0,11218.0
1,관광특구,1001495,잠실 관광특구,579437,380504,198933,68781,72255,75209,74670,89589,107217,91716,17902.0,12104.0,162951,70987,216194,99299.0,306625,218580,4314.0,137361.0,147758.0,90175.0,77546.0,68064.0
2,관광특구,1001494,종로?청계 관광특구,1090099,810690,279409,148688,161126,162178,160223,178475,170532,108877,14848.0,28195.0,440769,164819,334848,106620.0,606655,376404,3204.0,181978.0,229918.0,188469.0,183247.0,196239.0
3,관광특구,1001493,동대문패션타운 관광특구,336593,270307,66286,51727,55273,55392,54298,53617,38540,27746,12617.0,20022.0,153373,47853,76892,25836.0,165956,142859,1858.0,51588.0,75998.0,63190.0,66526.0,49667.0
4,관광특구,1001492,명동 남대문 북창동 다동 무교동 관광특구,1584343,1354177,230166,257130,282394,270712,271107,272834,141652,88514,6017.0,42355.0,936628,153562,334402,111379.0,759166,499072,2712.0,177636.0,344678.0,315106.0,239355.0,178757.0
5,관광특구,1001491,이태원 관광특구,276084,152582,123502,28661,26223,28693,28085,40920,73910,49592,52491.0,10995.0,63858,28318,72289,48133.0,144756,110716,2053.0,97796.0,92305.0,28776.0,21161.0,13390.0
6,전통시장,2130326,고덕 골목형상점가,20375,13652,6723,2763,2759,2115,2885,3130,3462,3261,104.0,317.0,5735,2469,9728,2022.0,12473,7416,187.0,1967.0,3835.0,4625.0,5303.0,3972.0
7,전통시장,2130325,명일전통시장,7927,6161,1766,660,1087,1495,1366,1553,1092,674,52.0,41.0,676,784,4777,1597.0,4241,3341,10.0,600.0,1610.0,1726.0,2272.0,1364.0
8,전통시장,2130324,길동복조리시장,38004,23469,14535,4315,4338,4666,4797,5353,7535,7000,,1697.0,9169,9655,16604,879.0,19499,17461,36.0,1494.0,3545.0,6564.0,11696.0,13623.0
9,전통시장,2130323,둔촌역전통시장,49875,34428,15447,6324,6366,7042,6674,8022,8413,7034,257.0,877.0,9769,7983,24343,6646.0,27577,20013,270.0,3451.0,7614.0,10956.0,13983.0,11316.0
10,전통시장,2130322,고분다리전통시장,17848,12223,5625,2017,2471,2551,2387,2797,2941,2684,232.0,213.0,3805,2726,7969,2903.0,11331,6140,72.0,1577.0,2453.0,3253.0,5066.0,5046.0
11,전통시장,2130321,장신구 특화거리 상점가,7383,5308,2075,1198,1037,1083,837,1153,968,1107,,,1772,354,3530,1727.0,3862,3166,29.0,676.0,1757.0,2370.0,1525.0,672.0
12,전통시장,2130320,암사종합시장,84465,59559,24906,11319,11253,11502,12033,13452,15394,9512,15.0,3720.0,18271,18360,40256,3843.0,43440,40305,189.0,4954.0,13041.0,18016.0,24504.0,23041.0
13,전통시장,2130319,성내전통시장,10199,7339,2860,1372,1404,1353,1540,1670,1622,1238,46.0,149.0,1800,1010,5317,1877.0,6945,3030,6.0,718.0,1465.0,1967.0,2951.0,2865.0
14,전통시장,2130318,로데오거리상점가,96736,63514,33222,12031,11485,12429,12265,15304,18498,14724,6825.0,2287.0,17680,9611,37350,22983.0,57096,38740,1380.0,30947.0,24772.0,15455.0,13435.0,9850.0
15,전통시장,2130317,마천중앙시장,63976,39513,24463,7591,7024,8113,7391,9394,12786,11677,411.0,1629.0,10888,12326,32558,6164.0,36696,26469,149.0,3471.0,8566.0,14410.0,19730.0,16837.0
16,전통시장,2130316,마천시장,14739,9532,5207,1934,1882,1760,1621,2335,2682,2525,,836.0,3154,3641,6272,836.0,7824,6741,,837.0,1869.0,2619.0,4017.0,5223.0
17,전통시장,2130315,문정동 로데오거리 상점가(문정동 로데오거리),24394,19439,4955,3799,3671,4161,3823,3985,2940,2015,692.0,208.0,9992,3549,7163,2790.0,13307,8717,189.0,3390.0,6110.0,4607.0,4459.0,3263.0
18,전통시장,2130314,풍납시장,33356,24211,9145,4582,4793,4786,4459,5591,5632,3513,383.0,974.0,9316,4472,14956,3255.0,19480,12444,48.0,1830.0,4998.0,5948.0,9371.0,9731.0
19,전통시장,2130313,방이시장,91120,64822,26298,11492,13542,13246,12484,14058,13673,12625,382.0,4050.0,31498,12206,33927,9057.0,51049,32531,452.0,10410.0,19385.0,18093.0,19499.0,15742.0
20,전통시장,2130312,석촌시장,122268,88524,33744,14824,19069,17712,16457,20462,19263,14481,5175.0,6297.0,36052,15769,44031,14944.0,73558,35133,149.0,9115.0,24297.0,28748.0,24488.0,21891.0
21,전통시장,2130311,새마을시장,160097,112906,47191,19511,24087,18279,23174,27855,27488,19703,1936.0,3234.0,35563,23401,73301,22662.0,88666,61268,325.0,20581.0,36200.0,36204.0,33356.0,23264.0
22,전통시장,2130310,강남개포시장,56400,43050,13350,8443,8268,8503,8413,9423,7669,5681,325.0,1004.0,19249,5389,23638,6795.0,33750,17428,1103.0,9908.0,7387.0,9877.0,12258.0,10647.0
23,전통시장,2130308,청담삼익시장,22724,22181,543,5630,3867,4274,3934,4476,475,68,,204.0,18313,1357,2239,611.0,10650,7598,,1221.0,3392.0,5969.0,3460.0,4207.0
24,전통시장,2130307,도곡시장,4932,3282,1650,612,516,660,720,774,918,732,,84.0,1284,702,2346,516.0,2526,1542,6.0,132.0,318.0,1146.0,1452.0,1014.0
25,전통시장,2130306,강남언주로,81874,73697,8177,13924,16164,15011,14593,14005,5408,2769,1948.0,1635.0,42450,3908,21676,10257.0,40497,24408,92.0,14035.0,23036.0,15005.0,8877.0,3856.0
26,전통시장,2130305,논현종합시장,3317,3228,89,269,1033,604,582,740,22,67,,22.0,2825,314,156,,1591,1098,,875.0,1143.0,470.0,134.0,67.0
27,전통시장,2130304,신사상가,20845,15393,5452,2431,2726,3609,3314,3313,2726,2726,,811.0,9721,6924,663,,6798,10069,147.0,1419.0,3666.0,7009.0,2548.0,2078.0
