,상권구분코드명,상권코드,상권코드명,분기당매출금액,주중매출금액,주말매출금액,월요일매출금액,화요일매출금액,수요일매출금액,목요일매출금액,금요일매출금액,토요일매출금액,일요일매출금액,시간대00~06매출금액,시간대06~11매출금액,시간대11~14매출금액,시간대14~17매출금액,시간대17~21매출금액,시간대21~24매출금액,남성매출금액,여성매출금액,연령대10매출금액,연령대20매출금액,연령대30매출금액,연령대40매출금액,연령대50매출금액,연령대60이상매출금액,점포수
0,관광특구,1001495,잠실 관광특구,6051048931,3774199556,2276849375,644313068,700805049,729795300,752820167,946465972,1331947417,944901958,1706914132.0,70260689.0,19506860.0,34082815.0,1074389613,3145894822,3469113243,2306807149,101312590.0,2615876256.0,1729450542.0,689692774.0,466682770.0,172905457.0,51.0
1,관광특구,1001494,종로?청계 관광특구,7681425785,5648940152,2032485633,842340240,1072882495,1118236901,1113893080,1501587436,1404969313,627516320,855212937.0,20929219.0,52967100.0,115193451.0,2120737443,4516385635,4339037355,2237598425,31410753.0,2072747278.0,2194411363.0,1086437812.0,785382744.0,406245825.0,83.0
2,관광특구,1001493,동대문패션타운 관광특구,1292056819,1038038374,254018445,165073574,218310323,210250550,217190616,227213311,152130578,101887867,176635560.0,34195235.0,298073388.0,59811141.0,257983725,465357770,730573576,412930604,5397012.0,283015454.0,347911508.0,297329821.0,136137274.0,73713108.0,22.0
3,관광특구,1001492,명동 남대문 북창동 다동 무교동 관광특구,6773702610,5904139445,869563165,1044452386,1225314169,1166856668,1323479417,1144036805,595104564,274458601,381777766.0,4279303.0,725291730.0,172962388.0,1705512131,3783879292,3247737180,1503195793,15716471.0,775856061.0,1344185972.0,1223094100.0,979662505.0,412417853.0,62.0
4,관광특구,1001491,이태원 관광특구,7577418680,2663363097,4914055583,385087625,323644342,456689971,515579963,982361196,2598133582,2315922001,3563134562.0,79348842.0,33449859.0,76460147.0,975518048,2849507222,5361920917,2040100795,40288389.0,3080515414.0,3283901322.0,548150689.0,293264336.0,155901561.0,71.0
5,전통시장,2130326,고덕 골목형상점가,60349092,41714199,18634893,6066032,8468420,9287410,9189138,8703199,11067369,7567524,17510138.0,,,387658.0,9369316,33081980,35942584,24406508,,19304488.0,11613180.0,14037694.0,8483555.0,6910175.0,2.0
6,전통시장,2130323,둔촌역전통시장,55205248,37047392,18157856,7226433,7821833,2206879,7201393,12590854,16752238,1405618,5719238.0,,1335337.0,1827303.0,13984788,32338582,49894907,3590309,,466073.0,780488.0,9871657.0,17599447.0,24767550.0,4.0
7,전통시장,2130322,고분다리전통시장,103808718,69863099,33945619,13616256,14080772,16541459,14825234,10799378,17347766,16597853,21911349.0,,64899.0,4506301.0,33248389,44077780,71593960,32214758,475718.0,14602639.0,20882969.0,23236305.0,25200909.0,19410178.0,6.0
8,전통시장,2130320,암사종합시장,28900947,20979363,7921584,2447299,5315742,4485120,4791719,3939483,4935692,2985892,2469301.0,2514016.0,2825858.0,2550807.0,6098511,12442454,15442877,11734175,99860.0,4584419.0,7519757.0,6238347.0,5468987.0,3265681.0,2.0
9,전통시장,2130319,성내전통시장,27633451,21506582,6126869,533032,4023560,2866672,5554536,8528782,1402715,4724154,,,589140.0,701358.0,15735466,10607487,25809921,280543,,,659276.0,5414755.0,10893653.0,9122780.0,2.0
