,상권구분코드명,상권코드,상권코드명,분기당매출건수,주중매출건수,주말매출건수,월요일매출건수,화요일매출건수,수요일매출건수,목요일매출건수,금요일매출건수,토요일매출건수,일요일매출건수,시간대00~06매출건수,시간대06~11매출건수,시간대11~14매출건수,시간대14~17매출건수,시간대17~21매출건수,시간대21~24매출건수,남성매출건수,여성매출건수,연령대10매출건수,연령대20매출건수,연령대30매출건수,연령대40매출건수,연령대50매출건수,연령대60이상매출건수
0,관광특구,1001495,잠실 관광특구,118198,73886,44312,13114,13457,14313,14349,18653,25400,18912,32995.0,1413.0,724.0,900.0,23036,59130,65940,48833,2097.0,54064.0,33513.0,12785.0,9322.0,2989.0
1,관광특구,1001494,종로?청계 관광특구,145839,106414,39425,16195,20100,21362,20804,27953,26980,12445,15777.0,1160.0,3458.0,3566.0,41272,80606,84615,47712,497.0,41231.0,42712.0,21945.0,16582.0,9356.0
2,관광특구,1001493,동대문패션타운 관광특구,45081,36855,8226,6326,7869,7528,7291,7841,4927,3299,4492.0,1496.0,15426.0,3574.0,9054,11039,24628,16606,259.0,10915.0,12191.0,10182.0,4983.0,2699.0
3,관광특구,1001492,명동 남대문 북창동 다동 무교동 관광특구,134547,118086,16461,21367,24818,23446,25119,23336,10937,5524,5530.0,183.0,36752.0,4535.0,28802,58745,73755,36052,347.0,20404.0,33629.0,25985.0,20141.0,9297.0
4,관광특구,1001491,이태원 관광특구,218581,72945,145636,10838,8061,13317,12948,27781,78967,66669,104207.0,1784.0,2228.0,3874.0,29141,77347,158955,58055,1327.0,94006.0,95002.0,15616.0,7919.0,3139.0
5,전통시장,2130326,고덕 골목형상점가,1190,857,333,125,169,180,192,191,196,137,278.0,,,16.0,246,650,776,414,,350.0,230.0,277.0,184.0,149.0
6,전통시장,2130323,둔촌역전통시장,1134,799,335,156,145,58,131,309,294,41,86.0,,44.0,51.0,272,681,1036,72,,11.0,12.0,190.0,378.0,518.0
7,전통시장,2130322,고분다리전통시장,2790,1902,888,376,425,455,312,334,434,454,536.0,,6.0,120.0,878,1250,1922,868,10.0,382.0,518.0,522.0,782.0,576.0
8,전통시장,2130320,암사종합시장,1610,1056,554,144,241,253,181,237,334,220,64.0,81.0,288.0,301.0,514,362,896,701,15.0,246.0,320.0,356.0,366.0,298.0
9,전통시장,2130319,성내전통시장,571,473,98,42,69,98,125,139,14,84,,,14.0,28.0,237,292,529,28,,,28.0,125.0,222.0,182.0
10,전통시장,2130318,로데오거리상점가,92629,57173,35456,9965,10411,11288,10868,14641,20127,15329,22313.0,204.0,1902.0,1447.0,20955,45808,56922,35707,1378.0,44903.0,28133.0,9996.0,6262.0,1957.0
11,전통시장,2130317,마천중앙시장,706,417,289,84,74,74,83,102,140,149,74.0,,18.0,55.0,335,224,464,242,,130.0,214.0,93.0,185.0,84.0
12,전통시장,2130315,문정동 로데오거리 상점가(문정동 로데오거리),1458,969,489,193,179,144,157,296,283,206,471.0,,,,333,654,840,618,36.0,552.0,429.0,218.0,160.0,63.0
13,전통시장,2130314,풍납시장,5855,4280,1575,679,916,788,890,1007,1046,529,835.0,,,196.0,2251,2573,3868,1941,24.0,451.0,946.0,1583.0,1583.0,1223.0
14,전통시장,2130313,방이시장,690,560,130,100,122,116,115,107,81,49,151.0,,,10.0,85,444,429,240,,60.0,133.0,87.0,230.0,158.0
15,전통시장,2130312,석촌시장,1222,739,483,69,146,193,169,162,276,207,,54.0,184.0,246.0,622,116,591,631,16.0,96.0,343.0,215.0,200.0,352.0
16,전통시장,2130311,새마을시장,44123,30312,13811,4039,6068,5823,6338,8044,9834,3977,2991.0,24.0,590.0,2296.0,17765,20457,24617,17466,412.0,11863.0,14761.0,7612.0,5439.0,1992.0
17,전통시장,2130310,강남개포시장,14849,10244,4605,1776,2070,2029,1631,2738,3168,1437,2153.0,,6.0,125.0,4152,8413,9849,3709,162.0,2299.0,2775.0,3130.0,3485.0,1705.0
18,전통시장,2130306,강남언주로,599,513,86,37,127,117,140,92,43,43,222.0,,,,120,214,236,5,,,71.0,136.0,31.0,5.0
19,전통시장,2130303,영동전통시장,7126,4958,2168,754,961,1106,878,1259,1414,754,2355.0,,,,1343,3428,3883,2861,10.0,2696.0,2747.0,836.0,320.0,134.0
20,전통시장,2130302,강남시장(강남구 강남시장),1494,826,668,96,134,201,122,273,418,250,383.0,,,,183,928,629,805,12.0,616.0,616.0,129.0,48.0,12.0
21,전통시장,2130301,양재시장,3716,3129,587,553,491,730,559,796,463,124,327.0,,,51.0,1174,2164,2152,1084,12.0,581.0,989.0,914.0,480.0,259.0
22,전통시장,2130299,엔터식스 강남점,19677,14122,5555,2392,2541,2956,3069,3164,3013,2542,,,,1205.0,7100,11372,9095,9037,95.0,4369.0,4293.0,3446.0,3785.0,2146.0
23,전통시장,2130295,인헌시장(원당종합시장),5588,4009,1579,804,752,713,606,1134,875,704,1707.0,11.0,,78.0,961,2831,3746,1828,34.0,1509.0,1382.0,1258.0,738.0,653.0
24,전통시장,2130294,관악중부시장,5221,3601,1620,759,721,709,601,811,928,692,26.0,198.0,1268.0,1434.0,2170,125,3561,1660,91.0,339.0,602.0,1225.0,1029.0,1935.0
25,전통시장,2130290,영림시장,75466,54837,20629,8963,10135,11660,11412,12667,11968,8661,6926.0,8028.0,6004.0,8284.0,25232,20992,42321,32952,813.0,19084.0,17532.0,12890.0,12516.0,12438.0
26,전통시장,2130285,서원동상점가,105616,62795,42821,10183,11159,12837,12213,16403,23360,19461,32838.0,3873.0,264.0,1594.0,19461,47586,68243,37332,1261.0,54756.0,29725.0,9637.0,7535.0,2660.0
27,전통시장,2130283,신원시장,4873,3617,1256,755,587,899,747,629,644,612,376.0,11.0,231.0,554.0,2181,1520,3260,1579,,667.0,774.0,601.0,1487.0,1309.0
28,전통시장,2130281,우림시장,257,194,63,19,25,56,63,31,38,25,45.0,,6.0,,107,99,200,57,,55.0,31.0,64.0,44.0,63.0
29,전통시장,2130279,관악신사시장,810,578,232,132,132,70,111,133,131,101,182.0,,,,202,426,516,294,,70.0,100.0,80.0,348.0,212.0
30,전통시장,2130278,미성동 도깨비시장 골목형상점가,10502,6698,3804,1026,1236,977,1404,2055,2026,1778,539.0,,9.0,594.0,3725,5635,6851,3651,30.0,585.0,1839.0,2488.0,2882.0,2678.0
31,전통시장,2130277,조원동 펭귄시장(신림중앙시장),381,277,104,47,47,68,69,46,69,35,12.0,,,12.0,242,115,311,47,,47.0,46.0,47.0,115.0,104.0
32,전통시장,2130275,강남골목시장,3629,2782,847,535,480,599,565,603,685,162,754.0,,,,941,1934,2304,1232,,502.0,1505.0,989.0,317.0,224.0
33,전통시장,2130274,사당1동먹자골목상점가(사당1동먹자골목),31406,22675,8731,3440,3990,4914,4604,5727,5736,2995,2155.0,,40.0,1123.0,11067,17021,20275,9046,18.0,8549.0,8472.0,4099.0,4367.0,3817.0
34,전통시장,2130273,남성사계시장(남성시장),11237,7511,3726,1056,1342,1598,1496,2019,2193,1533,1235.0,,46.0,323.0,3661,5972,6405,4430,46.0,3422.0,3194.0,1557.0,1648.0,968.0
35,전통시장,2130271,남성역골목시장,1132,758,374,136,172,156,119,175,123,251,134.0,32.0,124.0,244.0,407,191,576,547,,165.0,108.0,77.0,254.0,520.0
36,전통시장,2130266,만양로상점가,7104,4797,2307,815,1053,827,817,1285,1381,926,1373.0,,,12.0,1988,3731,4729,2375,53.0,2905.0,2098.0,1015.0,729.0,304.0
37,전통시장,2130265,노량진중앙시장,26349,16964,9385,2622,3080,3434,3465,4363,5294,4091,6877.0,,,58.0,5218,14196,16817,9532,652.0,14482.0,7329.0,1631.0,1823.0,432.0
38,전통시장,2130264,상도약수골목형상점가,1715,1308,407,312,226,246,258,266,193,214,129.0,,,33.0,590,963,1059,624,,131.0,384.0,373.0,601.0,194.0
39,전통시장,2130263,신노량진시장(기능상실),3184,2247,937,319,395,466,494,573,803,134,328.0,,8.0,205.0,1356,1287,1819,1365,4.0,759.0,1041.0,621.0,545.0,214.0
