,상권코드,분기당매출건수,주중매출건수,주말매출건수,월요일매출건수,화요일매출건수,수요일매출건수,목요일매출건수,금요일매출건수,토요일매출건수,일요일매출건수,시간대00~06매출건수,시간대06~11매출건수,시간대11~14매출건수,시간대14~17매출건수,시간대17~21매출건수,시간대21~24매출건수,남성매출건수,여성매출건수,연령대10매출건수,연령대20매출건수,연령대30매출건수,연령대40매출건수,연령대50매출건수,연령대60이상매출건수,분기당매출금액,주중매출금액,주말매출금액,월요일매출금액,화요일매출금액,수요일매출금액,목요일매출금액,금요일매출금액,토요일매출금액,일요일매출금액,시간대00~06매출금액,시간대06~11매출금액,시간대11~14매출금액,시간대14~17매출금액,시간대17~21매출금액,시간대21~24매출금액,남성매출금액,여성매출금액,연령대10매출금액,연령대20매출금액,연령대30매출금액,연령대40매출금액,연령대50매출금액,연령대60이상매출금액,점포수,총생활인구수,남성생활인구수,여성생활인구수,연령대10생활인구수,연령대20생활인구수,연령대30생활인구수,연령대40생활인구수,연령대50생활인구수,연령대60이상생활인구수,시간대1생활인구수,시간대2생활인구수,시간대3생활인구수,시간대4생활인구수,시간대5생활인구수,시간대6생활인구수,월요일생활인구수,화요일생활인구수,수요일생활인구수,목요일생활인구수,금요일생활인구수,토요일생활인구수,일요일생활인구수,총직장인구수,집객시설수,관공서수,은행수,대학교수,백화점수,슈퍼마켓수,의료시설수,교육시설수,여가시설수,교통시설수,00시~06시유동인구,06시~11시유동인구,11시~14시유동인구,14시~17시유동인구,17시~21시유동인구,21시~24시유동인구,cluster
0,1001496,256257,173326,82931,32876,33569,33736,35808,37337,44061,38870,0.0,21775,66799,66484,93499,7700.0,93755,144049,4960.0,75664.0,77580.0,43229.0,26586.0,9788.0,3346059700,2158190650,1187869050,396706558,410802286,427994605,447001350,475685851,630089443,557779607,0.0,137810474,963102174,892696238,1272127487,80323327.0,1249628961,1664973153,56189204.0,872637951.0,893563248.0,587481404.0,375745177.0,128985135.0,16.0,92815,46773,46043.0,6348,19683.0,25607.0,20687.0,11541.0,8949.0,6267.0,17913.0,21171.0,22211.0,19976.0,5277.0,13648.0,13721.0,14053.0,15264.0,15081.0,11312.0,9736,15904.0,34.0,1.0,8.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,94171,1831723,848659,1026131,1815123,516101,1
1,1001495,75021,43542,31479,7940,9003,8491,7514,10594,16618,14861,0.0,4306,20935,25004,24404,372.0,31884,39372,243.0,8535.0,21619.0,18572.0,9682.0,12603.0,2562764665,1496405070,1066359595,293312518,296349128,280226612,255115160,371401652,609844033,456515562,0.0,168377457,733910392,792873123,860582661,7021032.0,1058990483,1205298196,2482772.0,266365337.0,802788411.0,576411760.0,301759081.0,314481319.0,39.0,3221641,1567876,1653767.0,334733,695297.0,773414.0,532270.0,410051.0,475876.0,553535.0,615838.0,492595.0,529146.0,688670.0,341857.0,457554.0,456950.0,465358.0,470094.0,472796.0,464657.0,434231,24375.0,149.0,3.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13858,226257,105810,125122,211767,75950,4
2,1001494,42639,31747,10892,5690,6029,7144,6483,6401,6553,4339,11.0,4384,8354,9597,15560,4733.0,17936,23146,481.0,12818.0,10224.0,6550.0,6321.0,4684.0,401062203,300553404,100508799,52687914,53130137,66892146,61317888,66525319,62480763,38028036,66528.0,27910142,67262333,99473869,162035594,44313737.0,170238113,195845627,5281803.0,106709470.0,84586851.0,62270792.0,61354942.0,45879883.0,19.0,3610698,1975798,1634900.0,124229,610832.0,665426.0,678449.0,674334.0,857429.0,431190.0,719724.0,746217.0,762450.0,684376.0,266740.0,565375.0,563063.0,560047.0,591669.0,597400.0,415375.0,317768,32935.0,243.0,5.0,18.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,167720,4334021,3699463,4091380,5320223,1428696,13
3,1001493,39657,24070,15587,4200,4614,5061,4841,5354,8915,6672,0.0,879,11119,12735,13571,1353.0,15770,23376,595.0,14106.0,12462.0,6477.0,3899.0,1608.0,630673095,370556964,260116131,63814857,72435010,72423543,76791214,85092340,147098236,113017895,0.0,10390358,195916128,189735414,219160686,15470509.0,254204494,363202852,9231608.0,212917531.0,188983840.0,116681760.0,64679987.0,24912618.0,24.0,2996402,1435641,1560761.0,121963,542996.0,751225.0,617322.0,456240.0,506657.0,677671.0,606344.0,435731.0,420474.0,480905.0,375279.0,452257.0,460722.0,461579.0,475169.0,478088.0,355773.0,312815,6054.0,149.0,3.0,12.0,0.0,0.0,3.0,17.0,0.0,0.0,0.0,302585,2780313,1994525,2254692,2899096,1031914,4
4,1001492,450472,351277,99195,67369,67808,73850,72693,69557,54607,44588,0.0,99042,131587,103159,107956,8728.0,170498,255790,5454.0,109372.0,129358.0,92699.0,58887.0,30523.0,4576832570,3519573662,1057258908,645783324,642295161,751664020,782134403,697696754,588111910,469146998,0.0,689457783,1407866790,1208726222,1174448937,96332838.0,1573719759,2358358242,37036044.0,973331341.0,1152580538.0,839930417.0,585747988.0,343451674.0,69.0,3657861,1902880,1754981.0,125101,674875.0,930254.0,824291.0,585227.0,518110.0,246718.0,805661.0,882042.0,873024.0,670237.0,180178.0,588660.0,583394.0,579257.0,632942.0,622246.0,360143.0,291217,104830.0,426.0,14.0,57.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,234578,6157760,2765755,3333748,6395073,1642232,3
5,1001491,69791,46178,23613,9124,8449,9367,9270,9968,12493,11120,247.0,7444,14383,20470,23196,4051.0,30419,36563,671.0,21570.0,21133.0,10192.0,8440.0,4977.0,754042317,473450307,280592010,86747022,86732497,98300813,96453762,105216213,148892506,131699504,1852097.0,53928546,164603241,227094921,263084150,43479362.0,300629016,398877388,5714146.0,228168264.0,217144324.0,109184596.0,86882793.0,52412281.0,20.0,1829751,903510,926240.0,120144,437601.0,428731.0,298102.0,232431.0,312741.0,334875.0,334295.0,255056.0,283400.0,402211.0,219912.0,249157.0,249044.0,253688.0,256356.0,268472.0,288632.0,264405,5839.0,63.0,5.0,6.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,73043,633325,427406,562386,921216,385347,12
6,2130326,55032,39187,15845,7157,7862,8348,8190,7630,8421,7424,0.0,8481,12309,13537,17181,3524.0,20898,33745,911.0,6674.0,13888.0,15735.0,9834.0,7601.0,506386586,357030858,149355728,67966479,72453616,72526764,71543504,72540495,80646455,68709273,0.0,76056035,116620461,122107869,160577820,31024401.0,199617949,298205799,4770997.0,54409607.0,122047171.0,158730757.0,88298907.0,69566308.0,2.0,145517,67147,78370.0,24334,13530.0,26184.0,27154.0,21362.0,32952.0,34203.0,31453.0,17958.0,17963.0,25499.0,18440.0,20537.0,20714.0,20984.0,20959.0,20935.0,20823.0,20566,935.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,92302,1132651,432245,501141,941946,323593,7
7,2130325,3158,1996,1162,399,551,111,458,477,577,585,0.0,223,917,1101,910,7.0,1317,1592,20.0,125.0,196.0,642.0,747.0,1179.0,22507392,14226642,8280750,2507809,4354600,835937,3174724,3353572,4081414,4199336,0.0,2439021,6933162,7530634,5579680,24895.0,7782856,10700773,193261.0,781561.0,1134018.0,4671680.0,4705090.0,6998019.0,1.0,204740,91758,112983.0,32724,21395.0,27840.0,34927.0,32742.0,55113.0,38673.0,39014.0,28315.0,29778.0,42859.0,26103.0,28942.0,28821.0,29147.0,29448.0,29656.0,29672.0,29056,89.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,61796,763591,408065,477503,744147,281506,2
8,2130324,6179,4563,1616,992,954,955,796,866,741,875,0.0,426,1230,2033,2135,355.0,3099,3080,24.0,580.0,827.0,1409.0,1793.0,1546.0,42974590,29904516,13070074,6280902,6329759,5551984,5836460,5905411,5793906,7276168,0.0,2581548,8820685,14108290,14592527,2871540.0,20541381,22433209,260369.0,2583164.0,4993777.0,12844099.0,11807103.0,10486078.0,3.0,506523,232053,274471.0,84356,56747.0,70321.0,76606.0,80562.0,137931.0,142738.0,103748.0,58341.0,57614.0,79840.0,64245.0,71545.0,71690.0,71191.0,70622.0,71792.0,75111.0,74572,154.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46262,594849,325962,385854,578937,203902,2
9,2130323,18039,10177,7862,1987,1080,1684,1956,3470,4549,3313,0.0,1054,4272,4723,7219,771.0,9704,8137,105.0,1412.0,2073.0,3838.0,5343.0,5069.0,141871572,77504336,64367236,14559778,8855423,13078716,13641896,27368523,38973419,25393817,0.0,9818036,34438779,36155725,56292132,5166900.0,69414954,69279585,227717.0,10154787.0,16368223.0,35396454.0,42148418.0,34398941.0,3.0,347808,171022,176786.0,54293,45265.0,43682.0,54020.0,60337.0,90211.0,94749.0,72545.0,39982.0,40555.0,57081.0,42896.0,49441.0,49168.0,49913.0,49131.0,49706.0,50548.0,49902,171.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37483,687649,346323,424170,668960,221300,2
10,2130322,13133,9039,4094,1830,1721,1726,1913,1849,2156,1938,0.0,2036,3475,2761,3731,1130.0,5023,7982,58.0,1868.0,2599.0,2508.0,3169.0,2805.0,125907951,86975628,38932323,14631153,18076179,15225610,20016392,19026294,21096516,17835807,0.0,16108836,31787464,28759107,37779263,11473281.0,48660450,66341951,262999.0,14942663.0,22336952.0,24026762.0,31152039.0,22280986.0,3.0,267658,130283,137374.0,35434,34410.0,39751.0,36567.0,46689.0,74804.0,73696.0,54889.0,30569.0,30763.0,43998.0,33741.0,36920.0,37420.0,37324.0,37134.0,36840.0,40092.0,41927,8.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7644,122669,58956,68358,107563,46626,2
11,2130319,7830,5375,2455,926,1139,1216,1077,1017,1211,1244,0.0,341,1164,1665,3377,1283.0,4462,3055,5.0,1415.0,756.0,2090.0,2163.0,1087.0,75724010,50599174,25124836,7391130,14598883,8332713,12001921,8274527,11697279,13427557,0.0,3749190,14606967,16786867,25800055,14780931.0,35503369,32737598,12999.0,9405530.0,6902261.0,20396009.0,22830767.0,8693402.0,3.0,805891,391136,414755.0,145551,85305.0,124918.0,122179.0,122580.0,205358.0,210337.0,161053.0,92755.0,96597.0,141481.0,103667.0,111738.0,110927.0,110780.0,110043.0,110339.0,124283.0,127785,34.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99051,1294136,582513,685280,1197957,420669,2
12,2130318,28580,20806,7774,4278,3828,4349,4181,4170,4307,3467,0.0,3984,5074,6585,10887,2050.0,10784,17755,431.0,7790.0,7427.0,4777.0,4403.0,3709.0,223365024,161087344,62277680,34258319,28430834,35315991,32625560,30456640,36596856,25680824,0.0,29458809,39452970,49194995,85990363,19267887.0,86842426,136111903,2396257.0,55798379.0,57939791.0,39994573.0,36290933.0,30534397.0,7.0,364333,171251,193081.0,30916,75208.0,71427.0,54570.0,55926.0,76286.0,52301.0,61494.0,55245.0,65491.0,89790.0,40012.0,48296.0,48718.0,49565.0,49437.0,52672.0,58954.0,56690,266.0,37.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,92359,562218,339507,414865,634830,276367,7
