,상권코드,분기당매출건수,주중매출건수,주말매출건수,월요일매출건수,화요일매출건수,수요일매출건수,목요일매출건수,금요일매출건수,토요일매출건수,일요일매출건수,시간대00~06매출건수,시간대06~11매출건수,시간대11~14매출건수,시간대14~17매출건수,시간대17~21매출건수,시간대21~24매출건수,남성매출건수,여성매출건수,연령대10매출건수,연령대20매출건수,연령대30매출건수,연령대40매출건수,연령대50매출건수,연령대60이상매출건수,분기당매출금액,주중매출금액,주말매출금액,월요일매출금액,화요일매출금액,수요일매출금액,목요일매출금액,금요일매출금액,토요일매출금액,일요일매출금액,시간대00~06매출금액,시간대06~11매출금액,시간대11~14매출금액,시간대14~17매출금액,시간대17~21매출금액,시간대21~24매출금액,남성매출금액,여성매출금액,연령대10매출금액,연령대20매출금액,연령대30매출금액,연령대40매출금액,연령대50매출금액,연령대60이상매출금액,점포수,총생활인구수,남성생활인구수,여성생활인구수,연령대10생활인구수,연령대20생활인구수,연령대30생활인구수,연령대40생활인구수,연령대50생활인구수,연령대60이상생활인구수,시간대1생활인구수,시간대2생활인구수,시간대3생활인구수,시간대4생활인구수,시간대5생활인구수,시간대6생활인구수,월요일생활인구수,화요일생활인구수,수요일생활인구수,목요일생활인구수,금요일생활인구수,토요일생활인구수,일요일생활인구수,총직장인구수,집객시설수,관공서수,은행수,대학교수,백화점수,슈퍼마켓수,의료시설수,교육시설수,여가시설수,교통시설수,00시~06시유동인구,06시~11시유동인구,11시~14시유동인구,14시~17시유동인구,17시~21시유동인구,21시~24시유동인구,cluster
0,1001496,184370,137220,47150,25567,24440,28586,29207,29420,25433,21717,,4486.0,82495,36015,58675,2699.0,70612,84403,1612.0,43165.0,54221.0,28596.0,19887.0,7534.0,7361772290,4673970275,2687802015,582162260,593022934,1222381465,1088872149,1187531467,1320798289,1367003726,,41773883.0,2107170748,1914753893,2922841003,375232763.0,2854758548,3150008621,46468011.0,1529757252.0,2387276502.0,1024221964.0,632349812.0,384693624.0,29.0,92815,46773,46043.0,6348,19683.0,25607.0,20687.0,11541.0,8949.0,6267.0,17913.0,21171.0,22211.0,19976.0,5277.0,13648.0,13721.0,14053.0,15264.0,15081.0,11312.0,9736,15904.0,34.0,1.0,8.0,,1.0,,,,,,94171,1831723,848659,1026131,1815123,516101,10
1,1001495,277977,182811,95166,36138,36250,37051,35815,37557,51003,44163,1147.0,26074.0,71422,77685,90754,10895.0,116682,145679,3237.0,60827.0,81825.0,57081.0,37989.0,21399.0,3331846757,2193053713,1138793044,415850818,418755413,454851336,422259453,481336693,640957503,497835541,16163923.0,255618002.0,812808654,703526790,1104702014,439027374.0,1440080676,1543859600,64944486.0,848270807.0,881711921.0,565518288.0,415380195.0,208114579.0,89.0,3221641,1567876,1653767.0,334733,695297.0,773414.0,532270.0,410051.0,475876.0,553535.0,615838.0,492595.0,529146.0,688670.0,341857.0,457554.0,456950.0,465358.0,470094.0,472796.0,464657.0,434231,24375.0,149.0,3.0,13.0,,,,,,,,13858,226257,105810,125122,211767,75950,3
2,1001494,332000,248152,83848,46130,49040,49020,52979,50983,48967,34881,1476.0,30553.0,128555,78571,82766,10079.0,154932,147604,1670.0,69684.0,78507.0,66837.0,55572.0,30278.0,4754270843,3286317782,1467953061,558053981,664989641,701833154,681761413,679679593,836645126,631307935,13116262.0,248664350.0,1581857026,1233491085,1486442581,190699539.0,2241211779,1986707346,24053176.0,987979639.0,1043833480.0,935037411.0,761528121.0,475487296.0,138.0,3610698,1975798,1634900.0,124229,610832.0,665426.0,678449.0,674334.0,857429.0,431190.0,719724.0,746217.0,762450.0,684376.0,266740.0,565375.0,563063.0,560047.0,591669.0,597400.0,415375.0,317768,32935.0,243.0,5.0,18.0,,,6.0,,,,,167720,4334021,3699463,4091380,5320223,1428696,3
3,1001493,302924,224109,78815,44474,43405,43504,46437,46289,45297,33518,7672.0,31643.0,79470,65166,99228,19745.0,118945,175492,3973.0,88987.0,84665.0,53450.0,42215.0,21149.0,3089527908,2198545668,890982240,438216377,427579840,427382116,453932275,451435060,487643603,403338637,100022340.0,231607465.0,823925276,672836357,1042640662,218495808.0,1267385037,1687903607,37480972.0,866130507.0,861346043.0,552826703.0,433664028.0,203840391.0,104.0,2996402,1435641,1560761.0,121963,542996.0,751225.0,617322.0,456240.0,506657.0,677671.0,606344.0,435731.0,420474.0,480905.0,375279.0,452257.0,460722.0,461579.0,475169.0,478088.0,355773.0,312815,6054.0,149.0,3.0,12.0,,,3.0,17.0,,,,302585,2780313,1994525,2254692,2899096,1031914,3
4,1001492,579306,501645,77661,97969,99078,98537,109702,96359,44878,32783,851.0,71576.0,307228,79221,114065,6365.0,267369,252298,1695.0,95457.0,155591.0,132273.0,92120.0,42538.0,9008350209,7420504556,1587845653,1414414337,1401512218,1486666218,1624393301,1493518482,878687703,709157950,61237323.0,591905288.0,4386019980,1171182628,2290785241,507219749.0,3814731033,3400486218,30461185.0,1347395399.0,2274283543.0,1754271403.0,1235838858.0,572966871.0,236.0,3657861,1902880,1754981.0,125101,674875.0,930254.0,824291.0,585227.0,518110.0,246718.0,805661.0,882042.0,873024.0,670237.0,180178.0,588660.0,583394.0,579257.0,632942.0,622246.0,360143.0,291217,104830.0,426.0,14.0,57.0,1.0,1.0,2.0,,,,,234578,6157760,2765755,3333748,6395073,1642232,4
5,1001491,46264,30822,15442,5168,5798,6036,6423,7397,8517,6925,868.0,207.0,9163,13687,17235,5104.0,15404,28800,417.0,22341.0,13058.0,3541.0,3940.0,908.0,1315185618,872794740,442390878,127340079,150080958,198692411,183168144,213513148,269577923,172812955,13157427.0,2607650.0,159830904,238537501,592295654,308756482.0,484032220,713423920,6826704.0,594918522.0,372544688.0,100411523.0,96023581.0,26731123.0,80.0,1829751,903510,926240.0,120144,437601.0,428731.0,298102.0,232431.0,312741.0,334875.0,334295.0,255056.0,283400.0,402211.0,219912.0,249157.0,249044.0,253688.0,256356.0,268472.0,288632.0,264405,5839.0,63.0,5.0,6.0,,,3.0,,,,,73043,633325,427406,562386,921216,385347,6
6,2130326,52419,37476,14943,6073,7092,8216,8341,7754,8438,6505,,2325.0,17845,12559,19392,298.0,23794,27654,472.0,6845.0,12185.0,14374.0,11495.0,6078.0,461003658,321131522,139872136,56750365,60769541,67996484,68217017,67398115,77318250,62553886,,20462952.0,166631664,106647393,164890753,2370896.0,210321692,234829544,3318324.0,55643168.0,105589901.0,131791201.0,99598539.0,49210104.0,5.0,145517,67147,78370.0,24334,13530.0,26184.0,27154.0,21362.0,32952.0,34203.0,31453.0,17958.0,17963.0,25499.0,18440.0,20537.0,20714.0,20984.0,20959.0,20935.0,20823.0,20566,935.0,11.0,,,,,,,,,,92302,1132651,432245,501141,941946,323593,8
7,2130325,107,74,33,8,9,33,8,16,8,25,,,58,8,33,,41,58,,42.0,8.0,41.0,8.0,,1299919,732742,567177,65570,65570,368829,60652,172121,191791,375386,,,911418,65570,257361,,389321,845028,,408991.0,106550.0,653238.0,65570.0,,4.0,204740,91758,112983.0,32724,21395.0,27840.0,34927.0,32742.0,55113.0,38673.0,39014.0,28315.0,29778.0,42859.0,26103.0,28942.0,28821.0,29147.0,29448.0,29656.0,29672.0,29056,89.0,2.0,,,,,,,,,,61796,763591,408065,477503,744147,281506,8
8,2130324,7300,5221,2079,872,1182,1087,1255,825,1155,924,,179.0,2402,1603,2806,310.0,3834,3392,,986.0,1410.0,2084.0,1757.0,989.0,77029870,54373652,22656218,9682364,12397779,11563491,12006946,8723072,13389277,9266941,,1981569.0,27256926,14930884,29402171,3458320.0,41145794,34655914,,10882534.0,13779608.0,23713930.0,18026433.0,9399203.0,11.0,506523,232053,274471.0,84356,56747.0,70321.0,76606.0,80562.0,137931.0,142738.0,103748.0,58341.0,57614.0,79840.0,64245.0,71545.0,71690.0,71191.0,70622.0,71792.0,75111.0,74572,154.0,5.0,,,,,,,,,,46262,594849,325962,385854,578937,203902,8
9,2130323,2810,1766,1044,651,293,203,181,438,480,564,,31.0,380,894,1311,194.0,1389,1290,,151.0,221.0,716.0,885.0,705.0,63253970,38191306,25062664,14345150,7475870,3623675,4045699,8700912,10748470,14314194,,841673.0,9288907,21021492,26658524,5443374.0,35017335,23567550,,2566271.0,4057874.0,12873156.0,22097794.0,16989792.0,8.0,347808,171022,176786.0,54293,45265.0,43682.0,54020.0,60337.0,90211.0,94749.0,72545.0,39982.0,40555.0,57081.0,42896.0,49441.0,49168.0,49913.0,49131.0,49706.0,50548.0,49902,171.0,6.0,,,,,,,,,,37483,687649,346323,424170,668960,221300,8
