,상권코드,분기당매출건수,주중매출건수,주말매출건수,월요일매출건수,화요일매출건수,수요일매출건수,목요일매출건수,금요일매출건수,토요일매출건수,일요일매출건수,시간대00~06매출건수,시간대06~11매출건수,시간대11~14매출건수,시간대14~17매출건수,시간대17~21매출건수,시간대21~24매출건수,남성매출건수,여성매출건수,연령대10매출건수,연령대20매출건수,연령대30매출건수,연령대40매출건수,연령대50매출건수,연령대60이상매출건수,분기당매출금액,주중매출금액,주말매출금액,월요일매출금액,화요일매출금액,수요일매출금액,목요일매출금액,금요일매출금액,토요일매출금액,일요일매출금액,시간대00~06매출금액,시간대06~11매출금액,시간대11~14매출금액,시간대14~17매출금액,시간대17~21매출금액,시간대21~24매출금액,남성매출금액,여성매출금액,연령대10매출금액,연령대20매출금액,연령대30매출금액,연령대40매출금액,연령대50매출금액,연령대60이상매출금액,점포수,총생활인구수,남성생활인구수,여성생활인구수,연령대10생활인구수,연령대20생활인구수,연령대30생활인구수,연령대40생활인구수,연령대50생활인구수,연령대60이상생활인구수,시간대1생활인구수,시간대2생활인구수,시간대3생활인구수,시간대4생활인구수,시간대5생활인구수,시간대6생활인구수,월요일생활인구수,화요일생활인구수,수요일생활인구수,목요일생활인구수,금요일생활인구수,토요일생활인구수,일요일생활인구수,총직장인구수,집객시설수,관공서수,은행수,대학교수,백화점수,슈퍼마켓수,의료시설수,교육시설수,여가시설수,교통시설수,00시~06시유동인구,06시~11시유동인구,11시~14시유동인구,14시~17시유동인구,17시~21시유동인구,21시~24시유동인구,cluster
0,1001496,423492,307440,116052,50799,57194,65016,67170,67261,60773,55279,0.0,73792,154338,113359,77682,4321.0,138359,242795,3929.0,97090.0,140711.0,77022.0,46626,15775.0,3429657035,2518852649,910804386,411172680,460173144,544721819,563192485,539592521,492231134,418573252,0.0,468492769,1288714384,975505702,658235230,38708950.0,1109060261,1740541284,25223149.0,703122985.0,1053542609.0,589677826.0,343676524,134358453.0,51.0,106859,53586,53273,7510,22268.0,29894.0,23907.0,13306.0,9974,6498.0,20657,25172,25635,22596,6302.0,15012.0,16326.0,16915.0,17593.0,17247.0,12963,10805,15904.0,34.0,1.0,8.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,99764,1876381,954887,1156623,1913184,554530,3
1,1001495,844485,537975,306510,102796,104928,103728,105853,120670,160423,146087,7237.0,121488,219829,223461,210437,62033.0,349060,465811,9824.0,255587.0,258640.0,132924.0,101100,56792.0,8832909921,5388532067,3444377854,1004716633,1033087548,1053561705,1064789838,1232376343,1819768501,1624609353,74354298.0,989003105,2445903207,2406560230,2229493937,687595144.0,3426576968,4981169450,79890543.0,2536868604.0,2634548263.0,1411985840.0,1080566386,663886783.0,96.0,3561819,1712126,1849694,387394,790978.0,848876.0,584508.0,440663.0,509399,595362.0,654385,544682,575567,779833,411990.0,493641.0,502218.0,505695.0,505711.0,525509.0,538563,490482,24375.0,149.0,3.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16503,249902,130116,152988,236040,88208,13
2,1001494,930606,728152,202454,136619,150988,142866,141594,156085,124943,77511,254.0,189993,333543,207814,164748,34254.0,410074,462085,4664.0,260511.0,261940.0,158267.0,121175,65602.0,7125743370,5399613696,1726129674,954672733,1118663203,1073898022,1063483009,1188896729,1056549203,669580471,35156077.0,811662508,2703833147,1631347999,1537377743,406365896.0,2856503485,3323662187,30543468.0,1749094939.0,1840097161.0,1159190472.0,848189041,553050597.0,152.0,4041501,2175790,1865710,144719,694844.0,752217.0,747809.0,739083.0,962830,461846.0,796050,830509,832729,788949,331417.0,612470.0,647447.0,635503.0,634828.0,649044.0,491187,371020,32935.0,243.0,5.0,18.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,198112,4643181,3891391,4189672,5590180,1620131,13
3,1001493,350638,274925,75713,54294,59869,57365,55592,47805,37731,37982,24215.0,55378,82988,65803,80742,41512.0,143664,195842,3235.0,97136.0,118376.0,67919.0,37137,15700.0,2184122886,1637171771,546951115,315289189,338969071,341275620,335398087,306239804,284892120,262058995,135386335.0,264134510,546701233,481721534,533644890,222534384.0,834990698,1185028941,20967460.0,597532628.0,670213861.0,390164283.0,233322697,107818703.0,93.0,3242889,1525455,1717434,162824,557728.0,783657.0,665252.0,505098.0,568330,708734.0,660722,488636,463436,521016,400344.0,505390.0,523329.0,517519.0,516023.0,487773.0,346944,345911,6054.0,149.0,3.0,12.0,0.0,0.0,3.0,17.0,0.0,0.0,0.0,350233,3072614,2197061,2420575,3131632,1194588,10
4,1001492,3037462,2616426,421036,500420,553356,513706,510595,538349,270686,150350,905.0,876894,1226772,580153,306255,46483.0,1360878,1422793,13699.0,617253.0,945384.0,665858.0,378816,162667.0,23605383817,19735181886,3870201931,3644903164,4087288740,3895943245,3928316364,4178730373,2451441701,1418760230,13998044.0,4190239742,10554290059,5004020049,3125578190,717257733.0,9111682271,10537413592,99326022.0,4183392534.0,6491835762.0,4695739446.0,2777405198,1401396895.0,366.0,4382710,2227935,2154774,168316,787473.0,1109970.0,980707.0,689754.0,646489,283650.0,954286,1062169,1036994,809109,236500.0,679265.0,736783.0,709949.0,714472.0,725461.0,457803,358978,104830.0,426.0,14.0,57.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,264411,6440641,3046134,3555301,6652916,1819438,2
5,1001491,530369,330874,199495,61458,63599,63701,65684,76432,111214,88281,1072.0,52930,143571,171046,143374,18376.0,207789,295984,5064.0,188965.0,161879.0,64768.0,56647,26442.0,6517725599,3894198302,2623527297,682814421,750486001,750396610,794023337,916477933,1456668851,1166858446,23984469.0,431962452,1757544545,2054701808,1907517574,342014751.0,2248018229,3545851509,52193097.0,2236414512.0,1858462585.0,703454160.0,653709781,289635615.0,96.0,2163881,1069449,1094432,134612,604883.0,528835.0,334062.0,243355.0,318133,455932.0,357174,275101,302222,456672,316779.0,272212.0,268884.0,280624.0,285787.0,319558.0,392204,344611,5839.0,63.0,5.0,6.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,114682,744240,490246,637296,1059433,507865,3
6,2130324,12378,8040,4338,1545,1544,1683,1503,1765,2393,1945,0.0,2206,4140,3361,2468,203.0,5044,7067,110.0,2488.0,3259.0,3282.0,2409,563.0,50180592,31898745,18281847,6112914,5974157,6927468,5849912,7034294,10127617,8154230,0.0,7013393,17424333,14143481,10503833,1095552.0,20752959,28541669,529957.0,9379593.0,13901613.0,13865719.0,9327769,2289978.0,3.0,482114,219228,262886,78473,55491.0,67182.0,72947.0,75406.0,132617,140113.0,96895,53230,52866,76832,62178.0,68621.0,68313.0,67785.0,67607.0,67651.0,70497,71640,154.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52638,658719,347031,403754,604119,217740,7
7,2130323,876,511,365,49,90,170,105,97,191,174,8.0,8,279,289,250,42.0,375,478,4.0,114.0,166.0,198.0,269,104.0,17255651,3823000,13432651,402958,710143,1271482,821034,617383,1484367,11948284,82127.0,78216,1829249,2130428,12577188,558443.0,13481449,3524180,17599.0,693369.0,11827370.0,1444739.0,2048211,974340.0,4.0,330904,158816,172088,47156,44216.0,42378.0,51672.0,56045.0,89437,93053.0,65867,35490,37164,56149,43181.0,47203.0,46150.0,46575.0,46874.0,46911.0,48424,48766,171.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42834,737815,353955,442203,687866,233990,7
8,2130322,1782,1482,300,322,238,341,341,240,293,7,0.0,225,614,437,506,0.0,534,1119,0.0,300.0,377.0,416.0,368,191.0,10337583,8557290,1780293,1866338,1180033,2036377,2181149,1293393,1761172,19121,0.0,1112427,3861740,2564934,2798482,0.0,3447910,6141226,0.0,1635521.0,1980380.0,2633906.0,2007695,1331634.0,3.0,261344,126224,135119,32274,32818.0,39856.0,36268.0,45651.0,74476,75660.0,53540,28716,28692,41828,32908.0,36806.0,36060.0,36247.0,36036.0,36170.0,38725,41300,8.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7767,126175,61748,71637,108464,47619,7
9,2130321,5023,2909,2114,260,594,434,752,869,869,1245,0.0,14,1810,2201,984,14.0,1287,3664,0.0,1795.0,1725.0,439.0,889,102.0,86774919,49379862,37395057,4595677,9367944,10110489,11741774,13563978,18209011,19186046,0.0,243173,28543857,40842901,16722330,422658.0,18019221,57414871,0.0,25650251.0,25797761.0,4655677.0,18155795,1174608.0,7.0,178185,81729,96456,37259,21538.0,25365.0,30563.0,26483.0,36976,34144.0,38161,27787,26825,32158,19111.0,26054.0,26055.0,25971.0,26260.0,26016.0,23665,24166,433.0,7.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10787,183707,80034,93785,159604,62354,7
