,상권코드,분기당매출건수,주중매출건수,주말매출건수,월요일매출건수,화요일매출건수,수요일매출건수,목요일매출건수,금요일매출건수,토요일매출건수,일요일매출건수,시간대00~06매출건수,시간대06~11매출건수,시간대11~14매출건수,시간대14~17매출건수,시간대17~21매출건수,시간대21~24매출건수,남성매출건수,여성매출건수,연령대10매출건수,연령대20매출건수,연령대30매출건수,연령대40매출건수,연령대50매출건수,연령대60이상매출건수,분기당매출금액,주중매출금액,주말매출금액,월요일매출금액,화요일매출금액,수요일매출금액,목요일매출금액,금요일매출금액,토요일매출금액,일요일매출금액,시간대00~06매출금액,시간대06~11매출금액,시간대11~14매출금액,시간대14~17매출금액,시간대17~21매출금액,시간대21~24매출금액,남성매출금액,여성매출금액,연령대10매출금액,연령대20매출금액,연령대30매출금액,연령대40매출금액,연령대50매출금액,연령대60이상매출금액,점포수,총생활인구수,남성생활인구수,여성생활인구수,연령대10생활인구수,연령대20생활인구수,연령대30생활인구수,연령대40생활인구수,연령대50생활인구수,연령대60이상생활인구수,시간대1생활인구수,시간대2생활인구수,시간대3생활인구수,시간대4생활인구수,시간대5생활인구수,시간대6생활인구수,월요일생활인구수,화요일생활인구수,수요일생활인구수,목요일생활인구수,금요일생활인구수,토요일생활인구수,일요일생활인구수,총직장인구수,집객시설수,관공서수,은행수,대학교수,백화점수,슈퍼마켓수,의료시설수,교육시설수,여가시설수,교통시설수,00시~06시유동인구,06시~11시유동인구,11시~14시유동인구,14시~17시유동인구,17시~21시유동인구,21시~24시유동인구,cluster
0,1001495,17615,11279,6336,2057,2165,2079,2200,2778,3475,2861,3481.0,17.0,181.0,776,5922,7238,10307,6144,211.0,5260.0,4498.0,2958.0,2510.0,1015.0,759757195,486467223,273289972,86039016,92614803,92679954,93512031,121621419,163174028,110115944,175212392.0,1790941.0,4278200.0,28292404,218227419,331955839,443108308,239370026,7985386.0,214663246.0,191869194.0,128816208.0,100154342.0,38989958.0,14.0,3632727,1757144,1875581.0,420460.0,782581.0,868287.0,604063.0,446690.0,510646.0,609917.0,661280,560811,591956,790967.0,417796.0,498146.0,511833.0,518698.0,520540.0,535444.0,549320.0,498745.0,24375.0,149.0,3.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14849,231566,119472,146958,226226,79155,5
1,1001494,61318,43096,18222,7062,8527,8366,8861,10280,10712,7510,5929.0,1741.0,5192.0,4655,22790,21011,34779,19816,506.0,14698.0,15230.0,10646.0,8196.0,5317.0,2634973101,1938174311,696798790,290027937,364637620,373930335,432981150,476597269,428109451,268689339,235551091.0,75914552.0,167966071.0,181301685,952222596,1022017106,1410079389,748852477,15968309.0,599335905.0,646076203.0,443736488.0,295165443.0,158649518.0,29.0,3957665,2127522,1830142.0,153739.0,683891.0,754661.0,740487.0,714745.0,910141.0,454100.0,764869,816677,826502,772949.0,322568.0,584215.0,632025.0,633852.0,637559.0,635029.0,473775.0,361210.0,32935.0,243.0,5.0,18.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,188742,4473529,3784701,4247394,5453726,1487090,3
2,1001493,4034,2954,1080,476,604,561,628,685,616,464,296.0,8.0,185.0,203,1429,1913,2335,1366,63.0,1071.0,994.0,594.0,607.0,370.0,164441607,122503075,41938532,18798389,23605044,22691257,25755479,31652906,27446070,14492462,13746217.0,206529.0,3344512.0,8168448,53648749,85327152,97671078,48576133,2208179.0,37725754.0,39295757.0,25832611.0,26458522.0,14726389.0,12.0,3249964,1534697,1715268.0,159801.0,553169.0,792382.0,652721.0,508656.0,583237.0,713818.0,656245,486928,464319,527135.0,401520.0,503703.0,522616.0,525575.0,525777.0,483198.0,339784.0,349309.0,6054.0,149.0,3.0,12.0,0.0,0.0,3.0,17.0,0.0,0.0,0.0,312860,2956891,2130916,2384259,3010817,1066861,8
3,1001492,32513,25675,6838,3849,4989,5410,5561,5866,4422,2416,1855.0,6.0,1219.0,1224,12513,15696,15974,10641,286.0,6638.0,7414.0,6273.0,4250.0,1753.0,1724826963,1412725861,312101102,204602136,272514064,312851854,303840978,318916829,201471982,110629120,112352197.0,350841.0,42748395.0,85385597,619838543,864151390,773691165,485016952,9768814.0,297852023.0,367063768.0,309041973.0,199233020.0,75748517.0,21.0,4667755,2345370,2322385.0,228777.0,839000.0,1165914.0,1041428.0,724056.0,668582.0,282967.0,971749,1115202,1119293,925074.0,253470.0,679317.0,768449.0,774811.0,784367.0,764916.0,503227.0,392668.0,104830.0,426.0,14.0,57.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,259838,6251116,3028660,3707418,6838800,1808023,4
4,1001491,5801,2480,3321,560,258,374,607,681,1844,1477,1699.0,0.0,30.0,134,1735,2203,3746,1971,152.0,2223.0,1874.0,619.0,674.0,172.0,254544366,110848470,143695896,26102788,8167451,15008886,27994252,33575093,85291509,58404387,84015240.0,0.0,427298.0,2560790,63206720,104334318,178650655,73313429,7917732.0,89834255.0,89634797.0,31181751.0,27125491.0,6270057.0,4.0,1932414,970165,962249.0,125978.0,477674.0,475694.0,322464.0,237115.0,293490.0,386686.0,344206,267076,289866,391413.0,253167.0,254239.0,250796.0,255809.0,261940.0,286186.0,333111.0,290333.0,5839.0,63.0,5.0,6.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,97967,696565,473446,637331,1077806,498871,9
5,2130326,3051,1785,1266,148,353,270,509,505,650,616,25.0,0.0,0.0,259,2002,765,1916,1118,42.0,172.0,474.0,1111.0,712.0,523.0,78000000,46143542,31856458,3126900,8859583,7256204,11835659,15065196,14563922,17292536,1234497.0,0.0,0.0,5483950,50537786,20743767,47107962,27024423,589671.0,4493890.0,11745738.0,28331542.0,17054779.0,11916766.0,2.0,147720,68341,79379.0,29412.0,13392.0,23412.0,27522.0,20231.0,33750.0,36781.0,32895,17637,17495,24680.0,18232.0,21216.0,21130.0,21065.0,21411.0,21288.0,20901.0,20709.0,935.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,93697,1199645,451428,532729,958578,328561,1
6,2130324,10739,6469,4270,1373,1194,663,1166,2073,2574,1696,564.0,0.0,279.0,1373,6585,1938,6234,4505,92.0,1210.0,2004.0,2759.0,2808.0,1866.0,151305103,91453444,59851659,20390476,17420772,9758754,15633566,28249876,36677198,23174461,9314645.0,0.0,5480945.0,19846777,90034086,26628650,87912417,63392686,1106465.0,16926590.0,24837254.0,40481505.0,42220783.0,25732506.0,3.0,459772,208444,251329.0,72778.0,50427.0,65855.0,71189.0,70730.0,128794.0,131738.0,90775,51528,51448,73557.0,60725.0,66246.0,65632.0,64805.0,64810.0,64266.0,66298.0,67717.0,154.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45326,599357,325013,383230,559853,192553,2
7,2130322,2097,1434,663,276,274,237,296,351,389,274,35.0,40.0,163.0,301,1053,505,1337,720,6.0,227.0,415.0,273.0,677.0,461.0,37713244,28285139,9428105,4137772,4138933,3258021,4111613,12638800,5907232,3520873,507030.0,5842104.0,5044941.0,4178121,14759550,7381498,18249265,10844483,73238.0,2745032.0,5762907.0,4424984.0,9879729.0,6207858.0,6.0,212109,103050,109061.0,26827.0,25428.0,32328.0,29958.0,37399.0,60168.0,58376.0,42621,23815,23903,35526.0,27870.0,30134.0,29403.0,29259.0,29066.0,29318.0,31580.0,33349.0,8.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7853,123930,59641,70452,107590,46202,1
8,2130320,3573,2399,1174,437,380,344,648,590,551,623,207.0,0.0,113.0,505,1831,917,2276,1283,100.0,457.0,830.0,756.0,786.0,632.0,50698706,34053198,16645508,5886425,5399722,4981713,8995501,8789837,8106667,8538841,3526389.0,0.0,1264581.0,6450811,25649230,13807695,33448224,16986822,1148836.0,5960639.0,10569807.0,11115108.0,12076616.0,9564039.0,5.0,124840,60987,63853.0,12910.0,14991.0,20158.0,22122.0,22654.0,32003.0,25324.0,22973,16461,18440,26077.0,15566.0,17575.0,17544.0,17461.0,17517.0,17723.0,18838.0,18183.0,173.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90578,1431178,528884,622547,1116381,379091,1
9,2130319,5584,3744,1840,796,822,639,645,842,1208,632,0.0,269.0,854.0,1369,2732,360,2660,2924,55.0,375.0,856.0,856.0,1345.0,2097.0,94300413,62710657,31589756,13841837,13628074,10488998,11285175,13466573,20321508,11268248,0.0,6090044.0,15457213.0,23472583,43408596,5871977,42900462,51399951,822201.0,5500681.0,13686099.0,12881491.0,23688187.0,37721754.0,5.0,731436,353713,377723.0,120134.0,80130.0,115257.0,114166.0,114227.0,187521.0,198720.0,143026,78399,85147,129722.0,96425.0,102902.0,98342.0,99387.0,98667.0,99520.0,113627.0,118992.0,34.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,104006,1357947,622524,733475,1234352,437056,1
