,Unnamed: 0,상권코드,분기당매출건수,주중매출건수,주말매출건수,월요일매출건수,화요일매출건수,수요일매출건수,목요일매출건수,금요일매출건수,토요일매출건수,일요일매출건수,시간대00~06매출건수,시간대06~11매출건수,시간대11~14매출건수,시간대14~17매출건수,시간대17~21매출건수,시간대21~24매출건수,남성매출건수,여성매출건수,연령대10매출건수,연령대20매출건수,연령대30매출건수,연령대40매출건수,연령대50매출건수,연령대60이상매출건수,분기당매출금액,주중매출금액,주말매출금액,월요일매출금액,화요일매출금액,수요일매출금액,목요일매출금액,금요일매출금액,토요일매출금액,일요일매출금액,시간대00~06매출금액,시간대06~11매출금액,시간대11~14매출금액,시간대14~17매출금액,시간대17~21매출금액,시간대21~24매출금액,남성매출금액,여성매출금액,연령대10매출금액,연령대20매출금액,연령대30매출금액,연령대40매출금액,연령대50매출금액,연령대60이상매출금액,점포수,총생활인구수,남성생활인구수,여성생활인구수,연령대10생활인구수,연령대20생활인구수,연령대30생활인구수,연령대40생활인구수,연령대50생활인구수,연령대60이상생활인구수,시간대1생활인구수,시간대2생활인구수,시간대3생활인구수,시간대4생활인구수,시간대5생활인구수,시간대6생활인구수,월요일생활인구수,화요일생활인구수,수요일생활인구수,목요일생활인구수,금요일생활인구수,토요일생활인구수,일요일생활인구수,총직장인구수,집객시설수,관공서수,은행수,대학교수,백화점수,슈퍼마켓수,의료시설수,교육시설수,여가시설수,교통시설수,00시~06시유동인구,06시~11시유동인구,11시~14시유동인구,14시~17시유동인구,17시~21시유동인구,21시~24시유동인구,cluster
0,0,1001495,118198,73886,44312,13114,13457,14313,14349,18653,25400,18912,32995.0,1413.0,724.0,900.0,23036,59130,65940,48833,2097.0,54064.0,33513.0,12785.0,9322.0,2989.0,6051048931,3774199556,2276849375,644313068,700805049,729795300,752820167,946465972,1331947417,944901958,1706914132.0,70260689.0,19506860.0,34082815.0,1074389613,3145894822,3469113243,2306807149,101312590.0,2615876256.0,1729450542.0,689692774.0,466682770.0,172905457.0,51.0,3561819,1712126,1849694,387394,790978,848876,584508,440663,509399,595362,654385,544682,575567,779833,411990,493641,502218,505695,505711,525509,538563,490482,24375.0,149.0,3.0,13.0,,,,,,,,16503,249902,130116,152988,236040,88208,3
1,1,1001494,145839,106414,39425,16195,20100,21362,20804,27953,26980,12445,15777.0,1160.0,3458.0,3566.0,41272,80606,84615,47712,497.0,41231.0,42712.0,21945.0,16582.0,9356.0,7681425785,5648940152,2032485633,842340240,1072882495,1118236901,1113893080,1501587436,1404969313,627516320,855212937.0,20929219.0,52967100.0,115193451.0,2120737443,4516385635,4339037355,2237598425,31410753.0,2072747278.0,2194411363.0,1086437812.0,785382744.0,406245825.0,83.0,4041501,2175790,1865710,144719,694844,752217,747809,739083,962830,461846,796050,830509,832729,788949,331417,612470,647447,635503,634828,649044,491187,371020,32935.0,243.0,5.0,18.0,,,6.0,,,,,198112,4643181,3891391,4189672,5590180,1620131,2
2,2,1001493,45081,36855,8226,6326,7869,7528,7291,7841,4927,3299,4492.0,1496.0,15426.0,3574.0,9054,11039,24628,16606,259.0,10915.0,12191.0,10182.0,4983.0,2699.0,1292056819,1038038374,254018445,165073574,218310323,210250550,217190616,227213311,152130578,101887867,176635560.0,34195235.0,298073388.0,59811141.0,257983725,465357770,730573576,412930604,5397012.0,283015454.0,347911508.0,297329821.0,136137274.0,73713108.0,22.0,3242889,1525455,1717434,162824,557728,783657,665252,505098,568330,708734,660722,488636,463436,521016,400344,505390,523329,517519,516023,487773,346944,345911,6054.0,149.0,3.0,12.0,,,3.0,17.0,,,,350233,3072614,2197061,2420575,3131632,1194588,3
3,3,1001492,134547,118086,16461,21367,24818,23446,25119,23336,10937,5524,5530.0,183.0,36752.0,4535.0,28802,58745,73755,36052,347.0,20404.0,33629.0,25985.0,20141.0,9297.0,6773702610,5904139445,869563165,1044452386,1225314169,1166856668,1323479417,1144036805,595104564,274458601,381777766.0,4279303.0,725291730.0,172962388.0,1705512131,3783879292,3247737180,1503195793,15716471.0,775856061.0,1344185972.0,1223094100.0,979662505.0,412417853.0,62.0,4382710,2227935,2154774,168316,787473,1109970,980707,689754,646489,283650,954286,1062169,1036994,809109,236500,679265,736783,709949,714472,725461,457803,358978,104830.0,426.0,14.0,57.0,1.0,1.0,2.0,,,,,264411,6440641,3046134,3555301,6652916,1819438,0
4,4,1001491,218581,72945,145636,10838,8061,13317,12948,27781,78967,66669,104207.0,1784.0,2228.0,3874.0,29141,77347,158955,58055,1327.0,94006.0,95002.0,15616.0,7919.0,3139.0,7577418680,2663363097,4914055583,385087625,323644342,456689971,515579963,982361196,2598133582,2315922001,3563134562.0,79348842.0,33449859.0,76460147.0,975518048,2849507222,5361920917,2040100795,40288389.0,3080515414.0,3283901322.0,548150689.0,293264336.0,155901561.0,71.0,2163881,1069449,1094432,134612,604883,528835,334062,243355,318133,455932,357174,275101,302222,456672,316779,272212,268884,280624,285787,319558,392204,344611,5839.0,63.0,5.0,6.0,,,3.0,,,,,114682,744240,490246,637296,1059433,507865,2
5,5,2130326,1190,857,333,125,169,180,192,191,196,137,278.0,,,16.0,246,650,776,414,,350.0,230.0,277.0,184.0,149.0,60349092,41714199,18634893,6066032,8468420,9287410,9189138,8703199,11067369,7567524,17510138.0,,,387658.0,9369316,33081980,35942584,24406508,,19304488.0,11613180.0,14037694.0,8483555.0,6910175.0,2.0,138559,63251,75308,24916,12761,23376,25405,19944,32157,32578,30507,16780,16774,24306,17615,20047,20069,19891,19574,19793,19635,19552,935.0,11.0,,,,,,,,,,100034,1195894,439262,520737,951773,332784,4
6,6,2130323,1134,799,335,156,145,58,131,309,294,41,86.0,,44.0,51.0,272,681,1036,72,,11.0,12.0,190.0,378.0,518.0,55205248,37047392,18157856,7226433,7821833,2206879,7201393,12590854,16752238,1405618,5719238.0,,1335337.0,1827303.0,13984788,32338582,49894907,3590309,,466073.0,780488.0,9871657.0,17599447.0,24767550.0,4.0,330904,158816,172088,47156,44216,42378,51672,56045,89437,93053,65867,35490,37164,56149,43181,47203,46150,46575,46874,46911,48424,48766,171.0,6.0,,,,,,,,,,42834,737815,353955,442203,687866,233990,4
7,7,2130322,2790,1902,888,376,425,455,312,334,434,454,536.0,,6.0,120.0,878,1250,1922,868,10.0,382.0,518.0,522.0,782.0,576.0,103808718,69863099,33945619,13616256,14080772,16541459,14825234,10799378,17347766,16597853,21911349.0,,64899.0,4506301.0,33248389,44077780,71593960,32214758,475718.0,14602639.0,20882969.0,23236305.0,25200909.0,19410178.0,6.0,261344,126224,135119,32274,32818,39856,36268,45651,74476,75660,53540,28716,28692,41828,32908,36806,36060,36247,36036,36170,38725,41300,8.0,9.0,,,,,,,,,,7767,126175,61748,71637,108464,47619,4
8,8,2130320,1610,1056,554,144,241,253,181,237,334,220,64.0,81.0,288.0,301.0,514,362,896,701,15.0,246.0,320.0,356.0,366.0,298.0,28900947,20979363,7921584,2447299,5315742,4485120,4791719,3939483,4935692,2985892,2469301.0,2514016.0,2825858.0,2550807.0,6098511,12442454,15442877,11734175,99860.0,4584419.0,7519757.0,6238347.0,5468987.0,3265681.0,2.0,129472,61429,68043,13759,15597,22316,21473,22103,34224,26433,23899,17112,18865,26964,16198,18388,18159,18223,18159,18343,19391,18807,173.0,12.0,,,,,,,,,,95685,1430904,524991,599501,1092921,379477,4
9,9,2130319,571,473,98,42,69,98,125,139,14,84,,,14.0,28.0,237,292,529,28,,,28.0,125.0,222.0,182.0,27633451,21506582,6126869,533032,4023560,2866672,5554536,8528782,1402715,4724154,,,589140.0,701358.0,15735466,10607487,25809921,280543,,,659276.0,5414755.0,10893653.0,9122780.0,2.0,747675,360565,387108,122276,80782,114975,116679,118121,194843,205778,145890,79698,85787,131738,98783,104622,101937,103491,101380,101867,114647,119730,34.0,5.0,,,,,,,,,,108564,1345273,593877,703048,1215732,442565,4
