,상권코드,분기당매출건수,주중매출건수,주말매출건수,월요일매출건수,화요일매출건수,수요일매출건수,목요일매출건수,금요일매출건수,토요일매출건수,일요일매출건수,시간대00~06매출건수,시간대06~11매출건수,시간대11~14매출건수,시간대14~17매출건수,시간대17~21매출건수,시간대21~24매출건수,남성매출건수,여성매출건수,연령대10매출건수,연령대20매출건수,연령대30매출건수,연령대40매출건수,연령대50매출건수,연령대60이상매출건수,분기당매출금액,주중매출금액,주말매출금액,월요일매출금액,화요일매출금액,수요일매출금액,목요일매출금액,금요일매출금액,토요일매출금액,일요일매출금액,시간대00~06매출금액,시간대06~11매출금액,시간대11~14매출금액,시간대14~17매출금액,시간대17~21매출금액,시간대21~24매출금액,남성매출금액,여성매출금액,연령대10매출금액,연령대20매출금액,연령대30매출금액,연령대40매출금액,연령대50매출금액,연령대60이상매출금액,점포수,총생활인구수,남성생활인구수,여성생활인구수,연령대10생활인구수,연령대20생활인구수,연령대30생활인구수,연령대40생활인구수,연령대50생활인구수,연령대60이상생활인구수,시간대1생활인구수,시간대2생활인구수,시간대3생활인구수,시간대4생활인구수,시간대5생활인구수,시간대6생활인구수,월요일생활인구수,화요일생활인구수,수요일생활인구수,목요일생활인구수,금요일생활인구수,토요일생활인구수,일요일생활인구수,총직장인구수,집객시설수,관공서수,은행수,대학교수,백화점수,슈퍼마켓수,의료시설수,교육시설수,여가시설수,교통시설수,00시~06시유동인구,06시~11시유동인구,11시~14시유동인구,14시~17시유동인구,17시~21시유동인구,21시~24시유동인구,cluster
0,1001496,120612,88927,31685,15264,16355,19274,18553,19481,17319,14366,4.0,137.0,53818.0,21477.0,43399.0,1777.0,40635,56950,1215.0,28374.0,33500.0,17799.0,10310.0,6386.0,4469930913,3203578255.0,1266352658.0,553161210.0,576466944.0,695652075.0,673805375.0,704492651.0,690021443.0,576331215.0,1681803.0,4099699.0,1893332854.0,775143111.0,1650552816.0,145120630.0,1495077311.0,1731208005.0,28870961.0,860729309.0,1072068100.0,644467100.0,375525491.0,244624356.0,20.0,106859,53586,53273,7510,22268,29894,23907,13306,9974,6498,20657,25172,25635,22596,6302,15012,16326,16915,17593,17247,12963,10805,15904,34.0,1.0,8.0,,1.0,,,,,,99764,1876381,954887,1156623,1913184,554530,2
1,1001495,22946,15475,7471,3022,2565,3146,2959,3783,4054,3417,235.0,23.0,6340.0,2722.0,9479.0,4147.0,10895,9892,125.0,7769.0,6400.0,2504.0,2876.0,1116.0,1405386041,967301873.0,438084168.0,175968577.0,170611986.0,202870276.0,171007677.0,246843357.0,256351547.0,181732621.0,16439358.0,188661.0,252871115.0,113740149.0,635777910.0,386368848.0,665009171.0,477226419.0,4898441.0,349435581.0,365226571.0,164757584.0,178173684.0,79743728.0,44.0,3561819,1712126,1849694,387394,790978,848876,584508,440663,509399,595362,654385,544682,575567,779833,411990,493641,502218,505695,505711,525509,538563,490482,24375,149.0,3.0,13.0,,,,,,,,16503,249902,130116,152988,236040,88208,9
2,1001494,59078,52393,6685,9182,11106,9978,10667,11460,4807,1878,1970.0,70.0,29619.0,3263.0,15294.0,8862.0,26911,20810,173.0,11512.0,16417.0,10375.0,6028.0,3214.0,3050618877,2647802918.0,402815959.0,429235918.0,543328727.0,543041199.0,560381617.0,571815457.0,302139149.0,100676810.0,126352498.0,1248697.0,801546069.0,99942021.0,1135572020.0,885957572.0,1378790215.0,622526234.0,2653963.0,379750184.0,670940830.0,461652379.0,290492876.0,195826215.0,38.0,4041501,2175790,1865710,144719,694844,752217,747809,739083,962830,461846,796050,830509,832729,788949,331417,612470,647447,635503,634828,649044,491187,371020,32935,243.0,5.0,18.0,,,6.0,,,,,198112,4643181,3891391,4189672,5590180,1620131,11
3,1001493,49820,37706,12114,7321,7402,8097,7346,7540,8487,3627,,132.0,22185.0,12729.0,14522.0,252.0,20534,27607,681.0,15249.0,15245.0,9274.0,5488.0,2206.0,982863009,737606289.0,245256720.0,142758818.0,138014254.0,156278608.0,150101293.0,150453316.0,189277023.0,55979697.0,,1849463.0,385566856.0,225175654.0,348167360.0,22103676.0,432250361.0,486838597.0,12218059.0,276725526.0,269958401.0,185212560.0,120668386.0,54306026.0,11.0,3242889,1525455,1717434,162824,557728,783657,665252,505098,568330,708734,660722,488636,463436,521016,400344,505390,523329,517519,516023,487773,346944,345911,6054,149.0,3.0,12.0,,,3.0,17.0,,,,350233,3072614,2197061,2420575,3131632,1194588,9
4,1001492,143766,130996,12770,24755,27192,26212,25983,26854,7266,5504,53.0,793.0,92032.0,11335.0,29811.0,9742.0,56359,57922,922.0,29019.0,40462.0,24828.0,13469.0,5578.0,6135590782,5562743755.0,572847027.0,980982334.0,1151958542.0,1142053439.0,1206036437.0,1081713003.0,349550982.0,223296045.0,3453997.0,12103440.0,2738055486.0,373212979.0,1714184418.0,1294580462.0,2154824529.0,1562728226.0,23315467.0,719269992.0,1193047974.0,850879444.0,596441370.0,334598509.0,78.0,4382710,2227935,2154774,168316,787473,1109970,980707,689754,646489,283650,954286,1062169,1036994,809109,236500,679265,736783,709949,714472,725461,457803,358978,104830,426.0,14.0,57.0,1.0,1.0,2.0,,,,,264411,6440641,3046134,3555301,6652916,1819438,4
5,1001491,16296,10116,6180,1642,1682,2142,1920,2730,3897,2283,1445.0,5.0,3489.0,1237.0,5998.0,4122.0,6883,7621,151.0,5503.0,5009.0,2084.0,1175.0,584.0,1019588116,658424148.0,361163968.0,110285618.0,112005951.0,131768307.0,132362663.0,172001609.0,241116032.0,120047936.0,93709885.0,174201.0,111715428.0,42602906.0,378767089.0,392618607.0,426495597.0,373109014.0,4873079.0,252292874.0,293623652.0,133711601.0,76900440.0,38202967.0,22.0,2163881,1069449,1094432,134612,604883,528835,334062,243355,318133,455932,357174,275101,302222,456672,316779,272212,268884,280624,285787,319558,392204,344611,5839,63.0,5.0,6.0,,,3.0,,,,,114682,744240,490246,637296,1059433,507865,0
6,2130324,1342,830,506,19,296,109,154,252,280,226,6.0,,109.0,78.0,725.0,424.0,726,507,,45.0,199.0,353.0,437.0,199.0,58272013,36450501.0,21615921.0,501127.0,13976947.0,5248921.0,6816611.0,9906895.0,11670477.0,9945444.0,205591.0,,3507889.0,2939302.0,31850414.0,19768817.0,34195494.0,19958283.0,,1850315.0,9386430.0,15400018.0,18448542.0,9068472.0,4.0,482114,219228,262886,78473,55491,67182,72947,75406,132617,140113,96895,53230,52866,76832,62178,68621,68313,67785,67607,67651,70497,71640,154,5.0,,,,,,,,,,52638,658719,347031,403754,604119,217740,3
7,2130318,30569,20221,10348,3496,4320,3477,3954,4974,5501,4847,1181.0,,9814.0,4328.0,10680.0,4566.0,16091,12792,179.0,9885.0,8073.0,4323.0,3974.0,2452.0,1091764920,700685070.0,391079850.0,119938516.0,139151521.0,120341154.0,144033856.0,177220023.0,214409417.0,176670433.0,75629301.0,,215452987.0,105034524.0,404557484.0,291090624.0,617566371.0,409271000.0,4100820.0,357205558.0,327500118.0,157735002.0,111609235.0,68686636.0,9.0,385128,180166,204963,30475,84569,75600,57796,59552,77136,57463,61834,57919,66525,91738,49649,49423,50126,51101,50974,56480,65310,61714,266,37.0,1.0,1.0,,,,,,,,103606,626015,367926,454100,682044,296793,0
8,2130313,3851,3379,472,654,744,630,588,763,448,24,146.0,,1861.0,300.0,1000.0,544.0,1971,1491,25.0,618.0,897.0,784.0,671.0,465.0,135746977,109114166.0,26632811.0,22190997.0,22679048.0,22078082.0,19967055.0,22198984.0,25581644.0,1051167.0,15537608.0,,36170773.0,7024292.0,40818115.0,36196189.0,77530732.0,43079365.0,496162.0,13938139.0,36772919.0,28759856.0,26993017.0,13650004.0,6.0,974321,445112,529209,132640,140225,200135,160923,135946,204451,297352,204454,101998,99219,144568,126729,140413,136985,136864,136650,137407,141156,144848,3469,33.0,,1.0,,,,,,,,44603,586559,308556,342641,609508,250482,3
9,2130310,5312,4136,1171,713,863,751,817,992,828,343,6.0,5.0,2024.0,719.0,1994.0,564.0,2864,1863,191.0,884.0,877.0,913.0,1196.0,666.0,221896816,179086118.0,42749212.0,37263372.0,30601718.0,30555321.0,30162820.0,50502887.0,37274421.0,5474791.0,733558.0,61486.0,45329311.0,18656662.0,97034123.0,60081676.0,128112611.0,48273361.0,2068758.0,27116879.0,43085785.0,34733029.0,43809928.0,25571592.0,4.0,209176,94266,114910,50557,20526,22009,35826,32467,47792,23792,41123,37885,40863,46809,18706,29521,30416,30581,30070,30707,29533,28348,298,30.0,,3.0,,,,,,,,14393,405469,202457,268708,347349,141397,3
10,2130306,3352,3078,274,396,652,655,623,752,214,60,91.0,,788.0,60.0,1044.0,1369.0,1511,936,,555.0,1001.0,503.0,315.0,73.0,347264898,311036988.0,36227910.0,48271587.0,66383661.0,59308449.0,69288959.0,67784332.0,33036465.0,3191445.0,10129632.0,,27607405.0,2654586.0,143427638.0,163445637.0,136103688.0,58253552.0,,33581417.0,76339568.0,53149367.0,24565435.0,6721454.0,13.0,146713,72759,73953,4657,32452,44263,31219,17995,16129,37237,33213,20962,19602,20307,15393,22021,22664,22461,22456,21772,17841,17500,235,4.0,,,,,,,,,,44448,266232,125084,136416,213121,89515,3
11,2130304,103,70,33,23,17,8,7,15,33,33,,4.0,28.0,53.0,18.0,,53,32,4.0,,14.0,,11.0,57.0,5303328,3168475.0,2134853.0,1238214.0,579968.0,220601.0,275752.0,853940.0,2134853.0,2134853.0,,92510.0,1494397.0,2880271.0,836150.0,,2291407.0,1428571.0,181462.0,,384273.0,,441202.0,2713040.0,1.0,16409,7068,9341,4697,1216,1376,2958,2373,3790,6056,3129,1531,1457,1913,2325,2415,2428,2419,2400,2408,2217,2122,138,7.0,,1.0,,,1.0,,,,,27642,251068,138561,170953,228531,85547,3
