,상권코드,분기당매출건수,주중매출건수,주말매출건수,월요일매출건수,화요일매출건수,수요일매출건수,목요일매출건수,금요일매출건수,토요일매출건수,일요일매출건수,시간대00~06매출건수,시간대06~11매출건수,시간대11~14매출건수,시간대14~17매출건수,시간대17~21매출건수,시간대21~24매출건수,남성매출건수,여성매출건수,연령대10매출건수,연령대20매출건수,연령대30매출건수,연령대40매출건수,연령대50매출건수,연령대60이상매출건수,분기당매출금액,주중매출금액,주말매출금액,월요일매출금액,화요일매출금액,수요일매출금액,목요일매출금액,금요일매출금액,토요일매출금액,일요일매출금액,시간대00~06매출금액,시간대06~11매출금액,시간대11~14매출금액,시간대14~17매출금액,시간대17~21매출금액,시간대21~24매출금액,남성매출금액,여성매출금액,연령대10매출금액,연령대20매출금액,연령대30매출금액,연령대40매출금액,연령대50매출금액,연령대60이상매출금액,점포수,총생활인구수,남성생활인구수,여성생활인구수,연령대10생활인구수,연령대20생활인구수,연령대30생활인구수,연령대40생활인구수,연령대50생활인구수,연령대60이상생활인구수,시간대1생활인구수,시간대2생활인구수,시간대3생활인구수,시간대4생활인구수,시간대5생활인구수,시간대6생활인구수,월요일생활인구수,화요일생활인구수,수요일생활인구수,목요일생활인구수,금요일생활인구수,토요일생활인구수,일요일생활인구수,총직장인구수,집객시설수,관공서수,은행수,대학교수,백화점수,슈퍼마켓수,의료시설수,교육시설수,여가시설수,교통시설수,00시~06시유동인구,06시~11시유동인구,11시~14시유동인구,14시~17시유동인구,17시~21시유동인구,21시~24시유동인구,cluster
0,1001496,137720,91492,46228,17798,17558,17916,19054,19166,24372,21856,,338.0,44557,31856,60007,962.0,50439,68572,796.0,31519.0,40232.0,23288.0,15096.0,8080.0,6253433578,4101963401,2151470177,784391908,763799127,803648144,834533675,915590547,1123131780,1028338397,,10211482.0,2107933531,1399911317,2663751881,71625367.0,2307112583,2792949347,25745851.0,1269955198.0,1701160105.0,1017562387.0,714061433.0,371576952.0,13.0,92815,46773,46043,6348,19683,25607,20687,11541,8949,6267,17913,21171,22211,19976,5277,13648,13721,14053,15264,15081,11312,9736,15904.0,34.0,1.0,8.0,,1.0,,,,,,94171,1831723,848659,1026131,1815123,516101,5
1,1001495,30578,20331,10247,3591,4150,4008,4211,4371,5384,4863,43.0,35.0,13406,7234,9263,597.0,16186,12420,431.0,7370.0,8912.0,5951.0,4095.0,1848.0,876480450,552710165,323770285,90803990,107809531,109990765,119838912,124266967,171721845,152048440,597749.0,771254.0,280853420,165871867,394860643,33525517.0,490093204,302861021,6690209.0,196192569.0,272588006.0,175574296.0,98018842.0,43890296.0,23.0,3221641,1567876,1653767,334733,695297,773414,532270,410051,475876,553535,615838,492595,529146,688670,341857,457554,456950,465358,470094,472796,464657,434231,24375.0,149.0,3.0,13.0,,,,,,,,13858,226257,105810,125122,211767,75950,10
2,1001494,92952,77726,15226,15246,15255,15622,16057,15546,9547,5679,6.0,1251.0,48013,14707,25731,3244.0,56915,24704,386.0,12684.0,18853.0,17580.0,15883.0,16231.0,2383723460,1907750680,475972780,344693193,372874282,398742709,403996876,387443620,292315949,183656831,114649.0,12218425.0,770042746,252949689,1077959098,270438853.0,1320481724,567032431,8077843.0,359862300.0,536447438.0,418957642.0,308143329.0,256025611.0,41.0,3610698,1975798,1634900,124229,610832,665426,678449,674334,857429,431190,719724,746217,762450,684376,266740,565375,563063,560047,591669,597400,415375,317768,32935.0,243.0,5.0,18.0,,,6.0,,,,,167720,4334021,3699463,4091380,5320223,1428696,1
3,1001493,34190,27194,6996,5212,5123,5363,5928,5568,4245,2751,2555.0,2195.0,12993,6313,8343,1791.0,16337,15383,321.0,9018.0,9561.0,5621.0,4994.0,2210.0,753004922,595003907,158001015,99430152,119558038,118531873,127876871,129606973,110710083,47290932,54796595.0,105174128.0,246469988,87984858,201094082,57485271.0,371937613,299199520,5028895.0,180867562.0,198727484.0,124155318.0,107336191.0,55021684.0,26.0,2996402,1435641,1560761,121963,542996,751225,617322,456240,506657,677671,606344,435731,420474,480905,375279,452257,460722,461579,475169,478088,355773,312815,6054.0,149.0,3.0,12.0,,,3.0,17.0,,,,302585,2780313,1994525,2254692,2899096,1031914,10
4,1001492,130777,108790,21987,19525,20595,21105,24687,22878,13417,8570,518.0,360.0,77166,17261,32567,2905.0,65137,41653,472.0,21189.0,31221.0,25946.0,17509.0,10448.0,4732820602,3998134811,734685791,711310119,705764495,802987009,919596863,858476325,466261489,268424302,14039323.0,12476868.0,2149385129,499837872,1750257576,306823834.0,1946526700,1110560475,10710031.0,523139785.0,888505002.0,758704347.0,529795917.0,346232084.0,76.0,3657861,1902880,1754981,125101,674875,930254,824291,585227,518110,246718,805661,882042,873024,670237,180178,588660,583394,579257,632942,622246,360143,291217,104830.0,426.0,14.0,57.0,1.0,1.0,2.0,,,,,234578,6157760,2765755,3333748,6395073,1642232,9
5,1001491,24197,16316,7881,1622,1905,4503,3615,4671,4987,2894,,6.0,9398,3308,10670,815.0,9957,12948,60.0,10053.0,7056.0,2772.0,2089.0,876.0,919123467,577101382,342022085,68067808,71015452,156123028,116839262,165055832,217056971,124965114,,48577.0,252350850,116909537,488426392,61388111.0,368548685,481976165,2056914.0,404372283.0,263224544.0,85655018.0,71909932.0,23306166.0,14.0,1829751,903510,926240,120144,437601,428731,298102,232431,312741,334875,334295,255056,283400,402211,219912,249157,249044,253688,256356,268472,288632,264405,5839.0,63.0,5.0,6.0,,,3.0,,,,,73043,633325,427406,562386,921216,385347,2
6,2130321,2089,1458,631,332,319,203,296,308,289,342,,,1166,278,627,18.0,1092,715,,162.0,395.0,713.0,372.0,163.0,38681511,26842007,11839504,6465297,6349223,3261667,5095628,5670192,5084022,6755482,,,21200834,4660353,12443085,377239.0,21096368,11804680,,2344686.0,6500119.0,14770358.0,6738069.0,2547814.0,1.0,163845,75938,87907,30720,20668,25047,28341,24904,34166,30812,34624,25088,25096,30775,17448,23717,23541,23524,23659,23735,22742,22928,433.0,7.0,1.0,,,,,,,,,10614,181552,76808,89080,160681,60317,6
7,2130315,2465,1789,676,303,345,424,368,349,338,338,,,1107,348,672,,1400,541,15.0,223.0,601.0,405.0,430.0,269.0,37771412,24936712,12834700,3956524,4835752,5517909,4977237,5649290,6417350,6417350,,,15012557,6205123,10136382,,20444567,6927706,136431.0,2875175.0,7170252.0,6073744.0,7271313.0,3845358.0,1.0,608991,294570,314419,82675,97895,117969,98827,92223,119402,134413,126075,85791,86224,107233,69254,89427,89230,89990,90938,89987,81086,78332,1372.0,15.0,2.0,,,,,,,,,67349,1625715,473504,591653,1463452,371709,6
8,2130314,963,573,390,95,133,147,7,191,191,199,,,492,199,243,29.0,725,224,,22.0,112.0,410.0,218.0,187.0,13197625,7431708,5765917,764867,1371612,1857008,73545,3364676,3250683,2515234,,,5460706,2073965,4206765,1456189.0,9123251,3684586,,384505.0,1877617.0,4761624.0,2445399.0,3338692.0,4.0,1369696,628715,740982,183970,163121,214587,213415,225355,369249,339455,273036,163512,164548,245303,183842,192609,191762,192755,191058,192650,203886,204978,202.0,21.0,1.0,,,,,,,,,52695,355359,181642,217956,337793,152559,0
9,2130313,8071,6360,1711,1291,1246,1331,1277,1215,1111,600,,51.0,3836,1452,2616,116.0,4494,2306,123.0,1047.0,1415.0,1556.0,1628.0,1033.0,168052529,130712043,37340486,26598437,26708215,26872880,25836453,24696058,27428225,9912261,,6993470.0,63153692,29094260,63522416,5288691.0,82765761,52443930,1252754.0,18216604.0,29714181.0,30604669.0,30489080.0,24932403.0,2.0,927061,427025,500035,127282,135680,190332,150133,129441,194194,272792,193979,100956,98846,140076,120413,131700,129745,131075,130987,131673,134653,137225,3469.0,33.0,,1.0,,,,,,,,41088,565975,297581,336592,610691,244528,0
10,2130312,13974,9173,4801,1804,1154,2059,1974,2182,2483,2318,442.0,1104.0,4961,2359,4638,470.0,7381,3917,37.0,760.0,1817.0,3237.0,3420.0,2028.0,327278806,199871953,127406853,38296895,23196824,44847652,44136584,49393998,65817102,61589751,12649748.0,22778864.0,113526997,50373117,116578056,11372024.0,167936134,92337429,402243.0,16430087.0,38818246.0,74199201.0,82943519.0,47480268.0,3.0,324372,153239,171134,50104,41469,66371,56904,46201,63323,67650,61378,43877,46110,64177,41183,46417,45387,46428,46219,47044,47036,45842,619.0,9.0,,,,,,,,,,78896,959771,472068,564626,911739,334133,6
11,2130311,6281,4259,2022,848,760,816,963,872,1186,836,,34.0,2322,1184,2506,235.0,3809,2001,73.0,786.0,1220.0,1168.0,1517.0,1043.0,152901679,103355667,49546012,19894867,16745789,20849087,24859847,21006077,30068119,19477893,,784761.0,41282355,15284472,79680377,15869714.0,80576851,45929940,707659.0,20226176.0,31509594.0,27896614.0,27910107.0,18256640.0,4.0,834795,404469,430325,150739,119598,139267,148921,115389,160880,191799,158386,104793,114298,163794,101724,117396,117446,118678,119077,120621,124619,116958,377.0,17.0,,2.0,,,,,,,,88372,1397721,789487,936503,1572387,636273,6
