,상권코드,분기당매출건수,주중매출건수,주말매출건수,월요일매출건수,화요일매출건수,수요일매출건수,목요일매출건수,금요일매출건수,토요일매출건수,일요일매출건수,시간대00~06매출건수,시간대06~11매출건수,시간대11~14매출건수,시간대14~17매출건수,시간대17~21매출건수,시간대21~24매출건수,남성매출건수,여성매출건수,연령대10매출건수,연령대20매출건수,연령대30매출건수,연령대40매출건수,연령대50매출건수,연령대60이상매출건수,분기당매출금액,주중매출금액,주말매출금액,월요일매출금액,화요일매출금액,수요일매출금액,목요일매출금액,금요일매출금액,토요일매출금액,일요일매출금액,시간대00~06매출금액,시간대06~11매출금액,시간대11~14매출금액,시간대14~17매출금액,시간대17~21매출금액,시간대21~24매출금액,남성매출금액,여성매출금액,연령대10매출금액,연령대20매출금액,연령대30매출금액,연령대40매출금액,연령대50매출금액,연령대60이상매출금액,점포수,총생활인구수,남성생활인구수,여성생활인구수,연령대10생활인구수,연령대20생활인구수,연령대30생활인구수,연령대40생활인구수,연령대50생활인구수,연령대60이상생활인구수,시간대1생활인구수,시간대2생활인구수,시간대3생활인구수,시간대4생활인구수,시간대5생활인구수,시간대6생활인구수,월요일생활인구수,화요일생활인구수,수요일생활인구수,목요일생활인구수,금요일생활인구수,토요일생활인구수,일요일생활인구수,총직장인구수,집객시설수,관공서수,은행수,대학교수,백화점수,슈퍼마켓수,의료시설수,교육시설수,여가시설수,교통시설수,00시~06시유동인구,06시~11시유동인구,11시~14시유동인구,14시~17시유동인구,17시~21시유동인구,21시~24시유동인구,cluster
0,2130326,54558,38457,16101,7108,7861,8311,7619,7558,8312,7789,0.0,9964,10522,12272,17742,4058.0,19933,34261,874.0,6346.0,14500.0,14381.0,9903.0,8189.0,474287208,322072851,152214357,56612061,66395837,73788335,63315790,61960828,79285392,72928965,0.0,85510030,101619540,98393778,154601332,34162528.0,180384673,284076596,4835986.0,48199358.0,117264188.0,131659705.0,86188359.0,76313672.0,2.0,138559,63251,75308,24916,12761.0,23376.0,25405.0,19944.0,32157,32578.0,30507,16780,16774,24306,17615.0,20047.0,20069.0,19891.0,19574.0,19793.0,19635,19552,935.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100034,1195894,439262,520737,951773,332784,2
1,2130325,3491,2366,1125,571,615,131,366,683,667,458,0.0,288,918,1120,1125,40.0,1375,1717,7.0,104.0,276.0,596.0,1028.0,1081.0,27178417,19191818,7986599,3729612,5388383,996442,2819648,6257733,4413561,3573038,0.0,4064381,8077007,7740274,7167697,129058.0,8121555,11095812,32756.0,459240.0,1403927.0,4665128.0,6425442.0,6230871.0,1.0,189755,83274,106482,32958,20106.0,25482.0,31670.0,29604.0,49934,33362.0,36427,26960,27897,41019,24091.0,26775.0,27056.0,27433.0,26826.0,27261.0,27101,27304,89.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,67659,829089,421738,504594,760429,289551,2
2,2130324,6470,4264,2206,859,1056,906,292,1151,953,1253,0.0,505,1529,1742,2174,520.0,3107,3363,32.0,640.0,1105.0,1385.0,1779.0,1529.0,43850394,29070317,14780077,5689493,6127552,7674512,1821899,7756861,6555526,8224551,0.0,3053572,9993257,10653616,15244534,4905415.0,19491325,24359069,56234.0,2915653.0,7000630.0,12406032.0,11932757.0,9539088.0,3.0,482114,219228,262886,78473,55491.0,67182.0,72947.0,75406.0,132617,140113.0,96895,53230,52866,76832,62178.0,68621.0,68313.0,67785.0,67607.0,67651.0,70497,71640,154.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52638,658719,347031,403754,604119,217740,2
3,2130323,17541,8691,8850,1753,1795,1468,1714,1961,4701,4149,0.0,1366,4230,4429,6849,667.0,8595,8946,0.0,1590.0,2083.0,3364.0,4934.0,5570.0,141630660,66988132,74642528,13394246,14627882,11197119,12531896,15236989,41835236,32807292,0.0,11517781,32833525,35967493,57330673,3981188.0,69641956,71988704,0.0,10855144.0,18990405.0,30926030.0,41523791.0,39335290.0,3.0,330904,158816,172088,47156,44216.0,42378.0,51672.0,56045.0,89437,93053.0,65867,35490,37164,56149,43181.0,47203.0,46150.0,46575.0,46874.0,46911.0,48424,48766,171.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42834,737815,353955,442203,687866,233990,2
4,2130322,12315,8497,3818,1566,1623,1527,1543,2238,2091,1727,0.0,2064,2460,2423,4034,1334.0,4825,7332,70.0,1534.0,2009.0,2475.0,3108.0,2960.0,126640808,89443737,37197071,14018475,24545548,12702661,17133089,21043964,20758252,16438819,0.0,14744119,34749147,23788733,40136194,13222615.0,45033257,64272541,434777.0,12463026.0,17884096.0,23271434.0,29750617.0,25501850.0,3.0,261344,126224,135119,32274,32818.0,39856.0,36268.0,45651.0,74476,75660.0,53540,28716,28692,41828,32908.0,36806.0,36060.0,36247.0,36036.0,36170.0,38725,41300,8.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7767,126175,61748,71637,108464,47619,2
5,2130319,7077,4158,2919,769,1020,695,794,880,1206,1713,0.0,601,874,1254,3112,1236.0,4438,2461,63.0,1424.0,1153.0,1144.0,1661.0,1456.0,60142200,34526073,25616127,4091024,8359734,5651383,7565943,8857989,11161590,14454537,0.0,4338566,7259919,9501394,26072830,12969491.0,33895933,18079456,389773.0,10051578.0,8821115.0,9768495.0,14095922.0,8848505.0,3.0,747675,360565,387108,122276,80782.0,114975.0,116679.0,118121.0,194843,205778.0,145890,79698,85787,131738,98783.0,104622.0,101937.0,103491.0,101380.0,101867.0,114647,119730,34.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,108564,1345273,593877,703048,1215732,442565,2
6,2130318,28431,20756,7675,3902,3951,4630,3711,4562,4337,3338,0.0,4623,4841,6312,10649,2006.0,10368,17920,596.0,8063.0,6779.0,4519.0,4410.0,3921.0,204624988,147580694,57044294,26616434,27095739,33537561,26638168,33692792,34335808,22708486,0.0,29934416,34310305,45123101,75992344,19264822.0,75131014,126563145,3411728.0,52731647.0,47964222.0,35832085.0,30964364.0,30790115.0,7.0,385128,180166,204963,30475,84569.0,75600.0,57796.0,59552.0,77136,57463.0,61834,57919,66525,91738,49649.0,49423.0,50126.0,51101.0,50974.0,56480.0,65310,61714,266.0,37.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,103606,626015,367926,454100,682044,296793,2
7,2130317,16611,9435,7176,1889,1274,2043,1757,2472,3615,3561,0.0,286,2703,4405,6778,2439.0,7027,9298,498.0,2859.0,4039.0,4964.0,2696.0,1269.0,157121894,90183967,66937927,16301857,13109027,18612960,20020692,22139431,33972776,32965151,0.0,3554816,25059263,40207601,65082188,23218026.0,70205176,77965412,2722532.0,27105399.0,37906314.0,39991548.0,26720791.0,13724004.0,3.0,477008,226535,250474,62273,48842.0,63994.0,65467.0,82538.0,153897,129807.0,94122,53934,54615,81691,62841.0,67263.0,66423.0,66116.0,66160.0,65470.0,71002,74574,107.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,63176,718135,293121,358004,557500,214751,2
8,2130316,1691,1086,605,120,212,182,181,391,363,242,0.0,90,393,272,936,0.0,1027,634,0.0,90.0,242.0,423.0,424.0,483.0,11217317,7022150,4195167,724867,1464835,1359127,1057098,2416223,2694089,1501078,0.0,558752,3005178,1788006,5865381,0.0,6505682,4500216,0.0,664461.0,1479936.0,2488710.0,2854165.0,3518625.0,1.0,45026,21269,23757,5794,4902.0,5975.0,6455.0,7812.0,14088,12812.0,8963,4925,4815,7385,6126.0,6401.0,6311.0,6299.0,6331.0,6258.0,6627,6799,18.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,63176,718135,293121,358004,557500,214751,2
9,2130314,21599,15760,5839,3114,3374,3035,2729,3508,3216,2623,6.0,4859,3465,3653,6908,2708.0,8651,12422,133.0,2941.0,4477.0,3979.0,4949.0,4591.0,204606112,143743360,60862752,27897354,29148478,26926950,25096084,34674494,33392354,27470398,16962.0,43587689,33986749,34884096,65797576,26333040.0,81865988,108170429,1482049.0,20862869.0,38579193.0,40235586.0,44873161.0,44003559.0,4.0,1296856,588321,708534,163444,149460.0,202424.0,199982.0,218325.0,363219,339782.0,257536,145657,147655,229028,177198.0,183533.0,180381.0,181606.0,180711.0,181153.0,193410,196058,202.0,21.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58498,404164,202783,249958,372185,167790,2
