,상권코드,분기당매출건수,주중매출건수,주말매출건수,월요일매출건수,화요일매출건수,수요일매출건수,목요일매출건수,금요일매출건수,토요일매출건수,일요일매출건수,시간대00~06매출건수,시간대06~11매출건수,시간대11~14매출건수,시간대14~17매출건수,시간대17~21매출건수,시간대21~24매출건수,남성매출건수,여성매출건수,연령대10매출건수,연령대20매출건수,연령대30매출건수,연령대40매출건수,연령대50매출건수,연령대60이상매출건수,분기당매출금액,주중매출금액,주말매출금액,월요일매출금액,화요일매출금액,수요일매출금액,목요일매출금액,금요일매출금액,토요일매출금액,일요일매출금액,시간대00~06매출금액,시간대06~11매출금액,시간대11~14매출금액,시간대14~17매출금액,시간대17~21매출금액,시간대21~24매출금액,남성매출금액,여성매출금액,연령대10매출금액,연령대20매출금액,연령대30매출금액,연령대40매출금액,연령대50매출금액,연령대60이상매출금액,점포수,총생활인구수,남성생활인구수,여성생활인구수,연령대10생활인구수,연령대20생활인구수,연령대30생활인구수,연령대40생활인구수,연령대50생활인구수,연령대60이상생활인구수,시간대1생활인구수,시간대2생활인구수,시간대3생활인구수,시간대4생활인구수,시간대5생활인구수,시간대6생활인구수,월요일생활인구수,화요일생활인구수,수요일생활인구수,목요일생활인구수,금요일생활인구수,토요일생활인구수,일요일생활인구수,총직장인구수,집객시설수,관공서수,은행수,대학교수,백화점수,슈퍼마켓수,의료시설수,교육시설수,여가시설수,교통시설수,00시~06시유동인구,06시~11시유동인구,11시~14시유동인구,14시~17시유동인구,17시~21시유동인구,21시~24시유동인구,cluster
0,2130326,64468,47113,17355,8494,8678,9945,9474,10522,10532,6823,0.0,3939.0,22946,13684,23409,490.0,29352,35116,873.0,7853.0,16209.0,18275.0,13854.0,7404.0,594760644,424581042,170179602,86119290,68714009,87935443,85109354,96702946,101748105,68431497,0.0,34508830.0,219839571,121249360,214632110,4530773.0,279702916,315057728,6492782.0,69387532.0,149379999.0,181656789.0,122587819.0,65255723.0,5.0,140332,64196,76136.0,26379.0,13049.0,22850.0,25679.0,19787.0,32587.0,33586.0,30929,16979,16926,24248.0,17663.0,19967.0,20241.0,20307.0,20391.0,20302.0,19747.0,19376.0,935.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,91130,1211862,442720,502951,933081,312779,0
1,2130325,248,185,63,26,48,43,15,53,25,38,0.0,0.0,100,31,117,0.0,99,149,0.0,61.0,90.0,35.0,53.0,9.0,3000000,2113854,886146,240153,500423,559009,152371,661898,353127,533019,0.0,0.0,1159351,384561,1456088,0.0,1330899,1669101,0.0,687801.0,1187819.0,530963.0,521781.0,71636.0,4.0,203108,89846,113262.0,35654.0,21756.0,26649.0,33010.0,31538.0,54500.0,38231.0,39526,28311,28916,42337.0,25788.0,28386.0,29158.0,29257.0,29213.0,29350.0,28860.0,28885.0,89.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62841,796122,409169,475524,742212,272870,0
2,2130324,4846,3344,1502,525,499,671,869,780,844,658,12.0,217.0,1937,1177,1426,77.0,2804,2042,13.0,443.0,690.0,1507.0,1210.0,983.0,59734721,40638147,19096574,6429233,5426943,9292920,10008201,9480850,9735258,9361316,329196.0,1879295.0,24800297,13726520,17783624,1215789.0,33322717,26412004,124429.0,4403390.0,8435580.0,19471098.0,16354848.0,10945376.0,14.0,486493,223362,263130.0,79013.0,55345.0,68549.0,73520.0,75217.0,134850.0,141612.0,98548,54302,53514,76496.0,62020.0,69410.0,68984.0,68816.0,68359.0,68891.0,70865.0,71171.0,154.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44035,588665,317851,359161,545931,184284,0
3,2130323,3845,2990,855,229,460,459,636,1206,474,381,0.0,31.0,321,780,2102,611.0,2200,1478,31.0,214.0,442.0,1055.0,1063.0,873.0,89561935,70200440,19361495,4244344,12485075,13376070,13751517,26343434,10892424,8469071,0.0,535610.0,7747986,17522026,47636636,16119677.0,54012190,30133569,841673.0,4102970.0,9355304.0,24629733.0,24183981.0,21032096.0,10.0,343847,165124,178722.0,50900.0,45451.0,43897.0,53197.0,57061.0,93341.0,96348.0,68617,37497,38460,58125.0,44799.0,48688.0,48658.0,48312.0,48348.0,49173.0,49642.0,51023.0,171.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35105,666091,331085,387094,639959,211662,0
4,2130322,1889,1413,476,177,310,284,245,397,200,276,24.0,8.0,494,452,823,88.0,741,1029,28.0,394.0,402.0,263.0,442.0,241.0,23563465,17451671,6111794,2756630,3318011,3146087,3218728,5012215,2895299,3216495,533613.0,95346.0,7039499,5217934,9103996,1573077.0,8808500,12172303,165908.0,4423192.0,4932942.0,3590886.0,5626438.0,2241438.0,14.0,254824,125456,129369.0,32889.0,32452.0,40365.0,35291.0,44157.0,69671.0,73172.0,52250,28375,28067,40849.0,32112.0,35995.0,35377.0,35096.0,35142.0,34931.0,37960.0,40325.0,8.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8051,107533,52868,62307,94443,39790,0
5,2130320,71172,49183,21989,8861,7609,8572,10269,13872,10923,11066,50.0,4385.0,15457,17236,32367,1677.0,33421,37672,318.0,5798.0,13069.0,19295.0,19468.0,13146.0,949174476,682203558,266970918,104301607,84540435,113378762,155241678,224741076,137402617,129568301,2721244.0,62076331.0,200672764,221997610,407278877,54427650.0,476103898,468362286,2423363.0,65481687.0,164413850.0,257084449.0,270901442.0,184161392.0,18.0,127787,62156,65631.0,13462.0,15504.0,21348.0,21758.0,22610.0,33105.0,25032.0,23949,17386,18989,26740.0,15690.0,18023.0,18174.0,17929.0,18112.0,18383.0,18920.0,18246.0,173.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,87290,1376519,506871,577273,1069405,354369,0
6,2130319,5697,3759,1938,585,554,783,920,917,924,1014,0.0,382.0,1344,1193,2304,474.0,2839,2669,10.0,700.0,1230.0,1216.0,1294.0,1058.0,60135675,41974023,18161652,4957218,4735058,6216060,8788392,17277295,8269669,9891983,0.0,3238428.0,11997719,9967862,28892182,6039484.0,27446422,22426163,35672.0,6910990.0,10024509.0,10781675.0,12361666.0,9758073.0,5.0,710911,346382,364528.0,114675.0,76664.0,111565.0,110186.0,116078.0,181744.0,192752.0,139952,78308,83414,123900.0,92588.0,100183.0,97907.0,97560.0,96828.0,97702.0,107095.0,113635.0,34.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,115042,1373463,627275,733690,1265645,449710,0
7,2130318,130307,87779,42528,16780,14264,17232,17413,22090,21694,20834,8580.0,7988.0,32598,23206,40778,17157.0,70608,59584,3670.0,33238.0,30556.0,25428.0,21875.0,15424.0,1912160339,1237177138,674983201,236725981,201567549,233653088,243622879,321607641,351551818,323431383,229537050.0,126649811.0,435748060,291164357,559990545,269070516.0,1100382725,807296048,39690238.0,495865106.0,469207739.0,371676861.0,314104270.0,217134559.0,24.0,384799,181045,203753.0,31220.0,85574.0,75364.0,57924.0,57752.0,76964.0,59499.0,62507,57358,65910,90546.0,48977.0,50582.0,51084.0,51661.0,51945.0,56315.0,62462.0,60750.0,266.0,37.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,73690,433367,264019,311264,469826,202724,3
8,2130316,1553,1229,324,324,195,258,323,129,259,65,0.0,0.0,648,387,518,0.0,905,518,0.0,130.0,388.0,130.0,452.0,323.0,14783403,12454289,2329114,4561181,1293952,2717300,2652601,1229255,1908580,420534,0.0,0.0,6469760,4884669,3428974,0.0,9672292,4334740,0.0,841069.0,2264416.0,873417.0,4658229.0,5369901.0,1.0,43319,20868,22452.0,5707.0,4607.0,5769.0,6187.0,7454.0,13592.0,12295.0,8581,4758,4701,7111.0,5871.0,6181.0,6088.0,6084.0,6050.0,6115.0,6339.0,6462.0,18.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,61179,675901,286010,341282,541253,200756,0
9,2130315,8154,5905,2249,1125,1221,1208,1168,1183,1029,1220,14.0,956.0,2481,1652,2641,410.0,4753,2964,79.0,1406.0,2113.0,1588.0,1591.0,941.0,118971427,89790415,29181012,17342810,22314681,18593924,18974283,12564717,15898997,13282015,395552.0,8353690.0,29839778,25893386,45660197,8828824.0,68108394,29978314,796389.0,15843532.0,35486156.0,18546938.0,18969134.0,8444555.0,9.0,613069,295242,317827.0,87205.0,96597.0,119792.0,100007.0,89757.0,119712.0,137349.0,126797,85624,86314,106592.0,70393.0,91063.0,91953.0,92025.0,91605.0,90039.0,78894.0,77491.0,1372.0,15.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,68270,1606707,465411,580172,1425471,360978,0
10,2130314,29683,21693,7990,4199,4099,3693,4914,4788,3984,4006,27.0,6540.0,8241,5316,7825,1734.0,15042,13953,41.0,2857.0,6047.0,7324.0,6469.0,6257.0,290653453,205229348,85424105,42946350,41985542,32949104,44875276,42473076,43669229,41754876,619825.0,53089716.0,76483075,54027057,80217693,26216087.0,138875339,142137584,184255.0,22808654.0,57196342.0,80254401.0,67107874.0,53461397.0,9.0,1253487,575381,678107.0,163829.0,143114.0,194341.0,192904.0,208754.0,350547.0,326054.0,250339,143026,143658,219651.0,170759.0,177973.0,176080.0,175456.0,175015.0,176143.0,186035.0,186786.0,202.0,21.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32015,205600,92619,104852,154129,70931,0
11,2130313,32709,24619,8090,3878,4711,5114,5373,5543,3368,4722,64.0,2458.0,10170,7482,11668,867.0,14099,16330,248.0,5077.0,8232.0,6358.0,6957.0,3558.0,322287914,240896352,81391562,38284041,47459070,50293234,50179295,54680712,33909661,47481901,1637552.0,22056492.0,107990060,70556421,105603883,14443506.0,134831189,147151948,1826837.0,43865227.0,73973198.0,65853552.0,64955221.0,31509099.0,16.0,995031,453743,541288.0,137571.0,145880.0,203055.0,163238.0,137462.0,207825.0,300563.0,209545,106445,102750,147401.0,128329.0,142660.0,142495.0,141493.0,141830.0,138259.0,142228.0,146065.0,3469.0,33.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40771,570561,298493,336215,602727,232218,0
12,2130312,56508,38478,18030,5860,7879,7474,7702,9563,9392,8638,2123.0,4795.0,15903,11494,19818,2375.0,28219,25341,208.0,4535.0,11862.0,15048.0,12009.0,9895.0,681196123,459087479,222108644,67011101,94656662,84541998,90494115,122383603,114101738,108006906,33558367.0,51953410.0,209828159,113274872,234456640,38124675.0,337557471,280245657,2198090.0,44171127.0,132590918.0,195797312.0,133480201.0,109565478.0,15.0,311851,148875,162976.0,52245.0,37858.0,62389.0,55320.0,44134.0,59907.0,61831.0,58591,42987,45237,63426.0,39779.0,44681.0,44422.0,44971.0,44761.0,44667.0,44488.0,43864.0,619.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,82080,981004,470945,567370,895563,330184,0
