,상권코드,분기당매출건수,주중매출건수,주말매출건수,월요일매출건수,화요일매출건수,수요일매출건수,목요일매출건수,금요일매출건수,토요일매출건수,일요일매출건수,시간대00~06매출건수,시간대06~11매출건수,시간대11~14매출건수,시간대14~17매출건수,시간대17~21매출건수,시간대21~24매출건수,남성매출건수,여성매출건수,연령대10매출건수,연령대20매출건수,연령대30매출건수,연령대40매출건수,연령대50매출건수,연령대60이상매출건수,분기당매출금액,주중매출금액,주말매출금액,월요일매출금액,화요일매출금액,수요일매출금액,목요일매출금액,금요일매출금액,토요일매출금액,일요일매출금액,시간대00~06매출금액,시간대06~11매출금액,시간대11~14매출금액,시간대14~17매출금액,시간대17~21매출금액,시간대21~24매출금액,남성매출금액,여성매출금액,연령대10매출금액,연령대20매출금액,연령대30매출금액,연령대40매출금액,연령대50매출금액,연령대60이상매출금액,점포수,총생활인구수,남성생활인구수,여성생활인구수,연령대10생활인구수,연령대20생활인구수,연령대30생활인구수,연령대40생활인구수,연령대50생활인구수,연령대60이상생활인구수,시간대1생활인구수,시간대2생활인구수,시간대3생활인구수,시간대4생활인구수,시간대5생활인구수,시간대6생활인구수,월요일생활인구수,화요일생활인구수,수요일생활인구수,목요일생활인구수,금요일생활인구수,토요일생활인구수,일요일생활인구수,총직장인구수,집객시설수,관공서수,은행수,대학교수,백화점수,슈퍼마켓수,의료시설수,교육시설수,여가시설수,교통시설수,00시~06시유동인구,06시~11시유동인구,11시~14시유동인구,14시~17시유동인구,17시~21시유동인구,21시~24시유동인구,cluster
0,2130324,11779,8152,3627,1615,1562,1521,1608,1846,1949,1678,0.0,2322,3576,3275,2403,203.0,4860,6919,54.0,2563.0,3009.0,2866.0,2669,618.0,51965291,34670427,17294864,7023843,6066468,6771871,7174213,7634032,9375769,7919095,0.0,8486901,16356068,14010529,11459465,1652328.0,21951885,30013406,265998.0,10212870.0,13043152.0,14424060.0,11176995,2842216.0,3.0,486493,223362,263130.0,79013.0,55345.0,68549.0,73520.0,75217.0,134850.0,141612.0,98548,54302,53514,76496.0,62020.0,69410.0,68984.0,68816.0,68359.0,68891.0,70865.0,71171.0,154.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44035,588665,317851,359161,545931,184284,1
1,2130323,1300,911,389,129,183,176,178,245,216,173,8.0,24,393,498,291,86.0,614,667,8.0,198.0,410.0,251.0,309,104.0,8978720,5934314,3044406,941784,987085,1317830,1160159,1527456,1698203,1346203,84865.0,148143,2401033,3379179,2210256,755244.0,3962393,4672372,47321.0,1198192.0,2281693.0,2027590.0,2206682,873286.0,4.0,343847,165124,178722.0,50900.0,45451.0,43897.0,53197.0,57061.0,93341.0,96348.0,68617,37497,38460,58125.0,44799.0,48688.0,48658.0,48312.0,48348.0,49173.0,49642.0,51023.0,171.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35105,666091,331085,387094,639959,211662,1
2,2130322,2485,2068,417,341,471,389,417,450,376,41,0.0,498,595,772,620,0.0,939,1546,0.0,648.0,780.0,512.0,297,248.0,15910645,12538536,3372109,1921651,2480938,2629808,2614784,2891355,3062077,310032,0.0,3088710,3824182,5229569,3768184,0.0,7057525,8853120,0.0,3618950.0,4086204.0,4165262.0,1942138,2098091.0,3.0,254824,125456,129369.0,32889.0,32452.0,40365.0,35291.0,44157.0,69671.0,73172.0,52250,28375,28067,40849.0,32112.0,35995.0,35377.0,35096.0,35142.0,34931.0,37960.0,40325.0,8.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8051,107533,52868,62307,94443,39790,1
3,2130321,4082,2517,1565,58,694,578,608,579,768,797,0.0,14,1593,1578,897,0.0,848,3132,43.0,1450.0,1535.0,350.0,501,102.0,71420438,46679051,24741387,513847,14354435,9053845,13852166,8904758,13847824,10893563,0.0,130271,30770048,26628871,13891248,0.0,15059929,47002698,396604.0,20493619.0,23079882.0,6456935.0,9881371,1754217.0,8.0,177457,81863,95594.0,34362.0,21289.0,25577.0,30951.0,27386.0,37892.0,34269.0,37694,26913,26349,32649.0,19583.0,25743.0,25996.0,26122.0,25971.0,25655.0,23879.0,24094.0,433.0,7.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10806,188857,83200,96401,167529,59048,1
4,2130318,104753,67108,37645,12173,11986,12483,12764,17702,20192,17453,432.0,7034,22940,25785,36200,12362.0,49296,55457,4023.0,41633.0,26789.0,15059.0,12174,5075.0,758057537,485632998,272424539,85955657,88630733,93695588,93857446,123493574,150419381,122005158,11924945.0,31526380,141356819,175713514,280751250,116784629.0,335419924,422637613,33052721.0,325514159.0,196256561.0,96925108.0,76675298,29633690.0,24.0,384799,181045,203753.0,31220.0,85574.0,75364.0,57924.0,57752.0,76964.0,59499.0,62507,57358,65910,90546.0,48977.0,50582.0,51084.0,51661.0,51945.0,56315.0,62462.0,60750.0,266.0,37.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,73690,433367,264019,311264,469826,202724,1
5,2130315,27710,19709,8001,3826,3789,3632,4067,4395,4210,3791,953.0,4177,6291,5619,6741,3929.0,13477,13380,348.0,8806.0,7838.0,5203.0,3307,1354.0,222486800,152713179,69773621,29796837,28099871,27039711,32370619,35406141,36849500,32924121,9084426.0,26118346,50061665,45041095,55059701,37121567.0,103150312,105997864,3165075.0,62453251.0,62068754.0,40015429.0,28381393,13064273.0,11.0,613069,295242,317827.0,87205.0,96597.0,119792.0,100007.0,89757.0,119712.0,137349.0,126797,85624,86314,106592.0,70393.0,91063.0,91953.0,92025.0,91605.0,90039.0,78894.0,77491.0,1372.0,15.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,68270,1606707,465411,580172,1425471,360978,1
6,2130314,12177,8641,3536,1736,1413,1779,1794,1919,1817,1719,0.0,996,3391,3026,4383,381.0,4325,7647,427.0,3853.0,2871.0,2004.0,1746,1070.0,115287271,80503624,34783647,19254067,12387307,17479601,15701401,15681248,17665706,17117941,0.0,11890684,33550161,26812579,39782027,3251820.0,36470972,74022034,2366226.0,33303428.0,27734357.0,21361927.0,16042301,9684767.0,5.0,1253487,575381,678107.0,163829.0,143114.0,194341.0,192904.0,208754.0,350547.0,326054.0,250339,143026,143658,219651.0,170759.0,177973.0,176080.0,175456.0,175015.0,176143.0,186035.0,186786.0,202.0,21.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32015,205600,92619,104852,154129,70931,1
7,2130313,133083,95806,37277,17753,19586,18651,19177,20639,19398,17879,0.0,31924,35096,29417,28559,8087.0,70917,60731,3095.0,35258.0,41796.0,23176.0,18447,9874.0,600386533,422687337,177699196,76839788,83029566,85243675,83329964,94244344,93685105,84014091,0.0,119221210,166181588,135799838,139192266,39991631.0,290800995,293870378,10838558.0,151486717.0,180146567.0,113515338.0,84478004,44206187.0,14.0,995031,453743,541288.0,137571.0,145880.0,203055.0,163238.0,137462.0,207825.0,300563.0,209545,106445,102750,147401.0,128329.0,142660.0,142495.0,141493.0,141830.0,138259.0,142228.0,146065.0,3469.0,33.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40771,570561,298493,336215,602727,232218,1
8,2130311,84194,58270,25924,10344,10620,11284,11859,14163,13379,12545,0.0,16382,20512,22151,20946,4203.0,40653,43541,3509.0,23487.0,21581.0,19061.0,12729,3827.0,377759219,253299872,124459347,44368307,45433630,49190094,50878932,63428909,63843650,60615697,0.0,61174855,93572178,104885978,97425258,20700950.0,184457446,193301773,15754427.0,107461088.0,94056118.0,88783208.0,54046361,17658017.0,15.0,842789,399472,443317.0,144467.0,128668.0,147168.0,145400.0,117548.0,159538.0,199097.0,156427,101088,110730,165038.0,110410.0,118049.0,119364.0,120137.0,119422.0,121086.0,126108.0,118624.0,377.0,17.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,93629,1382331,778156,949073,1554633,640413,1
9,2130310,94599,65318,29281,12519,11893,12929,12725,15252,15357,13924,0.0,20452,26727,22846,21162,3412.0,45273,45782,4129.0,19421.0,18194.0,22614.0,18669,8027.0,453460044,306588219,146871825,56963301,54060403,61649496,57394289,76520730,76437990,70433835,0.0,76878123,136796374,109283368,111337763,19164416.0,202894175,216158621,16378349.0,74738308.0,81368614.0,112589374.0,89977380,44000773.0,9.0,212630,96734,115898.0,49679.0,22873.0,21855.0,36572.0,32848.0,48804.0,23485.0,40565,38513,41860,48650.0,19558.0,29703.0,30462.0,31326.0,31038.0,31496.0,29890.0,28715.0,298.0,30.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17564,405548,201058,266278,358025,142854,1
10,2130306,34422,29038,5384,4584,5725,6223,6438,6068,2911,2473,100.0,5264,15869,6763,5057,1369.0,16253,15664,180.0,8433.0,12861.0,6837.0,2325,1280.0,277323729,234051127,43272602,38638820,44762162,51750723,49516777,49382645,24150703,19121899,891780.0,31949680,135752299,52486528,40050364,16193078.0,125923686,120471778,1299131.0,61932406.0,97695315.0,54734527.0,19789662,10944422.0,11.0,152158,75352,76806.0,6374.0,32021.0,46392.0,32271.0,18953.0,16147.0,37362.0,34266,22337,21016,21542.0,15637.0,22726.0,23982.0,24168.0,23863.0,22398.0,17655.0,17370.0,235.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42091,281171,126737,143298,235419,95220,1
11,2130303,10922,8231,2691,1580,1660,1625,1500,1866,1557,1134,0.0,148,1385,2084,4213,3092.0,5037,5255,80.0,2633.0,2942.0,2153.0,1545,939.0,64411690,50479331,13932359,8339954,11951835,9381732,9198562,11607248,7916373,6015986,0.0,915850,8568916,12837920,22856166,19232838.0,30840084,27967752,246135.0,12140728.0,16903147.0,13244327.0,9427525,6845975.0,3.0,414561,209284,205277.0,23514.0,98349.0,104666.0,79710.0,50753.0,57570.0,72709.0,76770,60197,62002,89756.0,53125.0,59024.0,62913.0,64203.0,64888.0,64457.0,53710.0,45368.0,242.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,126413,1572231,579758,704601,1502829,565506,1
12,2130299,280894,186122,94772,34351,31271,34797,36474,49229,50811,43961,48.0,38871,78990,79114,75932,7939.0,94892,169505,3545.0,80156.0,75213.0,46584.0,38538,20362.0,2461918755,1645744699,816174056,293625771,281049322,313086346,330421954,427561306,432274705,383899351,168304.0,251277767,780226592,701175538,671217974,57852580.0,742899979,1475307354,22309308.0,634858168.0,662815374.0,398277298.0,320748476,179198709.0,22.0,40732,17045,23687.0,6621.0,6448.0,6632.0,7754.0,6323.0,6955.0,3867.0,6681,8115,8957,9862.0,3250.0,5574.0,5594.0,5703.0,5789.0,6020.0,6278.0,5773.0,1850.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,182224,3813342,3193955,3815164,5335839,1737042,4
13,2130298,72814,49758,23056,10113,10063,8998,9593,10991,11946,11110,0.0,10448,20677,25225,16120,344.0,22876,49938,5957.0,8948.0,11368.0,21229.0,17039,8273.0,271752439,178598463,93153976,36770469,35356252,32311665,34438855,39721222,49181727,43972249,0.0,30719834,75911928,99338661,63954761,1827255.0,86435192,185317247,19747957.0,35173302.0,40764523.0,82375496.0,61282505,32408656.0,7.0,59221,24665,34556.0,8488.0,10405.0,9857.0,10040.0,9498.0,10932.0,1686.0,9039,12965,15094,16473.0,3966.0,7918.0,8091.0,8385.0,8457.0,8981.0,9359.0,8031.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,172825,3764900,3167188,3782280,5288514,1707569,1
14,2130295,25116,16209,8907,2912,3096,3068,2940,4193,4596,4311,0.0,3378,6929,6891,6674,1244.0,15047,10039,103.0,10307.0,8281.0,2140.0,2981,1274.0,117413039,77783829,39629210,16241656,19590136,11374602,12007631,18569804,20800118,18829092,0.0,17336786,28475164,38367757,27726352,5506980.0,60755202,45423176,344259.0,36689871.0,36607344.0,13978729.0,12993793,5564383.0,5.0,272831,125971,146859.0,27727.0,57554.0,52575.0,38131.0,38432.0,58413.0,59232.0,49001,31822,35927,57598.0,39250.0,38441.0,38099.0,38015.0,38140.0,38209.0,40823.0,41103.0,122.0,18.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,30278,510205,247678,286783,466468,230656,1
15,2130294,38187,26590,11597,4849,5085,5206,5486,5964,5939,5658,0.0,6576,10363,11175,8426,1647.0,14561,23602,677.0,8005.0,11385.0,8988.0,5500,3608.0,238739690,164061983,74677707,29617022,32191694,31018038,33444141,37791088,39186835,35490872,0.0,38506488,67663230,69303764,54056646,9209562.0,93543511,144857867,3522561.0,43824916.0,71017470.0,56765347.0,36812689,26458396.0,7.0,282176,130326,151850.0,43363.0,50183.0,43018.0,39605.0,36531.0,69477.0,57969.0,57488,40074,41014,52526.0,33103.0,40280.0,40498.0,40740.0,40476.0,40386.0,40110.0,39685.0,102.0,12.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,128139,1015037,537643,629510,1000370,440647,1
16,2130290,49533,34569,14964,5998,6235,7002,7255,8079,8261,6703,0.0,8871,13497,12673,13021,1471.0,23809,25724,989.0,16318.0,13949.0,8479.0,5761,4037.0,287843593,205311525,82532068,37093768,36013897,42641847,41935869,47626144,48255128,34276940,0.0,36752875,74772491,80691546,86847580,8779101.0,149483255,138360338,3879404.0,69811094.0,61903579.0,48119797.0,48932509,55197210.0,14.0,555518,262026,293492.0,48577.0,137009.0,100823.0,67917.0,72207.0,128986.0,130132.0,112733,65968,67827,103826.0,75033.0,79617.0,80555.0,80634.0,80328.0,79710.0,78045.0,76630.0,417.0,30.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,145335,1824671,807423,918415,1610222,639573,1
17,2130285,861942,564729,297213,103456,106446,108512,110692,135623,157858,139355,3015.0,114929,176172,195035,258332,114459.0,443994,417948,19753.0,349968.0,261511.0,113956.0,79594,37160.0,3896058758,2467239787,1428818971,451989540,460668953,477538574,483421503,593621217,762755039,666063932,26821596.0,372199903,717957707,918555043,1281455916,579068593.0,1903012107,1993046651,106654937.0,1610873961.0,1123034224.0,532229422.0,360701791,162564423.0,26.0,910804,475621,435184.0,72375.0,317239.0,185091.0,112150.0,96822.0,127129.0,110846.0,139016,124545,150413,242624.0,143361.0,121197.0,121595.0,126039.0,127152.0,135066.0,144364.0,135391.0,615.0,31.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,366837,4714668,1993005,2327789,4491087,1971134,0
18,2130278,3387,2201,1186,383,408,408,452,550,676,510,0.0,549,720,782,909,427.0,1922,1465,63.0,843.0,834.0,902.0,603,142.0,16973074,10796099,6176975,2105963,2043281,2018984,2222097,2405774,3813476,2363499,0.0,2743000,3401417,4015131,4568590,2244936.0,9380768,7592306,303155.0,4590265.0,4215932.0,4611778.0,2688017,563927.0,1.0,311743,138646,173099.0,53994.0,41052.0,41940.0,49706.0,46195.0,78857.0,92178.0,63268,34311,34829,48194.0,38965.0,44553.0,42990.0,42769.0,42817.0,43292.0,47052.0,48272.0,75.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,73952,603295,329589,397620,609223,243405,1
19,2130277,1876,1313,563,285,197,273,243,315,289,274,0.0,63,542,512,686,73.0,1094,782,5.0,420.0,556.0,191.0,259,445.0,12899760,8980826,3918934,1906999,1171389,1951971,1719348,2231119,2070351,1848583,0.0,218666,4218244,3290850,4741388,430612.0,7239835,5659925,50398.0,3011330.0,3142994.0,1729219.0,2033521,2932298.0,1.0,234618,114085,120531.0,21824.0,47887.0,43329.0,35375.0,33340.0,52862.0,66285.0,49448,26021,24944,37462.0,30457.0,33539.0,32991.0,32992.0,32914.0,32766.0,34328.0,35088.0,98.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,110080,890935,388740,440011,737648,304734,1
20,2130274,126045,80293,45752,13388,13860,13740,19157,20148,26347,19405,0.0,10112,29961,33063,41004,11905.0,66408,55542,2811.0,38729.0,29606.0,14158.0,15337,21308.0,1325082455,799436792,525645663,128602610,127355511,126086122,191099919,226292630,319513656,206132007,0.0,134068118,335746192,335051178,391844012,128372955.0,655111532,633672930,39311094.0,360041938.0,270294280.0,133543670.0,217666747,267926730.0,9.0,516602,258039,258561.0,37700.0,125860.0,103053.0,71794.0,70522.0,107671.0,95811.0,100087,61766,65290,120321.0,73329.0,71123.0,74376.0,75999.0,76679.0,78327.0,74739.0,65359.0,389.0,16.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,272505,3526734,1787137,2087442,4072161,1775038,1
21,2130273,300960,213730,87230,38445,41416,41071,41876,50922,47996,39234,6.0,44421,77752,71983,84676,22122.0,113275,186117,15720.0,92258.0,69079.0,65335.0,40039,16961.0,1438774923,1003967479,434807444,176380130,191783464,188744128,201140443,245919314,241404370,193403074,11045.0,184013786,378154493,344971225,414269705,117354669.0,537771166,882615402,76120265.0,441004319.0,306951644.0,301520661.0,208726807,86062875.0,14.0,618621,280682,337939.0,95402.0,88009.0,89894.0,88774.0,94471.0,162072.0,104942.0,118143,84097,93820,139419.0,78198.0,86653.0,88511.0,89250.0,89453.0,90730.0,89683.0,84341.0,141.0,39.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,116298,2322926,1302332,1545668,2576456,910321,4
22,2130271,27297,18390,8907,3551,3454,3800,3376,4209,4631,4276,0.0,5740,8577,6406,6006,568.0,15864,11433,127.0,6708.0,10438.0,6411.0,2442,1171.0,89847615,60091789,29755826,10616124,12457138,12615198,9861787,14541542,15119398,14636428,0.0,17939755,30155351,19453678,20573156,1725675.0,53107914,36739701,456085.0,21949983.0,35043274.0,18694280.0,9686115,4017878.0,4.0,231226,104455,126772.0,25755.0,38964.0,39567.0,38781.0,31205.0,56952.0,53133.0,43782,25653,27216,45349.0,36093.0,31866.0,32522.0,32344.0,32211.0,31880.0,34762.0,35642.0,467.0,28.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40171,902990,410410,457217,762811,285337,1
