,상권코드,분기당매출건수,주중매출건수,주말매출건수,월요일매출건수,화요일매출건수,수요일매출건수,목요일매출건수,금요일매출건수,토요일매출건수,일요일매출건수,시간대00~06매출건수,시간대06~11매출건수,시간대11~14매출건수,시간대14~17매출건수,시간대17~21매출건수,시간대21~24매출건수,남성매출건수,여성매출건수,연령대10매출건수,연령대20매출건수,연령대30매출건수,연령대40매출건수,연령대50매출건수,연령대60이상매출건수,분기당매출금액,주중매출금액,주말매출금액,월요일매출금액,화요일매출금액,수요일매출금액,목요일매출금액,금요일매출금액,토요일매출금액,일요일매출금액,시간대00~06매출금액,시간대06~11매출금액,시간대11~14매출금액,시간대14~17매출금액,시간대17~21매출금액,시간대21~24매출금액,남성매출금액,여성매출금액,연령대10매출금액,연령대20매출금액,연령대30매출금액,연령대40매출금액,연령대50매출금액,연령대60이상매출금액,점포수,총생활인구수,남성생활인구수,여성생활인구수,연령대10생활인구수,연령대20생활인구수,연령대30생활인구수,연령대40생활인구수,연령대50생활인구수,연령대60이상생활인구수,시간대1생활인구수,시간대2생활인구수,시간대3생활인구수,시간대4생활인구수,시간대5생활인구수,시간대6생활인구수,월요일생활인구수,화요일생활인구수,수요일생활인구수,목요일생활인구수,금요일생활인구수,토요일생활인구수,일요일생활인구수,총직장인구수,집객시설수,관공서수,은행수,대학교수,백화점수,슈퍼마켓수,의료시설수,교육시설수,여가시설수,교통시설수,00시~06시유동인구,06시~11시유동인구,11시~14시유동인구,14시~17시유동인구,17시~21시유동인구,21시~24시유동인구,cluster
0,2130324,11170,7195,3975,1355,1686,1355,1086,1713,2145,1830,395.0,0.0,279.0,1193,7051,2252,6476,4524,110.0,1303.0,2161.0,2903.0,2348.0,2175.0,143757836,92279668,51478168,17113932,19768723,17863087,14141446,23392480,27355375,24122793,6153838.0,0.0,3632730.0,16602533,87971351,29397384,84049916,57012756,1619206.0,15983259.0,26170292.0,38447750.0,30885716.0,27956449.0,3.0,506523,232053,274471.0,84356,56747.0,70321.0,76606.0,80562.0,137931.0,142738.0,103748.0,58341.0,57614.0,79840.0,64245.0,71545.0,71690.0,71191.0,70622.0,71792.0,75111.0,74572,154.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46262,594849,325962,385854,578937,203902,0
1,2130322,3192,2000,1192,355,351,373,443,478,602,590,167.0,18.0,174.0,407,1621,805,1788,1354,31.0,246.0,550.0,627.0,932.0,757.0,54904496,36703090,18201406,5793830,5515305,5168246,6339947,13885762,9223346,8978060,2695125.0,7436430.0,2869006.0,5821358,24846388,11236189,27376415,19190829,442538.0,3396698.0,7517082.0,10511196.0,13511909.0,11187823.0,6.0,267658,130283,137374.0,35434,34410.0,39751.0,36567.0,46689.0,74804.0,73696.0,54889.0,30569.0,30763.0,43998.0,33741.0,36920.0,37420.0,37324.0,37134.0,36840.0,40092.0,41927,8.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7644,122669,58956,68358,107563,46626,0
2,2130320,9429,6267,3162,1176,1470,745,1280,1596,1749,1413,147.0,0.0,187.0,1010,4882,3203,4966,4257,59.0,730.0,1789.0,3040.0,1744.0,1863.0,172712209,113081333,59630876,20087405,23343854,14471045,21693233,33485796,32884113,26746763,2413139.0,0.0,2004369.0,17402707,87930108,62961886,87207672,80366462,661017.0,10721317.0,31549001.0,58602172.0,33709710.0,32330916.0,5.0,124523,59395,65128.0,14553,16007.0,22023.0,19846.0,20910.0,31184.0,26676.0,22788.0,17049.0,18602.0,24806.0,14600.0,17814.0,17435.0,17526.0,17559.0,17888.0,18428.0,17871,173.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,87839,1367555,506494,585313,1079228,368432,0
3,2130319,5917,3964,1953,741,895,645,886,797,1024,929,0.0,328.0,765.0,1575,2677,572,2846,3038,49.0,482.0,829.0,1159.0,1426.0,1938.0,89067302,57670947,31396355,11212205,12929247,9102891,12737033,11689571,17556679,13839676,0.0,5890958.0,12968793.0,24241682,38349675,7616194,39164132,49431892,665780.0,6962061.0,11198273.0,17772795.0,19830887.0,32166228.0,5.0,805891,391136,414755.0,145551,85305.0,124918.0,122179.0,122580.0,205358.0,210337.0,161053.0,92755.0,96597.0,141481.0,103667.0,111738.0,110927.0,110780.0,110043.0,110339.0,124283.0,127785,34.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99051,1294136,582513,685280,1197957,420669,0
4,2130318,3355,2297,1058,478,415,474,386,544,575,483,47.0,0.0,11.0,180,1965,1152,2350,1000,39.0,695.0,728.0,686.0,779.0,423.0,123056579,85127673,37928906,16666233,16220198,17046494,13661749,21532999,22054113,15874793,1288170.0,0.0,334019.0,6328749,70294238,44811403,86536405,36271507,1724358.0,27090323.0,27885034.0,25174306.0,27004983.0,13928908.0,8.0,364333,171251,193081.0,30916,75208.0,71427.0,54570.0,55926.0,76286.0,52301.0,61494.0,55245.0,65491.0,89790.0,40012.0,48296.0,48718.0,49565.0,49437.0,52672.0,58954.0,56690,266.0,37.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,92359,562218,339507,414865,634830,276367,0
5,2130317,3213,2082,1131,445,373,366,357,541,590,541,0.0,16.0,565.0,843,1581,208,2011,1202,40.0,371.0,436.0,881.0,815.0,670.0,43560512,27887509,15673003,6510533,4875939,4732763,4629358,7138916,8614424,7058579,0.0,254536.0,7130961.0,11954404,21623557,2597054,26380822,17179690,461527.0,4780030.0,5493260.0,12465990.0,11543013.0,8816692.0,2.0,507036,241268,265767.0,68133,52511.0,66940.0,68868.0,85670.0,164912.0,133286.0,100741.0,59209.0,60574.0,87497.0,65729.0,70799.0,70871.0,70728.0,69770.0,69764.0,76114.0,78991,107.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59304,665209,285237,341299,544849,206053,0
6,2130315,3867,2683,1184,547,660,472,412,592,653,531,93.0,0.0,100.0,283,2382,1009,2303,1427,88.0,649.0,1102.0,681.0,695.0,513.0,76379418,54820209,21559209,11613983,14037083,7596489,9083175,12489479,12710504,8848705,1782738.0,0.0,1199837.0,4824795,49699696,18872352,45326958,27005139,1001739.0,12010773.0,17732099.0,14006473.0,14215750.0,13365261.0,5.0,608991,294570,314419.0,82675,97895.0,117969.0,98827.0,92223.0,119402.0,134413.0,126075.0,85791.0,86224.0,107233.0,69254.0,89427.0,89230.0,89990.0,90938.0,89987.0,81086.0,78332,1372.0,15.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,67349,1625715,473504,591653,1463452,371709,0
7,2130313,18070,12398,5672,1727,2583,2663,2788,2637,3390,2282,862.0,58.0,599.0,1210,9340,6001,10730,7157,251.0,3399.0,4825.0,3776.0,3568.0,2068.0,267718316,182123200,85595116,27307857,37652071,36356213,43176180,37630879,48489483,37105633,25681579.0,3845281.0,5670514.0,13118912,126423044,92978986,163528105,100079029,3310093.0,40373589.0,70993367.0,55697476.0,59424182.0,33808430.0,6.0,927061,427025,500035.0,127282,135680.0,190332.0,150133.0,129441.0,194194.0,272792.0,193979.0,100956.0,98846.0,140076.0,120413.0,131700.0,129745.0,131075.0,130987.0,131673.0,134653.0,137225,3469.0,33.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41088,565975,297581,336592,610691,244528,4
8,2130312,4341,2706,1635,595,441,593,430,647,878,757,132.0,0.0,18.0,244,2655,1292,2390,1549,35.0,301.0,799.0,1227.0,1061.0,517.0,134322681,82972912,51349769,20384010,12395164,19454335,12713374,18026029,26705412,24644357,2640843.0,0.0,424592.0,7642396,79838208,43776642,74484700,44502460,1002613.0,9919273.0,24523853.0,34342591.0,35066425.0,14132405.0,7.0,324372,153239,171134.0,50104,41469.0,66371.0,56904.0,46201.0,63323.0,67650.0,61378.0,43877.0,46110.0,64177.0,41183.0,46417.0,45387.0,46428.0,46219.0,47044.0,47036.0,45842,619.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,78896,959771,472068,564626,911739,334133,0
9,2130311,27304,17673,9631,2907,4089,3370,3546,3761,4919,4712,135.0,315.0,2571.0,4827,14570,4886,15908,10623,63.0,2909.0,5742.0,6272.0,5796.0,5752.0,366940035,241471546,125468489,38912217,53609344,45354076,49936997,53658912,65088561,60379928,2005358.0,6214863.0,34613730.0,61743058,189667738,72695288,220183568,127789059,504208.0,31462019.0,65891113.0,90266047.0,80109678.0,79739565.0,9.0,834795,404469,430325.0,150739,119598.0,139267.0,148921.0,115389.0,160880.0,191799.0,158386.0,104793.0,114298.0,163794.0,101724.0,117396.0,117446.0,118678.0,119077.0,120621.0,124619.0,116958,377.0,17.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,88372,1397721,789487,936503,1572387,636273,4
