,상권코드,분기당매출건수,주중매출건수,주말매출건수,월요일매출건수,화요일매출건수,수요일매출건수,목요일매출건수,금요일매출건수,토요일매출건수,일요일매출건수,시간대00~06매출건수,시간대06~11매출건수,시간대11~14매출건수,시간대14~17매출건수,시간대17~21매출건수,시간대21~24매출건수,남성매출건수,여성매출건수,연령대10매출건수,연령대20매출건수,연령대30매출건수,연령대40매출건수,연령대50매출건수,연령대60이상매출건수,분기당매출금액,주중매출금액,주말매출금액,월요일매출금액,화요일매출금액,수요일매출금액,목요일매출금액,금요일매출금액,토요일매출금액,일요일매출금액,시간대00~06매출금액,시간대06~11매출금액,시간대11~14매출금액,시간대14~17매출금액,시간대17~21매출금액,시간대21~24매출금액,남성매출금액,여성매출금액,연령대10매출금액,연령대20매출금액,연령대30매출금액,연령대40매출금액,연령대50매출금액,연령대60이상매출금액,점포수,총생활인구수,남성생활인구수,여성생활인구수,연령대10생활인구수,연령대20생활인구수,연령대30생활인구수,연령대40생활인구수,연령대50생활인구수,연령대60이상생활인구수,시간대1생활인구수,시간대2생활인구수,시간대3생활인구수,시간대4생활인구수,시간대5생활인구수,시간대6생활인구수,월요일생활인구수,화요일생활인구수,수요일생활인구수,목요일생활인구수,금요일생활인구수,토요일생활인구수,일요일생활인구수,총직장인구수,집객시설수,관공서수,은행수,대학교수,백화점수,슈퍼마켓수,의료시설수,교육시설수,여가시설수,교통시설수,00시~06시유동인구,06시~11시유동인구,11시~14시유동인구,14시~17시유동인구,17시~21시유동인구,21시~24시유동인구,cluster
0,2130324,5617,3488,2129,586,586,732,668,916,925,1204,0.0,28.0,787,951,2802,1049.0,3167,2444,74.0,1080.0,1055.0,1137.0,1493.0,771.0,78754234,48791565,29962669,9280465,7753212,9338572,9418536,13000780,12007061,17955608,0.0,353227.0,11730746,13131606,39933561,13605094.0,45673909,32741480,1240379.0,14170562.0,14064230.0,17204214.0,21622537.0,10113467.0,3.0,482114,219228,262886,78473,55491.0,67182.0,72947.0,75406.0,132617,140113.0,96895,53230,52866,76832,62178.0,68621.0,68313.0,67785.0,67607.0,67651.0,70497,71640,154.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52638,658719,347031,403754,604119,217740,0
1,2130323,498,226,272,12,36,80,36,62,92,180,0.0,0.0,24,73,370,31.0,225,261,0.0,69.0,63.0,125.0,137.0,93.0,16618152,6055872,10562280,497229,1313448,1960029,816218,1468948,2255048,8307232,0.0,0.0,4304199,1894880,9786012,633061.0,9277610,6666917,0.0,5342959.0,1838300.0,3035533.0,3197565.0,2530169.0,2.0,330904,158816,172088,47156,44216.0,42378.0,51672.0,56045.0,89437,93053.0,65867,35490,37164,56149,43181.0,47203.0,46150.0,46575.0,46874.0,46911.0,48424,48766,171.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42834,737815,353955,442203,687866,233990,0
2,2130318,6137,4144,1993,779,920,776,762,907,1078,915,41.0,0.0,1723,1203,1870,1300.0,3941,2086,206.0,1945.0,1435.0,1245.0,840.0,355.0,175473293,109296556,66176737,20760819,21707929,23350483,18761014,24716311,36891114,29285623,2522912.0,0.0,29642026,30171277,56114759,57022319.0,113986239,58209004,2959608.0,53591119.0,44787521.0,37149354.0,26492129.0,7215511.0,6.0,385128,180166,204963,30475,84569.0,75600.0,57796.0,59552.0,77136,57463.0,61834,57919,66525,91738,49649.0,49423.0,50126.0,51101.0,50974.0,56480.0,65310,61714,266.0,37.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,103606,626015,367926,454100,682044,296793,0
3,2130317,4229,2774,1455,569,480,561,571,593,820,635,0.0,0.0,423,740,2585,481.0,2413,1816,65.0,678.0,802.0,1162.0,949.0,573.0,60041154,38513362,21527792,7622970,6256643,9029962,7730324,7873463,11507244,10020548,0.0,0.0,5995576,10350745,36676951,7017882.0,33985464,26055690,1001963.0,9567076.0,10686588.0,16968735.0,14202763.0,7614029.0,2.0,477008,226535,250474,62273,48842.0,63994.0,65467.0,82538.0,153897,129807.0,94122,53934,54615,81691,62841.0,67263.0,66423.0,66116.0,66160.0,65470.0,71002,74574,107.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,63176,718135,293121,358004,557500,214751,0
4,2130315,39488,27877,11611,5314,5589,5407,5450,6117,6403,5208,869.0,2565.0,13266,7224,12685,2879.0,21900,15886,1107.0,8185.0,11204.0,8423.0,5726.0,3139.0,650429116,429010507,221418609,87631382,81162561,73492107,83832468,102891989,111704293,109714316,8378352.0,19153597.0,239450327,115513750,232295980,35637110.0,350200145,223692905,10056655.0,107850583.0,168340930.0,131851592.0,88746775.0,67046515.0,6.0,603305,290213,313092,88105,94929.0,116430.0,98347.0,88331.0,117162,134802.0,125466,84689,84559,104977,68814.0,90347.0,90739.0,89443.0,89384.0,88384.0,78108,76901,1372.0,15.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,73375,1635336,497289,616567,1450044,384475,3
5,2130314,9247,6373,2874,1491,1574,1415,962,931,1672,1202,0.0,205.0,1164,2135,4231,1512.0,5248,3766,0.0,1583.0,1339.0,2439.0,1841.0,1812.0,149528899,105013988,44514911,26706805,20769769,22026585,23636389,11874440,23679064,20835847,0.0,1142184.0,21926372,39640545,64650457,22169341.0,80709749,58186084,0.0,17519139.0,17298066.0,39235916.0,33399405.0,31443308.0,3.0,1296856,588321,708534,163444,149460.0,202424.0,199982.0,218325.0,363219,339782.0,257536,145657,147655,229028,177198.0,183533.0,180381.0,181606.0,180711.0,181153.0,193410,196058,202.0,21.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58498,404164,202783,249958,372185,167790,0
6,2130313,7719,5043,2676,969,1099,1066,779,1130,1196,1480,0.0,30.0,932,1121,4021,1615.0,4419,3282,68.0,1010.0,2506.0,1691.0,1443.0,984.0,112193825,74083272,38110553,13891736,15167008,15582199,12635498,16806831,17184332,20926221,0.0,408764.0,14484845,15482528,58635568,23182120.0,62874030,48537212,592103.0,13733003.0,36731170.0,25199884.0,21065981.0,14089102.0,5.0,974321,445112,529209,132640,140225.0,200135.0,160923.0,135946.0,204451,297352.0,204454,101998,99219,144568,126729.0,140413.0,136985.0,136864.0,136650.0,137407.0,141156,144848,3469.0,33.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44603,586559,308556,342641,609508,250482,0
7,2130310,11683,8925,2758,2060,1923,1627,1676,1639,2007,751,0.0,799.0,3824,2791,4244,25.0,5394,6060,395.0,2506.0,2472.0,2763.0,2297.0,1026.0,95821740,67617451,28204289,15249003,16189428,11265856,12757453,12155711,18702934,9501355,0.0,6102942.0,30439385,22389459,36328935,561019.0,41141904,46168585,1826574.0,15680076.0,15882923.0,22305214.0,19936477.0,11679224.0,5.0,209176,94266,114910,50557,20526.0,22009.0,35826.0,32467.0,47792,23792.0,41123,37885,40863,46809,18706.0,29521.0,30416.0,30581.0,30070.0,30707.0,29533,28348,298.0,30.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14393,405469,202457,268708,347349,141397,0
8,2130307,8729,5586,3143,1068,996,996,1147,1379,1681,1462,0.0,20.0,1259,1460,3715,1279.0,4138,3323,373.0,1158.0,614.0,2527.0,2255.0,533.0,117268456,73980617,43287839,13476008,12467195,12467195,18431475,17138744,23025299,20262540,0.0,135918.0,18585313,21458618,47803837,16817575.0,52640400,42951669,4236611.0,13661259.0,7877197.0,31468116.0,30740502.0,7608382.0,2.0,196452,89597,106856,67325,15692.0,17337.0,45487.0,26203.0,24405,36859.0,36745,24181,29609,41618,27440.0,27440.0,27584.0,27586.0,27437.0,27357.0,29794,29254,57.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51090,1358315,759255,926247,1422901,557968,0
9,2130303,224,119,105,27,33,16,28,15,62,43,37.0,0.0,32,22,79,54.0,114,77,0.0,10.0,27.0,21.0,88.0,43.0,7280452,3508057,3772395,586299,954549,628158,955371,383680,2219072,1553323,1620188.0,0.0,761067,1038485,2290863,1569849.0,3557794,2471266,0.0,292740.0,730316.0,669416.0,2516135.0,1820455.0,1.0,414182,209919,204263,21126,96272.0,107509.0,79051.0,51766.0,58458,73337.0,76208,59556,61065,90067,53949.0,59645.0,63048.0,62096.0,62497.0,65174.0,55512,46209,242.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,164044,1659663,652777,793291,1644781,635309,0
10,2130302,3332,2883,449,684,556,684,490,469,235,214,0.0,0.0,1068,299,1196,85.0,1025,1196,0.0,726.0,939.0,448.0,63.0,42.0,85354936,69507576,15847360,11328695,11328695,20101226,11102335,15646625,7102590,8744770,0.0,0.0,18294614,8097721,41016069,6617837.0,23887423,34024523,0.0,17126509.0,25384391.0,10357054.0,3739217.0,1304775.0,2.0,58104,28171,29934,4145,14743.0,14325.0,11003.0,7184.0,6706,7902.0,10583,10078,10578,12840,6124.0,8323.0,8826.0,8676.0,8634.0,9160.0,8184,6302,58.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,93280,1796156,963810,1156999,2085421,730281,0
11,2130299,182652,121652,61000,22720,22268,22858,22949,30857,34127,26873,66.0,27290.0,50347,38644,51492,14813.0,82454,91830,2849.0,51825.0,45005.0,32392.0,27209.0,15003.0,1787956773,1186860578,601096195,215204821,215607041,232328671,223283816,300436229,340274544,260821651,533520.0,217861722.0,559623675,367970111,528917359,113050386.0,751205700,889907588,22492804.0,460439526.0,438510481.0,309297986.0,259612988.0,150759501.0,10.0,41413,17327,24087,6565,6274.0,6923.0,8014.0,6417.0,7221,4074.0,6783,8061,8946,10112,3438.0,5478.0,5699.0,5775.0,5773.0,6177.0,6607,5904,1850.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,192023,4061330,3403898,4139076,5635407,1843648,4
12,2130295,10344,6928,3416,221,1771,1560,1592,1784,1310,2106,0.0,555.0,2358,1729,5491,211.0,5444,4900,294.0,3744.0,2954.0,1619.0,1207.0,526.0,83161976,52252279,30909697,3136167,11198989,12209348,11577829,14129946,11717490,19192207,0.0,4406615.0,14569561,14324132,47506818,2354850.0,43387077,39774899,1411035.0,23306820.0,24351839.0,14882070.0,13120014.0,6090198.0,2.0,272033,124707,147325,27939,57454.0,52699.0,37776.0,36874.0,59290,58092.0,48013,31153,36147,58808,39819.0,38374.0,37683.0,37973.0,37761.0,38063.0,40896,41280,122.0,18.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,32860,561925,280570,320797,512215,258180,0
13,2130294,17435,11457,5978,2290,1958,2495,2236,2478,3002,2976,73.0,724.0,4721,4559,6250,1108.0,9243,8090,293.0,3444.0,3652.0,3740.0,3266.0,2936.0,188164316,123495711,64668605,24419573,19698190,32681520,21533701,25162727,33553825,31114780,1497971.0,6520871.0,53956174,44493179,66747221,14948900.0,102212582,73309505,1697944.0,32405765.0,32648113.0,44361085.0,35720450.0,28688729.0,3.0,292615,135005,157610,49710,49653.0,44508.0,40030.0,36560.0,72156,58924.0,60395,42634,42872,54053,33736.0,42082.0,42200.0,42283.0,42132.0,42473.0,40815,40630,102.0,12.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,134637,1011415,528532,634379,993504,454187,0
14,2130293,12665,8073,4592,1738,1568,1557,1362,1848,2285,2307,0.0,72.0,1714,1726,6236,2917.0,7393,5272,134.0,3585.0,2995.0,2083.0,2204.0,1664.0,163239043,102611904,60627139,22113749,19271768,19286476,18648334,23291577,29331438,31295701,0.0,906770.0,23740100,22310662,81036622,35244889.0,95274205,67964838,2220401.0,43924120.0,37281338.0,28035342.0,32033642.0,19744200.0,2.0,60910,28731,32179,6204,14552.0,10878.0,8406.0,7878.0,12992,8544.0,12218,9828,10340,13679,6302.0,8702.0,8513.0,8670.0,8566.0,8805.0,9043,8612,154.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,151045,1310990,728735,832544,1271782,627478,0
15,2130290,5693,3861,1832,743,760,714,751,893,931,901,0.0,0.0,789,958,2997,949.0,3332,2334,28.0,2324.0,1449.0,762.0,743.0,359.0,69233014,47264927,21968087,9216788,9282555,8852250,8821246,11092088,11262145,10705942,0.0,0.0,10564074,11798616,36102372,10767952.0,40129596,27789955,300650.0,26747256.0,17814173.0,9197439.0,9233609.0,4626425.0,6.0,590709,279731,310979,54316,144028.0,105584.0,72657.0,76662.0,137461,137333.0,120394,69909,71669,111022,80381.0,84791.0,85956.0,85173.0,84829.0,85027.0,83186,81748,417.0,30.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,155173,1854573,807698,938183,1634765,668812,0
16,2130285,36754,25018,11736,4798,4758,5121,4911,5430,6157,5579,3494.0,2987.0,5891,5968,11800,6614.0,19144,17610,1619.0,14769.0,9223.0,4906.0,4035.0,2202.0,316915669,210456197,106459472,39603138,39559141,42478449,41202269,47613200,54225912,52233560,29750605.0,21442608.0,52871731,49015457,111220640,52614628.0,172355877,144559792,12584425.0,125798439.0,77568274.0,45215738.0,34261530.0,21487263.0,7.0,950734,494388,456347,75463,331698.0,198142.0,114708.0,98806.0,131917,110911.0,144776,127547,156313,257779,153408.0,125370.0,126549.0,132838.0,132159.0,140090.0,153031,140698,615.0,31.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,442032,4940404,2121788,2481671,4774204,2188414,2
17,2130278,3990,2731,1259,619,631,280,624,577,608,651,0.0,95.0,556,741,1556,1042.0,2385,1605,702.0,845.0,711.0,802.0,728.0,202.0,27369934,18376268,8993666,4256592,4006298,1828260,4593671,3691447,4298925,4694741,0.0,661455.0,3862895,4774114,10212330,7859140.0,16941415,10428519,4778378.0,5740413.0,5065004.0,5406394.0,5187247.0,1192498.0,2.0,326624,145856,180768,55788,43350.0,45382.0,53133.0,48808.0,80165,98094.0,66607,35414,36008,50113,40387.0,46306.0,44703.0,45301.0,45345.0,44991.0,49389,50592,75.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,76387,599666,316496,397936,604537,248896,0
