,상권코드,분기당매출건수,주중매출건수,주말매출건수,월요일매출건수,화요일매출건수,수요일매출건수,목요일매출건수,금요일매출건수,토요일매출건수,일요일매출건수,시간대00~06매출건수,시간대06~11매출건수,시간대11~14매출건수,시간대14~17매출건수,시간대17~21매출건수,시간대21~24매출건수,남성매출건수,여성매출건수,연령대10매출건수,연령대20매출건수,연령대30매출건수,연령대40매출건수,연령대50매출건수,연령대60이상매출건수,분기당매출금액,주중매출금액,주말매출금액,월요일매출금액,화요일매출금액,수요일매출금액,목요일매출금액,금요일매출금액,토요일매출금액,일요일매출금액,시간대00~06매출금액,시간대06~11매출금액,시간대11~14매출금액,시간대14~17매출금액,시간대17~21매출금액,시간대21~24매출금액,남성매출금액,여성매출금액,연령대10매출금액,연령대20매출금액,연령대30매출금액,연령대40매출금액,연령대50매출금액,연령대60이상매출금액,점포수,총생활인구수,남성생활인구수,여성생활인구수,연령대10생활인구수,연령대20생활인구수,연령대30생활인구수,연령대40생활인구수,연령대50생활인구수,연령대60이상생활인구수,시간대1생활인구수,시간대2생활인구수,시간대3생활인구수,시간대4생활인구수,시간대5생활인구수,시간대6생활인구수,월요일생활인구수,화요일생활인구수,수요일생활인구수,목요일생활인구수,금요일생활인구수,토요일생활인구수,일요일생활인구수,총직장인구수,집객시설수,관공서수,은행수,대학교수,백화점수,슈퍼마켓수,의료시설수,교육시설수,여가시설수,교통시설수,00시~06시유동인구,06시~11시유동인구,11시~14시유동인구,14시~17시유동인구,17시~21시유동인구,21시~24시유동인구,cluster
0,2130326,2807,1858,949,322,306,317,377,536,551,398,523.0,0.0,0.0,16.0,611,1657,1778,941,11.0,419.0,720.0,953.0,438.0,177.0,112801434,73390794,39410640,13871611,12194853,13008390,14159352,20156588,23143192,16267448,22479807.0,0.0,0.0,484300.0,22719499,67117828,67209807,40624143,398578.0,18483372.0,29761594.0,36706085.0,16378175.0,6106144.0,2.0,140332,64196,76136,26379,13049,22850,25679,19787,32587,33586,30929,16979,16926,24248,17663,19967,20241,20307,20391,20302,19747,19376,935.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,91130,1211862,442720,502951,933081,312779,4
1,2130323,891,700,191,188,180,154,50,128,129,62,29.0,0.0,37.0,33.0,389,403,753,90,0.0,4.0,15.0,55.0,243.0,528.0,42540271,32525784,10014487,10263890,7926256,7375108,2319276,4641254,7289749,2724738,1572790.0,0.0,1642354.0,1209571.0,23321806,14793750,38808119,2500527,0.0,18495.0,1450006.0,2860040.0,10676323.0,26303782.0,4.0,343847,165124,178722,50900,45451,43897,53197,57061,93341,96348,68617,37497,38460,58125,44799,48688,48658,48312,48348,49173,49642,51023,171.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35105,666091,331085,387094,639959,211662,4
2,2130322,3424,2213,1211,358,421,440,434,560,535,676,749.0,6.0,6.0,124.0,894,1645,2255,1121,19.0,387.0,550.0,780.0,736.0,904.0,120986357,78302936,42683421,12203987,14811462,14212079,17275213,19800195,19920681,22762740,24957781.0,129799.0,97349.0,3822723.0,29877510,62101195,77929088,41225787,1343419.0,16257362.0,22160990.0,26685409.0,26810566.0,25897130.0,5.0,254824,125456,129369,32889,32452,40365,35291,44157,69671,73172,52250,28375,28067,40849,32112,35995,35377,35096,35142,34931,37960,40325,8.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8051,107533,52868,62307,94443,39790,4
3,2130320,340,265,75,43,63,26,63,70,37,38,43.0,0.0,0.0,11.0,91,195,234,95,0.0,64.0,100.0,107.0,47.0,10.0,14130774,10668444,3462330,2071027,1709925,674411,3287092,2925989,1874544,1587786,3828744.0,0.0,0.0,153999.0,2623300,7524731,8804518,4354466,0.0,2641886.0,4258880.0,4742121.0,1266512.0,249586.0,1.0,127787,62156,65631,13462,15504,21348,21758,22610,33105,25032,23949,17386,18989,26740,15690,18023,18174,17929,18112,18383,18920,18246,173.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,87290,1376519,506871,577273,1069405,354369,4
4,2130319,1352,879,473,112,236,42,139,350,375,98,0.0,0.0,84.0,181.0,669,418,1017,266,0.0,0.0,28.0,98.0,557.0,600.0,57581563,37264386,20317177,4314525,12298172,1837557,8695639,10118493,17050595,3266582,0.0,0.0,1500905.0,5861606.0,23588009,26631043,43879424,8499260,0.0,0.0,589140.0,1837557.0,23872494.0,26079493.0,2.0,710911,346382,364528,114675,76664,111565,110186,116078,181744,192752,139952,78308,83414,123900,92588,100183,97907,97560,96828,97702,107095,113635,34.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,115042,1373463,627275,733690,1265645,449710,4
5,2130318,89078,55464,33614,10273,9580,9996,10466,15149,18432,15182,25177.0,255.0,1013.0,1044.0,19794,41795,54745,34264,1043.0,41628.0,28445.0,9283.0,6446.0,2163.0,4003368704,2470737784,1532630920,450362825,424051897,437248143,479281974,679792945,850996612,681634308,1176150838.0,12311296.0,20946255.0,29167734.0,861223200,1903569381,2523805660,1472492267,38798579.0,1814259846.0,1347857640.0,444243600.0,256649620.0,94488642.0,45.0,384799,181045,203753,31220,85574,75364,57924,57752,76964,59499,62507,57358,65910,90546,48977,50582,51084,51661,51945,56315,62462,60750,266.0,37.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,73690,433367,264019,311264,469826,202724,2
6,2130317,781,511,270,121,93,102,93,102,120,150,93.0,0.0,19.0,74.0,344,251,481,291,9.0,75.0,216.0,180.0,150.0,141.0,37749895,23583226,14166669,5084756,3495189,4843067,3374344,6785870,5028981,9137688,6116580.0,0.0,613517.0,3114064.0,15551731,12354003,24352142,12523955,167323.0,4862100.0,11113956.0,9396234.0,7113106.0,4223379.0,2.0,447769,215692,232078,59757,44605,59827,60894,77844,144840,120008,87266,51094,52431,77785,59184,63322,62202,62054,61669,62856,66452,69214,107.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,61179,675901,286010,341282,541253,200756,4
7,2130315,1471,910,561,211,125,139,206,229,269,292,520.0,0.0,0.0,4.0,247,700,815,629,4.0,551.0,448.0,215.0,170.0,55.0,62103417,36219297,25884120,7888127,6054856,5239771,8632823,8403720,11952794,13931326,23509702.0,0.0,0.0,134503.0,10121317,28337895,34649948,26225013,191540.0,24141049.0,19863593.0,8931700.0,5256044.0,2491035.0,5.0,613069,295242,317827,87205,96597,119792,100007,89757,119712,137349,126797,85624,86314,106592,70393,91063,91953,92025,91605,90039,78894,77491,1372.0,15.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,68270,1606707,465411,580172,1425471,360978,4
8,2130314,6223,4400,1823,689,799,864,1098,950,1126,697,961.0,0.0,0.0,143.0,2426,2693,4140,1984,0.0,536.0,902.0,1528.0,1616.0,1542.0,224360224,159442047,64918177,23903770,30767302,30578234,39443075,34749666,40658512,24259665,38205496.0,0.0,0.0,4157587.0,79919471,102077670,151333979,66976506,0.0,24834306.0,35445821.0,51279789.0,56916361.0,49834207.0,11.0,1253487,575381,678107,163829,143114,194341,192904,208754,350547,326054,250339,143026,143658,219651,170759,177973,176080,175456,175015,176143,186035,186786,202.0,21.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32015,205600,92619,104852,154129,70931,0
9,2130313,836,642,194,131,115,128,156,112,132,62,261.0,0.0,0.0,10.0,101,464,575,235,0.0,99.0,158.0,142.0,261.0,151.0,44244376,32406402,11837974,5359621,7341394,5738035,8916492,5050860,7762969,4075005,15306332.0,0.0,0.0,645572.0,4041172,24251300,31080796,11877795,0.0,3168546.0,8622287.0,7593607.0,14382084.0,9192067.0,9.0,995031,453743,541288,137571,145880,203055,163238,137462,207825,300563,209545,106445,102750,147401,128329,142660,142495,141493,141830,138259,142228,146065,3469.0,33.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40771,570561,298493,336215,602727,232218,4
