,상권코드,분기당매출건수,주중매출건수,주말매출건수,월요일매출건수,화요일매출건수,수요일매출건수,목요일매출건수,금요일매출건수,토요일매출건수,일요일매출건수,시간대00~06매출건수,시간대06~11매출건수,시간대11~14매출건수,시간대14~17매출건수,시간대17~21매출건수,시간대21~24매출건수,남성매출건수,여성매출건수,연령대10매출건수,연령대20매출건수,연령대30매출건수,연령대40매출건수,연령대50매출건수,연령대60이상매출건수,분기당매출금액,주중매출금액,주말매출금액,월요일매출금액,화요일매출금액,수요일매출금액,목요일매출금액,금요일매출금액,토요일매출금액,일요일매출금액,시간대00~06매출금액,시간대06~11매출금액,시간대11~14매출금액,시간대14~17매출금액,시간대17~21매출금액,시간대21~24매출금액,남성매출금액,여성매출금액,연령대10매출금액,연령대20매출금액,연령대30매출금액,연령대40매출금액,연령대50매출금액,연령대60이상매출금액,점포수,총생활인구수,남성생활인구수,여성생활인구수,연령대10생활인구수,연령대20생활인구수,연령대30생활인구수,연령대40생활인구수,연령대50생활인구수,연령대60이상생활인구수,시간대1생활인구수,시간대2생활인구수,시간대3생활인구수,시간대4생활인구수,시간대5생활인구수,시간대6생활인구수,월요일생활인구수,화요일생활인구수,수요일생활인구수,목요일생활인구수,금요일생활인구수,토요일생활인구수,일요일생활인구수,총직장인구수,집객시설수,관공서수,은행수,대학교수,백화점수,슈퍼마켓수,의료시설수,교육시설수,여가시설수,교통시설수,00시~06시유동인구,06시~11시유동인구,11시~14시유동인구,14시~17시유동인구,17시~21시유동인구,21시~24시유동인구,cluster
0,2130324,1598,970,604,71,257,206,218,218,341,263,6.0,12.0,147.0,180.0,970.0,277.0,1061,475,6.0,38.0,263.0,277.0,587.0,370.0,59803727,39289001.0,19493197.0,2652118.0,12338647.0,7985909.0,8673353.0,7638974.0,9933236.0,9559961.0,417606.0,186317.0,3461631.0,5159039.0,39451545.0,10709983.0,39313228.0,17271721.0,417606.0,1885162.0,8393715.0,11989372.0,22451061.0,11865640.0,4.0,506523,232053,274471,84356,56747,70321,76606,80562,137931,142738,103748,58341,57614,79840,64245,71545,71690,71191,70622,71792,75111,74572,154,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46262,594849,325962,385854,578937,203902,0
1,2130318,21864,14157,7707,2817,2855,2434,2933,3118,4061,3646,6.0,11.0,6537.0,3818.0,9489.0,2003.0,11608,9239,179.0,7303.0,6038.0,3032.0,2965.0,1330.0,761672674,480123191.0,281549483.0,89663831.0,95408256.0,83371426.0,103439625.0,108240053.0,158896569.0,122652914.0,681772.0,728801.0,141196046.0,92778791.0,391364793.0,134922471.0,427591551.0,294962016.0,3525716.0,258329761.0,234676447.0,104360561.0,83758731.0,37902351.0,8.0,364333,171251,193081,30916,75208,71427,54570,55926,76286,52301,61494,55245,65491,89790,40012,48296,48718,49565,49437,52672,58954,56690,266,37.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,92359,562218,339507,414865,634830,276367,0
2,2130313,3168,2841,322,499,603,630,493,616,322,322,5.0,0.0,1551.0,217.0,1071.0,324.0,1646,1183,5.0,497.0,750.0,508.0,576.0,492.0,91507199,81110693.0,10069712.0,13309013.0,15113972.0,18029578.0,13409886.0,21248244.0,10069712.0,10069712.0,326794.0,0.0,30833969.0,4112529.0,38654291.0,17579616.0,49817124.0,28094030.0,47747.0,8628720.0,22384523.0,19288739.0,16385622.0,11175805.0,6.0,927061,427025,500035,127282,135680,190332,150133,129441,194194,272792,193979,100956,98846,140076,120413,131700,129745,131075,130987,131673,134653,137225,3469,33.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41088,565975,297581,336592,610691,244528,0
3,2130310,4002,3191,811,680,527,664,682,638,616,195,0.0,5.0,1407.0,618.0,1781.0,191.0,2172,1429,140.0,629.0,698.0,739.0,926.0,465.0,161169991,130580228.0,30589763.0,19544090.0,19211768.0,27678356.0,27068892.0,37077122.0,27999677.0,2590086.0,0.0,46114.0,27150627.0,16540085.0,97478896.0,19954269.0,99987466.0,35158565.0,1419826.0,15324368.0,32977969.0,33433885.0,33932194.0,18057789.0,4.0,211820,98261,113560,46318,21102,23708,37019,34027,49645,24967,40548,37899,41800,47728,18879,29637,30054,30929,30781,31410,30451,28559,298,30.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15951,392083,212683,266804,366210,148437,0
4,2130306,6371,6058,234,1170,1049,1082,1407,1350,167,67,79.0,0.0,4265.0,139.0,1244.0,644.0,2516,2586,29.0,1696.0,2050.0,944.0,274.0,111.0,304058741,282964890.0,17901187.0,50644229.0,53720619.0,45898456.0,60306043.0,72395543.0,13571685.0,4329502.0,3192664.0,0.0,88567148.0,5486807.0,119388584.0,87423538.0,130966833.0,70241673.0,441519.0,46843988.0,79095462.0,50982975.0,18687966.0,5156596.0,13.0,142637,70948,71688,5119,31557,44303,29652,16630,15377,37362,32435,19664,18244,19529,15402,21205,21018,21184,21995,21536,18025,17674,235,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42097,258980,117091,129691,207898,86241,0
5,2130304,47,36,11,7,18,18,18,11,11,11,0.0,4.0,17.0,15.0,11.0,0.0,22,21,0.0,0.0,4.0,0.0,11.0,28.0,2234478,1700765.0,533713.0,167230.0,772104.0,772104.0,772104.0,761431.0,533713.0,533713.0,0.0,320228.0,925102.0,640455.0,348693.0,0.0,946450.0,878848.0,0.0,0.0,302437.0,0.0,370040.0,1152820.0,1.0,16883,7236,9648,4544,1319,1434,3183,2453,3950,5972,3281,1663,1580,2055,2334,2452,2469,2466,2495,2522,2313,2169,138,7.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,24665,235284,129763,153589,215391,77185,0
6,2130303,22023,17838,4043,3556,3449,3579,3484,3770,2069,1974,142.0,155.0,11297.0,2676.0,6290.0,1463.0,10547,6410,48.0,3556.0,4900.0,3127.0,3032.0,2295.0,795106940,635629809.0,159024052.0,131980254.0,123026897.0,120290467.0,122175441.0,138156750.0,88463896.0,70560156.0,453079.0,4013491.0,279873437.0,78829732.0,319771111.0,112166090.0,362870539.0,166399363.0,1236750.0,109623499.0,149387510.0,91161557.0,106810488.0,71050099.0,7.0,362410,182511,179900,18755,80492,91098,70336,47483,54245,61872,68503,54141,56146,79811,41938,52818,53081,53408,56046,56738,48574,41745,242,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,150896,1643570,646218,787087,1637416,610216,0
7,2130302,4024,3854,160,928,692,638,928,668,160,160,10.0,55.0,3223.0,250.0,366.0,120.0,2569,868,20.0,340.0,878.0,893.0,593.0,713.0,102972932,97780007.0,4520604.0,21238308.0,11936200.0,12603504.0,27389541.0,24612454.0,4520604.0,4520604.0,672321.0,587026.0,61329191.0,4149321.0,25583306.0,10651767.0,63609561.0,15972633.0,130451.0,5870262.0,31403394.0,17517967.0,8441638.0,16218481.0,3.0,50731,24837,25893,3964,12033,12111,9911,6647,6065,7131,9873,9048,9386,10942,4353,7465,7465,7465,7918,8084,6821,5514,58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,87316,1780137,965468,1183534,2120248,733567,0
8,2130301,3873,2965,908,615,556,667,654,473,444,464,0.0,12.0,1754.0,847.0,1252.0,8.0,1716,1260,314.0,770.0,687.0,323.0,628.0,256.0,55947570,44598104.0,11349466.0,8954375.0,8192300.0,10206354.0,10206355.0,7038720.0,5301024.0,6048442.0,0.0,224017.0,27074578.0,10738132.0,17753822.0,157021.0,21063821.0,15050971.0,3098545.0,9115583.0,9230732.0,4566166.0,6839828.0,3263939.0,2.0,62631,31177,31455,5525,10002,14615,12030,8044,12416,10361,12743,10363,10529,12306,6330,9583,9516,9685,10097,9917,7326,6509,35,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50329,1114965,468665,566186,994720,325112,0
9,2130299,30278,20864,9414,4021,3851,3889,4121,4982,4915,4499,0.0,127.0,11126.0,7475.0,11533.0,17.0,12926,15725,534.0,9599.0,7002.0,4428.0,4610.0,2481.0,557189765,372606130.0,184583635.0,69010027.0,69979707.0,74999594.0,74244261.0,84372541.0,94282191.0,90301444.0,0.0,1351940.0,206011344.0,125441117.0,224123556.0,261808.0,238521278.0,275971251.0,8468330.0,165495578.0,133025905.0,80569891.0,82358380.0,44574443.0,8.0,38888,16814,22075,6765,5807,6530,7511,5835,6440,4040,6534,7465,8357,9230,3262,5248,5337,5556,5581,5863,5892,5412,1850,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,168718,3779303,3261333,3894803,5225860,1577062,3
