,상권코드,분기당매출건수,주중매출건수,주말매출건수,월요일매출건수,화요일매출건수,수요일매출건수,목요일매출건수,금요일매출건수,토요일매출건수,일요일매출건수,시간대00~06매출건수,시간대06~11매출건수,시간대11~14매출건수,시간대14~17매출건수,시간대17~21매출건수,시간대21~24매출건수,남성매출건수,여성매출건수,연령대10매출건수,연령대20매출건수,연령대30매출건수,연령대40매출건수,연령대50매출건수,연령대60이상매출건수,분기당매출금액,주중매출금액,주말매출금액,월요일매출금액,화요일매출금액,수요일매출금액,목요일매출금액,금요일매출금액,토요일매출금액,일요일매출금액,시간대00~06매출금액,시간대06~11매출금액,시간대11~14매출금액,시간대14~17매출금액,시간대17~21매출금액,시간대21~24매출금액,남성매출금액,여성매출금액,연령대10매출금액,연령대20매출금액,연령대30매출금액,연령대40매출금액,연령대50매출금액,연령대60이상매출금액,점포수,총생활인구수,남성생활인구수,여성생활인구수,연령대10생활인구수,연령대20생활인구수,연령대30생활인구수,연령대40생활인구수,연령대50생활인구수,연령대60이상생활인구수,시간대1생활인구수,시간대2생활인구수,시간대3생활인구수,시간대4생활인구수,시간대5생활인구수,시간대6생활인구수,월요일생활인구수,화요일생활인구수,수요일생활인구수,목요일생활인구수,금요일생활인구수,토요일생활인구수,일요일생활인구수,총직장인구수,집객시설수,관공서수,은행수,대학교수,백화점수,슈퍼마켓수,의료시설수,교육시설수,여가시설수,교통시설수,00시~06시유동인구,06시~11시유동인구,11시~14시유동인구,14시~17시유동인구,17시~21시유동인구,21시~24시유동인구,cluster
0,2130318,87761,53383.0,34343.0,10182.0,9127.0,9351.0,10467.0,14256.0,17360.0,16983.0,4969.0,35.0,16513.0,15694.0,35696.0,14854.0,38715.0,48110.0,3285.0,37206.0,19030.0,13519.0,10131.0,3654.0,3798885301,2226309182,1572297940,398253663,381853989,386789523,426896650,632515357,798791962,773505978,320354877.0,278179.0,625130905.0,575028370.0,1452364795.0,825728175.0,1696436266,2049028906,93178884.0,1608566713.0,892960008.0,586543340.0,392803454.0,171412772.0,8,384799,181045,203753,31220,85574,75364,57924,57752,76964,59499,62507,57358,65910,90546,48977,50582,51084,51661,51945,56315,62462,60750,266.0,37.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,73690,433367,264019,311264,469826,202724,4
1,2130312,589,398.0,170.0,128.0,76.0,85.0,8.0,101.0,129.0,41.0,110.0,8.0,42.0,24.0,187.0,197.0,344.0,198.0,21.0,87.0,163.0,111.0,94.0,86.0,32118555,23859836,7962595,10953653,3812729,3229087,181276,5683091,6218448,1744147,2731849.0,143157.0,1634874.0,2388778.0,15474543.0,9449230.0,18494871,10879485,296124.0,3866412.0,10086250.0,4266273.0,2891221.0,8264200.0,3,311851,148875,162976,52245,37858,62389,55320,44134,59907,61831,58591,42987,45237,63426,39779,44681,44422,44971,44761,44667,44488,43864,619.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,82080,981004,470945,567370,895563,330184,4
2,2130311,943,681.0,262.0,151.0,143.0,150.0,108.0,129.0,108.0,154.0,0.0,33.0,171.0,187.0,548.0,4.0,469.0,474.0,4.0,96.0,289.0,296.0,161.0,97.0,12000000,8486351,3513649,1760247,1725233,2122702,1262454,1615715,1439711,2073938,0.0,378789.0,2165903.0,2403591.0,7013251.0,38466.0,6265862,5734138,96308.0,1310485.0,3631259.0,3539189.0,2312224.0,1110535.0,4,842789,399472,443317,144467,128668,147168,145400,117548,159538,199097,156427,101088,110730,165038,110410,118049,119364,120137,119422,121086,126108,118624,377.0,17.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,93629,1382331,778156,949073,1554633,640413,4
3,2130310,3557,3165.0,392.0,535.0,685.0,520.0,745.0,680.0,392.0,392.0,0.0,0.0,1214.0,672.0,1671.0,0.0,1747.0,1810.0,277.0,967.0,461.0,828.0,869.0,155.0,44909272,39107154,5802118,6513826,8256904,6679594,8848279,8808551,5802118,5802118,0.0,0.0,14874391.0,7950940.0,22083941.0,0.0,21763088,23146184,2787993.0,9507265.0,6680526.0,12944516.0,10722781.0,2266191.0,2,212630,96734,115898,49679,22873,21855,36572,32848,48804,23485,40565,38513,41860,48650,19558,29703,30462,31326,31038,31496,29890,28715,298.0,30.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17564,405548,201058,266278,358025,142854,4
4,2130306,6718,5849.0,869.0,1185.0,1252.0,1059.0,1172.0,1181.0,557.0,312.0,27.0,0.0,4557.0,395.0,1353.0,386.0,2344.0,2807.0,37.0,1339.0,2159.0,1143.0,331.0,143.0,378189558,308213057,69976501,54746336,67264520,55940030,71388299,58873872,42167774,27808727,28768793.0,0.0,183726237.0,20174284.0,95819330.0,49700914.0,155132652,115733550,1981248.0,56072816.0,116399352.0,52648424.0,23771103.0,19993256.0,9,152158,75352,76806,6374,32021,46392,32271,18953,16147,37362,34266,22337,21016,21542,15637,22726,23982,24168,23863,22398,17655,17370,235.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42091,281171,126737,143298,235419,95220,4
5,2130303,7615,6972.0,643.0,1236.0,1467.0,1343.0,1375.0,1551.0,643.0,643.0,0.0,15.0,5171.0,541.0,1856.0,32.0,3149.0,3374.0,28.0,1863.0,2237.0,1491.0,791.0,113.0,176396658,153674292,22722366,28885170,29670886,30142983,30306400,34668853,22722366,22722366,0.0,137695.0,91746754.0,10070128.0,73631087.0,810994.0,62786111,74718393,522487.0,36981903.0,56134739.0,26703304.0,15244729.0,1917340.0,4,414561,209284,205277,23514,98349,104666,79710,50753,57570,72709,76770,60197,62002,89756,53125,59024,62913,64203,64888,64457,53710,45368,242.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,126413,1572231,579758,704601,1502829,565506,4
6,2130299,40740,26330.0,14410.0,4933.0,4811.0,5013.0,5126.0,6447.0,7497.0,6913.0,0.0,1154.0,13732.0,8409.0,15563.0,1882.0,16325.0,21198.0,305.0,9798.0,11836.0,6954.0,5638.0,2992.0,2794905219,1740172270,1054732949,319902114,324464651,346552951,338157949,411094605,548600250,506132699,0.0,36276280.0,800768869.0,552433236.0,1156634652.0,248792182.0,1236350706,1236585129,13274050.0,680820251.0,813092086.0,436837912.0,342746077.0,186165459.0,13,40732,17045,23687,6621,6448,6632,7754,6323,6955,3867,6681,8115,8957,9862,3250,5574,5594,5703,5789,6020,6278,5773,1850.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,182224,3813342,3193955,3815164,5335839,1737042,2
7,2130291,3717,2453.0,1264.0,261.0,546.0,430.0,548.0,668.0,660.0,604.0,0.0,15.0,1314.0,363.0,1754.0,10.0,1492.0,1923.0,10.0,1019.0,828.0,602.0,607.0,349.0,65765377,37759680,28005697,2856096,7988481,6803297,8617374,11494432,14168508,13837189,0.0,151344.0,27844639.0,5119601.0,29696040.0,97657.0,29987803,31916783,149335.0,20395140.0,14467042.0,11512669.0,10039869.0,5340531.0,2,21363,10287,11076,1632,5939,4109,2417,2758,4508,5182,4096,2508,2570,4018,2988,2986,3012,3046,3019,2981,3143,3177,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,145335,1824671,807423,918415,1610222,639573,4
8,2130290,26385,18021.0,8364.0,3857.0,3399.0,3920.0,4162.0,2683.0,4579.0,3785.0,0.0,37.0,9103.0,5384.0,11655.0,206.0,16557.0,9828.0,430.0,8455.0,8411.0,4276.0,3358.0,1455.0,394238342,254887943,139350399,56240524,52084338,55824361,56429311,34309409,74946409,64403990,0.0,590099.0,140550377.0,78721535.0,170720921.0,3655410.0,248172840,146065502,5225119.0,125824070.0,125749926.0,61236891.0,51707597.0,24494739.0,6,555518,262026,293492,48577,137009,100823,67917,72207,128986,130132,112733,65968,67827,103826,75033,79617,80555,80634,80328,79710,78045,76630,417.0,30.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,145335,1824671,807423,918415,1610222,639573,4
9,2130285,2278,1345.0,933.0,315.0,118.0,276.0,270.0,366.0,448.0,485.0,168.0,19.0,476.0,494.0,930.0,191.0,1091.0,1016.0,32.0,666.0,562.0,266.0,512.0,69.0,164800769,120999675,43801094,12000065,15140850,13664416,21723450,58470894,22147969,21653125,63563731.0,330985.0,19416815.0,20561304.0,43388143.0,17539791.0,111723290,38723375,1026471.0,27164089.0,24868705.0,67056666.0,27903082.0,2427653.0,5,910804,475621,435184,72375,317239,185091,112150,96822,127129,110846,139016,124545,150413,242624,143361,121197,121595,126039,127152,135066,144364,135391,615.0,31.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,366837,4714668,1993005,2327789,4491087,1971134,2
